Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.p_rod_length_l,Heave.rear.roll_center_gnd.z,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.toe_angle_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.153445,63.6759,0,1204.91,0.504321,0.0471483,2.77723,0.0174488,7.7241,
1,0.154053,63.6602,0,1204.91,0.503606,0.0472143,2.79471,0.0166133,7.72415,
2,0.152172,63.6545,0,1204.91,0.507037,0.0469252,2.79465,0.0190258,7.72401,
3,0.152213,63.689,0,1204.91,0.503573,0.0478397,2.76565,0.0189926,7.72446,
4,0.153704,63.6764,0,1204.91,0.503897,0.0465122,2.77825,0.0172621,7.72355,
5,0.155321,63.6786,0,1204.91,0.504604,0.0473054,2.77364,0.0152824,7.72407,
6,0.15776,63.6802,0,1204.91,0.503617,0.0502066,2.773,0.0129766,7.72422,
7,0.159876,63.6893,0,1204.91,0.506447,0.0469829,2.76078,0.0113298,7.72339,
8,0.156691,63.6676,0,1204.91,0.504485,0.0481812,2.78624,0.0139068,7.72407,
9,0.152567,63.6722,0,1204.91,0.504405,0.0487154,2.78172,0.0187121,7.72424,
10,0.150844,63.6381,0,1204.91,0.506387,0.0468005,2.81508,0.0207576,7.72396,
11,0.150129,63.6799,0,1204.91,0.506985,0.0488445,2.76838,0.0220663,7.72434,
12,0.153223,63.6617,0,1204.91,0.5061,0.0487655,2.79069,0.0177678,7.72454,
13,0.149421,63.6639,0,1204.91,0.50332,0.0472256,2.79345,0.0224402,7.72329,
14,0.151202,63.7078,0,1204.91,0.50259,0.0466462,2.75206,0.0200177,7.72426,
15,0.151825,63.6357,0,1204.91,0.50633,0.0467622,2.82094,0.0191741,7.72425,
16,0.15212,63.6593,0,1204.91,0.502809,0.0476046,2.79961,0.019049,7.72411,
17,0.153478,63.6685,0,1204.91,0.505399,0.0476671,2.78798,0.0174128,7.72431,
18,0.155557,63.686,0,1204.91,0.506212,0.0477902,2.76763,0.0151196,7.72398,
