Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
0,1143.64,3921.35,1030.71,0.291644,61.7386,0,299.54,308.45,7.50532,2057.09,303.098,534.036,349.891,70.8624,0,399.515,417.497,6.60963,2240.2,378.065,525.613,377.261,2.7483,0,2.05452,7.14931,0.067711,658.854,2.09182,15.1451,15.9335,
1,1143.64,3663.46,888.985,0.312174,61.241,0,260.207,260.96,7.10072,1995.75,261.765,469.372,347.063,33.2495,0,206.875,218.627,3.7843,875.839,211.268,359.663,202.984,2.7483,0,2.05452,7.14931,0.067711,658.854,2.09182,13.6987,7.64697,
2,1143.64,3450.64,773.187,0.331427,57.8473,0,247.931,246.639,6.60221,1875.74,248.704,427.367,339.812,30.4361,0,178.11,181.146,3.68621,805.829,179.664,324.91,204.73,2.7483,0,2.05452,7.14931,0.067711,658.854,2.09182,13.6987,7.64697,
3,1143.64,3303.8,762.907,0.346158,54.1777,0,254.592,250.334,6.5297,1751.49,255.122,406.842,324.711,27.0654,0,176.526,170.587,3.58642,714.408,177.31,300.726,204.201,2.7483,0,2.93363,7.91779,0.067711,658.854,3.1075,13.6987,7.64697,
4,1143.64,3213.43,822.044,0.355893,51.541,0,252.859,248.94,6.41838,1677.04,253.557,401.531,321.551,26.0019,0,185.845,189.404,3.70845,685.134,186.982,318.67,198.973,2.7483,0,2.93363,7.91779,0.067711,658.854,3.1075,13.6987,7.64697,
5,1143.64,3084.55,723.839,0.370762,49.1529,0,241.553,236.463,6.25569,1595.03,241.915,392.742,321.44,24.4118,0,154.575,149.93,3.48687,638.671,154.972,306.827,221.246,2.7483,0,2.93363,7.91779,0.067711,658.854,3.1075,13.6987,7.64697,
6,1143.64,2919.17,648.178,0.391768,45.2453,0,231.844,223.824,6.0304,1480.15,232.149,386.06,313.869,22.4239,0,145.468,139.177,3.44967,579.154,145.98,279.854,202.52,2.7483,0,2.93363,7.91779,0.067711,658.854,3.1075,13.6987,7.64697,
7,1143.64,2855.37,678.167,0.400521,42.7378,0,237.304,221.488,5.98456,1411.81,237.52,386.168,312.36,21.3051,0,165.635,144.016,3.35442,539.788,165.796,300.594,202.793,2.7483,0,2.93363,5.63716,0.067711,656.232,3.1075,13.6987,7.64697,
8,1143.64,2723.93,659.639,0.419848,39.7372,0,228.345,206.432,5.98499,1327.04,228.537,391.83,296.028,20.1027,0,159.77,131.725,3.35332,498.492,159.771,298.409,205.597,2.7483,0,2.93363,5.63716,0.091326,652.562,3.1075,13.6987,7.64697,
9,1143.64,2825.65,2915.54,0.404734,38.4263,0,217.794,194.524,5.66141,1291.1,217.949,377.894,482.308,19.4033,0,158.979,128.419,3.22357,470.675,160.105,273.658,2621.03,2.7483,0,2.93363,5.63716,0.091326,652.562,3.1075,14.3322,7.64697,
