Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
271,147.717,248.421,704.355,0.594626,16.7834,21.3991,2.54331,39.941,3.36174,15.9633,5.91366,58.9965,0,2.61021,2.9839,21.4115,56.513,31.9918,206.167,13.7999,43.9024,1.42079,15.7246,2.06249,109.596,0,8.24508,1.54014,206.2,169.394,11.7391,0.00602175,0.357116,7.22962,3.00422,11.4412,5.57273,42.0942,0,1.28991,2.60627,0.0248165,31.375,
272,147.717,469.967,1400.87,0.314315,26.6134,88.3807,7.14104,34.5594,3.73656,20.3962,6.1744,90.3772,0,4.06526,3.38461,88.6771,96.4611,61.7817,449.625,33.1466,12.8178,2.95219,28.7352,2.87215,235.201,0,15.6711,3.06601,439.882,282.006,11.7391,0.00602175,0.357116,8.47573,3.00422,14.0713,5.57273,42.0942,0,1.28991,2.60627,0.0248165,31.3732,
273,147.717,487.129,1307.24,0.303241,23.0785,62.7196,10.3178,94.1009,3.6491,17.6007,6.41306,94.2624,0,5.09724,3.29231,62.8464,103.751,49.6121,346.102,47.9745,436.51,2.03785,15.356,3.18427,237.231,0,22.3276,2.21661,350.337,295.614,11.7391,0.00602175,0.357116,7.86424,3.02474,14.0713,5.57266,42.0942,0,1.28991,2.62727,0.0248165,31.375,
274,147.717,371.957,1256.91,0.397136,16.3762,67.6242,7.11538,34.1688,3.52119,22.4232,5.93257,68.6702,0,5.69831,3.14163,68.257,69.0283,24.664,447.692,40.2205,44.2124,2.64155,48.7349,2.33172,149.774,0,24.8197,2.75429,451.79,208.922,11.756,0.00459138,0.357116,5.85611,3.02474,14.0262,5.36174,42.0374,0,1.28991,2.62727,0.0248165,31.375,
275,147.717,371.725,1136.3,0.397383,20.8967,40.9482,4.31079,34.3787,3.47744,24.8241,6.22569,102.147,0,4.25591,3.12783,41.2112,85.922,44.5886,327.589,18.3463,4.81391,1.51778,55.5178,3.64426,293.894,0,18.9797,1.71245,329.915,287.885,11.756,0.00437809,0.357116,11.1308,3.02474,14.0705,3.9982,42.1421,0,1.28991,2.62727,0.0247481,31.375,
276,147.717,392.511,1204.18,0.37634,21.3909,57.5039,5.98331,36.3515,3.41357,27.444,6.17978,89.8165,0,6.94941,3.04754,57.8349,76.5953,43.515,383.123,39.3741,11.6319,1.47086,55.5599,2.86526,241.193,0,25.8036,1.62667,385.693,203.664,11.756,0.00437809,0.348002,8.61728,3.01025,14.0705,3.39015,42.1421,0,1.29358,2.61259,0.0247481,31.3714,
277,147.717,500.158,1294.89,0.295341,22.1029,72.0402,10.7809,44.4114,3.84099,20.8825,6.48469,124.518,0,5.36883,3.49284,72.0814,114.154,39.7812,352.419,41.5722,75.3306,2.97397,32.9371,3.58191,325.405,0,20.1108,3.2338,350.943,316.147,11.756,0.00437809,0.3569,7.51988,3.04745,13.5523,2.79015,42.1421,0,1.29331,2.65025,0.0247481,31.3717,
278,147.71,426.968,1326.72,0.34595,21.6634,66.1029,5.93434,41.7224,3.55357,19.1518,6.07098,113.312,0,3.19064,3.17851,66.7413,76.3459,43.6858,454.698,26.5773,50.2994,1.71905,28.8905,2.8759,332.8,0,10.8652,1.86071,459.476,231.429,11.756,0.00437809,0.357116,11.4427,3.04745,13.6409,5.41064,42.1421,0,1.29566,2.65025,0.0247481,31.3806,
279,147.71,458.236,1367.14,0.322344,20.4082,97.7593,8.01277,37.9583,3.75407,18.1663,6.01699,72.4696,0,5.14622,3.41001,98.4353,86.6993,42.45,502.339,38.0358,43.2949,2.87779,18.7245,2.4541,134.13,0,19.6309,3.02866,506.281,245.722,11.756,0.00437809,0.357116,10.9499,3.04745,14.0705,5.57244,42.0972,0,1.29472,2.65025,0.0247481,31.3774,
280,147.697,410.654,1298.47,0.359664,17.9151,71.6433,2.74827,33.7599,3.31743,24.4995,6.04178,87.4403,0,5.0754,2.93219,71.7964,83.4842,34.9013,355.99,16.1027,6.31771,1.14495,57.8373,2.43766,243.711,0,22.6641,1.24314,356.751,259.555,11.756,0.00437809,0.357116,8.95841,3.04745,14.0705,5.57244,42.0972,0,1.29321,2.65025,0.0247481,31.3768,
