Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
311,147.341,374.487,1053.13,0.393448,18.4385,43.1961,8.18659,36.106,3.66068,22.6766,6.18657,99.9937,0,5.42543,3.31288,43.2354,84.0687,26.7897,255.666,39.1986,14.022,2.71524,44.4114,2.98698,282.466,0,21.2402,2.81123,257.76,238.903,11.4881,0.00434876,0.345396,7.52486,3.05722,14.101,1.30521,42.0141,0,1.29923,2.65993,0.0245961,31.3826,
312,147.341,333.912,804.668,0.441257,32.1302,13.1189,7.72019,35.0608,3.6335,23.37,6.3057,104.184,0,6.48444,3.27563,13.1679,85.461,153.022,80.3056,37.1922,7.30442,2.94772,44.4422,4.09036,286.714,0,25.9044,3.10431,79.8404,315.379,11.4881,0.00434876,0.350589,10.7123,3.05722,14.1055,4.68292,42.0141,0,1.30106,2.65993,0.0245961,31.386,
313,147.341,296.196,873.432,0.497444,15.7321,36.6177,2.86894,35.7754,3.31667,17.3966,5.97091,69.9348,0,2.43648,2.93716,36.672,66.5376,27.3308,256.359,16.645,16.0528,1.39796,21.4979,2.32661,204.337,0,8.49632,1.51228,253.576,214.92,11.4881,0.00434876,0.352492,8.80084,3.0418,14.1055,5.57374,42.0141,0,1.30106,2.64438,0.0245961,31.386,
314,147.336,319.904,1042.47,0.460563,13.2087,53.8605,8.14159,36.0763,3.6228,18.381,5.81931,61.0779,0,5.31264,3.25098,54.3246,56.8274,10.1286,383.761,38.6449,12.8492,2.99581,21.2709,1.77684,110.419,0,21.7489,3.08533,385.155,144.388,11.4308,0.00434876,0.352492,10.6912,3.02797,14.1099,0.711973,42.0141,0,1.30112,2.63035,0.0254378,31.386,
315,147.336,634.748,1703.86,0.232117,26.7049,145.454,8.00917,33.4872,3.60683,27.2645,5.90935,135.479,0,9.99349,3.24839,146.049,89.5424,56.9461,553.712,28.7822,7.44051,1.91519,56.1635,2.29914,372.998,0,34.2631,2.06358,555.223,245.124,11.4308,0.00434876,0.349653,8.58329,3.02797,14.1099,0.613461,42.0439,0,1.30031,2.63035,0.0250116,31.3853,
316,147.336,314.825,927.411,0.467992,18.5407,43.0771,2.60631,35.6821,3.30124,23.3033,5.92273,66.3117,0,6.18703,2.91401,43.1563,63.8229,43.8772,301.672,15.4887,13.3175,1.09796,52.8922,2.06316,148.771,0,28.4467,1.19229,301.156,207.038,11.4308,0.0043723,0.347933,9.114,3.02797,14.1092,5.57375,42.0475,0,1.30031,2.63035,0.0250116,31.3853,
317,147.314,438.155,1393.03,0.336214,20.9287,82.718,7.74894,34.2896,3.54201,20.4183,5.86334,99.7222,0,4.93823,3.17369,83.1223,71.6892,40.5321,427.369,39.3445,7.81543,2.67916,34.9652,1.89536,295.778,0,22.9343,2.86557,424.961,202.683,11.4308,0.0043723,0.346196,2.80493,1.36314,13.2032,5.57375,42.0192,0,1.30086,0.427806,0.0255362,31.3863,
318,147.286,345.476,1197.52,0.426327,18.2515,54.1675,3.62315,34.0212,3.38307,19.641,5.94389,74.9829,0,3.16785,2.99604,54.47,70.8281,38.5954,382.814,26.6228,4.02594,2.49167,31.6852,2.73886,221.58,0,11.013,2.6037,386.91,247.744,11.3537,0.0043723,0.343094,6.23283,3.02797,14.1092,4.01311,42.0695,0,1.29954,2.63035,0.0245399,31.3844,
319,147.286,310.868,959.175,0.473789,14.0978,41.7989,2.86552,34.5039,3.25403,21.2778,5.99232,71.3871,0,3.21105,2.86402,41.8703,67.7457,15.7037,285.547,19.4198,4.80478,0.946887,44.4368,2.3775,213.953,0,14.0202,0.996308,287.172,214.174,11.3537,0.0043723,0.346196,8.66402,3.02797,14.1095,5.57377,41.9866,0,1.29954,2.63035,0.0245399,31.3844,
320,147.286,367.908,1086.57,0.400333,17.9307,47.0853,7.49451,38.5324,3.64678,21.7303,6.22071,91.3056,0,3.63258,3.29237,47.1427,79.8941,25.8633,288.632,31.37,24.7434,2.89043,44.7644,2.68707,231.256,0,11.717,2.99271,288.876,222.668,11.3537,0.0043723,0.346196,8.5722,3.02388,14.1095,5.57378,42.0725,0,1.29954,2.62623,0.0245399,31.3844,
321,147.282,290.442,1009.62,0.507094,15.1494,51.7704,2.86022,34.1714,3.25559,18.1934,5.75366,48.0587,0,2.59297,2.87571,52.0769,53.6842,29.5268,370.27,20.5837,5.78151,1.25704,34.0688,1.50538,58.5496,0,11.4183,1.40326,372.633,165.811,11.3537,0.0043723,0.346196,6.50795,2.99938,14.1095,5.57367,42.1085,0,1.29954,2.60133,0.0245399,31.3844,
322,147.258,339.544,983.718,0.433693,18.2188,24.5358,5.72588,42.0094,3.44745,24.3705,6.07189,116.06,0,6.35909,3.07716,24.5556,65.1125,32.4313,210.896,27.9783,51.9448,1.69877,52.3657,2.53296,339.825,0,29.2383,1.84886,212.951,188.743,11.3537,0.0043723,0.346196,6.88753,2.99938,14.11,5.57367,42.1238,0,1.29954,2.60133,0.0245399,31.3844,
323,147.258,321.875,930.938,0.4575,15.0889,34.6525,2.17074,40.4204,3.2482,18.7816,6.12616,78.0992,0,4.34202,2.85167,34.6807,81.4129,27.8429,237.733,9.44532,63.7632,1.24168,34.175,2.78991,182.968,0,21.2229,1.31517,237.826,260.484,11.3089,0.0043723,0.346196,8.59554,1.32159,11.4525,5.57367,42.1238,0,1.29954,0.508477,0.0245399,31.3844,
324,147.247,554.692,1548.23,0.265456,27.6116,103.46,13.3849,34.9591,4.0124,26.2018,6.353,115.351,0,9.71122,3.66911,103.888,106.089,60.7127,467.069,55.9435,12.3613,4.40782,54.5213,3.38872,295.993,0,33.4529,4.6113,469.842,305.303,11.3089,0.0043723,0.355699,8.29116,2.99938,14.11,5.57367,42.1238,0,1.29954,2.60133,0.0245399,31.3844,
325,147.247,327.976,976.141,0.448956,16.9885,48.3606,3.3771,33.8284,3.31042,23.393,6.06276,54.4262,0,2.94783,2.92178,48.651,83.7083,33.6036,360.529,21.209,4.33719,1.6553,48.2042,3.4483,82.0929,0,11.7896,1.6993,366.743,294.711,11.2576,0.0043723,0.355699,11.4298,1.80373,14.1078,1.9508,42.1875,0,1.30261,1.97458,0.0252598,31.3873,
326,147.247,310.18,660.841,0.474714,20.3017,15.148,6.10078,46.4286,3.30912,22.0676,6.04393,104.841,0,5.02807,2.96001,15.1839,62.7673,40.0406,107.573,29.9855,88.9734,1.23728,40.8865,2.38428,299.273,0,19.696,1.4049,109.33,135.002,11.2384,0.0043723,0.355791,19.4606,2.58568,14.1078,1.3062,42.2168,0,1.30261,2.60133,0.0252598,31.3873,
327,147.206,317.505,1195.68,0.463634,15.665,52.8268,2.00912,34.2778,3.12669,14.1083,5.69853,81.3335,0,1.92209,2.749,53.1674,50.6204,29.7853,381.59,14.0798,12.4913,0.814798,7.91991,1.39913,272.877,0,4.76886,0.886782,384.211,149.165,11.2384,0.00439059,0.355791,8.56973,0.915484,13.259,4.61599,42.1599,0,1.30261,1.60976,0.0250546,31.3848,
328,147.206,445.068,1432.11,0.330749,19.624,93.9237,4.57953,34.5328,3.3927,24.8781,6.02176,73.45,0,7.19038,3.02584,94.8264,79.6227,38.8402,523.127,20.059,7.21,1.56507,49.7416,2.72831,152.549,0,30.845,1.64512,526.292,244.278,11.2384,0.00439316,0.355791,0.232928,3.01594,14.1053,4.31413,42.2168,0,1.30261,2.61803,0.0245084,31.3848,
329,147.206,412.365,1254.14,0.356979,18.2432,81.5845,6.87521,34.2002,3.57258,25.6084,5.8636,78.6391,0,6.1134,3.20988,81.9851,66.4702,30.6587,427.84,34.6112,5.0496,2.78503,52.4913,1.68725,208.884,0,22.3801,2.91478,430.163,191.009,11.2384,0.00439316,0.355791,7.89951,3.01594,14.1053,4.51562,42.1962,0,1.30261,2.61803,0.0245084,31.3848,
330,147.206,302.985,847.537,0.485852,16.7806,38.3348,1.9427,38.8621,3.27769,15.406,6.03893,69.4113,0,2.44111,2.91122,38.6434,68.935,27.898,327.174,9.14568,29.4801,1.17009,12.546,2.65871,130.354,0,5.72202,1.35753,329.978,214.118,11.2384,0.00441647,0.355791,11.6675,3.01594,14.1078,5.5735,42.0542,0,1.30231,2.61803,0.0245084,31.3848,
331,147.206,328.538,978.261,0.448063,16.9016,47.1173,2.56819,38.3271,3.29523,16.3545,5.81629,87.5311,0,3.94649,2.90845,47.4608,56.3112,29.1011,349.887,16.6537,23.6398,1.17777,10.7678,1.5343,272.827,0,11.8965,1.24647,351.923,111.042,11.2276,0.00441647,0.355791,14.78,3.02169,14.1078,4.14476,42.1962,0,1.30231,2.62375,0.0245084,31.3868,
332,147.201,491.394,1352.11,0.299559,18.0554,98.4851,5.0268,44.0793,3.53087,23.3309,6.05533,102.879,0,4.22431,3.15711,98.6319,83.9375,27.5262,430.753,22.1048,104.062,2.2775,39.6199,2.65263,263.949,0,13.7367,2.35149,431.605,253.002,11.2276,0.0043344,0.355791,5.45088,3.02169,14.1078,0.541577,23.0353,0,1.30231,2.62375,0.0245084,31.3868,
333,147.175,292.599,601.831,0.502991,21.0593,19.9264,8.56423,41.6749,3.78393,23.9315,5.85577,91.7031,0,6.57137,3.42449,19.9781,46.1262,46.5614,174.627,45.7462,55.7506,3.56728,49.9141,1.36773,202.778,0,26.9702,3.71503,174.423,82.6155,11.152,0.0043344,0.362143,16.9796,3.01646,14.1056,5.5734,42.1962,0,1.30231,2.6186,0.0245084,31.3856,
334,147.175,281.373,849.952,0.52306,15.7041,22.419,5.48042,35.9043,3.44513,18.332,5.84623,88.2036,0,3.5959,3.08121,22.4596,56.9014,22.9992,204.585,32.9277,14.772,2.61458,26.4938,1.96678,253.535,0,14.1847,2.75463,204.674,164.501,11.152,0.0043344,0.362143,8.02681,3.01646,14.1052,1.70526,42.1962,0,1.30231,2.6186,0.0245084,31.3859,
335,147.136,547.99,1566.15,0.268501,21.9367,127.822,3.29462,34.2781,3.37103,29.5029,6.13716,80.0302,0,9.61877,2.9862,128.679,100.334,43.1304,577.178,11.9844,9.3612,1.23326,64.0391,3.16252,153.282,0,36.4473,1.26864,578.81,292.769,11.152,0.0043344,0.362143,8.58614,3.01646,14.1052,1.80718,42.1693,0,1.30168,2.6186,0.0245084,31.3857,
336,147.136,479.694,1510.08,0.306729,21.1617,95.1353,5.88832,33.3053,3.45813,21.7119,5.84799,114.202,0,3.52306,3.08567,95.4678,76.9064,47.6365,467.855,33.8202,6.273,2.45979,47.7594,2.93123,348.196,0,11.6774,2.58308,469.385,253.342,11.1014,0.0043344,0.362143,1.04259,3.00911,14.1052,1.00183,42.1693,0,1.30168,2.61117,0.0245084,31.3857,
337,147.136,303.256,909.175,0.485186,18.157,37.815,4.09757,33.9126,3.41904,16.9443,5.94371,70.1534,0,4.52345,3.0305,37.8626,67.3972,40.7703,256.558,27.8301,4.69421,2.67386,17.4351,2.96233,205.641,0,20.8132,2.76922,262.618,250.39,11.152,0.0043344,0.371178,0.779032,3.00636,14.1017,2.69551,42.1693,0,1.30168,2.60824,0.0245084,31.3857,
338,147.129,336.721,1250.44,0.436945,14.7874,64.1674,3.86433,35.4181,3.47105,15.5359,5.68081,74.7946,0,2.66109,3.09853,64.7689,48.4732,26.446,446.314,23.1632,11.3183,2.71,9.84027,0.805005,217.332,0,8.02649,2.8305,448.377,101.049,11.152,0.0043344,0.371178,13.6597,3.00636,14.1052,5.57336,42.1693,0,1.30168,2.60824,0.0245982,31.3859,
339,147.129,297.701,635.721,0.494216,20.6601,19.7763,5.60308,46.0826,3.48626,24.6963,5.85869,95.3217,0,7.3883,3.12266,19.7993,45.9057,39.3936,110.78,26.9382,78.4042,1.93624,52.2708,1.44374,250.168,0,30.2623,2.08364,111.027,75.5929,11.152,0.0043344,0.371178,34.7122,2.99425,14.1052,5.57336,42.1693,0,1.30168,2.59609,0.0245982,31.3859,
340,147.129,295.032,977.136,0.498688,17.5684,31.8668,5.27414,42.6018,3.32827,17.6617,5.79724,82.6541,0,4.00788,2.95746,32.2393,49.0744,36.594,310.223,28.2144,75.1458,1.59985,25.0392,1.28452,240.439,0,20.5217,1.74676,313.695,108.91,11.152,0.0043344,0.354319,9.72903,3.00636,14.1052,5.57336,42.0561,0,1.30168,2.60824,0.0245982,31.3828,
341,147.085,570.755,1700.26,0.257702,20.886,129.575,8.79387,35.2439,3.62451,24.6989,5.97293,113.962,0,7.67309,3.26676,130.414,86.6448,39.0164,605.434,36.9716,18.4699,2.90825,50.9323,2.97132,286.241,0,28.3572,3.02154,594.906,260.24,11.1612,0.00436396,0.354319,8.32585,3.00636,14.1104,2.75973,42.0561,0,1.30168,2.60824,0.0245982,31.3828,
342,147.085,419.654,1362.78,0.35049,18.3066,96.4079,3.28572,33.886,3.20972,17.2085,5.68287,77.9863,0,2.17551,2.82518,97.0307,61.6488,40.2838,505.287,21.1114,4.37682,0.958515,20.4125,1.23745,223.643,0,6.57292,1.06555,513.754,167.308,11.1504,0.00436396,0.354319,9.01669,3.00636,14.1138,4.1031,42.1631,0,1.08789,2.60824,0.0245982,31.3859,
343,147.085,411.503,1297.12,0.357433,18.5223,79.4467,3.42295,33.6728,3.24716,20.2358,6.17326,70.9502,0,2.16333,2.87423,79.5183,91.2759,36.7128,390.136,18.7825,5.11439,1.38452,35.9817,2.98703,155.383,0,4.5052,1.49394,391.901,292.743,11.1885,0.00436396,0.371178,7.91632,2.29171,14.1138,5.57382,42.1631,0,1.30345,2.56737,0.0245982,31.3859,
344,147.085,497.14,1332.9,0.295862,20.0144,87.4619,7.59314,34.3779,3.29456,25.5189,6.06148,124.11,0,7.47767,2.92221,87.575,90.7326,40.2471,378.735,34.8927,8.20154,1.14214,54.4348,2.44944,354.122,0,27.7831,1.24551,378.217,248.382,11.1885,0.00436396,0.371178,8.23702,2.98304,14.1138,3.54371,42.1701,0,1.30345,2.59924,0.0245982,31.3859,
345,147.079,289.022,1003.9,0.508886,15.8153,51.663,1.76432,34.3631,3.16685,20.3412,5.64635,50.1652,0,3.46087,2.78055,52.1276,47.7278,32.2482,375.007,10.7191,2.53132,0.855845,44.0821,0.810339,92.7452,0,20.2441,0.946676,381.616,129.059,11.1764,0.00436396,0.371178,13.0888,3.00059,14.0425,5.06952,42.1701,0,1.30348,2.60256,0.0245982,31.3859,
346,147.079,239.417,794.299,0.614323,15.1258,20.6065,1.44883,35.3259,3.11837,17.169,5.81982,63.4815,0,2.4307,2.7203,20.6611,51.5091,32.4159,202.15,8.36241,9.09087,0.5943,23.0221,1.73081,192.552,0,8.13117,0.593627,202.264,150.316,11.1885,0.00434952,0.371178,8.90851,3.00059,14.0422,5.57375,42.1701,0,1.30348,2.60256,0.0245982,31.3866,
347,147.079,562.239,1648.56,0.261596,23.3414,126.286,6.61613,35.4857,3.66854,30.8473,6.01321,107.962,0,7.59998,3.29307,126.922,84.2044,50.2444,552.169,33.3147,17.9357,2.98239,66.0801,2.33661,289.594,0,31.4809,3.11024,555.503,235.803,11.1885,0.00434952,0.371178,4.81028,2.01523,14.1139,2.35482,42.1701,0,1.30348,1.61913,0.0245982,31.3868,
348,147.079,221.167,478.246,0.665016,16.0963,8.45799,2.34091,36.5484,3.26613,18.1886,5.93596,58.7745,0,2.44997,2.88504,8.47776,57.745,31.463,138.946,13.2797,14.7107,1.55759,28.522,2.36715,121.295,0,8.50065,1.6652,133.243,194.731,11.1885,0.00433685,0.380872,10.827,3.00059,14.0377,5.57375,42.1701,0,1.30348,2.60256,0.024771,31.3868,
349,147.067,359.465,1033.93,0.409128,21.1142,42.2964,5.05346,36.5571,3.27236,25.3551,6.15689,85.7247,0,6.50109,2.89376,42.4094,82.1303,46.6272,267.138,29.6484,19.378,1.31023,58.2647,3.30762,228.475,0,25.1957,1.41642,268.022,269.76,11.1885,0.00434001,0.372637,6.10391,3.00059,14.0372,5.57375,42.2089,0,1.30348,2.60256,0.0244712,31.3863,
350,147.02,387.912,1249.59,0.379003,16.5396,75.7039,4.83256,34.7595,3.39539,17.8192,5.74939,89.4458,0,4.5842,3.02328,76.2223,55.8366,29.1309,441.824,25.1011,8.0754,1.73895,27.3723,1.94717,277.523,0,21.5928,1.84007,445.442,161.071,11.1885,0.00434001,0.372637,2.94011,3.00059,14.0398,1.28011,42.2089,0,1.30348,2.60256,0.0244712,31.3863,
351,147.02,368.432,1153.05,0.399041,16.3569,64.8861,1.55849,34.1262,3.13459,17.389,5.96549,79.8657,0,4.75295,2.74021,65.0057,72.651,31.4756,341.662,7.15103,4.86665,0.544315,27.712,2.05993,222.978,0,17.8228,0.564843,342.099,224.65,11.1885,0.00434001,0.372637,8.75147,2.98602,14.1153,5.57375,42.2089,0,1.30227,2.58775,0.0244712,31.3863,
352,147.02,229.394,423.669,0.640906,15.3166,1.93162,1.32449,42.912,3.15443,18.9367,5.93793,80.6231,0,3.67574,2.75497,1.95557,50.8708,20.581,63.5112,5.16611,58.0502,0.663918,27.9045,1.84408,226.159,0,12.9427,0.654691,59.7691,102.521,11.1885,0.00434001,0.372898,34.7115,2.96302,14.1159,5.57375,42.2089,0,1.30227,2.56432,0.0244712,31.3852,
353,147.02,278.935,737.87,0.527076,16.7947,29.4577,4.90934,34.4352,3.49952,20.0693,5.73509,71.6385,0,4.47147,3.1291,29.5177,55.277,33.6558,211.081,28.0016,9.57887,2.90742,35.8192,1.26684,204.124,0,18.5875,3.00276,211.449,151.902,11.255,0.00436445,0.374164,8.84329,2.96302,14.1186,3.37988,42.2089,0,1.30227,2.56432,0.0244712,31.3852,
354,147.019,251.046,511.909,0.585628,19.9354,5.09793,2.90292,38.629,3.29918,18.1489,6.09901,79.0172,0,3.4423,2.90205,5.12443,66.4473,45.5953,44.5831,14.2776,37.8529,1.30356,30.8414,2.99836,184.707,0,15.8968,1.34774,45.4812,218.52,11.2361,0.00434482,0.371294,11.5318,2.96302,14.0426,5.57387,42.2089,0,1.30227,2.56432,0.0244712,31.3852,
355,147.015,283.922,725.158,0.517798,15.6465,18.0498,5.16251,35.4671,3.27292,22.2825,5.89127,94.9073,0,4.55327,2.88986,18.0806,57.7187,26.9737,158.726,28.3621,9.84011,1.16381,47.5164,2.54973,288.021,0,19.2901,1.25104,158.921,204.212,11.2361,0.00436445,0.371294,11.4204,2.96302,14.0421,2.94992,42.2754,0,1.30227,2.56432,0.0244712,31.3852,
356,147.015,381.601,1200.39,0.385258,15.4307,73.6845,2.00356,38.6156,3.17082,18.9448,5.96238,73.091,0,2.1191,2.78475,74.0613,71.7321,25.1934,433.7,8.34549,45.779,0.85715,33.908,2.27284,205.133,0,6.28141,0.948683,427.9,220.635,11.2047,0.00436445,0.371294,8.19761,2.94776,14.0428,5.51746,42.2754,0,1.30227,2.54896,0.0244575,31.3852,
357,147.015,342.55,955.286,0.429178,19.6612,43.601,5.23057,38.6364,3.58157,19.7744,5.97835,87.1408,0,5.35631,3.21885,43.7083,66.6617,40.9194,273.478,27.0157,39.957,2.87201,38.011,2.00785,232.744,0,21.5104,2.96143,277.398,194.587,11.2157,0.00437164,0.371294,9.01689,2.94776,10.9564,5.5739,42.2754,0,1.30227,2.54896,0.0244575,31.3852,
358,147.015,271.94,607.627,0.540614,18.5706,5.48515,4.70461,36.5174,3.35132,21.1142,6.12495,84.4601,0,7.89096,2.96445,5.49227,75.2642,41.2604,47.3324,22.7809,14.8095,1.59211,38.7602,3.05912,228.325,0,33.7826,1.67741,48.1591,258.031,11.2361,0.00443005,0.371294,13.0046,2.94776,14.0415,4.96046,42.3252,0,1.30227,2.54896,0.0244575,31.3852,
359,147.014,514.184,1567.61,0.285918,21.302,93.293,4.64432,45.6932,3.44606,18.3241,6.24801,126.622,0,3.96356,3.09762,93.6421,93.9083,44.652,471.818,19.2268,79.0339,2.24588,17.5057,2.66378,356.712,0,13.1782,2.39924,459.897,254.209,11.2314,0.00441918,0.371294,7.15925,2.04381,14.0418,5.5739,42.3252,0,1.30249,2.19339,0.0244575,31.3852,
360,147.014,358.347,1065.35,0.410257,15.5735,43.5962,4.33234,35.0968,3.17664,18.3557,6.36322,77.5865,0,6.30365,2.79045,43.6531,101.519,19.5767,292.118,32.3421,17.8886,0.850451,28.4903,3.65502,180.311,0,22.5699,0.963841,295.287,327.656,11.2314,0.00441918,0.371294,6.76194,2.92403,14.1206,5.57379,42.3317,0,1.30223,2.52491,0.0244575,31.3845,
361,147.014,399.688,1074.85,0.367822,21.5874,60.9943,3.3216,34.4373,3.37237,27.8998,6.06498,83.4925,0,9.81857,2.98812,61.1798,84.5316,45.3516,294.958,14.4977,6.46771,1.56666,62.1501,2.4688,175.51,0,36.5703,1.64009,293.931,251.821,11.2139,0.00432514,0.371294,11.248,2.92403,14.1206,5.57379,42.3317,0,1.30123,2.52491,0.0244575,31.3845,
362,147.014,488.903,1506.91,0.300702,19.2878,98.2447,4.56426,33.8949,3.1987,29.9816,6.03721,95.8733,0,7.55716,2.81822,98.8386,88.6065,40.7044,496.94,24.6802,5.26221,0.867774,67.2603,2.81453,239.311,0,33.833,0.977667,500.96,275.442,11.2139,0.00432514,0.371294,8.71952,2.88471,14.0397,3.78314,42.3544,0,1.30123,2.485,0.0244575,31.3845,
363,147.013,342.178,966.484,0.429639,17.8056,44.9966,6.44246,40.2877,3.54747,21.1162,6.00121,85.0744,0,4.49153,3.17714,45.1147,64.1227,31.5449,310.573,39.6179,32.1991,2.89486,36.4582,2.06641,179.474,0,13.7108,3.01184,311.454,158.214,11.2065,0.00432514,0.364228,6.5247,2.81114,14.0424,2.36902,42.3544,0,1.30123,2.41046,0.0244575,31.3845,
364,147.005,240.425,559.718,0.611437,15.4912,6.73786,5.1849,41.1391,3.47993,18.1967,5.90567,81.5863,0,3.57081,3.10829,6.77718,49.2472,29.7674,73.6149,28.0178,44.9226,2.8277,30.7245,1.89546,250.56,0,17.6232,2.97357,72.7445,103.344,11.1694,0.00432514,0.379161,34.7115,2.88471,14.0428,5.57394,42.3544,0,1.30123,2.485,0.0247201,31.3832,
365,147.005,388.662,992.852,0.378233,22.5122,35.2711,8.0253,34.5425,3.77325,22.5,6.61012,94.309,0,7.54825,3.40055,35.3371,114.832,49.3683,218.164,37.3104,8.73156,3.85182,37.948,4.60666,243.848,0,26.732,3.99554,218.38,378.469,11.1475,0.00432514,0.379161,7.23112,2.88471,14.1264,5.57394,42.3544,0,1.30123,2.485,0.0249857,31.3845,
366,147.005,418.441,1251.9,0.351315,21.5106,60.158,5.58134,64.2977,3.34731,24.9883,6.19005,77.6302,0,6.57035,2.96035,60.3227,84.8841,48.1198,335.897,24.9874,280.63,1.64534,53.9383,2.67289,205.093,0,27.9523,1.67132,334.318,248.12,11.1475,0.00432514,0.351168,8.62852,2.88178,14.1264,5.57394,42.3607,0,1.30123,2.48195,0.0249857,31.3845,
367,146.986,448.437,1434.77,0.327774,22.1897,88.0955,1.91817,35.9911,3.16709,22.4651,5.9597,102.561,0,4.09124,2.78431,88.8088,70.4044,49.9086,499.005,7.95282,33.2905,0.727922,48.6666,2.33608,298.62,0,21.9991,0.816686,503.396,190.395,11.1475,0.00432514,0.378575,8.09593,2.88471,14.1264,4.91435,42.3607,0,1.30123,2.485,0.0249857,31.3845,
368,146.986,347.872,1009.6,0.422528,18.5745,50.1228,3.5522,43.2355,3.175,22.2439,5.83706,86.2731,0,4.12261,2.78365,50.4293,57.5226,33.7965,363.851,21.1735,60.6205,0.905599,43.9694,1.5785,233.828,0,16.6989,0.953238,367.184,128.419,11.1475,0.00432514,0.378575,10.5309,2.88471,14.1283,1.83841,42.3607,0,1.30092,2.485,0.0249857,31.3863,
369,146.96,330.045,850.464,0.445272,17.5813,32.5097,3.94516,45.2235,3.29741,19.9653,6.099,86.8179,0,6.34793,2.91469,32.5534,72.7894,27.0662,209.907,17.6416,76.2291,1.44297,41.5485,2.6598,223.303,0,28.9891,1.52018,209.752,227.104,11.1475,0.00432514,0.378575,10.8759,2.88471,14.1283,5.57394,42.3857,0,1.30092,2.485,0.0249857,31.3863,
370,146.96,420.156,1226.14,0.349774,19.1739,71.1759,11.2836,39.964,3.37972,26.2987,6.11394,81.8281,0,7.5983,3.02829,71.6848,78.6266,33.153,426.5,52.8156,41.7008,1.54166,56.3435,2.34476,180.709,0,27.9395,1.7047,429.669,194.13,11.1556,0.00432514,0.365323,2.87929,2.88471,14.1283,5.57394,42.3774,0,1.30092,2.485,0.0249857,31.3863,
371,146.96,361.976,873.17,0.405992,21.1754,18.6881,7.31687,60.3196,3.31963,24.7312,6.02895,124.865,0,5.61956,2.9404,18.7052,68.2666,42.9472,145.064,33.8031,178.25,1.4711,54.2695,2.75661,354.971,0,25.7191,1.60533,141.74,216.065,11.1556,0.00432514,0.357649,11.4557,2.88471,14.0426,3.57633,42.3774,0,1.29982,2.485,0.0249857,31.3863,
372,146.96,363.195,1175.04,0.40463,16.9936,66.503,4.88497,36.9828,3.42786,22.3466,5.75693,79.2047,0,4.55201,3.05203,67.1305,52.3599,28.7448,451.047,29.7041,32.539,2.58025,46.1551,1.088,175.44,0,19.3001,2.69224,455.255,101.375,11.1298,0.00432514,0.361885,15.9834,2.88471,14.0416,5.57394,42.3774,0,1.29982,2.485,0.0249857,31.3863,
373,146.96,321.511,768.72,0.45709,15.9081,44.0621,4.34112,41.9614,3.32242,18.925,5.8073,84.6601,0,3.2654,2.95027,44.1082,52.2,25.6203,255.693,24.441,49.2142,1.59233,24.7587,1.56639,178.447,0,8.71811,1.7316,255.918,91.7671,11.1298,0.00443491,0.361885,2.29431,2.88471,14.1283,2.57507,42.3774,0,1.29982,2.485,0.0260503,31.3866,
374,146.949,630.823,1829.83,0.232949,29.6436,141.749,10.0562,33.3902,3.48013,28.663,6.14385,124.879,0,7.14462,3.12538,142.413,100.135,70.5678,567.006,46.91,10.115,1.89385,60.8534,2.99968,354.641,0,26.9486,2.06145,566.079,290.89,11.1298,0.00443491,0.361885,6.71068,2.98469,14.1281,3.91179,42.3774,0,1.2995,2.58649,0.0252424,31.3857,
