Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.half_track_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.half_track_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.half_track_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,46.6885,145.938,47.1431,0.319919,1.1955,114.031,1.03239,3.80743,2.43611,21.6001,1.13595,0.700184,1.35207,122.033,0.588283,3.48884,3.06728,31.1836,1.41517,0.797255,0.105317,21.5065,0.0305215,0.512476,0.110604,2.09275,0.0197604,0.105988,
1,46.6885,117.387,29.5025,0.39773,0.844433,86.4881,1.03409,2.86846,1.43616,21.0104,3.00513,0.700481,0.583095,37.3154,0.538327,1.05777,1.43241,11.9615,6.09728,0.379313,0.105317,28.9949,0.0305215,0.849214,0.102807,2.09275,0.0197604,0.189593,
2,46.6885,130.528,152.039,0.35769,0.865407,77.4776,1.00792,2.56929,1.58773,41.3834,4.84259,0.793942,0.455298,31.8374,0.628203,1.1039,1.17958,158.71,7.29941,0.458779,0.105317,27.3441,0.0305215,0.737319,0.110604,2.09275,0.0259696,0.189593,
3,46.6885,101.266,43.1793,0.46105,0.735418,66.8565,1.04359,2.13784,2.07509,24.1816,3.45612,0.77943,0.445968,36.8069,0.695662,1.11479,1.84648,25.6603,4.50186,0.410236,0.105317,25.0676,0.0305215,0.705883,0.110604,2.09275,0.0259696,0.135309,
4,37.0068,1821.16,12153.3,0.0203205,0.723425,54.4769,1.1209,1.76066,1.84289,1756.2,4.31619,0.71884,0.367367,20.0789,0.745958,0.732014,1.53108,12272,8.10634,0.355901,0.105317,24.7269,0.0305215,0.685218,0.057405,0.403712,0.0259696,0.214235,
5,37.0068,71.1527,22.8378,0.520104,0.673976,46.4608,0.917788,1.49031,1.56259,17.4192,1.90919,0.718859,0.303466,21.4103,0.661095,0.701387,1.27581,1721.43,4.16917,0.409528,0.343646,21.7688,0.0633945,0.532695,0.144283,0.195464,0.52351,0.214235,
6,37.0068,85.5755,54.9514,0.432446,0.849238,55.2827,1.04271,1.7855,1.55145,21.4691,2.90315,0.69161,0.681817,44.4152,0.726987,1.48123,1.47835,31.7821,5.46251,0.447646,0.361005,16.8164,0.0633945,0.535758,0.0344099,0.195464,0.437788,0.214235,
7,37.0068,66.6615,30.8528,0.555145,0.676706,45.8237,0.913278,1.47011,1.14221,13.9375,2.08931,0.608602,0.417317,23.7905,0.724531,0.819583,1.01316,16.8882,3.64019,0.438909,0.369731,24.2069,0.0315432,0.588396,0.131898,0.195464,0.528436,0.166187,
8,32.1642,65.8633,33.4772,0.488348,0.727356,45.2824,0.82701,1.46578,1.23647,12.8432,2.78298,0.698006,0.386236,24.3876,0.642338,0.856282,1.29263,13.6846,5.71678,0.456641,0.344014,18.4845,0.0315432,0.505574,0.0631139,0.195464,0.500526,0.219935,
9,32.1642,81.9182,114.057,0.392638,0.793713,46.2076,0.934556,1.49181,1.30075,27.4482,3.06325,0.678314,0.500766,32.8232,0.732026,1.11977,1.14516,111.71,5.18464,0.462337,0.207231,20.196,0.0315432,0.558501,0.0163841,0.065094,0.587661,0.240732,
10,32.1642,63.5494,45.0166,0.506129,0.784433,39.0808,0.735129,1.24348,1.42175,16.9205,2.71525,0.648032,0.29013,26.4928,0.666795,0.910341,1.22982,35.7101,3.76783,0.496292,0.410092,15.6383,0.0315432,0.478983,0.114271,0.065094,0.637208,0.265841,
11,32.1642,67.6373,59.5299,0.475539,0.859733,42.0777,0.635604,1.33899,1.14554,17.9018,3.04077,0.637186,0.42434,37.0931,0.543273,1.25908,0.920489,43.7478,5.01549,0.396756,0.410092,17.6098,0.0192456,0.51116,0.0694462,0.065094,0.637208,0.0707191,
12,32.1642,129.592,519.973,0.248195,0.798268,40.3254,0.707648,1.21425,1.23374,79.7128,4.94432,0.65565,0.355729,30.6395,0.602807,0.93102,0.986208,492.405,10.0326,0.371127,0.303006,19.4885,0.0108111,0.511581,0.0658882,0.065094,0.637208,0.264414,
13,32.1642,71.0814,64.6044,0.452498,0.806108,46.2946,0.74339,1.46507,1.50151,14.1135,5.44452,0.712724,0.404037,43.4562,0.674382,1.50452,1.47362,70.9191,8.40313,0.41817,0.275498,19.4885,0.0108111,0.511581,0.0427579,0.065094,0.80835,0.264414,
14,28.8444,58.5828,50.5288,0.492369,0.778326,38.1955,0.591878,1.2122,0.969528,12.2402,3.96248,0.63259,0.345503,31.7042,0.569807,1.03848,0.959976,33.984,6.97929,0.425899,0.342777,19.4885,0.00802575,0.511581,0.0427579,0.065094,0.80835,0.222653,
15,28.8444,69.5313,87.9108,0.41484,0.792056,36.803,0.557917,1.16168,0.863736,25.7718,3.00731,0.573763,0.365488,34.2775,0.612669,1.19997,0.781448,81.8755,5.2441,0.363002,0.425119,15.2521,0.0192456,0.378515,0.0478278,0.065094,0.641117,0.265841,
16,28.8444,48.9865,40.2061,0.588823,0.914359,34.3823,0.590356,1.07858,0.81271,8.38742,2.35913,0.461668,0.539439,31.2215,0.557501,1.05613,0.762265,20.418,2.55018,0.254359,0.433645,19.4885,0.0192456,0.511581,0.0111471,0.323965,0.641117,0.244031,
17,27.0002,53.7557,45.5396,0.502276,0.781016,35.2048,0.699785,1.09921,1.11422,10.6136,3.71235,0.530685,0.293831,30.9944,0.668129,1.06415,1.45993,19.4352,6.31437,0.365499,0.391731,19.3966,0.0192456,0.511581,0.0111471,0.323965,0.641117,0.0764895,
18,26.6909,60.2144,55.8652,0.443265,0.87855,41.2146,0.797988,1.3072,1.00797,10.4053,3.97402,0.628742,0.536529,38.1712,0.696932,1.37263,1.26117,22.5812,5.58123,0.461416,0.300635,19.4885,0.0192456,0.511581,0.0111471,0.26823,0.641117,0.257365,
19,26.6909,49.9863,43.8855,0.533965,0.75403,35.4293,0.686668,1.10494,0.942051,7.54439,3.01309,0.51186,0.310475,34.0303,0.615068,1.18408,1.24672,13.4307,4.42683,0.29237,0.333274,18.171,0.0192456,0.550282,0.0111471,0.26823,0.641117,0.265841,
20,26.6909,54.3391,47.8983,0.491192,0.76686,38.1115,0.806963,1.2159,1.0356,6.89781,4.93333,0.571103,0.379672,32.6468,0.650051,1.13367,1.29332,8.90018,8.06607,0.363864,0.371524,19.2423,0.00868661,0.494077,0.0111471,0.26823,0.641117,0.265841,
21,26.6909,60.0101,68.201,0.444774,0.863969,39.1525,0.710916,1.14215,0.783634,13.6152,3.19641,0.545282,0.640058,45.4743,0.596879,1.30167,0.910132,30.6437,5.70271,0.341275,0.371524,16.869,0.0535514,0.471123,0.00832216,0.26823,0.573576,0.265145,
22,26.6909,66.3184,142.429,0.402467,0.796858,36.7732,0.657546,1.06954,0.832026,21.6838,3.99046,0.514928,0.637623,41.8201,0.51655,1.32942,1.05116,112.935,9.55225,0.245826,0.36442,18.5676,0.0532127,0.471439,0.00832216,0.228045,0.505585,0.265145,
23,26.6909,53.6074,54.5349,0.497897,0.817734,39.6566,0.606684,1.25664,0.691895,6.21042,3.71029,0.657051,0.377606,44.1903,0.568538,1.5357,0.806008,19.8983,7.01378,0.450482,0.371524,18.7247,0.053116,0.463124,0.00832216,0.228045,0.169812,0.265841,
24,26.6909,73.4341,79.0751,0.363468,0.873891,54.1954,0.74477,1.67527,1.24936,8.90294,5.19862,0.593914,0.499982,60.2253,0.681156,1.81247,1.68386,17.5928,7.48853,0.309534,0.311181,19.7032,0.0129217,0.540345,0.00832216,0.228045,0.573576,0.275555,
25,26.6909,55.3476,55.0471,0.482242,0.874097,39.4509,0.659111,1.24324,0.846472,6.92181,4.7921,0.559801,0.517702,40.7428,0.617439,1.45316,1.15227,12.2424,8.55122,0.320752,0.371524,21.1059,0.0215808,0.593448,0.00832216,0.228045,0.573576,0.270246,
26,26.6909,48.6592,49.6072,0.548528,0.782211,36.3361,0.649021,1.12957,0.706041,5.3564,3.1811,0.518755,0.254061,40.8573,0.657363,1.42513,0.905814,8.75468,5.85456,0.237996,0.404819,18.4972,0.00406789,0.481595,0.00832216,0.228045,0.573576,0.275555,
27,26.6909,51.1022,47.6816,0.522305,0.752909,35.8102,0.64198,1.12059,0.904192,7.29731,3.97383,0.601255,0.358544,33.3924,0.691717,1.17378,1.22111,15.3522,7.09711,0.355424,0.313655,19.1588,0.0113978,0.510162,0.00832216,0.228045,0.573576,0.275555,
28,26.6909,68.1928,86.2824,0.391404,0.872213,45.131,0.69076,1.41831,1.37415,14.2964,3.77111,0.638899,0.53433,46.5645,0.667991,1.61596,2.04899,61.1823,7.1096,0.418847,0.419527,21.1059,0.0113978,0.593448,0.00832216,0.228045,0.573576,0.273009,
29,26.6909,53.1152,52.0241,0.502511,0.808009,38.0896,0.741908,1.19256,0.8842,7.75088,3.04517,0.602781,0.490827,37.6661,0.747547,1.31741,1.24545,15.9673,6.11605,0.358616,0.414156,21.4299,0.0113978,0.588306,0.00832216,0.228045,0.573576,0.275555,
