Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
148,28.2773,69.4914,177.765,0.406918,25.4795,0.38968,19.9384,13.2778,4.39977,0.35356,0.509083,0.167788,4.97586,122.154,0.627652,9.12922,44.4018,11.979,1.43457,2.43058,0.0557718,0.658919,0.00517809,0.244461,16.6212,3.30962,1.38227,0.000649059,3.03419e-05,0.156342,1.83003,
149,28.2769,50.7178,108.598,0.557533,11.1933,0.472805,18.9379,9.45411,4.80178,0.432479,0.224133,0.170933,5.03039,76.6822,0.98464,5.58909,25.951,13.6596,1.73488,1.52281,0.0742095,0.551759,0.00517809,0.244495,12.3294,3.30943,1.38227,0.000649059,3.18457e-05,0.156341,4.02792,
150,28.2749,54.6297,123.993,0.517575,12.2994,0.305192,18.5151,12.5632,4.97304,0.550415,0.245864,0.167177,5.01031,81.2783,0.330573,3.61297,44.9738,14.3094,2.30482,1.62432,0.0502076,0.26744,0.00517809,0.244514,12.2642,3.30849,1.3824,0.000634487,3.75114e-05,0.156343,4.94327,
151,28.2749,106.474,383.831,0.265558,33.2865,0.467293,54.3287,9.41652,2.87369,0.314823,0.652566,0.166557,4.96704,231.056,1.1034,255.789,34.0934,8.63553,1.61305,4.57731,0.0585529,0.356369,0.00517809,0.244514,14.3763,3.30849,1.38229,0.000649059,3.75114e-05,0.156343,3.8495,
152,28.2749,99.8848,292.901,0.283076,34.9489,0.607071,19.067,31.6055,7.11463,0.659644,0.683634,0.172689,5.02568,233.068,1.13721,35.5127,94.2492,17.8819,2.03516,4.55673,0.0732912,0.656401,0.00517809,0.244521,13.7483,3.30849,1.38219,0.000648644,4.4302e-05,0.156343,2.40794,
153,28.2749,178.63,414.829,0.158288,110.439,0.557082,24.0114,26.2646,8.65283,1.3103,2.19262,0.162345,5.03952,335.77,1.0566,46.1471,75.0478,18.4563,3.27763,6.6567,0.0670383,1.123,0.00517809,0.244501,9.61251,3.30849,1.38219,0.000648644,4.4302e-05,0.0160696,2.41027,
154,28.2749,156.11,427.335,0.181122,106.549,0.492589,18.4478,15.81,6.82431,0.665276,2.10113,0.167658,5.05251,371.028,0.94454,6.97165,47.4569,16.6552,2.33732,7.30308,0.0767433,0.617039,0.00517809,0.244327,9.21787,3.30849,1.38201,0.000648644,3.69144e-05,0.0465029,3.41286,
155,28.2749,39.2057,60.54,0.721194,0.887605,0.292422,18.0121,10.595,3.86031,0.343161,0.0176008,0.160635,5.03685,104.721,0.351373,1.17184,44.4175,12.1494,1.76808,2.08628,0.0231148,0.852431,0.00517809,0.244327,12.2904,3.30839,1.38201,0.00064824,3.69144e-05,0.156343,3.68837,
156,28.2745,48.3981,72.0081,0.584206,1.21105,0.470512,19.5927,15.361,5.77067,0.558776,0.0236324,0.19042,5.21938,4.51898,1.03765,6.56228,45.8821,14.9087,1.95185,0.0879958,0.128379,1.14341,0.00496208,0.244327,12.3018,3.30839,1.382,0.00064824,3.08048e-05,0.156342,4.94323,
157,28.2745,115.852,294.229,0.244057,62.8392,0.562175,17.7263,19.7294,7.75641,0.787091,1.25282,0.157895,5.04062,229.501,1.0715,2.67591,72.758,19.3012,2.37337,4.56915,0.0384063,0.88888,0.00496208,0.244327,9.35113,3.30838,1.382,0.00064824,3.69144e-05,0.0342074,3.09015,
158,28.2744,98.3378,323.089,0.287523,53.4517,0.375211,18.8126,14.14,4.59754,0.655547,1.05154,0.166152,5.08748,267.914,0.833273,4.54257,53.1585,12.7331,2.6157,5.26634,0.0755155,0.579669,0.00496208,0.244327,10.904,3.30838,1.382,0.00064824,3.69144e-05,0.0277071,4.94322,
159,28.2744,59.9165,170,0.471897,21.014,0.370119,17.9296,10.9528,3.80126,0.39776,0.418893,0.16278,4.86932,147.01,0.807787,1.90666,48.3644,11.8791,1.94776,2.92702,0.0363594,0.433611,0.00496208,0.24445,6.62367,3.3083,1.382,0.00064824,3.71374e-05,0.156344,2.61087,
160,28.2743,82.0467,223.221,0.344612,32.5279,0.505068,17.8047,18.8322,6.05779,0.449295,0.647897,0.158781,5.06298,148.019,1.1705,1.48422,69.3143,15.8599,1.64807,2.94544,0.0275875,1.06234,0.00496208,0.24445,11.59,3.30798,1.38187,0.00064851,3.71374e-05,0.0397467,2.28914,
161,28.2738,57.2444,202.787,0.493914,19.9458,0.362146,18.0584,10.5684,2.59344,0.144772,0.396784,0.153781,5.02098,140.853,0.834642,1.25095,51.4861,9.1581,1.05368,2.78744,0.0186371,0.545304,0.00496208,0.244451,9.47483,3.30798,1.38169,0.000649397,3.71374e-05,0.0281323,4.94318,
162,28.2738,133.277,377.204,0.212143,78.1964,0.5522,22.7135,17.6581,6.69035,0.839083,1.5394,0.178033,4.91025,326.956,1.16001,23.7852,56.8619,16.5258,2.58822,6.59776,0.0853174,0.520535,0.00496208,0.244477,14.1565,3.30798,1.38169,0.000649251,3.59211e-05,0.156344,2.56292,
163,28.2738,62.1705,166.215,0.454779,21.0233,0.556156,20.5344,8.50146,5.23258,0.607458,0.419294,0.170141,5.1258,144.857,1.26254,19.1798,20.7614,13.7589,2.32994,3.08413,0.0673474,0.857582,0.00496208,0.244485,9.65129,3.30798,1.38169,0.000649251,4.14958e-05,0.124104,4.13275,
164,28.2738,70.208,265.64,0.402715,33.1237,0.320721,18.9306,8.20156,3.65274,0.191694,0.648847,0.168818,4.96929,230.816,0.443812,4.96025,24.4001,11.2381,0.959649,4.51826,0.0717511,0.20061,0.00496208,0.244496,18.2334,3.30796,1.38169,0.000649251,4.14958e-05,0.156344,4.94316,
165,28.2737,81.8704,277.21,0.345347,49.0877,0.439066,18.0207,5.11603,2.83824,0.281931,0.968825,0.157986,4.95993,252.561,1.10285,1.24857,9.36528,7.95571,1.40444,4.99885,0.0152493,0.343159,0.00506264,0.244496,10.4054,3.30786,1.38169,0.00064872,4.14958e-05,0.156344,3.69515,
166,28.2734,144.992,400.04,0.194999,97.5027,0.542205,18.0388,13.7525,7.20065,0.662687,1.92012,0.1613,5.21107,354.971,1.09258,2.01702,42.8706,18.0733,1.96536,7.0386,0.030442,1.04585,0.00506264,0.244521,9.15673,3.30786,1.38126,0.00064872,4.57536e-05,0.0769364,4.34954,
167,28.2732,210.606,500.112,0.134247,149.792,0.436587,17.4764,25.846,7.79257,0.983765,2.95979,0.156799,5.16248,421.048,0.647706,2.30493,73.1175,17.572,2.75887,8.30767,0.0425643,1.12947,0.00506264,0.24451,8.27399,3.30784,1.38119,0.000657498,3.99761e-05,0.0306114,2.05392,
168,28.2729,109.97,299.081,0.257097,68.1746,0.464499,21.1242,8.79483,4.09216,0.538706,1.35413,0.164989,5.26165,284.063,0.857227,23.5199,27.506,10.8334,1.94531,5.62073,0.0679952,1.25292,0.00499942,0.24451,8.62816,3.30776,1.3811,0.000657498,4.71061e-05,0.012718,4.94313,
169,28.2726,84.2121,256.406,0.335731,40.5749,0.34546,19.5455,12.3973,4.74524,0.56534,0.807645,0.162126,5.0685,198.955,0.58829,11.7075,53.8044,13.3581,2.29424,3.98334,0.0671511,1.09377,0.00499942,0.24448,9.26756,3.30773,1.3811,0.000657498,4.75754e-05,0.0273957,1.73922,
170,28.2722,125.143,392.268,0.22592,86.6018,0.39313,18.1168,7.57218,4.83962,0.548705,1.70296,0.159041,5.20857,347.487,0.842104,1.90414,22.5175,13.7148,2.18314,6.93401,0.0186921,1.26234,0.00499942,0.24448,9.26453,3.30768,1.38087,0.000666198,4.75754e-05,0.118178,4.94311,
171,28.2722,106.904,324.28,0.264465,69.9969,0.403965,18.3808,6.71683,4.78133,0.192285,1.38397,0.163945,4.88354,291.372,0.763189,2.16502,15.6866,13.5081,1.01204,5.74349,0.0480399,0.681056,0.00506238,0.244446,9.47403,3.30765,1.38087,0.000666198,3.96964e-05,0.105288,1.10522,
172,28.2722,149.681,423.826,0.188884,87.0004,0.521054,17.9657,29.136,7.25474,0.751333,1.70975,0.160745,5.18115,347.571,0.976215,1.73436,81.0294,17.8491,2.27016,6.82083,0.0316676,1.03191,0.00507056,0.244418,12.326,3.30762,1.38087,0.000666198,4.58841e-05,0.0274065,4.94309,
173,28.2722,85.1637,246.942,0.331975,38.7575,0.472717,18.2414,16.2779,4.90077,0.450791,0.772549,0.157804,5.13221,187.98,0.95576,2.7352,56.2419,13.9574,1.8432,3.79159,0.0288957,0.972506,0.00507056,0.244446,10.3237,3.30757,1.38087,0.000666198,4.99811e-05,0.0420494,4.94309,
174,28.2722,137.896,360.603,0.205026,74.3311,0.591693,29.1677,18.2679,7.77433,1.05186,1.47079,0.182882,5.05756,300.681,1.29186,66.6736,49.618,17.5315,2.91908,5.9448,0.116036,0.853998,0.00507056,0.244446,9.23053,3.30757,1.38087,0.000666198,4.99811e-05,0.0496396,2.40479,
175,28.2722,171.395,457.046,0.164954,127.185,0.488025,18.2933,11.1675,5.50755,0.842182,2.50235,0.165405,5.24349,419.05,1.02407,10.9625,33.2752,14.0015,2.68821,8.23781,0.039544,1.12948,0.00511479,0.244446,9.43525,3.30753,1.38087,0.000665796,4.94232e-05,0.110756,4.75776,
176,28.272,74.7906,207.429,0.378015,21.5685,0.419013,20.4287,20.4045,5.40049,0.754153,0.428674,0.166886,5.21969,176.864,0.723926,18.1078,66.6254,14.437,2.60693,3.48243,0.0672298,1.10765,0.00510515,0.244446,11.0526,3.30752,1.38087,0.000668357,4.8188e-05,0.0352046,4.94307,
177,28.2719,113.587,300,0.2489,65.5568,0.596021,20.7929,14.5428,4.85445,0.727293,1.30693,0.159406,5.05083,234.62,1.37451,20.9847,67.0024,13.3124,2.52758,4.67831,0.0576109,0.846839,0.00510515,0.244463,9.24488,3.30741,1.38087,0.000668357,4.72043e-05,0.0345179,3.07261,
178,28.2719,98.4309,312.249,0.287226,56.6239,0.406315,21.0952,8.84561,4.64519,0.535838,1.11555,0.171749,4.99155,280.383,0.878184,21.6511,24.8112,12.9557,2.25803,5.50715,0.0707833,0.351422,0.00505715,0.244479,2.69355,3.30741,1.38087,0.000667894,4.72043e-05,0.156345,4.44863,
179,28.2718,96.4758,299.585,0.293045,52.4275,0.576387,19.7989,11.6894,4.98174,0.75805,1.03455,0.183424,5.02583,264.11,1.41208,9.20042,29.7059,13.3327,2.57363,5.19937,0.104846,0.494152,0.00505715,0.244479,7.87593,3.30741,1.3807,0.000669629,4.54214e-05,0.156345,4.18051,
180,28.2717,132.758,418.555,0.212956,86.6814,0.42724,18.1867,15.466,4.80553,0.344167,1.70381,0.159418,4.98397,353.166,0.839984,2.08351,50.1842,13.5552,1.47321,6.93289,0.0389533,0.604092,0.00502722,0.244479,10.4298,3.30736,1.38085,0.000669529,4.8188e-05,0.0434886,2.42883,
181,28.2717,198.61,1010.85,0.142347,21.4884,0.344378,154.416,11.759,4.41209,0.472038,0.428055,0.172011,5.11872,158.03,0.476927,960.471,41.8762,12.0093,1.96691,3.14035,0.0923512,0.941633,0.00502722,0.244479,8.53988,3.30736,1.38084,0.000669529,4.8188e-05,0.0254719,4.94302,
182,28.2716,81.4175,283.11,0.347243,46.162,0.390265,18.0281,6.94774,3.40222,0.337386,0.910304,0.1579,5.08161,247.499,0.793599,135.025,21.5696,10.0384,1.67947,4.86491,0.0163787,0.874609,0.00502722,0.244479,11.4654,3.30735,1.38078,0.000669529,4.8188e-05,0.156345,4.94302,
183,28.2714,85.2546,227.206,0.331611,44.1993,0.415924,17.6708,10.7349,5.25812,0.758467,0.881734,0.158425,5.17701,201.678,0.799392,2.02533,43.3421,14.8129,2.58623,4.02288,0.0206978,1.01471,0.00498736,0.244459,9.23782,3.30731,1.38075,0.000644488,4.62767e-05,0.109723,4.94302,
184,28.2714,110.297,293.573,0.256321,52.4321,0.481121,21.0867,24.1243,5.28498,0.621333,1.04487,0.166046,5.05515,191.963,1.1746,18.8213,75.8732,13.5133,2.16237,3.84717,0.0654371,0.857422,0.00489229,0.244459,13.0465,3.30725,1.38075,0.000667073,4.19926e-05,0.0289469,2.50801,
185,28.2713,102.255,300.434,0.276479,54.5186,0.441667,20.2691,13.9368,6.07699,0.765184,1.07394,0.178471,4.99385,271.221,0.739467,10.863,50.9243,14.9219,2.44827,5.33196,0.0980698,0.637287,0.00489229,0.244459,9.26746,3.30725,1.38075,0.000668017,4.49439e-05,0.109642,2.66213,
186,28.2713,55.9088,146.248,0.505668,21.5525,0.399373,18.0807,6.71013,3.2035,0.249009,0.43037,0.16337,5.11981,123.462,0.842084,2.35407,17.4971,9.89971,1.21706,2.43086,0.0415685,0.92991,0.00489229,0.244459,12.2214,3.30725,1.38072,0.000644264,4.40034e-05,0.156345,4.94301,
187,28.2713,68.6933,179.044,0.411558,2.19247,0.611067,34.9404,20.853,4.38747,0.555275,0.0439795,0.167388,4.94231,18.7682,1.46718,119.172,73.3712,12.2229,2.19954,0.374971,0.0591609,0.375024,0.00489229,0.244459,14.7299,3.30725,1.38072,0.000664925,4.63252e-05,0.156345,3.14029,
188,28.2712,95.8669,285.726,0.294901,52.1393,0.623832,19.2405,11.2696,5.76933,0.600447,1.03016,0.171498,5.02221,252.321,1.36716,16.8931,30.0861,14.9701,2.08982,4.96381,0.075357,0.482037,0.00489229,0.244459,15.311,3.3072,1.38068,0.000666972,4.67225e-05,0.15277,4.38927,
189,28.2711,194.655,462.521,0.145237,136.624,0.666507,17.2878,23.8734,7.5155,0.964403,2.71015,0.154956,4.85801,392.072,1.26497,3.04686,64.0939,17.4033,2.69355,7.77628,0.0321287,0.789202,0.00489229,0.244336,3.21742,3.30718,1.38068,0.000664865,4.65654e-05,0.057241,1.86427,
190,28.271,69.6213,251.851,0.406068,32.9834,0.275299,20.6763,6.90401,2.58059,0.438195,0.647214,0.166944,4.94934,228.906,0.43506,17.937,24.4112,9.19751,2.23534,4.91452,0.061977,0.100801,0.00489229,0.24424,14.6833,3.30718,1.38065,0.000664865,4.47989e-05,0.156345,4.94158,
191,28.271,120.414,328.988,0.234782,73.259,0.544513,20.9629,12.9722,5.49013,0.683084,1.45769,0.162112,4.88228,275.073,1.30564,23.8296,41.4104,15.0542,2.41139,5.47085,0.0643916,0.515075,0.00491285,0.24424,4.03889,3.30713,1.38062,0.000664848,4.35794e-05,0.0463072,2.32502,
192,28.2709,58.416,138.213,0.483959,20.0284,0.392237,19.4274,8.17429,4.22553,0.479613,0.4005,0.168659,5.11935,104.471,0.720623,10.3144,26.8467,11.725,1.98798,2.30736,0.0663311,1.03302,0.00490047,0.24424,11.5051,3.30713,1.38058,0.000664848,4.35794e-05,0.156345,4.04071,
193,28.2707,132.218,380.302,0.213819,75.7524,0.485141,24.4143,18.3074,5.87699,0.62947,1.48668,0.182672,5.08293,324.511,0.819564,28.7122,53.3255,13.9457,2.0541,6.5231,0.0929968,0.6792,0.00488792,0.244135,18.2334,3.30713,1.38053,0.000664848,3.25034e-05,0.156345,4.03101,
194,28.2707,180.029,463.981,0.157034,126.588,0.37906,17.7552,20.0412,7.06417,0.80595,2.49935,0.155454,4.74068,395.39,0.47441,6.92691,62.9866,17.1291,2.48236,7.80794,0.0421432,0.855673,0.00488792,0.24413,9.29078,3.30713,1.38045,0.000665998,4.35794e-05,0.0309941,0.865448,
195,28.2706,111.008,316.788,0.254671,67.2311,0.459257,18.4987,11.8084,5.83299,0.556221,1.32921,0.175031,5.11755,285.411,0.950695,2.93959,36.4339,15.2428,2.02097,5.62482,0.088275,0.77785,0.00488792,0.244095,11.0512,3.30704,1.38031,0.000664736,4.58308e-05,0.151832,4.94297,
196,28.2706,56.0905,158.056,0.504017,20.7989,0.506859,17.8226,5.57369,5.3217,0.426569,0.414759,0.160846,5.06454,151.012,1.10488,1.79414,12.1122,15.6073,1.75696,2.99941,0.0295052,0.494958,0.00488533,0.244095,9.42033,3.30716,1.38031,0.000663739,3.77534e-05,0.108815,4.94301,
197,28.2705,106.295,275.832,0.265961,51.8906,0.435536,17.7243,23.2409,6.33076,0.472253,1.03512,0.151802,5.01416,191.064,0.905706,1.76873,79.5942,16.8478,1.61442,3.79651,0.020886,0.83065,0.00488533,0.244095,10.1294,3.30714,1.38031,0.000661297,3.77534e-05,0.033912,1.02586,
198,28.2704,50.6558,156.694,0.558088,20.2893,0.293825,18.0605,3.66533,2.58887,0.136737,0.404669,0.155553,5.06099,144.362,0.373362,1.25467,15.1236,9.22437,0.976991,2.89851,0.00666322,0.82682,0.00488533,0.244095,9.58562,3.30714,1.38018,0.000661297,3.77534e-05,0.116751,4.94303,
199,28.2703,57.4418,204.191,0.492156,20.0795,0.401707,18.1148,10.6486,2.58309,0.171794,0.398597,0.153783,4.88989,140.515,1.10689,0.832307,51.3576,8.41905,1.19786,2.78969,0.0180276,0.40943,0.00487558,0.244095,12.2997,3.30714,1.38018,0.000649689,3.77534e-05,0.0282225,2.28405,
200,28.2702,79.9342,191.947,0.353668,26.311,0.517323,28.6919,13.2204,4.84779,0.611506,0.526492,0.169961,5.03789,114.902,1.0567,74.1517,34.9785,13.2477,2.11212,2.29924,0.0644864,0.888013,0.00487558,0.244048,12.3575,3.30714,1.38008,0.000658185,3.77534e-05,0.156345,2.2674,
