Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
90,28.4337,63.307,207.154,0.449141,20.2688,0.383912,18.5888,14.3015,3.75589,0.425271,0.40224,0.164111,5.01642,143.294,0.798742,3.43186,57.2958,11.438,2.02758,2.84593,0.0750688,0.488581,0.00172823,0.171425,12.3447,3.32957,1.44008,0.00118792,3.98787e-05,0.0286853,4.83533,
91,28.4336,71.5025,185.625,0.397658,26.6204,0.406792,17.8533,16.8689,3.548,0.47197,0.531255,0.157387,5.04451,147.666,0.855173,1.56755,62.5745,9.77998,1.98054,2.94364,0.0139232,0.630886,0.00172823,0.231922,9.29495,3.32957,1.44008,0.00154451,3.98787e-05,0.129002,3.87033,
92,28.4048,51.2096,159.107,0.554678,20.3889,0.340231,18.048,4.15909,2.59054,0.160428,0.406795,0.155654,4.95987,142.31,0.599821,1.31115,13.7598,7.9124,1.03308,2.84488,0.00491957,0.107326,0.00172823,0.247516,8.9659,3.32957,1.44008,0.000677569,3.81139e-05,0.123416,4.94075,
93,28.4048,125.054,343.455,0.22714,66.9445,0.622958,18.8785,24.8916,6.51978,0.772932,1.32185,0.164886,4.9371,283.601,1.35343,5.94929,78.4384,16.3188,2.52497,5.57982,0.0750321,0.348101,0.00172823,0.245414,12.1392,3.33701,1.44008,0.000677569,3.81139e-05,0.0295222,3.93184,
94,28.4007,85.6348,278.232,0.331648,33.9751,0.498202,25.199,13.6429,5.93282,0.425007,0.665162,0.179067,5.11759,235.113,1.02039,36.205,39.4899,15.3446,1.59629,4.60291,0.0891712,0.689547,0.00172823,0.238819,12.4245,3.3347,1.43172,0.000677569,3.81139e-05,0.156239,4.94383,
95,28.4007,160.625,426.246,0.176814,107.358,0.535257,17.9741,19.305,7.34344,0.6658,2.11724,0.154486,5.1707,351.554,1.00638,7.32295,58.5254,17.7179,2.28928,7.23794,0.0374162,0.974908,0.00172823,0.238819,10.155,3.33701,1.43172,0.000677569,3.81139e-05,0.0511246,3.01639,
96,28.4007,99.9299,242.119,0.284206,53.7949,0.392114,17.8526,14.0799,6.88625,0.6228,1.07447,0.165143,5.06167,211.476,0.489044,1.8112,46.2228,16.6409,2.03941,4.21604,0.049768,0.502697,0.00162176,0.238819,9.3845,3.33044,1.43172,0.000677569,2.83499e-05,0.109583,4.7177,
97,28.4004,102.436,293.761,0.27725,58.3537,0.414482,17.7794,13.9195,5.19087,0.563459,1.16338,0.150588,4.90062,231.539,0.816119,1.80889,50.0973,14.8631,2.23185,4.61102,0.0265045,0.435306,0.00162176,0.233681,9.35906,3.33701,1.42645,0.000677569,2.83499e-05,0.0345052,3.03223,
98,28.4004,106.044,301.897,0.267818,54.1368,0.515901,20.8525,16.7177,6.94305,0.588197,1.0669,0.169989,5.05246,267.029,1.04874,20.7558,59.9781,16.4765,2.05743,5.25364,0.0691961,0.834283,0.00162176,0.0802236,9.58531,3.33868,1.42645,0.00077401,2.83499e-05,0.103185,2.928,
99,28.4004,101.119,292.072,0.280861,56.8559,0.50028,18.1881,14.0392,4.87811,0.441168,1.13259,0.159547,4.92407,225.839,1.09388,3.53842,57.1297,13.5874,1.74317,4.50619,0.0499545,0.467022,0.00162176,0.238819,8.87455,3.33868,1.42645,0.00101808,2.83499e-05,0.0278605,2.00463,
100,28.4004,76.9492,265.324,0.369079,32.9936,0.344981,23.3519,9.28958,4.62524,0.468759,0.646836,0.175934,5.05243,229.926,0.500318,28.8174,27.3939,12.6079,1.97228,4.51088,0.0911901,0.967864,0.00162176,0.238819,15.8477,3.33868,1.42645,0.000758698,2.83499e-05,0.156258,1.90601,
101,28.3925,92.2149,242.848,0.307894,34.4212,0.560889,22.1542,22.2371,6.20025,0.832257,0.685749,0.163683,4.9597,166.819,1.22902,29.8266,76.8972,16.2202,2.83106,3.32174,0.0646854,0.46843,0.00162176,0.238819,10.6142,3.34217,1.42254,0.000706356,2.83499e-05,0.034395,2.65471,
102,28.3737,116.636,355.354,0.243268,73.4354,0.42718,17.8489,12.6521,5.00449,0.593676,1.45282,0.155141,5.06617,301.946,1.10791,4.60652,51.9687,14.312,2.42838,5.96301,0.0243659,0.563693,0.00395332,0.238819,9.50097,3.33946,1.4268,0.000706356,4.02634e-05,0.0321943,4.94712,
103,28.3737,44.8886,84.4412,0.632092,0.629061,0.399194,25.59,9.38193,3.46832,0.274624,0.0124014,0.17376,4.95933,72.8747,0.754032,39.1094,31.3098,10.0713,1.35443,1.42708,0.0875029,0.26568,0.00373203,0.240122,18.2293,3.33282,1.42094,0.000697289,4.02634e-05,0.156267,4.01157,
104,28.3737,66.3197,168.915,0.427833,18.2607,0.34427,17.9052,18.6864,5.15925,0.447581,0.364909,0.156676,4.99475,117.746,0.47552,7.72869,62.9436,14.835,1.91876,2.38733,0.0302799,0.421791,0.00373203,0.240122,11.3988,3.33282,1.42094,0.000645462,4.02634e-05,0.017572,3.81722,
105,28.3717,137.496,396.318,0.206345,87.4948,0.649461,17.8517,16.3813,7.28535,0.771065,1.72292,0.163899,5.17571,356.992,1.37722,1.51996,55.444,17.635,2.36796,6.94454,0.0315132,0.868422,0.00373203,0.240122,9.55089,3.33231,1.42222,0.000697289,2.06039e-05,0.116407,4.94635,
106,28.3567,65.2689,258.11,0.434459,33.3162,0.382309,18.3716,4.61248,2.60475,0.187703,0.651352,0.158549,4.98388,239.031,0.964383,1.09709,9.74098,9.39572,1.39976,4.67636,0.0164729,0.310551,0.00373203,0.236542,18.2309,3.32861,1.41094,0.000697289,2.06039e-05,0.156303,4.94573,
107,28.3567,55.9306,117.194,0.506998,7.33494,0.328402,23.3249,14.8149,4.25997,0.589032,0.146344,0.17412,4.95798,56.7325,0.449601,26.0096,48.8826,11.3855,2.37882,1.06726,0.0874442,0.249435,0.00373203,0.241265,13.1257,3.32861,1.40737,0.000697289,2.06039e-05,0.156266,3.69959,
108,28.3567,158.188,639.344,0.179259,29.2909,0.430512,99.276,17.4847,5.47984,0.477749,0.58377,0.176256,4.9882,152.857,0.643675,564.743,52.882,13.8676,1.65666,3.045,0.093667,1.03474,0.00169915,0.239666,10.2085,3.32861,1.40737,0.000675087,2.06039e-05,0.0554905,1.9021,
109,28.3567,103.399,354.506,0.274245,66.0401,0.383865,18.014,7.59348,4.34482,0.430995,1.29547,0.162411,5.13421,322.3,0.791254,80.4091,21.0186,12.4795,1.96284,6.30075,0.0291704,0.951189,0.00169915,0.2361,12.3296,3.32861,1.40737,0.000675087,2.06039e-05,0.156304,4.94573,
110,28.3567,79.071,270.417,0.358623,33.5766,0.312274,22.5636,11.6963,4.4491,0.489875,0.658344,0.176263,5.14858,232.271,0.303374,26.3531,33.4234,12.0906,1.98426,4.55362,0.093127,1.00761,0.00169915,0.236027,15.5416,3.32861,1.40737,0.000675087,2.50931e-05,0.156304,4.94573,
111,28.3567,83.3303,214.722,0.340292,29.8197,0.58384,21.1335,19.4474,6.03906,0.609099,0.594581,0.164371,4.93877,152.809,1.22431,22.9777,62.2414,15.8738,2.13323,3.04424,0.0650399,0.559488,0.00169915,0.236027,10.1847,3.33417,1.40139,0.000675087,2.50931e-05,0.0519435,2.07199,
112,28.3347,81.5068,245.577,0.347635,41.3686,0.40545,17.6794,10.3558,4.95433,0.496524,0.824162,0.162741,5.25974,202.603,0.761427,4.13859,32.1728,14.1282,1.99105,4.03249,0.0339693,1.31886,0.00169915,0.236027,4.97144,3.33116,1.39872,0.000675087,2.50931e-05,0.140345,4.94505,
113,28.3347,110.518,284.999,0.25638,49.3627,0.662924,26.774,19.3495,7.1092,0.87151,0.984434,0.163981,5.24,200.079,1.52159,63.6152,62.8219,17.4411,2.73843,3.98847,0.0689606,0.897639,0.00169915,0.236027,9.41423,3.33116,1.39872,0.000669038,2.02278e-05,0.0139851,4.94505,
114,28.3347,90.925,277.835,0.311627,34.4652,0.504324,17.7435,23.7541,7.79018,0.716931,0.676113,0.1655,5.10917,229.461,0.89216,9.07445,78.3784,19.2421,2.21639,4.50047,0.0302474,0.922422,0.00386743,0.238221,12.3331,3.33116,1.39872,0.000669038,2.02278e-05,0.156314,3.86595,
115,28.3334,152.194,381.566,0.186167,83.1056,0.576802,28.9306,24.986,6.95271,0.893673,1.64463,0.177978,4.92599,305.928,1.02801,55.7069,60.7503,15.769,2.56397,6.03683,0.101046,1.03868,0.00386743,0.242399,10.1107,3.33013,1.39562,0.000669038,2.02278e-05,0.0137936,1.8806,
116,28.3253,132.352,332.503,0.214015,81.5873,0.499742,22.0413,14.1417,6.32079,0.88401,1.62046,0.17484,5.08156,288.84,0.997449,23.7603,41.6205,15.4926,2.6161,5.72668,0.0850124,0.856957,0.00386743,0.242399,9.34389,3.32947,1.39562,0.000669038,2.02278e-05,0.0446996,3.9683,
117,28.3224,77.3849,171.833,0.365994,30.2176,0.516189,19.7299,13.5313,6.90345,0.693953,0.603844,0.184455,5.00428,148.808,1.08678,8.40339,38.0372,16.6361,2.30529,3.0199,0.105878,0.889251,0.00566049,0.243524,11.3415,3.32947,1.39562,0.000668426,4.10415e-05,0.149935,1.3467,
118,28.313,52.7246,111.989,0.536997,9.72057,0.330863,18.1371,14.2481,4.45731,0.452386,0.194502,0.163116,5.02056,65.6984,0.443802,2.05332,50.7113,13.1037,1.86518,1.31533,0.0346193,0.772049,0.00566049,0.243524,12.2897,3.32947,1.38773,0.000672627,3.89257e-05,0.156261,2.5793,
119,28.313,97.5155,295.842,0.290343,61.1383,0.360306,19.9594,5.44525,3.98347,0.333804,1.20871,0.165473,4.92086,273.835,0.447793,13.2546,12.4474,10.8449,1.39733,5.36156,0.0533251,0.335091,0.00532086,0.241177,10.4434,3.32459,1.38318,0.000672627,3.89257e-05,0.154565,2.77074,
120,28.313,109.82,321.6,0.257813,56.2164,0.599282,23.499,17.3381,5.23895,0.611068,1.10787,0.171458,5.03751,267.278,1.30784,27.816,53.8624,13.206,2.07054,5.25372,0.0790313,0.377282,0.00532086,0.241177,10.703,3.32459,1.38318,0.000684973,3.89257e-05,0.042476,4.94433,
121,28.3049,125.081,380.273,0.226293,76.4632,0.40709,18.3875,16.6367,6.08382,0.437884,1.50452,0.168809,4.99113,321.423,0.589478,5.7306,45.2221,16.0147,1.51888,6.35054,0.0485961,1.08458,0.00532086,0.241177,8.77357,3.32376,1.38318,0.000684973,4.10415e-05,0.156321,1.08467,
122,28.3049,122.067,380.71,0.23188,86.0572,0.446174,17.9093,6.34438,3.96547,0.499727,1.69565,0.159653,4.9894,348.085,0.900299,1.48952,16.1569,11.6904,1.99284,6.85479,0.0227218,0.807655,0.00532086,0.241177,9.46984,3.32323,1.37969,0.000684973,3.90953e-05,0.118401,2.51648,
123,28.3042,138.372,414.848,0.204551,85.7189,0.326472,18.4663,19.9859,6.04472,0.753717,1.68556,0.168291,5.22216,345.773,0.36218,3.17085,60.8883,15.5195,2.62531,6.79114,0.0791784,1.09177,0.00560777,0.241177,10.9105,3.32268,1.37969,0.000663135,4.25243e-05,0.0300167,4.94456,
124,28.2962,90.8265,282.188,0.311541,49.6026,0.595617,19.2317,9.57258,4.99815,0.636851,0.978649,0.177001,5.0334,257.491,1.34437,6.79055,22.8025,14.1942,2.18196,5.0591,0.0833016,0.908008,0.00587138,0.241177,12.3562,3.32268,1.37969,0.000663135,4.03315e-05,0.156328,3.62463,
125,28.2962,71.2154,178.493,0.397333,24.911,0.53876,25.1502,9.09385,5.4749,0.467506,0.497021,0.179997,4.9021,148.627,1.26739,36.4773,27.5078,13.8997,1.90864,2.96284,0.0984287,0.571606,0.00570326,0.244264,9.31441,3.32032,1.37969,0.000718539,4.03315e-05,0.117859,1.43743,
126,28.2962,65.3381,161.318,0.433074,13.1246,0.352683,21.6747,20.6274,3.68431,0.38055,0.2618,0.165329,5.06677,86.0804,0.512947,25.7998,71.5544,11.2046,1.53088,1.718,0.0627349,0.570414,0.00570326,0.243928,12.0934,3.32032,1.37969,0.000718539,4.03315e-05,0.113367,4.94486,
127,28.2962,79.2264,294.445,0.357156,41.0308,0.465651,18.1711,9.42236,3.84458,0.37349,0.806234,0.16015,4.95202,240.9,1.08684,3.60602,39.8922,12.0259,1.81968,4.70724,0.0232749,0.391956,0.00570326,0.24392,12.0035,3.32032,1.38149,0.00066896,3.83079e-05,0.156323,3.23939,
128,28.2933,96.3104,295.723,0.293772,48.2851,0.423868,18.1477,17.9333,4.8173,0.376091,0.951551,0.163799,5.21163,249.699,0.872767,0.729867,70.6498,13.6757,1.54798,4.90356,0.0371041,1.15539,0.00509331,0.243928,13.6548,3.32032,1.38134,0.000668842,3.83079e-05,0.156334,4.94458,
