Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Heave.front.toe_angle_l.avg,Heave.front.half_track_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.half_track_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Heave.front.toe_angle_l.best,Heave.front.half_track_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,87.8832,209.055,120.442,0.420382,21.2119,4.0551,115.862,1.34545,3.88343,19.2033,0.233547,3.51652,1.36182,31.7649,2.25012,4.36715,26.4231,4.87154,124.73,1.7045,4.21241,26.3662,0.300589,3.65698,2.01145,123.124,2.63305,5.05818,0.576545,0.0148743,17.0968,0.0258242,0.453015,0.0165656,0.00125641,0.667979,0.00262694,0.577847,0.219277,0.424043,
1,87.8832,202.666,120.408,0.433636,20.0487,3.871,112.016,1.23454,3.75138,18.2426,0.228768,3.37226,1.78098,31.8091,2.15705,4.15316,18.6088,2.6764,47.0042,0.961909,1.63458,18.9904,0.171394,1.9125,2.67741,118.933,1.32918,2.51576,0.576545,0.0148743,17.0968,0.0258242,0.453015,0.0165656,0.00125641,0.667979,0.00262694,0.577847,0.219277,0.424043,
2,87.8832,202.43,120.479,0.434142,20.0165,3.86121,111.895,1.23554,3.74718,18.1854,0.228869,3.37769,1.76065,31.8149,2.15458,4.15224,18.4418,2.67364,46.8608,0.955815,1.62969,19.0013,0.1713,1.90474,2.72677,118.932,1.32948,2.50583,0.576545,0.0148743,17.0968,0.0258242,0.453015,0.0165656,0.00125641,0.667979,0.00262694,0.577847,0.219277,0.424043,
3,87.8832,173.825,39.7407,0.505585,15.9427,3.63559,100.031,1.16017,3.36154,15.749,0.201806,3.04702,6.01416,18.8567,1.97764,3.8469,13.2548,2.62287,37.6037,0.775111,1.29227,15.5386,0.155947,1.74054,6.45736,24.1819,1.17006,2.64485,1.2282,0.119434,20.3945,0.0325443,0.536189,0.14001,0.000389356,0.672184,0.0306844,0.24993,0.326013,0.309413,
4,87.8832,173.403,40.376,0.506816,16.0156,3.5757,100.007,1.14853,3.36013,15.3743,0.19865,3.05825,6.00772,18.844,1.97044,3.84204,13.102,2.55247,36.0877,0.776053,1.24606,14.925,0.147453,1.7428,5.38218,20.451,1.15581,2.56855,1.2282,0.119434,20.3945,0.0325443,0.536189,0.14001,0.000389356,0.672184,0.0306844,0.24993,0.326013,0.309413,
5,87.8832,172.272,38.2914,0.510141,15.6767,3.55688,99.4891,1.14948,3.34121,15.1659,0.199539,3.04585,5.91381,18.9575,1.95737,3.81909,12.5532,2.53034,35.8395,0.768408,1.24106,14.6985,0.148497,1.7397,5.20951,20.5453,1.1442,2.52852,1.2282,0.119434,20.3945,0.0325443,0.536189,0.14001,0.000389356,0.672184,0.0306844,0.24993,0.326013,0.309413,
6,87.8832,160.992,67.245,0.545886,14.628,3.41433,86.699,1.07396,2.88596,12.3404,0.242993,2.92003,5.65405,25.6034,1.96542,3.56413,14.323,2.52646,31.2173,0.750494,1.10211,13.8672,0.140575,1.62573,4.78475,61.2903,1.0974,2.44053,0.667948,0.126606,22.9141,0.039148,0.399875,0.0758313,0.00739003,0.674086,0.0146061,0.626926,0.215646,0.513448,
7,87.8832,159.908,64.5422,0.549587,14.3934,3.41597,86.6657,1.05926,2.88832,12.0293,0.240371,2.9024,5.59129,25.2525,1.94527,3.52403,13.7125,2.52178,28.3937,0.708523,1.00293,12.7333,0.127751,1.61559,4.67745,60.6948,1.06836,2.36403,0.667948,0.126606,22.9141,0.039148,0.399875,0.0758313,0.00739003,0.674086,0.0146061,0.626926,0.215646,0.513448,
8,87.8832,159.65,65.1353,0.550475,14.3738,3.38628,86.6843,1.04667,2.88802,11.9802,0.23782,2.85748,5.61128,25.1673,1.92035,3.49628,13.9795,2.51292,28.6337,0.706371,1.01138,13.045,0.126921,1.6054,4.6904,60.6806,1.01619,2.35518,0.667948,0.126606,22.9141,0.039148,0.399875,0.0758313,0.000561921,0.674086,0.0146061,0.626926,0.215646,0.513448,
9,87.8832,153.857,165.017,0.5712,11.5408,2.98691,79.2808,0.958783,2.63491,9.77648,0.268734,2.67218,4.72115,33.9752,1.7415,3.29965,11.0784,2.34042,26.4879,0.738297,0.947321,11.6092,0.105737,1.2843,5.06258,164.585,0.765543,2.19459,0.441971,0.0451981,22.3848,0.0164742,0.370536,0.398927,0.0516825,0.686817,0.0734053,7.11868,0.185922,0.603125,
10,87.8832,153.582,165.098,0.572224,11.4718,2.91049,78.9206,0.952947,2.62267,9.95153,0.268502,2.64693,4.75501,34.0598,1.73407,3.28734,10.7765,2.2752,25.6752,0.722353,0.922027,11.6485,0.10121,1.28204,5.14479,164.361,0.755676,2.11176,0.441971,0.0451981,22.3848,0.0164742,0.370536,0.398927,0.0516825,0.686817,0.0734053,4.57739,0.185922,0.603125,
11,87.8832,137.596,64.8174,0.638705,9.30273,2.49862,73.2521,0.809822,2.40318,7.40696,0.304127,2.68133,3.72939,30.8158,1.6278,2.76422,8.54234,1.97208,25.0577,0.582695,0.902501,7.9541,0.107104,1.26383,3.30887,65.2189,0.65424,1.92498,0.28336,0.0189931,24.2297,0.0303578,0.490875,0.105666,0.0719484,0.69019,0.0159292,1.83789,0.408041,0.455012,
12,87.8832,137.68,65.461,0.638313,9.26577,2.50353,73.1945,0.803435,2.40156,7.56449,0.30349,2.65749,3.79069,30.845,1.62106,2.72942,8.1806,1.926,24.8038,0.569736,0.889717,7.85643,0.0996439,1.21497,3.23867,65.1375,0.643409,1.76402,0.28336,0.0189931,24.2297,0.0303578,0.490875,0.105666,0.0719484,0.69019,0.0159292,1.83789,0.408041,0.455012,
13,87.8832,136.962,64.5669,0.641659,9.16722,2.48937,72.7563,0.794142,2.38612,7.42912,0.303463,2.65474,3.77169,30.8833,1.61312,2.71391,7.98057,1.92336,24.1455,0.542286,0.867658,7.61154,0.0996159,1.21399,3.22469,65.1385,0.629379,1.73519,0.28336,0.0189931,24.2297,0.0303578,0.490875,0.105666,0.0719484,0.69019,0.0159292,1.83789,0.408041,0.455012,
14,87.8832,130.839,58.9309,0.67169,8.93648,2.26926,71.103,0.802622,2.33631,8.4127,0.310196,2.51779,2.98703,26.6557,1.57022,2.93768,10.3811,1.84275,23.7311,0.558238,0.835741,12.804,0.0806516,1.06603,3.50824,48.582,0.813303,2.06376,0.152237,0.0295117,16.2524,0.0528404,0.482158,0.0698005,0.0176125,0.664879,0.0445261,3.0417,0.159522,0.536084,
15,87.8832,262.317,2272.39,0.335026,9.20216,2.21475,70.6104,0.790927,2.31874,8.82127,0.31647,2.46984,3.00458,158.143,1.56084,2.86479,10.8218,1.82165,24.3157,0.569465,0.854727,13.2702,0.102312,1.03703,3.48927,2268.07,0.817557,2.11805,0.152237,0.0295117,11.6857,0.0528404,0.359209,0.0698005,0.0176125,0.664879,0.0445261,3.0417,0.159522,0.536084,
16,87.8832,261.438,2272.42,0.336153,8.96618,2.20426,70.4041,0.77464,2.31211,8.56289,0.313604,2.46891,3.01001,158.055,1.55052,2.81654,10.6413,1.81969,24.0187,0.550159,0.843823,12.9892,0.0884119,1.03742,3.49209,2271.87,0.814502,2.03392,0.152237,0.0295117,11.6857,0.0528404,0.359209,0.0698005,0.0176125,0.664879,0.0445261,3.0417,0.159522,0.536084,
17,87.8832,119.162,36.9565,0.73751,6.87292,2.05721,65.8266,0.746544,2.15203,6.95671,0.329983,2.39588,3.10098,24.6078,1.45319,2.66215,9.14772,1.92021,23.6981,0.586522,0.878174,9.25302,0.0792918,1.00875,3.69378,133.685,0.720849,1.91304,0.440486,0.0384347,23.7368,0.0477516,0.601962,0.0385574,0.00702878,0.690203,0.0374052,3.7522,0.355922,0.507918,
18,87.8832,118.227,32.299,0.743343,6.63306,2.05916,65.3133,0.729472,2.12704,6.89384,0.329314,2.389,3.01065,24.6789,1.41919,2.6441,6.74518,1.92505,22.2486,0.522843,0.786776,9.06016,0.0745312,1.01024,3.42759,12.0023,0.501245,1.87464,0.440486,0.0384347,23.7368,0.0477516,0.601962,0.0385574,0.00702878,0.690203,0.0374052,3.7522,0.156865,0.507918,
19,87.8832,117.466,29.0423,0.748156,6.47325,2.05013,65.1357,0.726609,2.12125,6.65945,0.33018,2.37754,2.89455,24.6683,1.40696,2.6225,6.22274,1.91548,21.8998,0.526931,0.774962,7.58398,0.0727006,1.01401,2.70608,12.0107,0.482945,1.88136,0.440486,0.0384347,23.7368,0.0477516,0.601962,0.0385574,0.00702878,0.690203,0.0374052,3.7522,0.156865,0.507918,
20,87.8832,122.063,158.372,0.719981,5.66739,1.64076,59.7983,0.719966,1.92851,6.20089,0.357795,2.36528,2.90042,36.6477,1.34738,2.48881,6.86487,1.61433,21.7416,0.492128,0.776496,7.3399,0.0789155,0.919005,3.69829,157.658,0.488399,1.72047,0.178876,0.0217014,23.931,0.0348543,0.551485,0.0901501,0.0213144,0.687036,0.0110642,7.09907,0.336752,0.7936,
21,87.8832,123.046,159.067,0.714229,5.89399,1.65689,60.1268,0.725966,1.93935,6.46962,0.355883,2.34965,2.91879,36.7445,1.35357,2.51126,7.9151,1.65133,22.6078,0.506307,0.805126,8.46656,0.0753026,0.872956,3.74016,157.199,0.514388,1.7753,0.178876,0.0217014,23.931,0.0348543,0.551485,0.0901501,0.00532003,0.687036,0.0110642,7.09907,0.336752,0.7936,
22,87.1829,112.934,41.6234,0.771979,5.72498,1.64794,58.1823,0.702544,1.86387,6.10298,0.371623,2.24581,2.48493,29.8611,1.37484,2.37149,10.8368,1.90958,25.4536,0.483661,0.894861,8.66199,0.0765829,0.739001,2.533,21.9233,0.642273,1.68369,0.123581,0.0138973,24.4938,0.0765943,0.547841,0.018506,0.116427,0.782228,0.0143087,1.46759,0.655394,0.644227,
23,87.1829,157.992,764.033,0.55182,5.74086,1.66063,58.5162,0.736042,1.88365,6.7718,0.37126,2.22366,2.78054,73.4717,1.37401,2.46117,10.3355,1.98606,26.4756,0.609832,0.931545,10.8229,0.0790233,0.694559,3.90852,755.218,0.552687,1.98985,0.123581,0.0138973,7.83506,0.0765943,0.547841,0.018506,0.0945953,0.782228,0.0143087,1.46759,0.655394,0.644227,
24,87.1829,157.014,764.001,0.555257,5.49623,1.63417,58.3722,0.728287,1.87909,6.47531,0.369528,2.22308,2.6822,73.3616,1.35951,2.43253,9.40727,1.90154,26.3983,0.607748,0.929756,10.0796,0.0753566,0.691533,3.53165,756.485,0.531241,1.94695,0.123581,0.0138973,7.83506,0.0765943,0.547841,0.018506,0.0945953,0.782228,0.0143087,1.46759,0.655394,0.644227,
25,87.1829,107.776,36.1725,0.808928,4.77296,1.46456,56.0934,0.699502,1.79499,5.72758,0.371362,2.26563,2.45708,28.5065,1.2933,2.32895,8.95599,1.6013,21.565,0.470343,0.76303,9.02041,0.0671475,0.674349,3.22677,46.1146,0.609378,1.76515,0.231044,0.0316174,26.5729,0.0563688,0.611898,0.032547,0.0019464,0.754889,0.0157979,4.56497,0.0781391,0.884834,
26,87.1829,106.571,33.7008,0.81807,4.38572,1.41628,55.7453,0.697211,1.78301,5.55538,0.370753,2.23542,2.42822,28.3969,1.25669,2.30058,7.61114,1.5565,21.4284,0.463323,0.757984,8.50759,0.0641353,0.611689,3.22013,10.4677,0.440424,1.7216,0.231044,0.0316174,26.5729,0.0563688,0.611898,0.032547,0.0019464,0.754889,0.0157979,4.56497,0.0781391,0.884834,
27,87.1829,100.795,23.9846,0.864957,3.55258,1.29921,52.8006,0.634981,1.67675,4.21504,0.381725,2.17219,1.95426,28.7602,1.22564,2.12134,5.79081,1.37841,16.7963,0.386296,0.592957,5.34501,0.063705,0.582185,2.24192,7.5274,0.278262,1.37239,0.165845,0.00831598,26.1195,0.0670088,0.660781,0.113436,0.0988733,0.732387,0.0128263,0.27304,0.621398,0.942584,
28,87.1829,105.278,72.7498,0.828119,3.89448,1.33965,53.0909,0.648424,1.68657,4.58011,0.380918,2.16171,1.99,32.1325,1.24375,2.1292,7.65999,1.54549,16.9979,0.439651,0.599163,7.09947,0.0634109,0.575736,2.30318,59.7658,0.463271,1.37996,0.165845,0.00831598,26.1195,0.0670088,0.660781,0.113436,0.0988733,0.732387,0.0128263,0.27304,0.621398,0.93186,
29,87.1829,104.647,72.0362,0.833118,3.85957,1.30198,52.819,0.642533,1.6772,4.33516,0.380993,2.16228,1.96324,32.1423,1.24028,2.12205,7.69946,1.41902,16.3773,0.428921,0.579577,5.77113,0.0634208,0.57496,2.26931,59.6698,0.459752,1.37638,0.165845,0.00831598,26.1195,0.0670088,0.660781,0.113436,0.0988733,0.732387,0.0128263,0.27304,0.621398,0.93186,
30,87.1584,103.674,46.4792,0.840696,4.30379,1.19829,51.93,0.629903,1.64299,4.81945,0.384947,2.14215,2.10593,31.2405,1.23969,2.03639,11.2933,1.69516,15.941,0.375871,0.56795,8.52326,0.0638375,0.525535,2.76351,33.0423,0.525606,1.3885,0.108087,0.0129166,26.5692,0.0681226,0.536834,0.0874528,0.0146763,0.731756,0.0162602,3.47917,0.329723,0.397059,
31,87.1584,105.373,50.3704,0.827143,4.60423,1.2068,52.2004,0.650169,1.65206,5.31903,0.386196,2.14591,2.2501,31.5994,1.25143,2.10706,11.8063,1.70254,16.3735,0.433152,0.583611,10.1077,0.0713984,0.556511,3.17923,33.9326,0.556548,1.57765,0.108087,0.0129166,26.5692,0.0681226,0.536834,0.0874528,0.0146763,0.731756,0.0162602,0.025817,0.329723,0.397059,
32,87.1584,104.705,47.6667,0.832421,4.85831,1.22012,52.0092,0.645137,1.64636,5.1793,0.382756,2.13944,2.24076,31.0613,1.25881,2.06319,12.8677,1.72272,16.0299,0.418922,0.571647,9.35343,0.0685847,0.530969,3.16758,33.1153,0.579249,1.4184,0.108087,0.0129166,26.5692,0.0681226,0.536834,0.0874528,0.0146763,0.731756,0.0162602,0.025817,0.329723,0.397059,
33,87.1584,98.2059,27.7201,0.887507,2.91572,1.00106,51.2723,0.573809,1.62095,4.04623,0.385895,2.12195,1.8694,29.4048,1.16162,1.83216,7.20686,1.43606,15.3202,0.330991,0.541658,7.29604,0.0433108,0.482726,1.68484,5.49816,0.42405,1.32973,0.115298,0.0119723,29.5435,0.0675127,0.775135,0.0343733,0.0755468,0.763262,0.0339352,5.532,0.413553,0.545446,
34,87.1584,97.8023,27.1729,0.891169,2.96718,0.978282,51.2059,0.571364,1.61914,3.83209,0.386301,2.12086,1.84687,29.3386,1.16285,1.7728,7.32325,1.35178,15.4966,0.331184,0.549505,6.34646,0.0438148,0.469829,1.63443,5.45651,0.421613,1.04892,0.115298,0.0119723,29.5435,0.0675127,0.775135,0.0343733,0.0755468,0.763262,0.0339352,2.27463,0.413553,0.545446,
35,87.1584,98.3771,28.9623,0.885962,3.25609,0.995275,51.4405,0.578228,1.6275,3.87131,0.3876,2.11626,1.85146,29.2684,1.17356,1.8109,8.94085,1.38023,15.9491,0.353506,0.565556,6.35733,0.0498474,0.476578,1.63173,5.52459,0.473539,1.25296,0.115298,0.0119723,29.5435,0.0675127,0.775135,0.0343733,0.0755468,0.763262,0.0339352,2.27463,0.413553,0.545446,
36,86.7293,100.736,43.718,0.860955,3.71335,1.03812,51.2547,0.588007,1.62267,4.58836,0.392309,2.14404,1.97143,30.4054,1.17701,1.84082,11.3145,1.76415,22.4201,0.408976,0.783392,10.0494,0.0758556,0.613617,3.30169,10.7663,0.617801,1.56488,0.0926993,0.00788124,28.6959,0.0910265,0.910691,0.12609,0.0302346,0.7284,0.00903323,1.14643,0.194092,0.885871,
37,86.7293,101.449,42.9389,0.854907,3.77607,1.05279,51.7795,0.580508,1.64134,4.75622,0.387096,2.16153,2.03843,30.2191,1.15935,1.89686,10.9966,1.78948,22.8206,0.40692,0.797585,10.4284,0.0665395,0.690086,3.51492,10.9107,0.530523,1.75161,0.0926993,0.00788124,28.6959,0.0910265,0.910691,0.12609,0.0302346,0.7284,0.00903323,1.14643,0.194092,0.885871,
38,85.8286,97.2142,35.4057,0.882882,3.17018,0.758198,48.9276,0.537283,1.53612,4.19941,0.396832,2.08751,1.94681,30.8515,1.14634,1.65641,10.4733,1.16343,14.6518,0.311807,0.5075,10.7969,0.0645953,0.674254,3.24118,9.4722,0.501716,1.21872,0.132207,0.00765883,28.147,0.059841,0.709315,0.0527359,0.0331766,0.747515,0.0457701,1.14104,0.417072,0.530721,
39,85.8286,97.0709,32.3865,0.884185,2.90476,0.773454,49.3358,0.541213,1.55368,4.30946,0.391885,2.0829,2.08037,30.298,1.12805,1.6714,8.74242,1.15219,15.2849,0.314152,0.544429,10.566,0.0518978,0.67725,3.67894,8.74442,0.353353,1.27621,0.132207,0.00765883,28.147,0.059841,0.709315,0.0527359,0.0161081,0.747515,0.0457701,1.14104,0.417072,0.530721,
40,85.2175,101.708,49.51,0.837865,3.89217,0.776068,52.3448,0.571689,1.65792,4.80378,0.388445,1.98967,1.76433,30.506,1.19306,1.81998,12.1832,1.36657,25.4249,0.500656,0.881545,13.443,0.0667841,0.596442,2.79998,11.7273,0.766488,1.69364,0.0987118,0.00501704,29.4307,0.024876,0.650391,0.0861366,0.0131713,0.678106,0.0357427,4.52959,0.708752,0.896175,
41,84.704,95.1654,32.5144,0.890071,2.48268,0.691587,48.4013,0.482838,1.51898,3.70959,0.398376,1.91189,1.7246,31.1054,1.13319,1.60503,8.51254,1.6665,13.8833,0.244076,0.498603,9.31865,0.0553619,0.461081,3.208,10.6368,0.542588,1.21858,0.0731126,0.0130103,29.2327,0.0451624,0.735121,0.0849506,0.0184507,0.696211,0.0786793,3.12987,0.115175,0.92664,
42,84.704,96.2263,34.9125,0.880259,2.83361,0.76239,48.8015,0.495951,1.53421,3.95306,0.397141,1.9106,1.77738,30.9406,1.1469,1.67294,9.37716,1.85629,14.5042,0.287932,0.520084,9.91055,0.0561978,0.459228,3.34324,10.821,0.564182,1.47852,0.0731126,0.0130103,29.2327,0.0451624,0.735121,0.0849506,0.0184507,0.696211,0.0786793,3.12987,0.115175,0.92664,
43,84.704,90.3008,18.1457,0.938021,1.22691,0.487536,47.1006,0.469509,1.4709,2.3981,0.400108,1.79571,1.32019,31.0799,1.06909,1.48221,4.92639,1.0173,9.10105,0.154239,0.327535,5.4903,0.0259085,0.38632,1.41017,3.10987,0.246345,1.02801,0.0673739,0.00385879,37.2828,0.0694692,1.09494,0.103633,0.0531124,0.67028,0.0675749,2.61597,0.881157,0.984384,
44,84.704,90.2889,18.147,0.938144,1.22647,0.486717,47.1155,0.46898,1.47146,2.3945,0.400056,1.79234,1.31616,31.0673,1.0689,1.48052,4.92649,0.966517,8.91933,0.151975,0.317786,5.20023,0.0257022,0.388392,1.30767,3.10684,0.231518,1.00629,0.0673739,0.00385879,37.2828,0.0694692,1.09494,0.103633,0.0531124,0.67028,0.0675749,2.61597,0.881157,0.984384,
45,83.9591,95.7125,37.5757,0.877201,2.34237,0.717606,49.1345,0.492694,1.54279,4.05052,0.398235,1.78245,1.51587,30.9714,1.10972,1.65434,9.04686,1.86418,16.9826,0.305822,0.605919,11.9607,0.0499886,0.633187,2.3281,5.28882,0.517883,1.65245,0.059066,0.0117151,19.9962,0.0442653,0.488306,0.0150935,0.0085848,0.712884,0.136325,4.56178,0.355954,0.993936,
46,83.9591,96.8369,42.1361,0.867015,2.48715,0.735045,50.1211,0.51168,1.57718,4.18125,0.396443,1.76317,1.57439,30.6717,1.11875,1.69901,9.34356,1.92902,21.774,0.375362,0.766849,11.86,0.0458422,0.532009,2.57397,4.42245,0.543446,1.74931,0.059066,0.0117151,19.9962,0.0442653,0.488306,0.0150935,0.0085848,0.712884,0.136325,4.56178,0.355954,0.993936,
47,83.9591,96.0655,38.082,0.873977,2.6154,0.718547,49.4993,0.502441,1.55654,4.01531,0.397459,1.77366,1.54941,30.6307,1.12117,1.68555,10.3162,1.8593,19.7406,0.335618,0.701684,11.2808,0.0444255,0.560149,2.40221,4.56167,0.56037,1.7151,0.059066,0.0117151,19.9962,0.0442653,0.488306,0.0150935,0.0085848,0.712884,0.136325,4.56178,0.355954,0.993936,
48,83.9591,92.6083,35.6981,0.906604,1.58558,0.502408,48.809,0.48809,1.53158,2.63579,0.396706,1.61788,1.49509,30.965,1.07875,1.50253,7.18876,1.31915,18.9497,0.300959,0.666387,8.68201,0.0454306,0.439447,3.12129,3.85725,0.453081,1.16712,0.059862,0.00422289,39.8395,0.266215,1.19583,0.0798698,0.0525261,0.715977,0.206552,4.744,0.122999,1.01879,
49,83.9591,93.0845,35.7401,0.901966,1.80227,0.50571,48.7254,0.495572,1.52903,2.59472,0.395019,1.62806,1.4551,31.3492,1.07184,1.53263,7.99844,1.2921,18.1095,0.321042,0.648294,8.22068,0.052175,0.4529,2.73369,8.13286,0.392743,1.25645,0.059862,0.00422289,39.8395,0.266215,1.19583,0.0798698,0.0161645,0.715977,0.206552,4.744,0.122999,1.01879,
50,83.9591,95.9031,48.5689,0.875457,2.41416,0.630932,48.8707,0.511177,1.53699,2.87347,0.403551,1.53857,1.30709,33.1277,1.09775,1.59103,11.0595,1.92442,20.3329,0.44049,0.707358,8.28155,0.069966,0.480522,2.17006,28.2674,0.47702,1.34512,0.0470263,0.00325627,13.5072,0.0106805,0.462839,0.0677153,0.00858446,0.728314,0.106769,2.33022,0.470128,0.99927,
51,83.9591,96.3665,49.1542,0.871247,2.49292,0.637048,49.1719,0.511779,1.54766,2.99004,0.402124,1.53727,1.32829,33.0426,1.09677,1.60816,11.1148,1.92471,20.8824,0.440441,0.727349,8.53056,0.0733844,0.471348,2.20316,28.2578,0.476825,1.3763,0.0470263,0.00325627,13.5072,0.0106805,0.462839,0.0677153,0.00690437,0.728314,0.106769,2.33022,0.470128,0.99927,
52,83.9591,95.4361,46.6465,0.879741,2.35955,0.592121,48.6212,0.506764,1.52864,2.83041,0.40346,1.5323,1.29179,33.1013,1.094,1.57453,10.927,1.77581,18.7089,0.432278,0.653922,8.09877,0.0697651,0.470516,2.12722,28.2368,0.474688,1.25511,0.0470263,0.00325627,13.5072,0.0106805,0.462839,0.0677153,0.00690437,0.728314,0.106769,2.33022,0.470128,0.99927,
53,83.821,91.4074,35.4748,0.917004,1.70986,0.424432,48.2747,0.44182,1.5118,2.3562,0.400769,1.44932,1.2737,31.0742,1.07883,1.41177,9.58806,1.20001,17.7271,0.139513,0.622228,8.8996,0.0256043,0.441611,3.06711,3.7221,0.370738,0.809845,0.0640383,0.00540097,41.8873,0.027779,1.27787,0.0833048,0.156543,0.689189,0.0627379,7.76278,0.924764,1.01832,
54,83.821,91.626,34.0928,0.914817,1.76915,0.463545,48.079,0.446712,1.50468,2.33734,0.400294,1.43537,1.22789,31.4466,1.06755,1.44786,9.52279,1.41319,16.9541,0.144115,0.597461,8.44875,0.0319145,0.381028,2.85206,7.23844,0.303705,1.01873,0.0640383,0.00540097,21.283,0.027779,0.45264,0.0833048,0.017616,0.689189,0.0627379,7.76278,0.17221,1.01832,
55,83.821,91.6167,34.0942,0.914909,1.76759,0.46287,48.0803,0.446186,1.50473,2.336,0.400293,1.43396,1.22593,31.4453,1.06755,1.44609,9.52774,1.41278,16.9529,0.143833,0.59656,8.4491,0.0319108,0.378035,2.84971,7.22874,0.303502,1.02218,0.0640383,0.00540097,21.283,0.027779,0.45264,0.0833048,0.017616,0.689189,0.0627379,7.76278,0.17221,1.01832,
56,83.7823,90.8839,32.984,0.921861,1.5337,0.384126,47.8922,0.475727,1.49693,2.10259,0.404697,1.37629,1.17726,31.5104,1.05641,1.47358,8.97646,0.995129,16.1457,0.38408,0.568044,6.72456,0.0501004,0.593932,2.22336,4.90352,0.409641,1.24475,0.0467506,0.01155,42.4078,0.233254,1.29681,0.0625017,0.0741028,0.698116,0.147463,1.08551,0.716521,0.311143,
57,83.7823,90.8894,33.0182,0.921805,1.62442,0.379615,48.024,0.458187,1.50248,2.16708,0.401018,1.3815,1.23816,31.191,1.05822,1.46372,9.54548,0.978599,16.4924,0.261201,0.58143,7.11382,0.0347364,0.6008,2.61525,3.4624,0.415906,1.15324,0.0467506,0.01155,42.4078,0.0907975,1.29681,0.0625017,0.0255011,0.698116,0.147463,1.08551,0.716521,0.311143,
58,83.7823,94.4201,41.1927,0.887336,2.64731,0.581838,48.9849,0.506919,1.54085,2.99226,0.399737,1.41399,1.51948,31.1318,1.10133,1.59968,12.5435,1.77053,18.3038,0.508956,0.650266,9.72382,0.0562846,0.663788,3.5012,4.8426,0.604117,1.5678,0.0467506,0.01155,42.4078,0.0907975,1.29681,0.0625017,0.0211075,0.698116,0.147463,1.08551,0.359556,0.311143,
59,83.7823,94.4492,41.5979,0.887062,2.61616,0.562777,49.298,0.486596,1.55201,3.01321,0.396991,1.41983,1.47184,30.9141,1.11655,1.60115,12.5676,1.63602,19.8346,0.396995,0.70464,9.76105,0.0510253,0.662752,3.39346,4.43912,0.637224,1.6446,0.0467506,0.01155,42.4078,0.0907975,1.29681,0.0625017,0.0211075,0.698116,0.147463,1.08551,0.359556,0.311143,
60,83.7823,94.0794,41.1754,0.890549,2.58234,0.526345,49.2783,0.482642,1.55095,2.81329,0.39651,1.4114,1.46419,30.8653,1.1094,1.59866,12.5618,1.52087,19.8419,0.391627,0.704886,9.17587,0.0502663,0.649257,3.38659,4.35753,0.626119,1.64523,0.0467506,0.01155,42.4078,0.0907975,1.29681,0.0625017,0.0211075,0.698116,0.147463,1.08551,0.359556,0.311143,
61,83.6404,98.136,54.1885,0.852291,2.68216,0.696992,51.5513,0.523739,1.62201,3.25813,0.401262,1.30472,1.92825,31.3224,1.10914,1.7359,10.6188,2.2365,28.0883,0.462792,0.962889,10.2524,0.0852141,0.44634,4.94517,14.0479,0.472978,1.92226,0.0541354,0.00552736,35.2877,0.255094,0.687127,0.0865441,0.0297056,0.671669,0.294728,0.670171,0.623239,1.00867,
62,83.6404,97.1731,51.7911,0.860737,2.56271,0.649008,51.056,0.517743,1.60954,3.18237,0.399017,1.30052,1.81983,31.2653,1.10279,1.70824,10.4662,2.08691,26.7764,0.450807,0.941056,10.2116,0.0756769,0.425268,4.60716,14.0052,0.460648,1.87487,0.0541354,0.00552736,35.2877,0.255094,0.687127,0.0865441,0.0297056,0.671669,0.294728,0.670171,0.623239,1.00867,
63,83.6404,96.647,49.4146,0.865421,2.43315,0.619607,50.6763,0.509663,1.59654,3.25326,0.400721,1.28315,1.70688,31.4052,1.08645,1.67607,9.85545,2.00146,25.7013,0.421974,0.903756,10.6899,0.076176,0.355952,4.12104,13.9693,0.365013,1.75043,0.0541354,0.00552736,35.2877,0.255094,0.687127,0.0865441,0.0297056,0.671669,0.294728,0.670171,0.623239,1.00867,
