Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Heave.front.toe_angle_l.avg,Heave.front.half_track_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.half_track_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Heave.front.toe_angle_l.best,Heave.front.half_track_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
662,75.9572,90.1433,45.4962,0.842627,1.79003,0.212642,48.2786,0.391028,1.51515,1.70015,0.406148,0.793338,1.01522,31.5772,1.05296,1.41075,10.9305,1.28713,25.0662,0.472967,0.878029,8.95732,0.0477363,0.429387,3.55029,4.1532,0.497693,1.59613,0.13524,0.0124666,39.5878,0.164959,1.37017,0.18568,0.0437399,0.731198,0.419707,0.973072,0.234589,1.14039,
663,75.9572,87.8988,32.5105,0.864144,1.44215,0.223096,46.8519,0.351968,1.45947,1.64072,0.415377,0.768039,0.80007,31.5443,1.03576,1.36583,7.74159,1.39381,16.6949,0.250807,0.581341,9.40139,0.0710893,0.272991,2.7406,4.11423,0.289833,1.4573,0.13524,0.0124666,23.5414,0.107339,0.671092,0.18568,0.0473288,0.731198,0.419707,0.839692,0.348685,1.14039,
664,75.9572,87.8803,32.4048,0.864325,1.4813,0.268144,46.9331,0.352538,1.4638,1.53517,0.412332,0.768971,0.86375,31.3897,1.03356,1.37796,7.82379,1.6158,16.9081,0.250634,0.59426,8.47157,0.0587445,0.273608,3.08939,4.35403,0.285009,1.49815,0.13524,0.0124666,23.5414,0.107339,0.671092,0.18568,0.0473288,0.731198,0.419707,0.839692,0.348685,1.14039,
665,75.9572,88.4647,34.8291,0.858616,1.65758,0.228764,46.7632,0.384729,1.4609,1.68695,0.409012,0.81663,0.843249,31.827,1.06929,1.31737,9.19044,1.38981,17.7009,0.399722,0.617025,8.70681,0.0483231,0.60179,2.7289,3.52801,0.477272,1.21173,0.13524,0.0124666,19.5399,0.160021,0.897562,0.18568,0.0520543,0.731198,0.382053,5.00938,0.345948,0.364441,
666,75.9572,88.7501,36.4373,0.855854,1.64678,0.227076,47.1434,0.387831,1.47566,1.6803,0.407225,0.818573,0.895356,31.6615,1.06544,1.341,9.14753,1.38088,19.3796,0.423488,0.681856,8.68412,0.0517216,0.604988,3.05123,3.55326,0.473387,1.3422,0.13524,0.0124666,19.5399,0.160021,0.897562,0.18568,0.0408453,0.731198,0.382053,5.00938,0.345948,0.364441,
667,75.9572,90.7118,47.0463,0.837346,1.77372,0.366469,48.6692,0.38722,1.52862,1.96545,0.415478,0.818793,0.882844,31.4954,1.09418,1.31448,10.5608,1.89127,24.9325,0.460395,0.906254,11.0607,0.0836906,0.564175,3.22559,4.06448,0.743482,1.14294,0.13524,0.0124666,44.305,0.0134207,1.37017,0.18568,0.00985883,0.731198,0.419708,3.12589,0.175218,0.484523,
668,75.9572,90.3029,46.5831,0.841138,1.69085,0.346108,48.5901,0.373467,1.52493,1.85643,0.413828,0.800519,0.853307,31.4603,1.09189,1.30119,10.479,1.85674,24.8612,0.39636,0.906724,10.9307,0.0782822,0.471273,3.19062,4.00947,0.742288,1.11989,0.13524,0.0124666,44.305,0.0134207,1.37017,0.18568,0.00985883,0.731198,0.419708,3.12589,0.175218,0.484523,
669,75.9572,89.1777,40.3341,0.85175,1.57486,0.15556,47.3082,0.357216,1.48123,1.97853,0.406072,0.77421,1.10225,31.6269,1.05487,1.35787,9.87752,0.993565,19.9376,0.286062,0.705862,12.2237,0.040583,0.262268,4.5075,4.64881,0.475311,1.33716,0.135241,0.0124666,44.305,0.104902,1.37017,0.18568,0.0741525,0.731198,0.419707,0.509839,0.844852,1.14039,
670,75.9572,88.4587,33.9316,0.858673,1.61179,0.281803,47.264,0.373927,1.47328,1.13327,0.406508,0.790284,0.825111,31.8373,1.04917,1.41233,9.43955,1.61929,18.9415,0.421416,0.663449,6.60053,0.0408611,0.479464,2.84757,5.3558,0.460622,1.63497,0.135241,0.0124665,44.305,0.043005,1.16714,0.18568,0.0416226,0.719315,0.419707,1.98166,0.307002,1.14039,
671,75.9572,85.0321,23.8025,0.893276,0.59203,0.0998458,45.6805,0.323684,1.41995,1.03387,0.410122,0.760144,0.672821,31.7477,1.02894,1.26248,4.71578,0.858459,11.9227,0.0861133,0.42363,7.09093,0.0328005,0.282548,2.41955,3.19988,0.240715,1.06911,0.135241,0.0124665,44.305,0.115397,1.37017,0.18568,0.0531636,0.731198,0.419707,1.20561,0.655162,1.14039,
672,75.9572,87.7874,33.806,0.86524,1.34575,0.316792,46.9134,0.384315,1.46995,1.19578,0.407336,0.795455,0.900484,31.6604,1.04345,1.35438,7.7223,1.87968,18.5149,0.452771,0.667931,6.41566,0.03989,0.561619,3.30182,3.38293,0.304707,1.45538,0.135241,0.0124665,35.0184,0.318572,1.0352,0.18568,0.0912973,0.731198,0.419708,0.749101,0.905984,0.957822,
673,75.9572,86.8047,39.3383,0.875035,0.87787,0.129761,45.8283,0.356364,1.42364,0.902581,0.411507,0.75235,0.604006,33.2294,1.0483,1.24063,6.43084,0.962446,17.1917,0.396852,0.59827,5.80343,0.0316221,0.206367,1.58977,21.8829,0.45338,0.967286,0.135241,0.0124665,11.7979,0.318572,0.325491,0.18568,0.183942,0.731198,0.419708,9.36272,0.436016,1.14039,
674,75.9572,87.8463,33.8057,0.86466,1.28328,0.184845,46.527,0.349838,1.45512,1.63252,0.407189,0.814546,0.908687,31.9002,1.03573,1.34735,7.90906,1.30839,15.1994,0.282793,0.549827,8.63371,0.0431841,0.556611,3.40614,5.96325,0.360606,1.33893,0.135241,0.0124665,44.305,0.179289,1.37017,0.18568,0.0120725,0.731198,0.419707,1.29679,0.147798,1.14039,
675,75.9572,86.2692,27.677,0.880466,0.83671,0.171326,46.2972,0.328842,1.44216,1.21227,0.406408,0.802319,0.857913,31.6085,1.01701,1.28848,5.27904,1.29816,14.8649,0.12058,0.529112,7.06051,0.0414751,0.535209,3.30393,3.64493,0.178958,1.13226,0.135241,0.0124665,44.305,0.179289,1.37017,0.18568,0.0120725,0.731198,0.419707,1.29679,0.147798,1.14039,
676,75.9572,87.6208,46.5776,0.866885,1.55432,0.22073,44.3369,0.352457,1.37164,0.711987,0.411378,0.779156,0.817672,34.6959,1.07348,1.29522,10.1577,1.49394,4.20103,0.257963,0.159088,3.97328,0.0231467,0.370005,3.27786,32.1176,0.540135,1.18975,0.135241,0.0124665,22.4388,0.318572,0.499924,0.18568,0.0515289,0.731198,0.419707,11.8339,1.00416,1.14039,
