Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.0947968,10.3559,0.398082,0.155211,1207.25,0,15.0688,0.0209564,8.52303,
1,0.100421,11.0076,0.404254,0.162045,1207.23,0,14.4228,0.0116857,8.52362,
2,0.0972196,10.6003,0.3881,0.160771,1207.26,0,14.8225,0.0223168,8.52022,
3,0.0984494,10.3689,0.402312,0.158405,1207.26,0,15.0544,0.0145757,8.5227,
4,0.10361,10.5983,0.409978,0.157182,1207.25,0,14.8272,0.00808712,8.5224,
5,0.0962472,10.7972,0.399849,0.160459,1207.26,0,14.6269,0.019066,8.5225,
6,0.116361,10.811,0.408781,0.162522,1207.23,0,14.6149,0.0150185,8.5235,
7,0.0972073,10.9678,0.413119,0.161032,1207.24,0,14.4631,0.015749,8.52251,
8,0.090458,10.9081,0.400782,0.157215,1207.26,0,14.5225,0.0262487,8.51991,
9,0.10578,10.6428,0.412347,0.160363,1207.25,0,14.7845,0.00696754,8.52253,
10,0.0824849,10.899,0.403625,0.159579,1207.25,0,14.5282,0.0414714,8.5196,
11,0.100229,10.5206,0.411471,0.15465,1207.26,0,14.9065,0.0108824,8.52174,
12,0.0840634,10.7643,0.410375,0.15956,1207.25,0,14.6601,0.0370268,8.5223,
13,0.0968943,10.7005,0.408583,0.154847,1207.26,0,14.7295,0.0151242,8.52252,
14,0.107771,10.8232,0.416871,0.160353,1207.25,0,14.6022,0.00658168,8.52379,
15,0.109484,10.9585,0.396862,0.164529,1207.26,0,14.4696,0.0119699,8.52307,
16,0.0897388,10.9142,0.411083,0.158392,1207.25,0,14.5186,0.0262359,8.52232,
17,0.110266,10.907,0.400395,0.161268,1207.26,0,14.5186,0.0106649,8.5237,
18,0.096845,10.9645,0.409888,0.159885,1207.26,0,14.4656,0.0152293,8.52187,
19,0.111703,10.7038,0.402269,0.160385,1207.26,0,14.7232,0.0124741,8.52158,
20,0.117591,10.5421,0.417407,0.160648,1207.24,0,14.8824,0.0132189,8.52399,
21,0.0956018,11.0454,0.410602,0.157613,1207.26,0,14.3873,0.016909,8.52241,
22,0.111657,10.9547,0.408605,0.156678,1207.26,0,14.4731,0.0113879,8.52288,
23,0.0915972,10.9303,0.413661,0.159823,1207.26,0,14.4982,0.0234933,8.52005,
24,0.116153,11.1674,0.412182,0.154665,1207.24,0,14.2681,0.0151846,8.52232,
25,0.109111,10.7942,0.407106,0.15976,1207.27,0,14.6276,0.00985381,8.52387,
26,0.126993,10.7635,0.415815,0.162293,1207.22,0,14.6579,0.0262175,8.52426,
27,0.100833,10.9063,0.410056,0.154638,1207.27,0,14.5218,0.010393,8.52444,
28,0.125189,10.9466,0.407298,0.156611,1207.24,0,14.4805,0.0255661,8.5231,
29,0.097146,10.4312,0.405939,0.169643,1207.27,0,14.9903,0.015077,8.52161,
30,0.0939304,10.8547,0.395937,0.160837,1207.28,0,14.5698,0.0227441,8.52169,
31,0.107175,10.9367,0.418451,0.16047,1207.26,0,14.4928,0.00642168,8.52132,
32,0.115982,10.863,0.412125,0.161377,1207.25,0,14.5634,0.0148755,8.52278,
33,0.096047,10.9012,0.416923,0.158618,1207.27,0,14.525,0.0191665,8.5228,
34,0.101619,10.5574,0.401052,0.159821,1207.29,0,14.8617,0.0125631,8.52151,
35,0.106107,11.0565,0.39948,0.164548,1207.27,0,14.3746,0.0106623,8.52189,
36,0.111275,11.2091,0.41968,0.15487,1207.25,0,14.2295,0.00844781,8.5214,
37,0.108297,10.8506,0.409007,0.164074,1207.27,0,14.5752,0.00892719,8.52377,
38,0.0989822,10.8453,0.41196,0.1605,1207.28,0,14.5771,0.0121647,8.52188,
39,0.112866,10.9311,0.411098,0.162751,1207.26,0,14.4962,0.0123019,8.52346,
40,0.112889,10.8389,0.409939,0.159276,1207.27,0,14.5868,0.0116282,8.52179,
41,0.114971,10.797,0.406979,0.156539,1207.27,0,14.6289,0.0140629,8.52116,
42,0.103565,10.7647,0.41282,0.162196,1207.28,0,14.6621,0.00792945,8.52221,
43,0.0963803,10.1785,0.403103,0.158126,1207.28,0,15.2572,0.017109,8.52423,
44,0.093882,10.8281,0.414751,0.164141,1207.27,0,14.5982,0.020892,8.52198,
45,0.110824,10.9042,0.404283,0.160993,1207.28,0,14.5232,0.0119975,8.5212,
46,0.0802198,10.773,0.416551,0.156213,1207.27,0,14.6558,0.045639,8.52179,
47,0.120667,10.8018,0.41913,0.158869,1207.25,0,14.6228,0.0190344,8.52272,
48,0.0962969,10.6689,0.399749,0.158858,1207.29,0,14.7586,0.0190436,8.52182,
49,0.097964,10.6568,0.404971,0.158675,1207.3,0,14.7671,0.0147652,8.52154,
50,0.101233,10.9184,0.413643,0.156586,1207.29,0,14.5104,0.00948706,8.52008,
51,0.104277,10.7475,0.38441,0.156897,1207.31,0,14.6787,0.0195009,8.51865,
52,0.0903299,10.3027,0.410867,0.161796,1207.29,0,15.1184,0.0245481,8.5215,
53,0.11062,10.7923,0.415082,0.159377,1207.28,0,14.6321,0.008502,8.52366,
54,0.105359,10.4205,0.406968,0.159877,1207.29,0,15.0026,0.00947251,8.52088,
55,0.0818892,10.6912,0.405389,0.158166,1207.27,0,14.7418,0.0422545,8.52336,
56,0.08186,11.0998,0.407538,0.15767,1207.28,0,14.3305,0.0419093,8.52226,
57,0.103431,10.7825,0.410052,0.162205,1207.29,0,14.6458,0.00875237,8.52192,
58,0.0830175,11.2952,0.393974,0.157995,1207.28,0,14.145,0.0456499,8.51723,
59,0.104146,10.7153,0.406843,0.162828,1207.29,0,14.7132,0.00894186,8.51989,
60,0.110639,10.5083,0.390591,0.161692,1207.3,0,14.9126,0.0148005,8.52376,
61,0.084326,10.6147,0.40984,0.161857,1207.28,0,14.8116,0.0361685,8.52278,
62,0.10752,10.9273,0.408374,0.156908,1207.29,0,14.5014,0.00817778,8.52248,
63,0.0926238,10.9847,0.418357,0.160803,1207.28,0,14.4465,0.0239757,8.51715,
64,0.0998278,10.888,0.397772,0.16,1207.3,0,14.5389,0.0158494,8.52084,
65,0.0882683,11.2487,0.400579,0.155904,1207.29,0,14.1868,0.0304028,8.52222,
66,0.11557,11.2842,0.406253,0.16304,1207.27,0,14.1554,0.0156609,8.52131,
67,0.0976769,10.3054,0.417509,0.163776,1207.27,0,15.136,0.0149985,8.52269,
68,0.0796795,10.8369,0.409506,0.157756,1207.29,0,14.5889,0.0474607,8.52161,
69,0.0798834,11.0931,0.414265,0.159424,1207.28,0,14.3377,0.0467125,8.51912,
70,0.126768,10.6453,0.415312,0.15745,1207.26,0,14.7804,0.026899,8.52213,
71,0.0936928,10.7219,0.396546,0.159776,1207.31,0,14.7037,0.024445,8.52171,
72,0.113579,10.0768,0.410147,0.162828,1207.28,0,15.3532,0.013992,8.52209,
73,0.102735,10.6684,0.425609,0.159033,1207.29,0,14.7548,0.00882452,8.52159,
74,0.100259,10.5622,0.416703,0.162184,1207.3,0,14.8589,0.0108142,8.52014,
75,0.0757372,11.1134,0.401044,0.159716,1207.27,0,14.3177,0.0826666,8.51773,
76,0.111449,10.3606,0.405812,0.160969,1207.29,0,15.0693,0.0129032,8.52113,
77,0.0895176,10.5224,0.403503,0.156352,1207.32,0,14.9,0.0274839,8.51965,
78,0.0836135,10.8695,0.40471,0.162132,1207.3,0,14.5588,0.0377478,8.52287,
