Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.motion_ratio_heave_l,Heave.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
0,25.9431,2.49167,37.2199,8.53129,5.22758,25.2142,1.56984,
1,25.9458,2.48832,37.2193,8.53974,5.23208,25.2129,1.5758,
2,25.9391,2.48812,37.2229,8.51552,5.26452,25.2217,1.56247,
3,25.9399,2.48798,37.2222,8.54173,5.25565,25.2197,1.56259,
4,25.9434,2.48937,37.2204,8.5556,5.24305,25.2157,1.56898,
5,25.943,2.48587,37.2227,8.54184,5.26149,25.2219,1.56739,
6,25.9429,2.48457,37.2237,8.53437,5.27334,25.2238,1.56717,
7,25.9419,2.48606,37.2214,8.56741,5.25098,25.2181,1.56571,
8,25.9452,2.48833,37.2238,8.53985,5.26638,25.2236,1.56917,
9,25.9457,2.4898,37.2215,8.53641,5.26992,25.2202,1.57327,
10,25.9411,2.48386,37.2247,8.54675,5.27192,25.2251,1.56416,
11,25.9448,2.49413,37.2239,8.5506,5.25894,25.2223,1.56738,
12,25.9393,2.48871,37.223,8.54907,5.27558,25.2233,1.56473,
13,25.947,2.4881,37.2226,8.53793,5.27219,25.2223,1.57418,
14,25.939,2.48755,37.2238,8.54161,5.28271,25.2249,1.56547,
15,25.9425,2.4885,37.2224,8.54281,5.278,25.2226,1.56862,
16,25.9429,2.47678,37.2219,8.58497,5.25323,25.2192,1.56656,
17,25.9464,2.48735,37.2248,8.53689,5.27594,25.2257,1.57088,
18,25.9453,2.48761,37.223,8.55488,5.26775,25.2222,1.57034,
19,25.9493,2.48734,37.2239,8.54109,5.26975,25.2239,1.57593,
20,25.9427,2.48281,37.2218,8.56316,5.27036,25.2213,1.56917,
21,25.9435,2.48852,37.2241,8.55444,5.27004,25.2242,1.56723,
22,25.9434,2.48661,37.2246,8.5681,5.25968,25.2244,1.56555,
23,25.9467,2.49104,37.2213,8.55404,5.26192,25.2208,1.57724,
24,25.9449,2.48975,37.2219,8.55673,5.26814,25.2209,1.5712,
25,25.9446,2.48632,37.2219,8.57944,5.25418,25.2195,1.56959,
26,25.9458,2.48939,37.2247,8.54729,5.27424,25.2257,1.56975,
27,25.9441,2.48933,37.2216,8.55334,5.27666,25.2213,1.57134,
28,25.9388,2.49136,37.2255,8.56206,5.27122,25.2271,1.56224,
29,25.9439,2.48933,37.2228,8.57034,5.26315,25.2212,1.56806,
30,25.9438,2.48656,37.2229,8.51848,5.24546,25.2196,1.56618,
31,25.9454,2.48578,37.2228,8.54398,5.29171,25.2243,1.57339,
32,308.176,2.94703,124.28,235.683,676.352,106.388,674.424,
33,25.9443,2.48773,37.2242,8.56631,5.28656,25.2262,1.57028,
34,26.4132,3.86486,79.5426,22.2061,798.548,71.5746,798.488,
35,387.771,10.14,58.788,52.9521,174.449,18.6102,69.8921,
36,25.9426,2.48826,37.2216,8.52906,5.25484,25.2188,1.56652,
37,164.573,2.68436,56.203,30.3968,512.019,30.593,509.34,
38,25.9451,2.49044,37.2192,8.57127,5.23335,25.2127,1.57475,
39,25.8441,2.21163,78.494,30.0123,789.271,70.5788,789.158,
40,250.742,3.51834,81.801,253.519,1316.54,72.9122,1316.96,
41,179.539,5.69502,73.8488,31.4232,451.2,48.6725,440.302,
42,157.512,3.54611,34.6517,34.8501,1219.13,23.1511,1218.86,
43,25.9465,2.48751,37.2254,8.5476,5.27457,25.2265,1.56999,
44,25.9432,2.49006,37.2212,8.56187,5.24365,25.2164,1.5671,
45,25.9467,2.48643,37.2227,8.55416,5.26407,25.2214,1.57237,
46,25.9435,2.487,37.2237,8.53898,5.26639,25.223,1.56656,
47,25.9446,2.48217,37.222,8.56199,5.26925,25.2212,1.57113,
48,158.543,8.52611,34.5225,104.331,1225.72,22.6347,1223.68,
49,25.9461,2.49506,37.2221,8.55731,5.25804,25.2195,1.57204,
