Individual,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Roll.front.camber_angle_gain_roll_r,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.0720524,29.0011,0.0735736,0.00113631,0.109729,0.102819,20.5076,0.225097,0.0159315,1.3087,
1,0.072046,29.0011,0.0735859,0.00113245,0.109733,0.102819,20.5076,0.225115,0.0159364,1.30871,
2,0.072044,29.0011,0.0735763,0.00113248,0.109735,0.102819,20.5076,0.225116,0.0159368,1.30871,
3,0.0720466,29.0011,0.0735743,0.00113576,0.109733,0.102819,20.5076,0.225115,0.0159361,1.30871,
4,0.0720502,29.001,0.0735901,0.00113383,0.109733,0.102817,20.5077,0.225125,0.01594,1.30871,
5,0.0720479,29.001,0.0735758,0.00113436,0.109735,0.102819,20.5076,0.225123,0.0159351,1.30871,
6,0.0720492,29.0012,0.0735783,0.00113113,0.109732,0.102821,20.5076,0.225094,0.0159271,1.3087,
7,0.0720518,29.0011,0.0735822,0.00113064,0.109736,0.10282,20.5076,0.225115,0.0159378,1.30871,
8,0.07205,29.001,0.0735823,0.0011358,0.109732,0.102818,20.5076,0.225118,0.0159408,1.3087,
9,0.0720612,29.0011,0.0735792,0.0011334,0.109734,0.102821,20.5076,0.225098,0.0159253,1.3087,
10,0.0720512,29.0012,0.073578,0.0011334,0.109731,0.102821,20.5075,0.22509,0.0159309,1.3087,
11,0.0720535,29.001,0.0735711,0.00113398,0.109734,0.102817,20.5076,0.225134,0.0159522,1.30871,
12,0.0720532,29.0011,0.0735738,0.00113224,0.109733,0.102819,20.5076,0.225117,0.0159456,1.3087,
13,0.0720501,29.001,0.0735799,0.00113454,0.109731,0.102817,20.5077,0.225117,0.0159373,1.30871,
14,0.0720465,29.001,0.0735736,0.00113007,0.109734,0.102818,20.5076,0.225125,0.0159502,1.30871,
15,0.0720546,29.001,0.0735901,0.00113571,0.109732,0.102818,20.5076,0.225117,0.0159358,1.30871,
16,0.072051,29.001,0.0735759,0.00113506,0.109733,0.102818,20.5077,0.225121,0.0159396,1.30871,
17,0.0720492,29.001,0.0735717,0.00113517,0.10973,0.102818,20.5076,0.225114,0.0159448,1.30871,
18,0.0720503,29.001,0.0735745,0.00113527,0.109734,0.102818,20.5076,0.225125,0.015949,1.30871,
19,0.0720664,29.0011,0.0735811,0.00113247,0.109728,0.102819,20.5076,0.225106,0.0159366,1.30871,
20,0.072052,29.0011,0.0735785,0.00113487,0.109734,0.10282,20.5076,0.225116,0.0159462,1.3087,
21,0.0720546,29.0011,0.0735796,0.00113011,0.109737,0.102819,20.5076,0.225118,0.0159294,1.30871,
22,0.0720454,29.0011,0.0735746,0.00113558,0.109725,0.102819,20.5076,0.225115,0.0159685,1.3087,
23,0.0720528,29.0011,0.0735762,0.00113582,0.109733,0.102819,20.5076,0.225115,0.015944,1.3087,
24,0.0720541,29.0012,0.0735814,0.00113443,0.109733,0.102822,20.5075,0.225098,0.0159251,1.3087,
25,0.0720545,29.0011,0.0735767,0.00113586,0.109733,0.102819,20.5076,0.225118,0.0159448,1.3087,
26,0.0720552,29.001,0.0735751,0.00113086,0.109733,0.102818,20.5076,0.225118,0.0159551,1.30871,
27,0.0720522,29.0011,0.0735693,0.0011336,0.109728,0.10282,20.5076,0.225103,0.0159453,1.3087,
28,0.0720577,29.001,0.0735744,0.00113342,0.109732,0.102818,20.5076,0.225115,0.0159362,1.30871,
29,0.0720548,29.0011,0.0735749,0.00113418,0.109733,0.10282,20.5076,0.225115,0.0159348,1.30871,
30,0.0720483,29.0011,0.0735762,0.00113333,0.109732,0.102819,20.5076,0.225116,0.0159414,1.3087,
31,0.0720486,29.001,0.0735873,0.00113488,0.109733,0.102817,20.5077,0.225125,0.0159412,1.30871,
32,0.376114,25.0372,165.112,6.02758,1.7075,0.274806,12.1125,2.84571,0.532742,1.04332,
33,0.0720469,29.0011,0.073581,0.00113376,0.109734,0.102819,20.5076,0.225115,0.015937,1.30871,
34,718.388,121.181,4.38648,4.53161,12.0765,1.04771,13.5689,2.09353,6.02471,1.8805,
35,0.274901,50.2886,2.42645,4.33432,7.70191,0.347326,73.0039,1.7512,4.65731,1.75336,
36,0.0720536,29.0011,0.0735744,0.0011322,0.109734,0.102819,20.5076,0.225117,0.0159406,1.30871,
37,0.512391,56.4352,0.834226,5.33015,2.89418,0.417692,99.6224,0.269225,0.566846,1.1571,
38,0.294206,95.4541,102.897,4.45686,0.851309,0.837268,8.10708,0.816153,1.83509,1.27146,
39,0.0720458,29.0011,0.0735763,0.00113371,0.109733,0.102819,20.5076,0.225115,0.0159356,1.3087,
40,0.0720518,29.001,0.0735786,0.00113397,0.109733,0.102818,20.5076,0.225117,0.0159338,1.30871,
41,0.0720453,29.001,0.0735809,0.0011386,0.109732,0.102817,20.5077,0.225123,0.015939,1.30871,
42,0.0720499,29.001,0.0735826,0.00113673,0.10973,0.102817,20.5077,0.225117,0.01594,1.3087,
43,0.0720551,29.001,0.0735748,0.00113668,0.109732,0.102817,20.5077,0.225121,0.0159421,1.30871,
44,31.4317,45.1839,133.58,3.14484,5.78023,0.4095,0.425279,1.82188,2.34744,1.10805,
45,0.0720528,29.001,0.0735891,0.00113401,0.109732,0.102818,20.5076,0.225118,0.0159367,1.3087,
46,0.0720498,29.0011,0.0735791,0.00113312,0.109736,0.10282,20.5076,0.225118,0.0159466,1.3087,
47,0.0720529,29.0011,0.0735741,0.00113046,0.109733,0.102819,20.5076,0.225115,0.0159382,1.30871,
48,0.072054,29.0011,0.0735801,0.00113374,0.109735,0.10282,20.5076,0.225118,0.0159407,1.30871,
49,0.0720561,29.001,0.0735793,0.00113579,0.109732,0.102819,20.5076,0.225115,0.0159416,1.30871,
