Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
38,53.0762,77.5418,46.2676,0.684485,1.99493,13.7541,18.9905,0.566719,5.98698,0.54235,1.38984,4.6317,0.408244,27.4534,0.527811,1.29524,1.29201,29.2811,16.0989,0.685369,11.0224,0.772631,1.40342,6.5215,0.0704792,8.17565,0.44285,0.300573,0.35591,0.129848,9.81826,0.0305215,0.0916775,0.195522,0.279261,0.109733,0.0613904,10.7883,0.0149882,0.517839,
39,53.0762,106.759,168.487,0.497157,1.54913,17.8756,37.2713,0.561474,9.40996,0.808221,1.71792,8.0527,0.428625,27.0045,0.50666,1.57333,1.02883,48.6067,92.3148,0.820022,22.7752,1.95599,2.63967,13.0695,0.0826628,6.78237,0.415697,1.423,0.0657,0.129848,9.40627,0.0305215,0.0916775,0.218658,0.217689,0.655178,0.325981,8.81112,0.0759439,0.822212,
40,53.0762,89.2724,97.6251,0.594542,1.65118,17.7032,21.5598,0.509545,4.81535,0.576294,1.36568,11.2731,0.40416,27.5159,0.52344,1.37475,0.957059,46.2908,23.8944,0.815538,7.1427,0.396949,1.58025,28.1515,0.0573126,9.038,0.391249,0.501993,0.100558,0.129848,5.19283,0.0305215,0.0916775,0.275251,0.164952,0.532422,0.234428,14.5677,0.0759439,0.822212,
41,53.0762,94.317,127.761,0.562742,1.564,15.8835,28.9602,0.566442,5.92314,0.592719,1.52833,8.37148,0.414404,28.5598,0.576965,1.37609,0.894492,42.8424,51.0397,0.841411,12.1359,0.436409,2.37728,19.6419,0.0720352,21.3683,0.494054,0.734809,0.345623,0.129848,9.22946,0.0305215,0.0916775,0.323214,0.279261,0.126098,0.171295,10.6864,0.0759439,0.822212,
42,52.5988,81.5717,96.3571,0.644817,1.45095,12.7777,27.9836,0.478662,4.22378,0.560282,1.38412,5.24288,0.392936,25.2433,0.521999,1.31151,0.807279,33.5375,50.4133,0.552682,5.45389,0.393571,1.1411,10.5849,0.0493644,5.62885,0.459565,0.386612,0.35591,0.129848,9.80699,0.0305215,0.0916775,0.303906,0.279261,0.0118114,0.280303,12.7795,0.0759439,0.573176,
43,51.0961,108.992,171.652,0.468805,1.42989,21.7358,35.11,0.471772,8.01064,0.579462,1.33443,10.2541,0.412522,27.7799,0.458586,1.41514,0.860807,56.28,76.6764,0.556447,20.9032,0.514121,1.2026,24.1529,0.0608821,17.1016,0.377741,0.587056,0.209111,0.129848,9.12223,0.0305215,0.0916775,0.274201,0.264434,0.294767,0.322206,14.1176,0.0759439,0.349743,
44,48.3908,98.1781,223.144,0.492888,1.4068,10.9196,41.4169,0.419327,4.63619,0.468156,1.27786,7.45472,0.438803,27.9554,0.423176,1.36123,1.23507,25.0384,162.115,0.622414,11.5221,0.181098,1.77981,21.8655,0.244291,10.3304,0.333872,0.515927,0.209111,0.129848,8.85219,0.0305215,0.0916775,0.262715,0.159855,0.350649,0.300438,14.3854,0.0679292,0.945802,
45,48.3908,117.081,220.689,0.413309,1.24232,19.3464,49.5676,0.567397,8.48171,0.540474,1.51405,7.86488,0.416597,25.5539,0.48301,1.50304,0.737247,54.7381,134.076,0.866334,22.5985,0.418467,2.92693,26.6782,0.153762,6.15093,0.470103,1.01561,0.0221119,0.129848,8.85219,0.0305215,0.0916775,0.323214,0.182949,0.029002,0.0910788,16.6976,0.0682045,0.94628,
46,48.3908,83.4311,105.263,0.58001,1.42247,12.6902,29.4913,0.494966,5.63089,0.478073,1.27218,3.57742,0.415358,26.3071,0.385233,1.26593,0.927771,16.2394,83.1941,0.863033,16.0389,0.120675,1.66839,3.92327,0.0963174,6.0239,0.323764,0.375269,0.209111,0.129848,8.85219,0.0305215,0.0916775,0.323214,0.182949,0.029002,0.293257,13.8648,0.0682045,0.907443,
47,48.3908,74.5173,54.9151,0.64939,0.977607,11.0741,22.3438,0.473519,3.5998,0.506149,1.34204,6.55228,0.392437,25.5112,0.478355,1.26604,0.75318,16.3834,22.3657,0.739616,4.76876,0.29875,1.98776,14.7645,0.0522176,5.50208,0.455219,0.311683,0.0395939,0.129848,8.85219,0.0305215,0.0916775,0.269999,0.182949,0.029002,0.247834,12.6712,0.0682045,0.291558,
