Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
68,45.9528,82.7136,104.782,0.555565,0.574667,18.4586,23.1475,0.771009,5.85255,0.581184,0.90264,6.6884,0.403414,23.5743,0.358166,1.40111,0.438462,41.4473,38.0891,0.984592,10.5151,0.387786,0.801847,22.2414,0.0934616,5.88199,0.468562,0.407589,0.0896599,1.47153,8.17978,0.164398,0.231797,0.30347,0.208559,0.0305464,0.0461637,8.66894,0.0864498,1.02485,
69,45.9528,77.9075,127.368,0.589838,0.618566,14.2358,24.9849,0.622009,6.03453,0.574172,1.06552,4.07524,0.417725,23.563,0.354243,1.36186,0.386221,41.2703,65.7998,0.863672,16.3775,0.449576,2.74546,10.7111,0.0542716,3.18473,0.363793,0.612186,0.117641,1.47153,8.17978,0.164398,1.65616,0.30347,0.250416,0.0305464,0.152549,15.3868,0.0864498,0.301944,
70,45.9528,129.039,201.33,0.356114,0.723368,29.4466,48.2435,0.930901,10.2888,0.699204,1.79919,10.4865,0.438212,23.8826,0.419846,1.68072,0.778779,62.0319,106.312,1.19908,20.1545,0.602465,3.69589,24.4375,0.12125,6.90079,0.433541,1.46505,0.0922068,1.47153,7.93389,0.164398,1.65616,0.30347,0.2578,0.0305464,0.151791,4.35492,0.0864498,0.826504,
71,45.9528,83.2492,139.497,0.551991,0.576947,15.7224,26.139,0.723,6.02439,0.553712,1.08242,5.71789,0.41651,24.5234,0.365225,1.40439,0.44773,43.1125,65.1615,0.761846,15.5013,0.403334,2.62597,24.0225,0.0677885,5.04576,0.334883,0.629822,0.0445981,1.47153,8.17978,0.164398,0.835527,0.30347,0.160083,0.0305464,0.166769,15.0599,0.0864498,0.786498,
72,45.9528,97.1193,236.613,0.473158,0.724267,16.1605,27.2931,0.675042,9.40725,0.531869,0.855406,5.71101,0.423628,33.483,0.390067,1.46423,1.19971,49.888,76.7464,0.733691,28.4118,0.322499,0.837658,16.0043,0.0687331,71.5307,0.406398,0.829321,0.0398645,1.93189,8.17978,0.164398,0.648716,0.231362,0.144192,0.0305464,0.140643,1.99235,0.0864498,1.00779,
73,45.9528,91.0271,160.14,0.504825,0.677108,20.9353,23.6537,0.635742,8.67251,0.572826,0.956526,7.00038,0.417242,25.4808,0.455644,1.56939,1.10007,63.6188,49.4609,0.839652,21.9541,0.377749,1.22445,24.3651,0.0719361,11.2315,0.567178,0.990587,0.0592765,1.93189,7.74716,0.164398,0.6828,0.231362,0.261102,0.0305464,0.142864,16.9482,0.0864498,1.02485,
74,45.9528,98.3008,181.053,0.467471,0.41842,20.499,34.6881,0.621624,6.56592,0.62392,1.20188,7.97899,0.421786,23.4802,0.420228,1.3806,0.247984,55.5865,89.4772,0.883105,14.639,0.629966,2.28773,32.6674,0.0959602,5.95298,0.551247,0.422032,0.0208308,1.93878,8.63945,0.164363,1.04271,0.231362,0.261102,0.0305464,0.0426234,7.47675,0.0864498,0.909329,
75,45.9528,92.0767,174.886,0.499071,0.504732,19.7989,23.2267,0.568466,5.21119,0.567614,1.36154,3.67485,0.432253,34.877,0.362779,1.49064,0.279925,51.3048,53.0797,0.781989,14.2923,0.403837,3.09394,11.1512,0.102357,76.0569,0.374128,0.894191,0.117641,1.93878,8.50262,0.127323,0.778665,0.231362,0.108999,0.0305464,0.249395,14.4514,0.0864498,1.12853,
76,45.9528,81.5775,137.428,0.563302,0.550642,8.55676,32.4728,0.592467,6.80146,0.494525,1.19794,5.82344,0.446083,22.8192,0.373077,1.44903,0.431295,12.9101,98.4657,0.763382,16.5008,0.150246,2.18123,20.2456,0.0658896,12.6646,0.454169,0.60441,0.0435464,2.01482,8.50262,0.17098,1.28205,0.213495,0.261102,0.0305464,0.378294,5.07319,0.0864498,1.12853,
77,45.9528,82.2571,131.932,0.558648,0.467227,21.784,18.1369,0.633371,8.28408,0.541206,0.85597,4.66388,0.422383,24.6472,0.367928,1.45288,0.658685,63.7032,28.8734,0.933368,23.3304,0.494286,0.605794,12.9808,0.0732605,5.62142,0.377056,0.683,0.0219157,2.01482,7.71708,0.17098,0.603855,0.131935,0.261102,0.0305464,0.0318034,14.4988,0.0864498,1.12853,
78,45.9528,114.44,205.855,0.401546,0.515573,23.828,44.864,0.797625,7.23484,0.773407,1.63385,10.0948,0.43359,22.4132,0.443455,1.40723,0.370169,62.1622,110.601,1.17717,15.7107,1.87497,3.37289,30.4321,0.0468623,5.54531,0.502778,0.644738,0.0256657,2.01482,7.34013,0.17098,1.1498,0.229421,0.261102,0.0305464,0.300766,6.55672,0.0864498,0.532171,
79,45.7658,97.9302,186.587,0.467331,0.517979,15.7111,38.0174,0.739993,9.11014,0.60632,1.00485,6.84831,0.441614,22.8907,0.393365,1.64853,0.581794,40.4618,106.062,0.831062,24.6072,0.594662,1.34687,27.491,0.0725582,3.90157,0.450046,1.86935,0.0166568,2.01482,8.38428,0.135337,1.50761,0.231362,0.192194,0.0305464,0.345387,9.27125,0.0864498,1.12853,
80,45.7658,117.317,228.201,0.390103,0.715411,21.9412,48.5899,0.947745,6.65835,0.88976,1.41895,10.1746,0.44955,23.6387,0.471153,1.42195,1.39253,61.2221,128.563,1.15634,11.8335,2.41793,3.06789,41.4226,0.0964755,6.44482,0.594493,0.532502,0.0166568,2.01482,8.40695,0.192206,1.06903,0.221865,0.271201,0.0305464,0.171081,8.89954,0.125008,1.1547,
81,45.7658,126.046,246.653,0.363088,0.697916,19.0115,58.4915,0.955182,7.02054,0.744498,1.64421,11.2016,0.466283,23.9441,0.4814,1.38725,0.984307,48.3274,168.378,1.34721,13.8009,1.06796,3.74104,34.1096,0.207479,3.753,0.555357,0.615349,0.0166568,2.01482,8.31067,0.194478,1.48842,0.221865,0.313923,0.0305464,0.128048,12.102,0.109093,0.750588,
82,45.7658,132.533,535.901,0.345317,0.517257,11.9074,18.2891,0.700567,4.96949,0.501952,0.779845,5.2449,0.459043,87.4612,0.334133,1.368,0.338754,47.9649,40.2522,0.957937,7.30281,0.358675,0.727805,21.5103,0.116471,446.312,0.25594,0.316485,0.0166568,2.01482,8.09943,0.194478,1.79054,0.221865,0.298907,0.0305464,0.387848,16.9482,0.109093,1.1961,
83,45.7658,96.3042,152.052,0.475221,0.70575,18.8202,36.0605,0.79653,7.60474,0.578469,1.43864,4.58613,0.461539,23.4531,0.376771,1.42184,1.21245,44.4177,87.5255,1.02159,16.1531,0.519004,2.82907,13.0803,0.157989,64.3887,0.296295,0.615126,0.0166568,2.01482,8.50262,0.194478,1.0333,0.164532,0.202862,0.0305464,0.142205,0.534507,0.11314,1.19496,
84,45.7658,131.323,234.35,0.348498,0.590521,25.4636,51.3544,0.945735,10.3509,0.662513,1.88199,11.9929,0.446431,25.4181,0.592066,1.62373,0.498079,66.5719,134.547,1.45368,23.0199,0.673051,3.89089,32.6817,0.0892875,9.72515,0.79485,1.1022,0.0166568,2.01482,8.48565,0.194478,1.79054,0.221865,0.344164,0.0305464,0.172332,7.82949,0.11314,1.1961,
85,45.7658,100.263,176.273,0.456456,0.563558,19.4059,37.7494,0.850145,5.43441,0.587796,1.34585,8.05099,0.457014,24.0704,0.379471,1.36833,0.428251,52.6054,103.076,1.14218,8.86289,0.612447,2.40503,24.98,0.136438,5.11874,0.362655,0.421552,0.0166568,2.01482,8.34333,0.194478,1.55616,0.221865,0.282257,0.0305464,0.0834933,8.34521,0.11314,1.17353,
86,44.7572,109.195,217.365,0.409882,0.578154,25.9113,30.2956,0.697749,10.0655,0.632846,0.914421,5.84582,0.42829,31.9184,0.422488,1.4848,0.671619,73.7726,68.741,1.05672,22.2859,0.641811,0.83533,16.7043,0.0774163,58.6098,0.548593,0.755521,0.0160577,2.01482,8.09803,0.194478,1.79054,0.221865,0.338449,0.0305464,0.129052,10.726,0.11314,1.1961,
87,44.7572,67.146,81.5117,0.666565,0.531281,12.0024,16.1563,0.644502,6.30924,0.549766,0.874568,4.60445,0.421991,23.1769,0.388649,1.48597,0.413868,32.9286,24.4514,0.744276,16.2207,0.419881,1.25156,14.4226,0.0805306,9.65414,0.352438,0.901964,0.0166568,2.85068,8.56606,0.177825,2.20626,0.221865,0.298533,0.0305464,0.0292957,2.25402,0.104878,1.1961,
88,43.4913,88.7088,150.137,0.49027,0.507479,8.98424,31.0523,0.71154,6.6304,0.582447,0.795082,5.52505,0.453026,31.7843,0.353383,1.32952,0.503707,11.9553,93.3938,0.796638,12.1888,0.478905,0.879132,18.7497,0.0711602,61.2973,0.357749,0.393735,0.0547758,2.58606,8.32068,0.217584,1.49972,0.221865,0.315713,0.0305464,0.382453,3.09173,0.11314,0.486853,
89,43.4913,76.7435,125.064,0.56671,0.631624,16.9796,22.2051,0.738541,5.84263,0.561296,1.08372,3.18171,0.438481,23.2713,0.383701,1.42585,0.740034,51.6908,54.4838,0.656747,11.2786,0.496076,1.64569,9.9268,0.0489259,9.58868,0.415187,0.764033,0.0183329,2.57014,7.81304,0.217584,2.5763,0.221865,0.301123,0.0305464,0.184681,0.524556,0.11314,1.1712,
90,43.4791,80.4357,164.256,0.540545,0.438859,13.7252,29.6263,0.754176,4.70361,0.581181,1.11361,3.51304,0.447105,23.8048,0.320785,1.40708,0.320019,48.4471,97.1674,0.856974,6.51151,0.590877,3.48864,12.6953,0.0572353,2.22566,0.212272,0.6522,0.0444186,2.57014,8.35832,0.217584,2.5763,0.221865,0.286089,0.0305464,0.401464,16.9482,0.110581,1.19503,
91,43.4791,88.6284,228.139,0.490577,0.495093,14.6737,27.4429,0.582595,12.2224,0.517806,0.663567,4.6184,0.440957,25.2087,0.332019,1.43016,0.4085,55.8278,86.2929,0.591639,54.1116,0.35396,0.930996,20.1402,0.0306795,14.1694,0.279004,1.12735,0.0444186,2.37591,8.29176,0.217584,2.69848,0.292964,0.174931,0.0305464,0.318687,10.804,0.110581,0.510021,
92,43.4791,67.3798,90.2454,0.645284,0.51512,8.09312,20.2252,0.795151,6.33705,0.558447,0.874594,4.24259,0.432971,23.566,0.355192,1.38433,0.647411,27.1462,45.1918,1.09744,12.8275,0.436674,1.47091,14.5698,0.0569354,3.10118,0.283613,0.586895,0.0232233,2.58606,8.28255,0.217584,2.87577,0.292964,0.307493,0.0186424,0.165625,9.48162,0.110581,1.03948,
93,43.4791,144.606,309.218,0.300673,0.566532,26.2198,71.4702,0.98675,9.01376,1.00287,1.36347,8.79153,0.476848,22.7055,0.482616,1.5262,0.814364,71.0011,196.276,1.39367,23.1425,1.98077,3.05649,24.1004,0.170313,3.90248,0.580652,1.24514,0.0172517,2.56724,8.29176,0.229368,2.82225,0.29467,0.291537,0.0186424,0.399445,7.79651,0.110581,0.490371,
94,43.4791,81.236,189.477,0.53522,0.361051,14.5888,25.3444,0.584029,8.71619,0.628088,0.640701,4.99819,0.451574,23.0679,0.366176,1.48888,0.373522,55.3531,91.2594,0.658658,26.2463,0.970087,1.26775,21.8873,0.10456,3.42707,0.343372,1.28136,0.017762,2.41267,8.25529,0.229368,2.8843,0.198578,0.306222,0.0186424,0.172341,1.30573,0.110581,1.19503,
95,43.4791,96.5415,162.152,0.450367,0.464067,17.5672,37.5323,0.75129,9.19561,0.667786,0.778905,5.241,0.42937,22.0837,0.413141,1.41712,0.671541,54.9385,87.582,0.986364,17.609,0.567348,1.48696,16.1045,0.0877907,5.30312,0.417695,0.565122,0.017762,2.41267,8.29176,0.229368,3.0859,0.343135,0.0757091,0.0186424,0.0239131,4.15762,0.110581,1.20066,
96,43.4094,84.8028,201.164,0.511887,0.301606,16.9951,27.4464,0.532613,5.77511,0.857902,0.735168,7.32217,0.460997,22.7186,0.334124,1.32309,0.382357,67.2319,100.696,0.462641,12.151,2.33478,1.25173,35.5689,0.156933,3.98033,0.387586,0.228549,0.0161353,2.41267,8.29176,0.225315,2.84485,0.343135,0.310966,0.0186424,0.32513,3.37509,0.110581,1.17062,
97,42.281,74.0794,147.623,0.570753,0.233311,14.1686,21.4046,0.778971,5.12507,0.595132,0.801478,5.80715,0.442575,23.091,0.316639,1.31484,0.282861,53.7913,60.6429,0.907886,7.38683,0.488031,1.62858,26.6373,0.0762494,2.40839,0.358901,0.317207,0.0232233,2.41267,8.10067,0.229368,3.10213,0.358955,0.299027,0.0319047,0.0417207,12.2938,0.110581,1.02614,
98,42.281,100.677,190.784,0.419966,0.351995,15.3977,44.2173,0.857677,7.60828,0.659382,0.81897,5.71271,0.473367,22.866,0.388015,1.32575,0.618906,42.7311,118.243,1.04979,16.8211,0.542026,1.66528,20.8006,0.113577,3.64576,0.504226,0.319417,0.0166948,2.04792,8.29176,0.229368,3.05869,0.358955,0.247872,0.0301186,0.429695,8.32133,0.130315,0.884189,
99,42.281,70.6319,130.405,0.598611,0.328273,10.2729,23.4298,0.660514,4.80776,0.584679,0.794687,3.48323,0.44346,24.1652,0.359405,1.30188,0.881845,42.5348,84.9071,0.780922,6.83024,0.468539,2.19536,17.4613,0.047179,7.80536,0.465113,0.189344,0.0160601,2.04792,8.21855,0.229368,3.0778,0.358955,0.310966,0.0263861,0.301333,12.0554,0.128867,1.14204,
100,41.9127,66.5433,115.54,0.629855,0.256656,10.8381,18.5291,0.769206,5.09201,0.603841,0.730039,5.03864,0.437659,22.6102,0.359357,1.27858,0.449351,43.6933,48.3763,0.936346,7.56886,0.472515,1.60209,20.2119,0.0653382,2.96349,0.396045,0.175192,0.0160601,2.04792,8.21855,0.229368,3.10213,0.380267,0.305371,0.0144496,0.0115195,12.0454,0.152654,0.686705,
101,41.382,100.07,238.295,0.41353,0.206528,17.8024,39.3739,0.836304,7.16786,0.742114,0.778214,6.64756,0.47054,24.3601,0.376576,1.30788,0.263138,64.8652,121.589,1.21285,17.4697,1.18052,1.97758,26.8153,0.219313,9.89627,0.406833,0.51144,0.0166205,2.07218,8.48085,0.229368,3.10213,0.380267,0.288478,0.0144496,0.0131396,12.2617,0.152654,0.358816,
102,40.5591,71.6956,117.867,0.565712,0.2039,16.0218,18.5102,0.756541,6.4725,0.629751,0.65737,3.67783,0.43217,22.6778,0.381764,1.27395,0.276541,56.4288,43.7644,0.959415,11.4337,0.544268,1.10475,14.7957,0.09458,2.53755,0.490095,0.175326,0.0166205,2.06995,8.33132,0.229368,3.10213,0.380267,0.305371,0.0144496,0.0385509,12.021,0.152654,0.743781,
103,40.5591,108.052,221.782,0.375368,0.299331,16.5765,46.5078,0.81977,9.44967,0.690289,1.07873,8.35917,0.454822,21.915,0.426335,1.47414,0.654086,53.2085,125.868,1.08413,18.5424,0.583124,2.16687,29.8089,0.153912,3.19325,0.495245,0.862835,0.016413,1.92139,8.33132,0.24392,3.39982,0.380267,0.309836,0.0144496,0.0682339,4.1111,0.130425,0.199586,
104,40.5591,100.364,199.176,0.404118,0.310308,16.3764,36.8799,0.806651,9.85554,0.624614,1.10194,10.5006,0.432772,21.6846,0.337248,1.45388,0.726003,55.1822,88.2009,1.00156,23.3153,0.421979,2.98022,40.4819,0.0889926,3.26264,0.324503,0.749986,0.0166205,1.92139,8.14138,0.24392,0.637379,0.37168,0.309836,0.0263861,0.0417882,10.3516,0.130425,0.85596,
105,40.5591,178.291,771.077,0.227488,0.152181,13.7778,23.9177,0.809159,7.47267,0.636834,0.699592,7.06804,0.441917,121.546,0.345859,1.42283,0.197019,48.469,59.0912,1.18174,14.3545,0.473121,1.78015,25.8436,0.026472,697.235,0.357958,0.692557,0.0166205,1.7312,8.14138,0.24392,3.22378,0.37168,0.127648,0.0152459,0.334061,11.209,0.138957,0.851823,
106,40.3437,84.7958,174.429,0.475774,0.364446,12.9348,32.8036,0.645132,6.97363,0.622278,0.850771,4.8313,0.445742,22.5203,0.352611,1.45123,1.15491,44.0818,99.4397,0.725804,14.8063,0.436566,2.05717,22.7251,0.0620351,98.0738,0.432309,0.854903,0.0164038,1.7312,8.09167,0.242852,3.39982,0.383545,0.304324,0.0152459,0.153659,13.8553,0.120462,1.15447,
107,39.0165,112.41,209.446,0.34709,0.272062,23.4013,39.9653,0.851291,10.5801,0.707793,0.852304,10.7916,0.4466,22.5326,0.513545,1.49572,0.632917,67.754,110.551,1.0929,21.1737,0.574452,1.45943,31.9026,0.15231,4.21322,0.789883,0.944739,0.0166205,1.685,8.01551,0.242852,3.40787,0.383545,0.309776,0.0266738,0.038517,10.7105,0.171332,0.819262,
108,39.0165,82.9609,205.867,0.4703,0.111807,11.1777,31.341,0.591981,8.67635,0.682628,0.595619,5.43083,0.47335,22.1095,0.317217,1.45283,0.174437,47.8083,108.977,0.514624,24.7326,0.706876,1.01081,27.0041,0.151496,1.05838,0.388765,0.980122,0.0166205,1.62771,8.14138,0.242852,3.27858,0.383545,0.309776,0.0266738,0.430723,16.7645,0.118859,1.16667,
109,38.9458,85.6194,184.983,0.454871,0.184418,15.5679,29.2784,0.676796,7.38203,0.591822,0.84396,6.49804,0.446637,22.303,0.313878,1.53258,0.475073,58.6699,105.377,0.761961,15.8574,0.232168,2.7793,31.3401,0.139933,2.87551,0.336464,1.49063,0.0164904,1.50664,8.14138,0.242852,3.29088,0.383545,0.316902,0.0266738,0.0849163,15.564,0.118859,0.67208,
110,38.9458,65.3137,125.928,0.596288,0.140243,11.2671,14.7382,0.593781,6.68217,0.621765,0.66735,6.4226,0.429782,22.0699,0.316391,1.36442,0.287106,48.3091,30.1151,0.51785,17.4877,0.308992,1.41251,33.6331,0.0656434,1.3055,0.392932,0.796941,0.0164904,1.50664,8.22732,0.243709,3.37243,0.382257,0.315845,0.0266738,0.0899054,20.8423,0.119742,1.04411,
111,38.9458,57.7374,122.726,0.674532,0.109278,5.01897,17.1843,0.537225,5.98398,0.617082,0.642893,4.05254,0.437299,21.4697,0.270494,1.41366,0.120069,21.673,56.7594,0.416366,16.1567,0.366173,1.58475,27.0442,0.0438039,1.84876,0.288129,1.14767,0.0164904,1.50664,7.70433,0.243709,3.04613,0.382257,0.305065,0.0266738,0.137655,9.56563,0.132053,1.16988,
112,38.5424,77.3327,190.746,0.498397,0.184529,8.66236,32.2792,0.5634,6.7409,0.746984,0.963556,3.36749,0.456033,21.6397,0.283735,1.44485,0.498419,36.9718,131.989,0.656002,15.0435,0.974635,3.25382,17.142,0.161661,2.57779,0.255825,0.927939,0.0164904,1.35256,7.92374,0.238275,3.39121,0.354445,0.315141,0.0266738,0.0274802,11.0799,0.127206,1.14527,
113,38.056,115.061,259.216,0.330747,0.12468,20.0741,51.3448,0.742569,9.25366,1.4452,1.01177,7.64521,0.481661,21.1027,0.299234,1.535,0.201358,73.519,143.862,1.18482,19.3563,5.63321,2.52754,28.485,0.154512,1.26543,0.366347,1.0577,0.0164904,1.3217,8.22732,0.238275,3.39468,0.354445,0.315141,0.0266738,0.435505,16.5517,0.118866,1.14527,
114,38.0474,65.0119,109.708,0.585237,0.206806,11.7267,14.9686,0.632626,6.87587,0.626748,0.779699,5.90703,0.436183,21.2694,0.305717,1.27647,0.711654,43.2349,28.243,0.969731,12.703,0.633238,1.65024,25.7598,0.0591495,4.96705,0.40103,0.383938,0.0164904,1.30954,8.22732,0.238275,3.37256,0.329348,0.306753,0.0266738,0.238111,4.44791,0.118866,0.937855,
115,37.7813,95.2957,189.287,0.396464,0.196267,17.0259,40.4767,0.654111,7.4488,0.650188,1.0027,5.20115,0.439261,20.3722,0.414562,1.41387,0.590933,57.424,107.859,0.973578,14.506,0.518374,2.27178,16.807,0.0896401,2.41122,0.636045,0.857532,0.0162002,1.29132,8.22732,0.241643,2.4171,0.312357,0.306753,0.0266738,0.148944,10.589,0.118866,0.458451,
116,37.7608,95.6879,239.562,0.394624,0.308332,17.9703,26.3003,0.668825,9.22327,9.2399,0.708347,8.57561,0.437169,20.5079,0.36957,1.37832,1.19057,65.0997,69.5341,1.09722,23.2725,60.3854,1.15726,37.8247,0.0484524,2.48764,0.541743,1.0061,0.0162002,1.29132,8.26572,0.242032,3.30641,0.303373,0.313035,0.0266738,0.177461,8.95784,0.118866,0.350556,
117,37.5923,86.3318,195.623,0.43544,0.193526,20.7933,26.8834,0.501841,8.24046,0.553697,0.8775,4.94168,0.4308,21.2789,0.310684,1.32601,0.663468,76.1785,81.4612,0.716201,18.5587,3.98537,2.11557,20.8344,0.0753043,5.35979,0.425718,0.449404,0.0163899,1.29132,8.26572,0.242032,3.34954,0.297486,0.313035,0.0322458,0.0671526,3.05577,0.118866,0.976403,
118,37.5923,94.2314,238.297,0.398936,0.219318,12.0144,44.4798,0.553148,6.3403,0.793374,1.16809,5.75024,0.464243,20.8519,0.293638,1.30292,0.771062,45.4024,152.042,1.0114,11.4875,1.86571,3.75478,23.1643,0.119721,3.66955,0.309607,0.734494,0.0163609,1.29132,8.47911,0.241679,3.42495,0.267791,0.313035,0.0275857,0.436024,10.8028,0.118866,0.180649,
119,36.9966,361.761,1899.12,0.102268,0.179735,25.0882,292.967,0.71359,11.554,0.775725,1.95434,5.90926,0.516889,20.1991,0.426798,1.47634,0.508854,80.6452,1790.72,1.39609,27.3185,1.67811,7.15796,20.4675,0.450806,5.15276,0.68336,1.16642,0.0160723,1.29132,8.30154,0.241679,3.50526,0.212524,0.319094,0.0275857,0.336624,1.05601,0.120176,0.735998,
120,36.9965,64.1779,129.683,0.576467,0.0630888,11.1072,19.1554,0.370205,5.52492,0.431473,0.758372,3.89419,0.434889,20.8117,0.313166,1.31334,0.202241,49.6709,239.717,0.581687,13.8261,0.348565,1.7842,18.6234,0.0944082,1.28691,0.357671,0.39449,0.0160723,1.17036,8.18975,0.244514,3.50526,0.115083,0.319094,0.0132632,0.134738,16.4284,0.132028,1.19587,
121,36.9965,95.4335,187.459,0.387668,0.228076,16.9344,36.8003,0.731494,10.0744,0.547203,1.25349,5.63997,0.441652,20.782,0.444837,1.55569,0.668992,54.7933,104.161,1.42314,20.3821,0.488488,2.83115,19.0684,0.0668088,6.7592,0.691587,1.53325,0.0160723,1.17036,8.18975,0.244514,3.50526,0.115083,0.324893,0.0132632,0.215586,5.48237,0.119485,0.232503,
122,36.6614,81.7659,175.986,0.448371,0.139051,19.0583,23.6956,0.548246,8.0991,0.454993,0.608598,4.32734,0.436912,22.5594,0.374205,1.46408,0.523314,70.8713,66.4202,1.10708,17.7422,0.449261,0.738877,19.7578,0.0630667,13.4892,0.596769,1.05493,0.0160723,1.07505,7.94098,0.245592,3.50526,0.0844307,0.323283,0.0132632,0.153013,16.6354,0.117367,1.18269,
123,36.6614,53.2264,111.829,0.688782,0.0555028,3.51805,20.4162,0.325694,4.52671,0.42441,0.674414,0.983848,0.45314,20.3456,0.261207,1.24166,0.209206,22.2376,83.4824,0.373774,5.9995,0.575168,1.37474,6.10453,0.0591346,2.4348,0.276201,0.239849,0.0163526,1.07505,7.94098,0.24317,3.60904,0.0844307,0.323283,0.0132632,0.439806,13.2182,0.117349,1.20196,
124,36.5346,66.1093,142.572,0.552638,0.0960378,10.041,23.2799,0.366807,6.51423,0.439178,0.537287,2.65851,0.447782,20.1011,0.275032,1.35244,0.363479,44.078,72.2147,0.465897,15.1273,0.547356,0.663835,14.9864,0.0200419,2.47451,0.191749,0.663774,0.0161304,1.07505,7.94098,0.24317,3.60217,0.0844307,0.323283,0.0132632,0.429095,3.2196,0.117349,1.1993,
125,36.5346,70.2864,121.242,0.519795,0.268551,12.8151,22.1078,0.499749,6.99567,0.435114,0.73265,4.80979,0.43438,19.5144,0.355562,1.31771,0.975981,51.6887,49.2365,0.783135,12.1477,0.537209,1.938,17.0958,0.0518099,3.62884,0.456121,0.478939,0.0163526,1.07505,7.83954,0.245108,3.58362,0.0844307,0.316912,0.0132632,0.130682,1.25278,0.117367,0.853947,
126,36.4355,86.2715,167.369,0.422336,0.257596,17.2871,27.5794,0.650322,8.43459,0.394332,1.08672,6.91544,0.444773,21.1545,0.450688,1.61606,0.828794,61.8415,67.3593,1.21595,20.8806,0.441685,2.18993,29.5443,0.142687,5.52415,0.699633,2.07028,0.0163526,1.02669,7.83954,0.245108,3.59559,0.0844307,0.323075,0.0229808,0.0769681,9.32232,0.118609,0.396383,
127,36.1091,56.395,102.249,0.640288,0.0942745,3.94065,21.0103,0.452381,4.56649,0.326782,0.626068,3.15234,0.449141,20.2385,0.295386,1.24267,0.356328,20.8267,77.7139,0.899847,6.75019,0.433744,1.24231,15.4261,0.0512745,1.5271,0.345644,0.383915,0.0163526,0.986265,7.83954,0.245108,3.59559,0.0844307,0.323075,0.0229808,0.279292,13.7016,0.118609,0.69934,
128,36.1091,100.149,199.06,0.360554,0.189141,12.7894,33.593,0.607692,6.88036,0.428367,0.790879,9.72763,0.462704,32.9557,0.404335,1.31955,0.556784,44.3809,91.7367,1.14306,12.3061,0.644874,1.20185,33.3955,0.0935314,86.6395,0.532004,0.400852,0.016363,0.96578,7.79748,0.247153,2.39674,0.0844307,0.323075,0.0167745,0.169821,9.51014,0.117239,1.08955,
129,36.0696,70.1378,139.996,0.514268,0.0558315,6.9465,27.7239,0.480257,7.18883,0.367772,0.651147,4.52717,0.442997,19.9994,0.42203,1.33193,0.15487,27.9447,84.1457,0.835359,14.0363,0.551479,1.28782,18.8714,0.0758721,1.99623,0.629072,0.892802,0.0164172,0.896516,7.79748,0.247153,3.49374,0.105609,0.322454,0.0132071,0.047668,10.6105,0.146098,0.314602,
130,35.9315,62.1202,125.953,0.578418,0.169544,7.47096,21.6375,0.3645,5.92991,0.293446,0.417438,3.43083,0.447463,20.2122,0.334239,1.41217,0.903201,31.2663,67.4474,0.511219,12.5728,0.354803,0.348197,16.4203,0.00805211,1.64832,0.232025,1.32642,0.0161187,0.860128,7.79011,0.245627,3.58564,0.105609,0.314857,0.0185863,0.404927,8.86826,0.176833,0.687339,
131,35.9315,69.4233,134.517,0.51757,0.123962,8.1648,22.6533,0.57626,7.21772,0.376641,0.489536,6.54172,0.450695,21.0433,0.386916,1.39843,0.615913,40.2954,76.9572,1.24314,15.4329,0.629546,0.59309,26.432,0.104146,6.35716,0.441771,0.843506,0.0161187,0.860128,7.79748,0.245563,3.57061,0.105609,0.321815,0.0185863,0.0208162,11.4031,0.175316,1.21171,
132,35.8641,172.38,786.083,0.208052,0.257973,15.4271,116.066,0.502009,9.12798,0.349958,1.0363,7.85266,0.457894,19.4685,0.412511,1.42166,1.13408,61.8258,666.569,0.987622,29.0142,0.630422,3.2374,34.2357,0.124982,3.86156,0.530695,0.927266,0.0161187,0.860128,7.79748,0.245739,3.56701,0.105609,0.321815,0.0157797,0.0201878,0.495752,0.175316,1.03696,
