Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
0,95.4264,399.937,336.627,0.238604,71.4704,67.6776,5.24633,114.3,50.4517,20.086,3.71974,46.88,20.1049,79.0083,81.1176,3.65686,346.368,62.244,22.4268,4.3653,55.6118,24.2053,1.94901,3.0686,0.150799,12.4974,0.340571,0.941429,0.442513,3.02763,0.585356,
1,95.4264,342.493,194.876,0.278623,63.3304,54.137,5.74261,27.1857,42.6278,51.3229,3.79278,42.9581,51.3958,32.482,40.4678,3.25485,92.1124,36.1448,103.181,2.61856,27.5549,103.342,1.94901,1.96945,0.117641,12.4974,0.340571,1.34722,0.466037,3.02763,0.585356,
2,95.4264,360.75,386.544,0.264523,66.0639,47.8202,5.47394,30.0691,36.3441,67.4481,3.69747,36.7041,67.1287,29.8657,33.1944,3.2246,38.1793,31.2258,186.874,2.70526,27.4797,184.384,1.94901,1.96945,0.117641,12.4974,0.340571,1.13774,0.466037,3.02763,0.585356,
3,95.4264,339.69,376.757,0.280922,63.2792,43.8888,5.61889,25.0473,33.6821,65.0588,4.07746,34.3369,64.7002,29.9739,30.977,3.40651,19.4759,30.1903,183.709,3.00911,26.9951,180.131,1.94901,1.96945,0.117641,12.2968,0.340571,1.13774,0.564308,3.02763,0.585356,
4,95.4264,411.223,414.212,0.232055,61.3696,44.8089,5.41091,31.8077,29.2398,99.3112,3.93082,36.072,99.2722,29.8623,31.4775,3.44948,88.0336,27.2342,197.215,2.84659,27.0508,202.486,1.94901,1.96945,0.117641,1.43965,0.303732,1.13774,0.564308,3.02763,0.585356,
5,95.4264,318.721,228.57,0.299405,60.3349,39.3257,5.29282,24.8724,28.5608,62.7257,4.20786,30.6042,62.7961,29.256,28.2159,3.32092,15.6188,28.2469,127.045,2.94001,24.8216,119.768,1.94901,1.96945,0.0808089,12.0632,0.260041,1.13774,0.564308,3.02763,0.585356,
6,95.4264,366.919,408.152,0.260075,59.1188,36.8256,5.56169,24.7248,25.3751,91.361,4.26375,28.611,91.0775,27.8742,26.6381,3.32733,13.3006,24.8795,206.007,2.99654,24.2014,203.294,1.94901,1.96945,0.0808089,12.4974,0.340571,1.13774,0.564308,3.02763,0.585356,
7,95.4264,311.619,341.872,0.306228,61.8856,34.6502,5.72833,24.0042,25.3112,63.0775,4.42065,29.7004,62.8406,30.7852,26.0779,3.71544,13.2567,26.5123,170.555,3.00372,21.4195,170.388,1.94901,1.45603,0.0808089,12.4974,0.340571,1.13774,0.564308,3.02763,0.585356,
8,95.4264,301.886,218.111,0.316101,58.2923,36.2671,5.5071,23.8233,27.9602,57.3885,4.22095,30.968,57.4581,27.2704,24.1539,3.52109,13.2905,28.7506,103.969,3.04053,22.6008,103.816,1.94901,1.96945,0.0808089,12.4974,0.340571,1.13774,0.564308,3.12373,0.585356,
9,95.4264,313.631,208.85,0.304264,58.9873,33.4786,5.18709,23.993,24.1519,67.3347,3.91596,29.1521,67.4301,27.9767,23.2786,3.4376,12.7711,24.5745,101.405,2.86175,21.9212,102.207,1.94901,1.96945,0.0808089,12.4683,0.340571,1.13774,0.564308,3.10351,0.585356,
10,95.4264,373.261,460.548,0.255656,57.0753,35.5911,5.89633,24.9745,23.9798,97.3697,4.33508,26.9348,97.1048,28.1152,25.4541,3.52938,14.0847,26.5137,218.983,3.01313,21.1072,222.133,1.94901,1.96945,0.0808089,9.51954,0.340571,1.13774,0.564308,3.10351,0.585356,
11,95.4264,280.586,164.401,0.340097,59.1201,37.8599,5.41798,25.8159,23.2564,50.0444,4.28336,24.686,50.1018,29.4406,26.1773,3.21341,12.987,25.3063,80.4163,3.16589,20.9338,93.0033,1.94901,1.96945,0.117641,12.583,0.340571,1.13774,0.564308,3.10351,0.585356,
12,95.4264,260.58,127.261,0.366208,57.8066,33.1621,5.43081,26.3109,24.0819,43.5959,4.25248,22.3024,43.6367,29.7479,23.9863,3.20934,12.7145,27.5785,63.8643,2.91451,18.2994,64.0105,1.94901,1.96945,0.117641,12.583,0.340571,1.13774,0.636446,3.10351,0.585356,
13,95.4264,285.906,189.461,0.333769,58.5396,31.2314,5.45284,25.4811,23.8942,56.67,4.33513,23.569,56.7325,40.4404,21.7382,3.12529,12.7678,24.8735,95.5258,2.9175,17.1617,95.6998,1.94901,1.96945,0.117641,12.583,0.340571,1.13774,0.636446,3.10351,0.585356,
14,95.4264,267.26,163.462,0.357055,55.3024,28.6525,5.53877,25.6145,24.7573,50.1496,4.37548,22.6723,50.1971,27.3375,21.3838,3.19651,12.4306,25.4015,83.7451,2.79448,17.44,83.8815,1.94901,1.96945,0.117641,12.583,0.340571,1.13774,0.697981,3.10351,0.585356,
15,95.4264,285.191,220.745,0.334605,56.5411,30.4788,5.13021,26.2661,24.7734,58.3813,4.22025,20.9765,58.4238,25.7004,23.381,3.23597,12.4801,26.5238,110.611,2.78223,15.8748,111.891,1.94901,0.472146,0.117641,12.639,0.205452,1.13774,0.73601,3.10351,0.585356,
16,95.4264,310.299,251.452,0.307531,61.0523,29.6826,5.5182,24.6484,23.9119,68.6115,4.6039,23.5932,68.6769,55.2822,22.4279,3.27714,9.73509,25.1694,123.718,3.17558,18.0703,124.27,1.94901,1.43989,0.117641,12.639,0.504888,1.13774,0.604052,3.12373,0.585356,
17,95.4264,234.116,105.782,0.407604,54.5153,27.9524,5.24914,25.8051,21.1328,37.7397,4.01854,19.9314,37.7711,26.4369,20.7088,3.2319,9.19288,23.6465,63.4616,2.87112,16.0205,64.3208,1.94901,1.96945,0.117641,12.639,0.515306,1.13774,0.708012,3.12373,0.585356,
18,95.4264,242.475,128.558,0.393552,54.5409,28.0185,5.32276,24.912,21.8479,40.8563,4.23028,21.8588,40.8875,25.3642,20.7355,3.11603,9.18157,22.6564,62.0664,2.80129,15.8181,63.0362,1.94901,1.96945,0.0907655,12.639,0.515306,1.13774,0.641421,3.12373,0.361104,
19,95.4264,239.764,148.128,0.398002,52.7022,28.2139,5.57021,25.6609,19.4535,41.9674,4.07522,20.1288,41.9916,24.4757,19.5778,3.34414,9.14849,20.7991,71.1919,2.82289,16.0864,71.5398,1.94901,1.96945,0.117641,12.639,0.515306,1.13774,0.73601,3.21071,0.361104,
20,95.4264,248.622,150.888,0.383822,51.3485,25.978,5.76683,24.4112,20.8528,46.8515,4.34367,22.1783,46.8909,23.7923,19.3239,3.26328,8.82712,22.9276,72.9918,2.94327,15.6206,73.1469,1.94901,1.96945,0.117641,12.639,0.441802,1.13774,0.73601,3.21071,0.361104,
21,95.4264,254.497,161.211,0.374961,50.7606,27.7396,5.63749,24.948,18.1425,51.024,4.49586,20.6863,51.0626,23.7817,20.4833,3.25737,8.82813,20.5044,78.793,3.13669,15.7889,79.3186,1.94901,1.96945,0.117641,12.639,0.254683,1.13774,0.73601,3.21071,0.361104,
22,95.4264,243.492,158.18,0.391907,51.2505,25.4032,5.95195,24.7588,19.691,45.7841,3.90516,20.9286,45.819,25.4437,18.4973,3.38262,8.71702,20.4864,81.3766,2.81239,15.332,80.8831,1.94901,1.96945,0.117641,12.639,0.515306,1.13774,0.639058,3.21071,0.361104,
23,95.4264,252.811,343.581,0.377462,50.1623,26.3757,5.71036,24.6922,19.7146,50.8295,4.13295,20.7175,50.4754,23.8436,18.7952,3.46525,8.65808,19.5417,168.637,2.78766,12.9541,165.159,1.94901,1.96945,0.0180394,14.5399,0.515306,1.13774,0.639058,3.21071,0.361104,
24,95.4264,228.591,148.101,0.417455,45.3815,26.5166,5.29029,25.1017,17.3777,42.6818,4.11173,19.4263,42.7035,20.6775,19.2147,3.51058,8.55709,18.5672,73.7199,2.90274,13.5397,74.2801,1.94901,1.96945,0.117641,14.5399,0.515306,0.470647,0.639058,3.21071,0.147744,
25,95.4264,249.601,264.923,0.382316,49.0099,27.2665,5.76336,25.5386,17.5524,50.7432,4.29791,18.6927,50.7362,24.5661,19.9171,3.43519,8.54392,18.5114,122.378,3.03343,14.6999,122.519,1.94901,1.38369,0.117641,9.87938,0.515306,0.470647,0.639058,3.21071,0.147744,
26,95.4264,213.865,106.402,0.446199,44.8083,25.2732,5.3868,25.3791,15.7205,37.2885,4.08716,18.623,37.2987,21.2169,17.1283,3.45229,8.37554,13.462,60.1048,2.88355,13.0995,57.647,1.94901,1.96945,0.117641,14.5399,0.515306,0.470647,0.639058,3.21071,0.147744,
