Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
0,72.5977,299.712,112.769,0.242225,38.8357,69.4352,4.37763,40.2671,30.0892,32.4455,3.54295,48.6478,32.0713,35.1815,80.9244,5.13484,61.1262,30.6839,39.142,3.894,59.5841,41.6113,7.92167,2.63669,0.0589021,12.5908,0.287667,1.34722,0.539115,3.70797,0.585356,
1,72.5977,353.699,243.086,0.205253,35.6055,48.3539,4.9125,36.4034,16.6655,90.3864,3.5147,27.7928,90.0639,16.605,38.3544,3.15443,25.8857,16.752,117.127,2.08389,31.5238,136.208,7.92167,2.63669,0.0589021,13.0317,0.287667,1.34722,0.669908,3.55692,0.585356,
2,72.5977,298.849,181.964,0.242924,29.5454,52.1687,5.38135,33.7698,16.5338,67.251,3.31217,24.0288,66.8582,15.2941,36.1427,3.10364,18.9174,14.7442,95.6496,2.18371,22.0744,95.6575,7.92167,2.63669,0.0589021,13.0317,0.287667,1.34722,0.669908,2.55235,0.585356,
3,72.5977,362.811,286.409,0.200098,29.9886,40.7533,5.20279,38.4362,14.3031,106.237,3.63639,18.3882,105.865,12.7476,35.1146,3.18742,21.8554,13.0113,148.772,2.26502,18.0098,145.897,7.92167,2.63669,0.150799,13.0317,0.287667,1.34722,0.669908,3.13205,0.585356,
4,72.5977,371.118,293.644,0.195619,31.8259,36.4227,5.10182,42.0193,16.5831,108.782,2.90249,18.998,108.483,14.1337,25.9415,3.36298,40.4294,13.5284,142.088,2.03898,16.9574,142.704,7.92167,2.63669,0.150799,13.0317,0.287667,1.34722,0.669908,3.20046,0.585356,
5,72.5977,394.403,515.734,0.18407,30.5019,37.3996,5.7312,30.1027,14.6696,125.561,3.0624,22.7838,124.59,16.1718,24.773,3.21792,14.9444,12.5196,255.088,2.10969,20.5671,251.568,7.44768,2.63669,0.150799,11.4955,0.287667,1.34722,0.669908,3.00908,0.585356,
6,72.5977,349.647,379.968,0.207632,28.355,41.1453,5.63805,33.069,14.8238,101.42,3.59709,20.6436,100.954,15.7762,32.3472,3.11883,17.101,11.764,185.103,2.68202,19.062,188.585,7.49338,2.63669,0.150799,7.0559,0.287667,1.34722,0.716391,3.59514,0.585356,
7,72.5977,407.06,476.176,0.178347,28.8642,38.4148,5.30077,33.4934,15.9311,130.937,3.35582,20.3615,130.401,14.0152,27.8206,3.27118,17.5166,13.9401,232.055,2.35385,22.9448,223.568,7.92167,2.63669,0.150799,11.1195,0.287667,1.34722,0.716391,2.72991,0.585356,
8,72.5977,287.81,300.343,0.252242,32.261,33.1522,5.30637,33.4479,13.537,75.8254,2.66783,16.304,75.3079,14.1435,23.897,3.38291,13.5981,12.5449,150.413,1.9973,16.0325,150.324,7.92167,2.63669,0.150799,10.5501,0.180239,1.34722,0.651834,3.46141,0.585356,
9,72.5977,308.732,266.772,0.235148,25.5338,31.1994,5.64566,30.8277,16.8718,88.6765,2.76367,18.9887,88.2248,14.5578,21.0789,3.6469,12.6383,14.3811,130.902,2.04161,14.6384,131.376,5.78186,2.63669,0.150799,14.0503,0.35344,1.34722,0.679797,3.74061,0.585356,
