Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
270,1231.7,1892.36,1598.06,0.65088,67.5696,0,45.5784,1544.24,53.1159,3.46485,91.1525,66.846,20.3918,227.023,0,122.432,930.969,201.614,1.52875,573.209,225.312,27.1631,0.193106,0,0.00179024,1207.52,0.192947,0.0318203,1.21858,0.242931,10.0599,
271,1231.7,2009.51,2487.86,0.612935,98.2321,0,59.8788,1414.79,88.8979,3.52664,229.643,97.4469,17.0912,288.851,0,161.872,662.327,290.657,1.7755,1281.36,287.675,19.7429,0.193106,0,0.00179024,1207.52,0.192947,0.36309,1.21858,0.242931,10.0599,
272,1231.7,1749.6,1457.13,0.703988,51.2644,0,47.0998,1464.69,49.1667,3.43224,64.9358,50.8526,18.163,201.854,0,145.314,820.556,182.396,1.34062,273.443,201.125,23.7277,0.193106,0,0.00179024,1207.52,0.192947,0.366876,1.21858,0.126362,10.0599,
273,1231.7,2852.57,5372.57,0.431786,147.255,0,77.8996,1631.17,150.707,3.89131,675.845,143.738,22.0639,413.599,0,185.083,1022.76,407.453,2.17111,4458.91,407.861,28.4965,0.193106,0,0.00179024,1207.52,0.279869,0.35587,1.21858,0.126362,10.0599,
274,1231.7,1849.47,1925.94,0.665973,64.1143,0,43.8273,1481.08,116.605,3.35143,61.5621,61.1098,17.8197,222.62,0,146.315,918.241,454.705,1.25902,536.736,216.371,23.6673,0.193106,0,0.00179024,1207.52,0.279869,0.857591,1.21858,0.126362,10.0599,
275,1231.7,1924.39,2342,0.640045,86.1231,0,50.4601,1447.21,57.5934,3.51787,175.835,85.5361,18.1175,266.007,0,156.079,838.702,225.254,1.86816,1004.5,263.984,24.3291,0.168223,0,0.00179024,1207.52,0.279869,0.0953349,1.21858,0.126362,10.0823,
276,1231.7,1865.91,2150.47,0.660105,54.868,0,49.771,1438.11,53.2694,3.43443,194.96,53.8563,17.6429,206.189,0,144.815,768.197,220.892,1.94072,1313.2,205.883,22.7434,0.168223,0,0.00179024,1207.52,0.279869,0.42893,1.21858,0.126362,10.0823,
277,1231.7,1829.74,1981.53,0.673155,61.1084,0,47.1018,1453.41,47.1787,3.48292,140.038,59.6577,17.7632,211.304,0,146.895,846.273,175.703,1.52834,999.893,208.495,24.1337,0.144051,0,0.00179024,1207.52,0.147513,0.824672,1.21858,0.126362,7.63191,
278,1231.41,1923.89,1860.02,0.640062,64.3943,0,60.2556,1505.46,126.543,3.7428,85.9878,59.6592,17.8543,194.383,0,155.538,907.636,395.74,2.0057,306.873,180.069,22.605,0.144051,0,0.00179024,1207.52,0.147513,0.395454,1.21858,0.0459642,10.0823,
279,1231.41,1879.36,2938.65,0.655227,39.9697,0,46.87,1420.48,35.218,3.38248,276.456,39.7116,17.2719,152.851,0,156.145,769.04,187.903,1.46018,1947.99,151.853,22.6103,0.144051,0,0.00179024,1207.52,0.147513,0.213469,0.654815,0.0459642,10.0823,
280,1231.41,2050.37,2226.01,0.60058,121.087,0,52.3839,1529.93,133.268,3.84792,74.343,116.242,19.2703,372.475,0,145.331,929.387,372.868,2.2293,303.742,363.181,24.9455,0.144051,0,0.00179024,1207.52,0.185618,0.952446,1.21858,0.0459642,10.0823,
281,1231.41,1896.55,1828.89,0.649288,93.7297,0,51.8077,1423.45,87.0475,3.68699,127.282,92.7523,16.7926,268.304,0,147.291,666.917,265.334,2.06325,568.259,265.88,18.8953,0.144051,0,0.00179024,1207.52,0.185618,1.59162,1.21858,0.0459642,8.55665,
282,1231.41,9460.91,75897.4,0.130158,89.1366,0,48.6523,1356.5,64.3534,3.34727,7795.83,87.9689,15.1188,311.315,0,153.972,570.781,274.557,1.51018,75200.6,308.141,14.7036,0.144051,0,0.00179024,1207.52,0.185618,0.139441,1.21858,0.0459642,10.0823,
283,1231.41,2204.6,3509.18,0.558564,104.188,0,48.2411,1448.52,85.4467,3.46058,395.028,102.431,17.2893,349.104,0,150.703,803.5,306.435,1.30153,7001.91,342.304,22.0241,0.144051,0,0.00179024,1207.52,0.185618,1.44484,1.17756,0.0459642,10.0823,
284,1231.41,1826.2,1762.5,0.674303,86.0575,0,48.554,1444.54,84.656,3.48625,57.7451,84.148,17.0121,290.15,0,143.978,795.522,287.319,1.57522,415.115,284.012,21.7699,0.144051,0,0.00179024,1207.52,0.185618,0.300285,1.21858,0.0459642,3.39724,
285,1230.85,2092.19,2483.51,0.588306,122.378,0,50.9985,1537.1,123.507,3.79993,115.498,119.508,19.3933,389.686,0,153.664,992.589,412.073,2.09221,412.677,379.361,25.8002,0.126468,0,0.00179024,1207.52,0.185618,0.878534,1.21858,0.0459642,10.0823,
286,1230.49,1952.85,2451.74,0.630099,72.5748,0,53.3041,1419.18,64.9319,3.5015,249.593,72.5828,17.1812,233.981,0,161.225,658.114,250.63,2.10454,1634.8,234.581,20.5233,0.126468,0,0.00179024,1207.52,0.185618,0.426685,0.934307,0.0459642,9.34156,
287,1230.49,2052.17,3211.18,0.599603,105.825,0,55.0397,1405.75,98.3796,3.20074,263.399,103.839,16.7414,325.367,0,161.389,779.305,364.097,1.19395,2233.24,329.758,20.4549,0.126468,0,0.00179024,1207.52,0.185618,0.320695,0.934307,0.0459642,10.0823,
288,1230.49,1801.94,1691.27,0.682869,91.3706,0,49.3874,1416.57,70.7973,3.44259,62.3655,90.8895,17.1219,297.795,0,141.217,661.41,239.043,1.52372,221.585,296.65,19.5202,0.126468,0,0.00179024,1207.52,0.185618,0.257511,0.934307,0.0459642,10.0823,
289,1230.49,1855.29,2113.07,0.663232,70.5288,0,42.7785,1449.43,77.4771,3.59263,125.177,68.8781,17.4283,247.595,0,138.605,800.242,280.299,1.66702,980.213,243.072,22.711,0.126468,0,0.00179024,1207.52,0.185618,0.717613,0.934307,0.0459642,10.0823,
