Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.tie_rod_angle_top_view_l,
64,6.70017,0.0440509,0.0233423,0,46.7824,0.0721478,0.5966,657.071,3.52361,
65,6.69856,0.0203394,0.020118,0,46.7602,0.0826373,0.60706,657.096,3.52893,
66,6.70027,0.0138925,0.0261986,0,46.7639,0.0940638,0.604673,657.088,3.5221,
67,6.69911,0.0324693,0.0265633,0,46.728,0.0758295,0.646988,657.083,3.52198,
68,6.70287,0.0155594,0.0263347,0,46.7441,0.0889465,0.621377,657.081,3.53394,
69,6.69937,0.0129091,0.021702,0,46.7331,0.0928375,0.633855,657.079,3.54097,
70,6.6994,0.043024,0.0312474,0,46.7691,0.0719259,0.599764,657.078,3.52171,
71,6.69997,0.0320541,0.0244685,0,46.717,0.0781732,0.663117,657.073,3.52692,
72,6.6975,0.0164159,0.0207252,0,46.7757,0.0860418,0.593831,657.095,3.52923,
73,6.69959,0.0121346,0.0276886,0,46.7784,0.0946503,0.596675,657.084,3.52137,
74,6.6989,0.0230306,0.0206516,0,46.7496,0.0809619,0.619543,657.098,3.5236,
75,6.69942,0.012427,0.0253974,0,46.7812,0.090287,0.59502,657.087,3.52376,
76,6.69837,0.038186,0.0207716,0,46.7725,0.073512,0.592688,657.094,3.52503,
77,6.69937,0.0426506,0.0208719,0,46.7379,0.0719834,0.633182,657.083,3.52606,
78,6.70137,0.0231973,0.0317586,0,46.7291,0.08355,0.647343,657.07,3.52844,
79,6.69991,0.0409734,0.0216614,0,46.7144,0.0726417,0.666044,657.075,3.52433,
80,6.6983,0.0243324,0.0207419,0,46.7606,0.0799716,0.609693,657.095,3.52696,
81,6.69838,0.0117327,0.0212762,0,46.7325,0.0922421,0.645941,657.089,3.52439,
82,6.70051,0.0289835,0.0208338,0,46.7559,0.0780257,0.609188,657.079,3.54347,
83,6.70052,0.0156849,0.0228666,0,46.7364,0.0886241,0.648101,657.075,3.52899,
84,6.69921,0.0271247,0.0208795,0,46.7529,0.0788872,0.616326,657.093,3.52822,
85,6.70096,0.0339273,0.0236911,0,46.7603,0.0750622,0.612074,657.078,3.53212,
86,6.70122,0.0220627,0.02452,0,46.7593,0.0818511,0.614204,657.081,3.53229,
87,6.69928,0.0132434,0.0366015,0,46.7566,0.0992266,0.606693,657.082,3.52239,
88,6.70176,0.0138373,0.0260569,0,46.7824,0.0973546,0.591842,657.078,3.52556,
89,6.70159,0.0137276,0.0313015,0,46.7397,0.0971365,0.638147,657.073,3.52231,
90,6.6991,0.0163115,0.0201848,0,46.7559,0.0859119,0.612373,657.08,3.54739,
91,6.69882,0.0530677,0.0200818,0,46.7341,0.0699041,0.635801,657.078,3.5271,
92,6.70026,0.0305767,0.0245192,0,46.7349,0.0785131,0.642611,657.076,3.52986,
93,6.69783,0.0285573,0.0204725,0,46.7756,0.0779242,0.598178,657.075,3.54371,
94,6.69808,0.0115548,0.0242855,0,46.7494,0.0928308,0.61624,657.089,3.53517,
95,6.69878,0.0138538,0.031508,0,46.7588,0.0953196,0.609766,657.086,3.52337,
96,6.70137,0.0127848,0.0388499,0,46.7493,0.0984309,0.624115,657.071,3.52188,
97,6.70216,0.0276833,0.0202218,0,46.7574,0.0787066,0.615274,657.069,3.54714,
98,6.70064,0.0263317,0.0211635,0,46.7349,0.0792761,0.654836,657.082,3.51807,
99,6.69682,0.0413889,0.0252416,0,46.7384,0.0777064,0.627844,657.088,3.52246,
100,6.69903,0.0341413,0.0237084,0,46.7082,0.0763561,0.675483,657.087,3.51473,
101,6.69965,0.0271951,0.0247871,0,46.7756,0.0786141,0.600025,657.087,3.52556,
102,6.70033,0.0286116,0.0214939,0,46.7411,0.0782573,0.625026,657.081,3.54338,
103,6.70043,0.0421729,0.020085,0,46.7606,0.0720053,0.612767,657.09,3.52116,
104,6.69912,0.0354265,0.0235734,0,46.7879,0.0747546,0.590244,657.082,3.52578,
105,6.7019,0.0148693,0.0308292,0,46.7597,0.0908219,0.612243,657.079,3.53001,
106,6.69942,0.0264736,0.0201251,0,46.7668,0.0789431,0.626391,657.083,3.51842,
107,6.69835,0.0157692,0.0313757,0,46.7763,0.10303,0.595959,657.086,3.51274,
108,6.69714,0.0136073,0.0200516,0,46.7564,0.098372,0.610724,657.098,3.52566,
109,6.70014,0.0123045,0.0292233,0,46.7912,0.0906105,0.584706,657.082,3.53027,
110,6.70004,0.0131754,0.0295893,0,46.7534,0.0909253,0.613709,657.081,3.53855,
111,6.69933,0.0429401,0.0253562,0,46.7487,0.0727477,0.626107,657.077,3.52843,
