Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,
0,487.254,2732.66,1777.49,0.178307,51.5261,138.605,32.847,4.42369,132.013,7.72972,428.366,464.632,0,521.156,3.74175,59.9905,51.5441,579.302,256.787,68.3067,158.245,63.0722,5.09712,160.555,6.87657,716.933,985.128,3.0372e-05,368.859,4.38535,74.0919,54.8921,659.604,353.541,0.63786,21.5464,11.6123,0.865563,13.4039,0.0601089,0.000377273,0.000434748,0,38.2528,0.0703249,1.12599,0.764175,31.9751,14.9347,
1,487.254,2381.15,1112.88,0.20463,119.585,132.593,34.8595,4.54435,124.091,5.76956,295.599,382.303,0,396.267,3.85732,59.2037,119.611,439.946,262.92,247.148,78.576,53.584,2.7029,89.0031,4.96897,326.853,590.144,0,329.319,2.82747,53.5015,231.498,346.888,151.469,0.63786,9.77566,9.03912,0.865563,13.4039,0.0601089,0.000377273,0.000434748,0,38.2528,0.0703249,1.12599,0.764175,31.9999,14.9347,
2,487.254,2416.04,1148.08,0.201675,152.426,125.244,35.2283,4.57554,106.254,4.9021,314.544,470.409,0,371.954,3.93983,50.2316,152.367,375,248.961,213.128,76.1072,53.3072,2.59702,86.9597,4.07999,261.591,569.143,0,263.634,2.73278,51.4962,207.751,287.78,140.387,1.17564,21.5464,12.3581,0.865563,13.4039,0.0601089,0.000377273,0.000434748,0,38.2528,0.0703249,1.12599,1.51413,31.9999,14.9347,
3,487.254,2459.82,2060.09,0.198085,108.419,121.54,36.1123,4.69595,123.521,4.65767,353.067,604.715,0,322.548,4.04917,59.8234,108.408,351.827,256.439,122.34,73.6632,53.1351,2.56591,96.6779,3.81529,549.176,1417.51,0,262.118,2.67794,53.498,122.156,260.643,144.803,1.17564,21.5464,12.3581,0.865563,13.4039,0.0601089,0.000377273,0.000434748,0,22.2796,0.0703249,1.12599,1.51413,31.9999,14.9347,
4,487.254,2153.68,818.369,0.226243,117.294,117.412,35.5928,4.425,110.484,4.46329,284.14,430.717,0,307.091,3.80399,52.724,117.262,329.53,238.737,123.761,65.176,52.8842,2.48825,84.5918,3.715,238.833,536.854,0,235.472,2.59578,46.2629,121.398,256.769,144.412,1.17564,21.5464,12.3581,0.865563,12.6045,0.0601089,0.000377273,0.000434748,0,22.2796,0.0703249,1.12599,1.51413,31.767,14.9347,
5,487.254,2386.04,2363.75,0.20421,117.993,120.6,37.0466,4.83802,96.2421,4.54945,385.051,605.029,0,322.469,4.15335,49.868,117.965,289.962,230.274,118.658,70.4692,52.6396,2.70293,76.5057,3.49389,847.351,1508.46,0,244.952,2.82904,43.5071,118.468,234.098,142.37,1.17564,8.30454,12.6839,0.865563,12.6045,0.0891834,0.000377273,0.000434748,0,20.8079,0.0703249,1.12599,1.51413,31.767,18.8758,
6,487.254,2217.47,1459.22,0.219735,117.78,106.825,37.1571,4.99408,83.2173,4.47057,305.641,519.316,0,291.264,4.27667,40.7116,117.749,284.666,299.398,130.063,70.3206,52.7672,2.83367,67.7776,3.5859,351.465,833.409,0,237.898,2.93041,35.4773,129.957,227.473,531.31,1.17564,8.30454,12.6839,0.865563,12.6045,0.0891834,0.000377273,0.000434748,0,17.305,0.0703249,1.12599,1.51413,31.2504,18.8758,
7,487.254,2415.02,2228.09,0.20176,131.902,104.538,36.5671,4.52404,90.9605,4.59789,363.031,636.925,0,319.056,3.91655,44.3247,131.864,295.418,247.397,144.882,66.6332,52.7115,2.73467,71.2082,4.07969,588.175,1514.34,0,243.248,2.86645,35.8975,142.187,271.901,162.936,1.17564,8.30454,12.6839,0.865563,12.6045,0.0711231,0.000377273,0.000434748,0,20.8079,0.0703249,1.12599,1.51413,30.7631,18.8758,
8,487.254,2270.6,1883.32,0.214593,146.573,105.688,38.9161,4.59273,86.4868,4.71338,295.531,463.837,0,306.54,3.93488,41.9409,146.534,290.33,334.977,187.464,66.8567,54.8286,2.82921,65.5,3.71702,353.838,675.472,0,243.63,2.93095,33.2427,184.507,234.793,995.056,1.17564,8.30454,12.6839,0.865563,12.6045,0.0920522,0.000377273,0.000434748,0,20.8079,0.0258443,1.12599,1.51413,31.767,18.8758,
9,487.254,2159.5,1206.61,0.225633,141.186,106.898,36.9748,4.56777,92.9435,4.21224,291.771,516.694,0,253.008,3.90102,45.3775,141.149,275.967,244.847,152.395,69.226,52.8856,2.7616,69.7473,3.33993,310.658,736.17,0,201.745,2.87555,33.62,153.061,202.498,172.312,1.17564,5.83799,14.7676,0.865563,12.6045,0.0920522,0.000377273,0.000434748,0,20.8079,0.0258443,1.12599,1.51413,31.9999,16.6402,
