Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
0,107.842,321.023,142.228,0.335932,70.6369,62.1692,5.70504,52.1115,47.6613,18.4755,3.88548,41.9139,18.4637,48.844,74.8129,6.27055,106.812,57.0322,20.2287,3.31918,50.2536,22.0959,4.90407,1.60684,0.150799,12.57,0.951041,0.998942,0.657685,3.46129,0.585356,
1,107.842,410.869,461.544,0.262473,61.4236,44.0458,5.23467,24.5317,22.1093,110.744,3.24426,28.8855,110.65,34.3073,35.7603,3.52254,30.1755,29.7996,223.855,2.54569,26.6067,241.053,4.90407,1.60684,0.150799,9.03064,0.576519,1.0285,0.647667,3.46129,0.585356,
2,107.842,385.116,368.315,0.280024,56.4338,38.187,5.09272,25.6245,18.6527,108.582,3.72216,20.2279,108.593,30.2087,35.0335,3.05532,10.4345,14.4486,184.618,2.51564,19.2634,184.553,4.90407,1.37289,0.150799,13.1563,0.797121,1.0285,0.647667,3.3506,0.585356,
3,107.842,297.398,181.929,0.362618,65.1073,27.1049,4.56068,24.883,24.4741,62.6149,3.44772,22.5271,62.6779,28.3016,25.528,3.09104,10.0806,23.9,97.6367,2.2497,16.5711,97.7987,4.90407,1.60684,0.150799,13.5457,0.951041,1.0285,0.657685,3.40082,0.585356,
4,107.842,470.219,655.129,0.229344,71.145,25.2227,5.87887,28.2939,24.9641,146.295,3.24994,19.6486,145.522,38.9074,24.0172,3.36873,16.358,22.7858,307.274,2.22685,18.2718,300.761,4.90407,1.60684,0.150799,9.13335,0.364583,1.0285,0.657685,3.40082,0.585356,
5,107.842,306.659,355.666,0.351667,65.7886,21.748,4.9383,28.8776,22.5676,72.2691,2.94007,15.3051,72.2244,31.3384,18.8704,3.01034,10.6931,24.815,178.446,1.56118,17.1955,176.297,4.90407,1.60684,0.150799,9.5889,0.919816,1.0285,0.731468,3.11992,0.585356,
6,107.842,231.822,132.312,0.465192,61.7321,24.3116,5.09077,27.3961,18.292,36.216,3.21544,19.3668,36.2012,34.3644,20.6064,3.28078,10.5603,19.6427,64.6044,2.24107,20.3598,68.1276,4.90407,1.60684,0.0463646,12.3418,0.325299,1.0285,0.645988,3.21798,0.585356,
7,100.883,264.728,233.71,0.381083,50.7858,26.7395,5.0683,42.2659,18.5883,50.3133,3.19181,17.4613,50.3135,37.4749,27.0477,3.24333,83.2435,18.0704,94.3687,2.27478,13.4098,95.9054,4.90407,1.59855,0.0463646,15.7239,0.935111,1.2101,0.66171,3.06755,0.585356,
8,100.883,288.749,215.285,0.34938,51.257,25.3007,5.2973,29.5697,17.062,71.2444,3.3997,14.3595,71.2584,35.3342,32.8733,3.24937,21.3092,17.7094,93.7707,2.52363,11.0414,99.2843,4.90407,1.59855,0.0463646,17.4341,0.225283,1.34722,0.815922,3.21798,0.585356,
9,100.883,250.756,167.605,0.402316,45.2214,22.7081,4.63225,27.995,14.7434,58.9211,2.52064,15.0648,58.9494,22.2646,23.8229,3.14618,9.53004,11.7652,82.4449,1.55489,15.971,82.2001,4.90407,1.59855,0.0463646,14.0214,0.935111,1.34722,0.644078,3.21798,0.585356,
10,100.883,236.208,157.324,0.427094,43.6338,17.2028,3.32889,27.4237,15.0722,56.8695,2.96419,12.8273,56.886,20.4475,15.2644,2.65825,6.2998,10.4431,78.9035,1.61681,11.2026,78.6903,4.90407,1.59855,0.0463646,17.4341,0.935111,1.34722,0.905289,3.17153,0.585356,
11,100.883,286.889,494.063,0.351645,43.5003,20.3874,4.05073,26.9977,15.3866,80.3176,3.50092,13.199,79.5493,19.0275,15.7102,2.68374,5.94091,21.9914,231.628,2.17937,10.1613,228.352,3.67369,1.59855,0.0463646,17.4341,0.309544,1.34722,0.754411,3.21798,0.585356,
12,100.883,275.971,224.349,0.365556,41.8375,19.7994,4.01774,27.6347,14.6144,75.5559,3.23895,13.664,75.6089,17.5584,16.8017,2.59744,7.43663,10.0888,109.354,1.85368,11.2604,109.151,4.90407,1.59855,0.0463646,16.8862,0.935111,1.34722,0.860795,3.19824,0.585356,
13,100.883,252.825,252.814,0.399023,43.5783,25.2496,4.16379,28.4998,17.1704,60.0212,2.99071,11.1608,59.9904,19.6941,30.7173,2.93081,6.34503,11.5045,110.196,2.09407,10.0328,110.046,9.03969,1.59855,0.0463646,17.4341,0.935111,1.34722,0.706057,3.21798,0.585356,
14,100.883,274.935,283.066,0.366934,41.5147,21.0697,3.27979,26.8449,14.5441,75.2548,3.40988,13.7578,75.2594,21.4571,20.2757,2.42016,6.39909,9.83057,126.048,2.16242,13.8655,129.292,9.03969,1.59855,0.0463646,11.8656,0.935111,1.34722,0.601615,3.17399,0.585356,
15,94.6543,302.591,581.62,0.312813,44.5567,19.5781,3.53348,31.7382,18.6089,85.1196,3.12607,12.2185,84.1114,32.9638,34.2977,2.8414,14.8039,20.864,267.493,1.68052,13.2258,260.619,8.15993,1.59855,0.0463646,12.4403,0.935111,1.34722,0.905289,3.19751,0.585356,
16,70.9319,200.747,162.35,0.35334,44.1559,14.9804,3.06379,32.2166,12.7074,40.2799,3.23174,9.89794,40.2132,57.4575,13.6645,2.05282,17.4444,10.6972,88.6139,1.73529,10.0867,85.8703,2.05614,1.59855,0.0463646,17.4341,0.305853,1.18241,0.920321,3.19751,0.443846,
17,70.9319,198.344,139.326,0.35762,29.94,12.0484,3.10494,28.9593,11.979,49.3771,3.49961,10.0923,49.3436,16.2182,11.721,1.89766,5.87476,8.80635,71.508,1.66645,9.08214,72.1754,4.39001,1.22211,0.115486,17.4341,0.848087,1.18241,0.920321,3.19751,0.443846,
18,70.9319,209.847,167.005,0.338017,35.2644,12.1577,2.99845,29.6411,12.8158,52.3653,3.05635,9.22181,52.3265,18.1488,9.58317,2.0788,5.84698,9.51689,80.5614,1.58473,8.00314,81.1073,4.39001,1.59855,0.150799,17.4341,0.275583,1.16189,0.85845,3.19751,0.443846,
19,70.9319,229.468,207.392,0.309115,24.9804,10.0165,3.11695,30.5243,12.6017,67.7589,2.87168,9.8778,67.7194,15.1444,8.72227,2.18667,6.90946,8.43597,102.168,1.4056,8.86294,107.482,1.71744,1.0908,0.0513025,17.1487,0.935111,1.16189,0.670367,3.19751,0.443846,
20,70.9319,139.637,106.798,0.507972,26.9195,10.625,3.57817,32.3106,13.2971,21.5047,3.04317,6.98079,21.3784,12.7394,9.66897,3.08205,4.88306,10.1905,63.3834,1.56606,7.78517,68.4581,4.39001,1.59855,0.0557949,17.4341,0.935111,1.16189,0.731981,3.19751,0.443846,
21,70.9319,248.19,561.389,0.285797,27.8604,11.2786,3.76829,31.153,13.6115,74.5627,3.00006,9.1643,73.7911,23.7583,10.689,3.23963,6.476,15.9917,266.393,2.05844,12.8194,252.371,4.39001,1.59855,0.112357,10.2979,0.359002,1.16189,0.675927,3.19751,0.443846,
22,69.7707,175.436,374.452,0.397699,28.4258,14.6918,4.34822,31.932,13.0655,36.2366,3.00799,7.78041,35.9479,25.8286,34.2699,3.08141,5.17888,22.6838,156.147,1.64761,13.7655,154.155,4.39001,1.59855,0.171156,10.5407,0.359002,1.16189,0.731981,3.19296,0.443846,
23,69.7707,153.103,326.602,0.45571,27.2492,10.2881,5.20057,31.7551,10.6444,27.7373,3.03639,9.71993,27.4722,26.4228,22.1021,3.23347,5.57739,15.2238,143.859,1.66209,22.1019,144.024,4.39001,1.59855,0.219457,9.13709,0.359002,1.03688,0.738872,3.19581,0.443846,
24,63.122,152.06,326.169,0.415111,27.4522,10.1058,6.09761,37.4728,8.76694,26.5342,2.88457,6.53006,26.2161,34.3238,23.4773,3.57372,28.0267,7.29668,137.876,0.996433,11.99,137.051,4.39001,1.94392,0.219457,10.6888,0.359002,1.03688,0.840027,3.19581,0.443846,
25,63.122,127.211,182.833,0.496197,24.9924,11.8008,6.22724,48.6232,9.24349,8.28432,3.10705,6.90078,8.03229,27.488,34.2142,2.93851,99.171,9.61254,15.5301,2.09482,15.8496,22.2474,4.39001,1.94392,0.524025,12.2382,0.316211,0.950277,1.12929,3.19116,0.289422,
