Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.p_rod_length_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.p_rod_length_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,
0,1363.26,4525.31,1424.33,0.301251,0,59.5306,314.443,296.964,308.121,7.43111,2715.09,521.705,302.026,2.00313e-05,69.6677,196.566,403.237,445.08,7.47937,2978.74,568.544,432.489,0,2.7483,19.551,12.3686,12.7507,0.288915,878.472,17.9041,12.3893,
1,1363.26,3960.35,1131.4,0.344226,0,50.0563,297.568,285.083,278.097,6.72892,2281.52,474.733,286.568,0,32.6154,216.267,233.311,240.656,3.79566,1127.7,366.2,236.552,0,2.37088,19.551,1.41574,23.9341,0.288915,878.472,17.9041,1.65079,
2,1363.26,3724.87,1181.68,0.365987,0,44.6498,309.423,284.25,267.465,6.72434,2060.04,467.095,285.222,0,29.6646,233.851,196.918,197.595,3.61341,1007.15,381.462,197.939,0,2.37088,19.551,1.41574,1.31367,0.288915,878.472,17.9041,1.65079,
3,1363.26,3262.45,790.028,0.417862,0,37.9368,275.854,249.862,243.921,6.26883,1766.29,431.823,250.497,0,23.6936,183.83,173.582,175.506,3.41141,773.036,337.858,174.081,0,2.37088,16.0214,1.41574,13.3961,0.285061,878.472,17.9041,1.65079,
4,1209.91,3012.2,846.029,0.401671,0,33.5326,279.829,223.544,230.793,5.5833,1609.67,405.087,224.158,0,21.7872,212.499,162.089,162.647,3.41643,711.671,303.947,162.298,0,2.37088,16.0214,1.41574,12.5258,0.125501,878.472,23.9025,1.65079,
5,1209.91,2978.52,1168.46,0.406212,0,28.9497,261.005,258.249,243.642,6.08801,1478.69,441.706,260.192,0,18.8604,175.402,241.039,207.962,3.69048,553.833,358.064,237.89,0,2.37088,16.0214,1.41574,4.84471,0.285061,878.472,23.9025,1.65079,
6,1209.91,2707.64,916.545,0.446851,0,28.2814,229.848,192.486,200.664,5.43679,1414.85,442.939,193.128,0,18.5207,172.615,163.873,147.247,3.54376,571.458,319.899,167.244,0,2.37088,16.0214,1.41574,4.84471,0.285061,878.472,25.0805,1.65079,
7,1209.91,2524.61,665.664,0.479246,0,23.0653,213.452,181.338,190.915,4.93813,1280.15,448.557,182.2,0,16.1312,135.126,167.182,147.377,3.49905,401.742,296.844,169.199,0,2.37088,16.0214,0.841279,4.84471,0.260411,878.472,34.853,1.65079,
8,1209.91,2413.85,616.913,0.501237,0,20.4945,195.292,184.286,176.993,5.36277,1206.88,439.781,184.763,0,13.501,123.289,161.299,141.147,3.47905,323.861,290.48,160.928,0,2.37088,16.0214,1.41574,4.84471,0.260411,878.472,34.5697,1.65079,
9,1209.91,2355.36,855.612,0.513685,0,19.0547,183.118,174.157,158.461,4.85281,1184.85,456.244,174.618,0,16.7474,136.972,142.626,120.171,3.2922,496.798,330.995,144.405,0,2.37088,16.0214,1.41574,2.78744,0.260411,878.472,34.2107,1.65079,
10,1209.91,2440.28,1222.71,0.495808,0,20.1035,183.43,200.952,185.171,4.93078,1244.06,399.949,201.684,0,20.1569,184.659,182.451,179.927,3.5293,666.973,291.722,182.259,0,2.37088,8.58292,1.41574,4.06562,0.260411,878.472,34.2107,1.65079,
11,1209.91,2407.72,1649.44,0.502513,0,19.4869,241.975,172.11,147.019,4.84438,1225.82,423.918,172.548,0,21.3841,807.876,185.468,127.599,3.33722,701.576,313.844,185.834,0,2.37088,16.0214,1.41574,0.882752,0.260411,875.271,34.2107,1.65079,
12,1209.91,3093.64,9051.62,0.391097,0,17.1316,1024.79,165.579,144.638,5.26333,1162.23,407.805,166.196,0,17.6331,8575.98,152.456,121.661,3.5221,553.087,327.103,152.711,0,2.37088,16.0214,1.41574,4.06562,0.244945,875.271,34.2107,1.65079,
