Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,
0,0.330631,5.27702,2.80888,0.062655,1.31463,3.96238,0.990737,2.71536,0.0817586,0.151163,
1,0.330631,4.70585,3.92012,0.0702597,1.49817,3.20768,1.29176,3.54109,0.0817586,0.151163,
2,0.330631,3.35973,2.42643,0.0984102,1.12755,2.23217,0.91578,2.12165,0.0817586,0.151163,
3,0.330631,2.62676,1.26889,0.125871,1.00629,1.62047,0.793026,1.41148,0.0817586,0.0715047,
4,0.330631,2.73489,1.72239,0.120894,0.928047,1.80685,0.579486,1.60115,0.0817586,0.0715047,
5,0.330631,3.21808,4.22942,0.102742,0.827743,2.39034,0.63485,4.1515,0.0817586,0.0715047,
6,0.330631,1.92922,0.968367,0.171381,0.819449,1.10977,0.506992,1.28633,0.0817586,0.0715047,
7,0.330631,1.60194,1.03388,0.206395,0.632567,0.96937,0.54288,1.05274,0.0717857,0.0715047,
8,0.327073,1.44487,2.58946,0.226368,0.523897,0.920977,0.457406,2.33905,0.0643463,0.0670093,
9,0.219655,1.30694,2.00495,0.168067,0.425908,0.881036,0.89927,1.48748,0.0643463,0.060081,
10,0.219655,1.22445,2.79971,0.17939,0.312975,0.911476,0.281931,2.78721,0.0643463,0.060081,
11,0.113063,0.782259,1.55892,0.144535,0.244067,0.538192,0.197789,1.6203,0.0627463,0.0201456,
12,0.113063,0.423012,0.221199,0.267282,0.199458,0.223554,0.150601,0.321714,0.0525855,0.0174527,
13,0.113063,0.601706,1.13525,0.187905,0.201964,0.399743,0.193467,0.994841,0.0525855,0.0174527,
14,0.113063,0.622544,2.1893,0.181615,0.320349,0.302196,1.21055,0.975174,0.0690025,0.0174527,
15,0.113063,1.29088,5.55344,0.0875863,0.808289,0.482592,4.45576,1.41379,0.0783354,0.0174527,
16,0.113063,1.74492,4.31358,0.0647958,0.425152,1.31977,1.22381,3.52828,0.068871,0.0174527,
17,0.113063,0.649707,2.23622,0.174022,0.225476,0.424231,0.607761,1.92703,0.0809395,0.0140338,
18,0.111709,0.926349,3.13073,0.12059,0.402836,0.523513,1.31178,1.88253,0.0809395,0.0106491,
19,0.111709,1.23589,4.15926,0.0903874,0.232167,1.00372,0.447384,3.93844,0.0809395,0.0106491,
20,0.10409,2.5064,6.15469,0.0415299,0.264859,2.24154,0.441969,5.63595,0.0809395,0.00794176,
21,0.0997988,2.91933,6.29271,0.0341855,0.674144,2.24519,1.80464,5.0161,0.0351636,0.00794176,
22,0.0978025,1.93507,4.58559,0.050542,0.318893,1.61618,0.665214,4.16828,0.0812297,0.00670991,
23,0.0978025,2.97131,5.94854,0.0329156,0.463749,2.50756,0.973878,5.44167,0.0411564,0.00670991,
24,0.0978025,2.84804,5.90039,0.0343402,0.467155,2.38089,0.802314,5.31522,0.0812297,0.00670991,
25,0.0978025,2.81469,6.307,0.0347472,0.508238,2.30645,1.37226,5.75791,0.0812297,0.00670991,
26,0.0978025,1.63278,3.77286,0.0598995,0.418256,1.21452,0.857689,3.22565,0.0812297,0.00670991,
27,0.0944668,2.59619,5.20283,0.0363866,0.588708,2.00749,1.90403,4.45002,0.0812297,0.00670991,
28,0.0944668,1.42019,4.05232,0.066517,0.248272,1.17192,0.593969,3.77192,0.0812297,0.00670991,
29,0.0944668,1.98969,4.26077,0.0474781,0.53013,1.45956,1.02465,3.41875,0.0812297,0.00670991,
30,0.0944668,3.24036,5.38433,0.0291532,0.599929,2.64043,0.944278,5.05021,0.0812297,0.00670991,
31,0.0944668,2.02026,4.98712,0.0467597,0.312542,1.70772,0.641992,4.84627,0.0812297,0.00670991,
32,0.0944668,2.79883,5.60414,0.0337523,0.519781,2.27905,1.22814,4.95871,0.0865328,0.00670991,
33,0.0944668,3.66789,6.79355,0.025755,1.06908,2.59882,2.82543,5.08101,0.0865328,0.00666373,
34,0.094145,2.40912,4.94581,0.0390786,0.541048,1.86807,1.14623,4.15147,0.0853063,0.00666373,
35,0.092377,3.04844,6.59879,0.030303,0.764633,2.28381,1.88517,5.31381,0.0843455,0.00586174,
36,0.0917153,4.16044,6.92413,0.0220446,1.03694,3.1235,2.09546,5.4154,0.0812693,0.00586174,
37,0.0917153,1.98775,4.95722,0.0461402,0.382107,1.60564,1.17325,4.91387,0.0356569,0.00586174,
