Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.153884,0.0971192,5.14183,0.0182649,1204.49,0,2.02271,0.168195,8.03438,
1,0.163102,0.0139959,5.25867,0.0161954,1204.53,0,2.02724,0.0919641,8.02602,
2,0.187171,0.047483,5.25585,0.0184205,1204.51,0,2.01669,0.0940877,8.03135,
3,0.148371,0.0209922,5.26112,0.0206122,1204.51,0,2.02204,0.1675,8.02848,
4,0.148531,0.0488576,5.24872,0.0180682,1204.5,0,2.03672,0.155771,8.03405,
5,0.154694,0.0365321,5.2663,0.00974804,1204.5,0,2.02256,0.174211,8.02789,
6,0.187596,0.0169241,5.18519,0.00678922,1204.52,0,2.02465,0.218353,8.04191,
7,0.156832,0.0637747,5.31054,0.0112937,1204.52,0,2.03097,0.0776039,8.03716,
8,0.166782,0.040714,5.28366,0.0081131,1204.49,0,2.02394,0.151655,8.04462,
9,0.179391,0.00544575,5.37065,0.0120052,1204.48,0,2.02296,0.105558,8.04436,
10,0.210678,0.0440094,5.15631,0.0108445,1204.5,0,2.0186,0.243588,8.035,
11,0.187574,0.0361711,5.22098,0.0146996,1204.5,0,2.01339,0.202554,8.03777,
12,0.148051,0.0312254,5.24729,0.0290798,1204.56,0,2.02,0.150296,8.03748,
13,0.146659,0.023874,5.29301,0.00386504,1204.56,0,2.01619,0.137867,8.04006,
14,0.163226,0.0217232,5.31818,0.00606568,1204.49,0,2.01362,0.167426,8.04144,
15,0.225097,0.0175609,5.16358,0.017385,1204.49,0,2.02252,0.254798,8.03886,
16,0.13097,0.0573201,5.3475,0.00442991,1204.49,0,2.02532,0.136432,8.03476,
17,0.171047,0.106711,5.14607,0.0150708,1204.54,0,2.01542,0.207647,8.03299,
18,0.202664,0.0046768,5.302,0.012885,1204.48,0,2.01914,0.173905,8.04753,
19,0.166116,0.0103549,5.29516,0.0100566,1204.56,0,2.00847,0.153052,8.03926,
20,0.159153,0.0197641,5.28293,0.0103923,1204.57,0,2.02461,0.155283,8.03176,
21,0.149172,0.00537389,5.45968,0.00485514,1204.51,0,2.01778,0.0675814,8.04434,
22,0.166033,0.000800062,5.27652,0.0114399,1204.56,0,2.03243,0.18418,8.03797,
23,0.213236,0.0289615,5.20176,0.0213581,1204.5,0,2.01576,0.246525,8.03867,
24,0.254812,0.00128519,5.14756,0.00394196,1204.51,0,2.0131,0.299524,8.04024,
25,0.201988,0.00993298,5.18265,0.00718567,1204.55,0,2.01508,0.268263,8.03698,
26,0.144137,0.103477,5.31733,0.00764522,1204.54,0,2.01855,0.10085,8.03649,
27,0.222554,0.00179146,5.28716,0.00373294,1204.5,0,2.00834,0.209153,8.04508,
28,0.161818,0.054757,5.33736,0.0118038,1204.52,0,2.01366,0.13118,8.04167,
29,0.152518,0.00287739,5.33153,0.052189,1204.54,0,2.0146,0.137106,8.04023,
