Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.king_pin_inclination_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.roll_center.y,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,
0,0.00104832,0.12217,0.046905,0.69417,0.0979433,0.0364913,0.111157,13.8664,28.8755,0.44214,0.493427,1.13375,0.0148695,
1,0.00104011,0.122484,0.0468623,0.694118,0.0977862,0.0365256,0.111159,13.8678,28.8743,0.442132,0.493187,1.13375,0.0148007,
2,0.00103597,0.12224,0.0470018,0.694125,0.0978435,0.0370066,0.110724,13.866,28.8758,0.44214,0.493342,1.13381,0.0149851,
3,0.00104238,0.122175,0.0471031,0.694249,0.0981316,0.0364788,0.110872,13.8671,28.8749,0.442134,0.493392,1.13377,0.0148635,
4,0.00103882,0.122294,0.04675,0.694189,0.0980246,0.0368324,0.110805,13.8666,28.8753,0.442137,0.493314,1.13386,0.015,
5,0.00103697,0.122154,0.0472731,0.694208,0.0980429,0.0366065,0.11073,13.8673,28.8746,0.442131,0.493375,1.13375,0.0150623,
6,0.00104672,0.122211,0.0471315,0.694152,0.0977407,0.0368718,0.110566,13.8686,28.8739,0.442119,0.493285,1.13388,0.0147732,
7,0.00103248,0.122236,0.04709,0.694239,0.0981681,0.0363922,0.110946,13.8681,28.874,0.442129,0.49335,1.13376,0.0147994,
8,0.00103535,0.122236,0.0471674,0.694143,0.097853,0.0368151,0.110875,13.8685,28.8738,0.442125,0.493324,1.13378,0.0146473,
9,0.00102768,0.122316,0.0466486,0.694101,0.0977918,0.0368968,0.111069,13.8679,28.8744,0.442131,0.493296,1.13387,0.0150473,
10,0.00102849,0.122155,0.0470129,0.694107,0.0976763,0.0368208,0.110766,13.8704,28.8723,0.442113,0.493351,1.13388,0.0148556,
11,0.00102972,0.122176,0.0469125,0.694178,0.097964,0.0365731,0.111285,13.8685,28.8737,0.442128,0.49341,1.13376,0.0148683,
12,0.00103867,0.122137,0.0467906,0.694257,0.0981299,0.0366694,0.111006,13.8672,28.8749,0.442134,0.493436,1.13384,0.0148941,
