Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.motion_ratio_heave_l,
78,21.1134,2.91446,7.69234,1.83142,865.835,3.24031,72.3379,0,2.99644,
79,19.3786,3.28696,6.04029,4.09599,872.839,3.24965,67.2127,0,2.01852,
80,19.6255,1.52171,8.48332,2.49874,871.807,3.16896,51.1256,0,20.3359,
81,21.8337,6.29471,10.5421,0.333857,867.4,6.81592,48.3355,0,17.1942,
82,23.2895,2.29226,8.35758,4.44732,868.818,2.57797,56.9558,0,12.0353,
83,22.5148,7.11606,11.2773,1.30148,866.892,7.61019,51.0106,0,11.6676,
84,22.2797,3.14354,8.36295,2.05248,865.672,3.61903,44.1778,0,30.127,
85,20.41,3.45576,4.70592,2.97428,867.671,4.41012,60.8404,0,15.3242,
86,21.739,1.19241,2.1784,0.443424,866.749,2.88338,67.4254,0,17.4963,
87,20.8464,0.671591,4.60117,5.01623,868.258,1.58971,63.6984,0,15.9017,
88,20.823,9.67221,6.68921,4.1221,866.625,9.59692,54.5177,0,8.53883,
89,19.9211,14.7847,6.02671,2.56789,869.947,14.7452,48.8334,0,3.93464,
90,20.461,8.21236,5.19569,1.08931,866.57,8.54605,53.8591,0,16.9236,
91,22.8781,5.65348,3.41446,2.42922,869.765,6.70854,48.49,0,21.5937,
92,23.5903,1.56131,15.4704,2.31779,873.153,1.74398,48.5559,0,14.5444,
93,21.9433,3.91991,12.6502,2.51382,867.262,3.83926,56.6258,0,12.1964,
94,21.9786,14.4705,5.19162,0.934072,867.717,14.5289,43.2898,0,12.961,
95,22.1938,5.43037,4.86017,4.30861,865.882,5.47226,42.4716,0,30.5039,
96,19.9127,3.4128,4.86114,2.54415,868.845,3.89997,70.0181,0,7.79767,
97,21.9482,3.51705,4.50679,2.09951,866.925,3.94779,73.6363,0,4.79032,
98,22.8021,0.908709,3.53994,3.98656,867.681,1.41772,61.277,0,19.9326,
99,23.7925,12.489,5.85591,2.25076,873.224,12.8106,46.3256,0,5.22644,
100,18.9893,2.28731,10.5364,1.76413,874.632,2.60433,47.9536,0,23.2917,
101,21.3528,3.90792,11.8419,1.16462,867.083,4.43434,57.8918,0,14.5368,
102,21.7885,13.7553,7.13709,2.58326,864.622,13.7337,46.7452,0,11.9208,
103,21.5015,5.08806,16.0378,4.0058,866.488,5.15823,46.8834,0,17.1457,
104,21.2252,11.9411,10.1718,6.08019,866.454,11.8784,48.7559,0,5.87244,
105,22.2214,13.0194,10.5877,0.877824,868.697,13.4028,50.8559,0,3.26266,
106,22.8139,8.63032,19.9278,4.39798,867.568,9.01826,47.6843,0,3.28904,
107,19.8516,5.35871,1.72014,1.78291,869.846,5.86466,45.8943,0,33.2482,
108,20.8365,1.33678,16.4194,3.5903,866.871,1.5345,64.2069,0,8.82505,
109,20.9257,7.19925,9.13473,4.45034,866.574,7.27246,52.5012,0,15.7158,
110,21.709,0.695283,1.3129,4.49844,866.741,0.848159,40.3399,0,47.7313,
111,20.947,4.95609,2.08102,4.05599,865.412,5.10445,54.6858,0,26.6613,
112,22.6381,5.9826,0.687699,4.35331,867.317,5.9402,54.8604,0,22.2962,
113,20.5151,12.7615,3.93262,4.38713,867.9,12.7015,50.6405,0,11.2687,
114,23.0616,7.0921,2.18275,0.254963,868.629,7.42434,46.2102,0,29.2665,
115,20.4319,8.59028,8.40016,1.56383,867.358,8.96568,53.3871,0,15.5354,
116,20.5455,4.15652,3.25369,0.183566,867.889,4.46873,75.8092,0,7.92742,
117,22.1498,8.5302,9.84298,3.87989,866.99,8.85776,52.1779,0,12.0012,
118,22.1203,3.46633,1.11547,3.23028,866.652,3.8507,57.2007,0,26.987,
119,20.5586,13.3713,14.7867,1.8302,866.957,13.5072,46.8877,0,7.37777,
120,23.5943,9.9662,11.4926,6.02861,870.35,9.90739,43.7961,0,10.2183,
121,22.9481,5.35346,1.76136,4.4043,870.519,5.46522,47.2572,0,27.8102,
122,20.0193,2.47803,0.435092,2.45264,868.807,2.43236,82.5712,0,6.35916,
123,19.4354,6.09256,7.16887,3.23824,872.821,6.93906,52.1533,0,17.9982,
124,22.1242,6.5093,12.6736,2.61686,866.818,6.61423,52.6798,0,15.8711,
125,22.2071,4.90662,4.96098,2.59729,867.825,5.10015,46.4085,0,32.0956,
126,21.8789,4.76951,4.73062,2.38586,866.285,5.03902,58.7242,0,22.4404,
127,20.9253,14.7994,3.23768,0.380071,867.222,14.7826,45.7092,0,19.2127,
128,21.1481,3.78975,4.68436,3.71558,867.061,3.77058,53.5263,0,28.8369,
129,22.9962,2.24954,1.7725,0.327052,869.185,2.97651,83.413,0,3.65039,
130,21.722,7.54811,4.65508,5.21332,864.526,7.64344,61.0177,0,14.3964,
131,21.5886,14.1712,6.20811,0.554066,868.1,14.1458,51.9317,0,10.1031,
132,22.3686,3.6448,3.11785,2.53244,866.821,4.2309,41.7837,0,42.3404,
133,19.9797,6.47794,17.5412,4.46538,868.587,6.50722,56.6988,0,6.78542,
134,21.0267,1.80066,9.21681,3.44718,867.113,4.16907,77.9411,0,2.43957,
135,22.8354,2.6245,7.79165,7.01916,868.211,3.012,54.2087,0,21.4616,
136,21.4012,10.3473,1.63078,3.99543,868.941,10.3072,54.4074,0,16.2921,
137,23.0649,3.2492,9.24791,3.89308,869.44,3.97653,44.4101,0,30.5799,
138,19.7266,11.0323,4.19379,0.895919,869.944,11.0459,53.6478,0,17.3755,
139,22.5213,4.43907,5.14576,1.83686,867.703,4.42053,56.012,0,25.7853,
140,22.9057,6.36215,7.74175,0.383563,868.542,6.38817,54.1087,0,21.6486,
141,24.2451,15.0948,1.33803,2.43158,874.201,15.0219,49.8814,0,6.07306,
142,21.2133,18.1009,6.9829,4.58654,865.248,18.621,46.5281,0,7.18469,
143,22.4129,1.53694,7.86972,2.09673,867.124,3.71299,41.728,0,42.0803,
144,22.4453,7.7982,3.78354,4.3355,866.938,8.43646,57.9505,0,17.3991,
145,20.8413,4.39141,3.70931,2.0315,866.149,4.55084,49.3367,0,38.2214,
146,20.629,9.95521,8.2211,4.57461,865.456,10.075,56.7349,0,13.6364,
147,22.5684,5.23492,18.7911,1.76766,867.895,5.98198,50.2945,0,16.785,
148,23.6861,2.3826,2.82808,3.21356,873.472,3.0732,49.7181,0,31.0545,
149,21.8391,3.19663,14.1449,3.01589,865.323,3.18642,66.316,0,12.5318,
150,21.7726,10.4331,16.7112,2.75799,867.392,10.3856,54.7749,0,5.34933,
151,21.8589,9.17987,0.980455,4.04541,865.566,9.17671,61.3868,0,17.3857,
152,23.5147,7.87861,6.65145,4.08663,871.529,7.81479,59.0167,0,9.54332,
153,23.0449,7.23877,4.06844,5.3721,869.459,7.17009,56.759,0,17.255,
154,19.7963,6.54326,7.93505,4.32265,867.843,6.71515,40.7505,0,36.4787,
155,20.9658,7.29838,9.06984,0.159952,867.951,7.40207,66.9557,0,10.6058,
156,20.7918,8.98214,5.68026,5.44811,868.081,9.18337,63.3485,0,8.91215,
157,19.3595,5.37606,4.39341,0.650834,871.574,5.48949,57.7804,0,26.0353,
158,23.8299,6.04183,12.4246,2.29957,872.343,5.96457,43.6931,0,24.4514,
159,20.0291,10.2253,7.16691,4.01904,868.009,10.6057,42.3622,0,28.6317,
160,22.3798,14.7355,7.29078,2.08446,867.802,14.6599,55.0276,0,7.79073,
161,22.028,1.11785,3.60757,1.65656,867.212,1.38445,81.9828,0,13.3594,
162,22.3018,8.11221,19.8807,0.128931,866.163,8.04709,46.3304,0,21.6836,
163,20.4129,1.64409,7.27597,4.6242,868.36,2.57377,40.4734,0,47.4099,
164,20.094,13.5144,1.41319,3.39123,867.907,13.7321,54.0938,0,18.6745,
165,23.0108,17.4858,5.67362,1.93356,868.68,17.4347,47.1834,0,11.4503,
166,20.2323,17.6939,4.53412,0.56861,866.767,17.845,41.7346,0,23.7737,
167,20.8215,7.29644,3.82583,5.5345,866.636,7.35826,57.224,0,24.4867,
168,20.3686,16.5038,6.05604,1.69914,866.749,16.4295,41.4217,0,24.0146,
169,21.4546,21.3792,8.00506,1.26071,866.289,21.4969,49.0586,0,4.31054,
170,21.5783,11.2057,12.1844,4.15764,865.271,11.5096,44.2231,0,23.2921,
171,21.6801,4.53842,5.62453,3.05168,866.026,5.29393,72.4852,0,14.8274,
172,20.9533,14.94,4.2895,4.07792,866.992,14.9343,53.9748,0,13.5647,
173,18.595,11.3655,2.29458,1.22999,876.836,11.5549,47.1029,0,24.7843,
174,19.6252,3.85176,6.74905,3.2759,869.872,3.8385,61.3479,0,25.2326,
175,22.9837,4.30606,9.64097,5.05555,869.224,4.48852,68.387,0,9.89441,
176,22.2749,13.3123,3.88342,4.40478,866.797,13.5874,53.1467,0,16.7228,
177,22.4258,1.83096,2.9773,0.267589,867.453,4.47875,62.6871,0,32.3316,
178,22.4864,10.6518,2.38717,4.38672,866.978,10.7101,54.3788,0,22.5749,
179,23.3352,7.63359,16.2938,3.69618,870.597,7.73183,43.1098,0,22.7285,
180,103.285,382.023,7.10025,15.1036,3607.24,381.678,357.684,0,532.644,
181,21.1893,2.53604,9.10738,5.72944,866.037,2.60432,49.378,0,11.0975,
182,20.885,19.2977,7.30124,1.73134,866.984,19.3925,50.642,0,23.4406,
183,41.4065,362.81,368.83,6.30652,2845.38,364.842,1800.78,0,78.8929,
184,99.8534,656.943,207.788,7.39162,3455.18,656.379,1424.34,0,238.778,
185,123.705,71.4317,68.0358,13.9947,4495.24,71.4137,597.074,0,739.416,
186,21.8287,24.2849,41.519,5.76247,867.944,24.2561,44.4985,0,30.4437,
187,32.4066,1389.02,606.004,1.88659,1087.65,1388.79,708.054,0,1322.81,
188,22.3926,3.93173,5.91222,1.31319,867.508,4.05594,47.4133,0,6.10458,
189,41.1378,253.713,256.474,6.78089,2804.02,255.801,820.34,0,248.021,
190,30.7433,1247.5,422.846,1.80551,953.973,1246.97,1273.31,0,85.4221,
191,81.4473,1286.56,565.076,1.74975,2647.13,1285.58,819.853,0,147.048,
192,28.1578,875.207,24.1031,3.22943,792.02,875.007,596.017,0,1373.97,
193,20.4712,1.73043,3.13268,2.86393,867.445,1.91094,45.8372,0,21.2276,
194,79.9006,789.108,23.5134,18.6795,2591.2,789.465,1600.4,0,648.447,
195,22.4104,11.8121,4.79895,1.99476,867.682,11.7971,47.4745,0,22.2249,
196,21.3344,15.8819,1.62498,4.82702,866.352,16.0256,51.0112,0,6.82849,
197,22.5193,27.6791,18.7206,2.3759,869.708,27.8393,45.8371,0,17.1652,
198,22.3206,4.81555,4.3463,1.18535,867.766,4.98612,51.2882,0,17.1684,
199,49.8784,968.921,289.028,2.92496,1517.26,967.867,1800.66,0,96.3515,
