Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
127,37.2202,65.7441,146.126,0.566137,0.232912,0.473026,18.8511,0.190506,2.45526,0.436242,4.33799,19.273,0.0579448,8.29229,7.88348,1.77288,1.48754,0.393162,1.93289,35.4409,0.88439,11.2072,0.0605547,21.4581,2.15187,0.269759,41.1286,40.4104,0.88715,0.19498,0.151756,0.147896,12.5187,0.0150326,0.150508,0.0538468,0.00577883,4.5516,0.0272923,0.593694,0.182541,1.47017,0.762011,
128,37.2202,102.32,228.307,0.363763,0.409919,0.595722,38.0296,0.292784,5.21666,0.454072,2.77038,19.5422,0.158394,15.8781,15.3652,1.95547,1.65152,1.00634,1.61949,117.108,1.00136,19.2774,0.152941,10.7635,2.09987,0.436556,59.0125,59.8126,1.23037,0.643168,0.150996,0.150352,4.89574,0.0149618,0.156189,0.133171,0.00577883,7.29298,0.0272923,0.595352,0.181259,1.47017,1.49754,
129,37.2202,79.6103,207.856,0.46753,0.219838,0.681928,32.7366,0.194895,1.83064,0.458571,2.97757,19.4479,0.0645662,9.08943,8.55013,1.81762,1.54063,0.382366,2.42365,103.509,0.946123,8.22162,0.0928002,14.888,0.932166,0.143605,43.1147,43.7879,1.04043,0.381009,0.149998,0.16198,12.5595,0.0147383,0.161754,0.33427,0.00583865,13.3207,0.0338589,0.595352,0.181259,1.51093,0.777249,
130,37.219,57.5397,142.082,0.646841,0.162621,0.497772,18.0043,0.092349,1.48789,0.444668,2.14133,19.643,0.071983,6.09773,5.69341,1.67894,1.52368,0.0618214,2.13204,40.244,0.496447,9.19375,0.0270543,14.9404,0.231254,0.215341,38.45,38.5934,0.430386,0.128626,0.149998,0.148199,12.4505,0.0147383,0.13926,0.282238,0.00583865,19.5714,0.0305554,0.598249,0.18253,1.4754,1.50336,
131,37.217,117.264,263.429,0.317377,0.426634,0.847688,41.2883,0.3319,6.38039,0.463594,5.89095,18.8293,0.198229,19.7124,19.1488,2.10123,1.64464,0.823599,2.57176,101.456,0.99513,19.0452,0.0784431,19.1469,3.97636,0.740919,65.8027,63.6924,1.78205,0.87303,0.149998,0.147713,10.4943,0.0149618,0.143572,0.240052,0.00537312,0.590714,0.0305554,0.598249,0.182541,1.46576,0.707728,
132,37.2122,108.355,251.97,0.343428,0.313401,0.958775,36.5601,0.362905,5.32521,0.440577,6.76649,18.9191,0.305306,17.5554,17.1402,1.99093,1.71681,0.55856,3.02033,88.5237,1.18478,19.5848,0.0911458,26.0935,2.49571,1.05298,62.7625,62.2862,1.57826,1.0502,0.148819,0.167623,12.5595,0.0149618,0.161754,0.00382861,0.00627821,7.97894,0.0305554,0.598249,0.182541,1.55319,0.976593,
133,37.2089,79.178,173.703,0.469939,0.333027,0.600334,34.6232,0.313481,2.78165,0.44859,4.53124,18.9918,0.105603,6.75771,6.25848,1.84549,1.58745,0.717415,1.66283,94.73,1.18599,12.3125,0.0513993,18.2558,2.73035,0.304205,33.818,33.0614,0.95291,0.461445,0.148976,0.167623,12.5595,0.0151623,0.161754,0.165311,0.00627821,3.01819,0.0305554,0.594722,0.18169,1.55319,1.50313,
134,37.1968,82.7896,190.244,0.449293,0.264009,0.463137,28.8383,0.257147,3.31985,0.440571,4.52253,19.2646,0.112928,11.1358,10.7129,1.85975,1.59827,0.466887,1.22866,67.6152,0.97466,13.2664,0.0369628,18.2614,1.88097,0.281265,44.3907,44.7006,1.00449,0.557518,0.149574,0.167623,12.5595,0.0151623,0.161754,0.215002,0.00627821,9.09577,0.0338589,0.594722,0.181839,1.55319,1.11012,
135,37.1937,69.5269,145.725,0.534954,0.255919,0.5274,29.2867,0.233515,1.57014,0.439392,4.26381,19.014,0.263866,5.29164,4.87491,1.99404,1.51156,0.426191,1.62323,79.8565,0.884486,7.05609,0.0502041,17.9997,2.73181,1.08517,22.7667,23.0312,1.62675,0.120229,0.149574,0.147437,12.3651,0.0165385,0.133222,0.148347,0.00610236,4.63977,0.030012,0.594722,0.181839,1.46564,1.14304,
136,37.1901,70.7937,117.699,0.525331,0.27313,0.428952,24.6659,0.415983,2.65638,0.444607,6.61671,20.1001,0.146132,5.90076,5.51631,2.02649,1.60225,0.458667,0.901837,46.468,1.34272,10.2118,0.0506799,24.8753,4.58757,0.435592,24.4577,24.5561,1.49501,0.516247,0.149574,0.172776,12.5458,0.0156041,0.166396,0.169325,0.00610236,9.77046,0.0342504,0.594722,0.181839,1.5491,0.469671,
137,37.1901,79.1157,206.632,0.470073,0.215976,0.548143,33.7064,0.10848,2.18133,0.464352,2.58014,19.4155,0.0728614,8.41102,7.9882,1.91359,1.50978,0.362779,1.81602,104.558,0.580177,9.92374,0.0842981,12.6636,1.38038,0.183871,42.9626,42.8496,1.50635,0.224707,0.150921,0.172776,12.5458,0.0164404,0.166396,0.447783,0.00615293,11.6024,0.0342504,0.594722,0.181839,1.5491,0.584444,
138,37.1901,96.9154,205.099,0.383738,0.378581,0.442438,36.1359,0.331608,3.92294,0.46211,5.68438,20.042,0.131286,13.066,12.6642,2.02263,1.63138,0.831793,0.947135,104.228,1.13846,13.9203,0.11933,19.9224,6.34236,0.346924,50.9552,51.1767,1.4666,0.844019,0.150921,0.172776,12.5458,0.0157032,0.161459,0.271227,0.00615293,8.11304,0.0392319,0.60094,0.182958,1.56914,1.13092,
139,37.1879,95.5887,234.128,0.389041,0.332562,0.797832,35.761,0.22307,4.17067,0.448368,6.94253,18.8487,0.134159,12.4519,11.846,1.89971,1.73217,0.713583,2.72639,93.4505,0.834708,17.2016,0.0262365,28.572,3.53433,0.441974,53.5279,53.6157,1.1117,1.18596,0.150921,0.172776,12.5458,0.0157032,0.161459,0.339337,0.00615293,2.46767,0.0385715,0.601303,0.183121,1.59787,1.20921,
140,37.1839,93.6909,201.905,0.396879,0.327025,0.544994,28.2494,0.330691,2.33685,0.445323,4.14565,19.4295,0.132874,17.4153,16.9605,1.83036,1.54228,0.635214,1.54205,60.1797,1.07202,7.7514,0.0483486,15.501,4.16875,0.409389,61.7751,61.7439,0.797057,0.43776,0.149951,0.178002,12.564,0.0153975,0.161459,0.162465,0.00615293,7.07059,0.0385715,0.599962,0.183121,1.59506,0.600043,
141,37.1839,117.904,249.988,0.315375,0.398937,0.973108,37.5079,0.4036,3.98935,0.444269,8.07405,20.2896,0.164338,21.298,20.6743,2.12043,1.56619,0.754081,2.51726,84.7366,1.21975,13.607,0.100178,26.9543,8.6526,0.404844,66.4807,65.8358,1.78389,0.385239,0.150627,0.179407,12.5636,0.0157032,0.161459,0.0221823,0.00575107,1.47841,0.0369508,0.599962,0.183258,1.58124,1.09502,
142,37.1792,100.21,225.805,0.371014,0.29197,0.709101,43.5676,0.262569,3.41858,0.473373,4.99801,23.7699,0.282239,9.57389,9.12552,2.10184,1.63507,0.50635,2.09263,136.589,0.947512,11.9237,0.143255,17.8197,29.6133,0.987188,37.5943,37.4712,1.68967,0.48388,0.150921,0.179407,12.5636,0.0164993,0.161459,0.448102,0.00612562,12.7433,0.0360238,0.599962,0.18337,1.59899,1.50442,
143,37.1792,79.8923,171.146,0.465367,0.285906,0.424871,28.169,0.250651,1.65236,0.441013,1.771,19.196,0.116106,12.2607,11.8718,1.94226,1.51069,0.540245,1.18904,67.4603,0.920225,5.8626,0.0566928,8.03912,4.91612,0.353999,46.7902,46.7856,1.34455,0.13375,0.150894,0.175197,12.5571,0.0162697,0.168485,0.143128,0.00612562,11.0089,0.0360238,0.601116,0.18337,1.59918,1.32186,
144,37.1761,135.891,291.43,0.273572,0.903381,0.982707,50.3864,0.384061,5.19765,0.445794,10.2723,18.5731,0.234808,22.6535,22.2207,2.07153,1.56535,3.09284,3.19997,133.089,1.08054,15.1754,0.152218,33.1288,3.57233,0.693216,71.3874,72.8213,1.28107,0.436254,0.150894,0.181982,12.5522,0.0162697,0.168582,0.032247,0.00590415,0.55845,0.0360238,0.600853,0.182976,1.59047,0.536584,
145,37.1748,107.912,218.154,0.34449,0.329586,0.923138,39.4805,0.371695,7.18617,0.4424,6.75907,18.4135,0.4111,15.1709,14.7399,1.94165,1.74297,0.67525,2.69172,91.5808,1.08315,22.2865,0.103085,22.6625,3.75741,1.33465,51.1397,51.5323,1.07019,1.08148,0.151036,0.181982,12.5522,0.0162697,0.168811,0.0186347,0.00590415,5.2989,0.026728,0.600853,0.18337,1.59047,0.952746,
146,37.1748,740.95,4926.38,0.0501717,0.377473,0.292612,691.216,0.0426852,5.58503,0.449876,4.61118,19.6361,0.096033,7.93044,7.38441,1.6458,1.68245,1.57727,0.894214,4750.52,0.164517,37.8587,0.0125996,32.3804,1.21758,0.487519,51.4486,51.0744,0.336247,1.23737,0.151036,0.177989,12.5328,0.0162697,0.168811,0.448188,0.00590415,18.6745,0.0341125,0.600853,0.183163,1.59047,1.50463,
147,37.1726,68.686,165.749,0.541196,0.260743,0.633742,25.0102,0.19397,2.03387,0.437465,2.59348,19.6773,0.0628249,7.45324,6.96641,1.82829,1.53442,0.539526,2.3032,669.029,0.898639,9.343,0.0552673,12.8221,0.972089,0.134739,42.5908,42.145,1.18078,0.380061,0.151119,0.177989,12.5328,0.0162697,0.168055,0.156945,0.00653625,15.3623,0.0337577,0.600853,0.183163,1.59145,0.582735,
