Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.roll_center.y.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.roll_center.y.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.roll_center.y.best,Roll.rear.side_view_swing_arm_angle_l.best,
111,215.433,682.608,823.966,0.315602,5.19934,94.7081,54.2225,66.0956,46.947,194.721,27.9112,192.803,1.4914,75.8329,25.3392,25.0384,83.3009,339.158,50.5844,339.624,3.61454,24.9028,3.82824,31.0972,5.18389,4.70995,10.7649,1.85634,
112,215.433,674.087,753.294,0.319592,5.08771,86.2366,49.2253,61.3579,43.9618,197.918,34.4744,195.825,1.73087,59.5842,23.5767,22.1348,73.3233,328.799,83.1084,327.858,2.56136,24.9729,3.82824,31.0972,5.18389,4.70995,10.7881,1.85634,
113,215.433,782.479,1023.94,0.275321,5.46935,97.5114,44.5502,56.4173,47.0549,250.969,31.313,249.193,1.74546,70.5962,18.3219,16.8105,86.3485,447.753,50.7155,446.646,3.01741,27.1385,3.82824,31.0972,4.70492,4.70995,11.5961,1.85634,
114,215.433,679.039,899.854,0.317261,5.56388,90.8061,50.6766,62.0084,21.0785,212.568,26.3847,209.952,1.56627,81.8959,19.4236,20.1394,36.1003,404.825,47.7437,396.095,2.91799,26.054,3.82824,31.0972,4.75618,4.70995,10.8388,1.85634,
115,215.433,699.031,1105.69,0.308188,5.30024,99.9697,45.9798,58.123,44.5759,160.661,126.215,158.206,1.35346,71.5679,18.8784,19.2566,91.5019,296.042,652.028,294.179,2.91183,27.1385,3.82824,31.0972,5.18389,4.70995,13.4518,1.85634,
116,204.225,590.072,793.087,0.346102,5.69266,101.047,48.2149,60.1529,36.294,156.297,29.1299,153.245,2.08621,89.8716,21.4398,21.8677,69.8045,323.345,99.9676,316.508,2.94999,25.4919,3.82824,28.4996,5.18389,4.70995,11.7443,1.85634,
117,204.225,566.08,681.163,0.360771,5.30363,92.1651,47.9218,60.225,39.5904,143.707,35.8241,141.343,1.94149,76.0345,21.6799,21.0117,62.7974,280.598,78.4521,276.74,2.46863,25.975,3.82824,31.0972,5.18389,4.70995,10.9677,1.85634,
118,204.225,523.938,839.777,0.389789,5.42819,98.5328,45.7023,56.9434,27.4516,133.017,26.9248,129.939,1.51826,71.7141,13.8185,14.1345,62.2659,356.008,41.4619,352.488,2.94999,27.1385,3.82824,31.0972,5.18389,4.70995,13.0116,1.85634,
119,204.225,557.31,772.818,0.366448,5.34989,93.2539,45.5528,56.527,28.579,154.293,20.9811,152.774,1.43516,67.1345,16.9526,16.7703,67.5484,342.592,9.95564,346.879,2.81507,26.1879,3.82824,31.0972,5.18389,4.70995,10.8314,1.85634,
120,204.225,584.282,859.18,0.349532,5.67346,103.276,47.3979,59.2501,34.9708,156.014,23.8513,153.848,1.73429,88.2982,23.545,24.1076,79.9275,359.863,17.3236,358.857,2.94999,24.771,3.7743,31.0972,5.18389,4.27522,11.9744,1.85634,
121,204.225,499.625,643.822,0.408757,5.47071,104.416,44.7018,57.1676,34.9422,112.642,30.3679,109.916,1.85359,83.4958,19.2055,17.1801,71.8279,268.359,50.8594,265.516,2.49326,25.2972,2.7694,31.0972,4.85422,4.70995,10.7437,1.85634,
122,204.225,485.274,828.55,0.420846,5.54497,95.7793,42.5403,53.5029,25.7991,105.179,53.9099,103.019,1.25771,65.9706,10.6261,10.5814,64.6935,309.944,204.488,308.752,2.94999,27.1385,3.82824,31.0972,4.85422,4.70995,13.4605,1.85634,
123,204.225,584.404,795.209,0.34946,5.34005,102.082,44.0573,56.6173,28.6096,157.896,35.0839,154.717,1.41052,73.8933,19.0688,19.9769,56.0781,321.816,60.5945,316.183,2.94999,25.5844,3.82824,31.0972,4.26778,4.70995,11.7107,1.85634,
124,204.225,521.564,754.803,0.391564,5.77176,92.1559,45.9748,57.2993,28.6673,133.925,26.6811,131.089,1.90762,80.6274,17.3236,17.7108,61.3274,327.194,41.1634,328.051,2.84542,25.5363,3.82824,31.0972,4.85422,4.70995,10.9907,1.85634,
125,204.225,592.558,953.457,0.344651,5.6409,116.992,50.1735,81.6101,24.1088,143.503,42.1962,128.334,1.84363,115.913,25.0086,132.312,52.3161,343.04,95.6014,298.532,2.23282,27.1385,3.82824,31.0972,4.85422,4.56774,12.7317,1.49849,
126,204.225,487.479,670.386,0.418942,5.71077,83.6742,45.7563,56.6558,38.9023,117.092,24.7841,114.903,1.62529,44.9215,19.6612,21.1692,87.6832,297.214,33.3685,295.811,2.28681,25.2102,18.2319,33.1018,4.85422,4.56774,10.7696,1.49849,
127,192.907,478.218,608.686,0.403386,5.5794,85.4249,47.9781,58.5341,42.5972,108.31,23.5801,106.214,1.7796,49.1969,19.0464,20.7412,90.9472,247.846,31.1944,247.167,1.98927,25.8042,21.5994,32.0338,4.85422,4.56774,10.9592,1.49849,
128,192.907,426.125,601.669,0.452699,5.9942,93.0852,45.1014,56.4793,22.8653,85.8524,36.3547,80.3928,1.65582,68.7637,16.0152,17.7594,51.0642,228.195,99.3266,212.245,3.07588,24.2091,16.5775,47.5111,4.85422,4.56774,11.4746,1.48014,
129,192.907,583.626,910.561,0.330531,5.80564,104.496,40.9173,52.813,35.8948,156.84,35.5813,151.278,1.65578,75.054,13.5969,15.8481,84.1854,374.403,70.2726,364.098,3.20895,56.4995,5.10805,29.885,4.01448,4.56774,16.6042,1.48014,
130,192.907,634.397,934.983,0.304079,5.50718,102.327,44.9926,56.1236,37.3417,178.464,35.4786,174.163,1.23423,75.8877,11.5572,13.882,87.8944,385.129,79.6421,376.292,2.62313,29.2163,22.3092,32.9132,4.27865,4.56774,11.0266,1.48014,
131,192.907,358.778,545.239,0.537677,5.54768,88.2853,42.8622,53.7546,19.7448,62.6902,26.9323,58.9606,0.990055,55.2142,12.1589,12.7113,49.6486,254.971,38.4184,216.295,3.64602,25.0668,17.461,47.5111,4.85422,3.7482,11.9646,1.48014,
132,192.907,624.5,823.724,0.308898,6.00452,106.691,47.5963,59.4073,50.9292,168.716,22.1433,163.013,1.96313,85.3626,22.9467,23.589,90.186,352.183,10.5378,325.068,2.36326,25.3176,9.84566,32.6514,4.85422,4.56774,11.3483,1.48014,
133,192.907,607.433,846.727,0.317577,5.28601,97.7724,46.7805,57.5835,39.2423,169.364,24.7163,166.688,1.4313,71.5172,19.181,21.7757,87.5474,348.746,30.714,347.177,2.07516,26.1239,20.2913,32.9057,4.85422,4.56774,10.7435,1.48014,
134,192.907,525.037,755.143,0.367415,6.06515,94.3294,42.4918,53.3369,33.044,133.348,31.6584,130.764,1.6195,57.1504,13.3647,14.4384,79.4457,330.052,56.6074,330.609,2.96243,25.6792,20.223,30.4667,4.17935,4.56774,11.9798,1.48014,
135,192.907,686.877,896.947,0.280846,5.59237,94.7614,46.4246,57.2459,39.0017,209.28,27.7138,206.857,1.57139,63.7692,17.1555,17.5219,70.4194,376.667,42.9997,402.718,2.3091,25.5937,21.5274,32.1391,4.85422,4.41319,10.8307,1.48014,
136,192.907,751.107,1123.02,0.25683,5.87389,119.383,47.9705,61.2832,40.0609,196.306,91.5433,188.686,1.77458,115.237,21.9416,24.8423,73.9475,423.195,415.994,412.582,2.05812,24.8636,17.9916,31.9958,4.85422,4.33805,11.871,1.32647,
137,192.907,390.166,603.54,0.494422,5.65424,94.3621,45.5968,57.0681,26.4694,71.906,21.332,67.777,1.18224,79.7345,19.2599,22.2819,68.53,284.335,70.8372,278.654,3.5512,24.97,4.51652,39.2299,4.85422,4.33805,11.9066,1.32647,
138,192.907,371.906,473.544,0.518697,5.36657,75.1924,44.7116,54.8657,28.7632,72.8975,19.2061,70.9029,1.15665,38.4497,15.2981,15.9194,68.593,204.03,5.23296,204.836,2.33278,25.1611,18.671,32.3523,4.31639,4.41319,10.76,1.49849,
139,192.907,666.234,987.266,0.289548,5.80601,107.57,43.1112,55.3601,47.5595,190.178,35.1876,181.462,1.73222,98.1165,15.8614,18.0458,92.1652,409.058,89.7998,385.779,2.33607,26.1143,17.3215,32.4468,4.85422,4.41319,10.7982,1.49849,
140,192.907,691.881,932.153,0.278815,5.64332,90.7573,46.9809,57.8059,29.4522,218.256,27.4952,215.491,1.6324,79.8899,18.4412,19.5853,62.0233,403.847,42.6255,400.226,2.58447,25.9851,20.2602,30.214,4.85422,3.28994,10.8676,1.02086,
141,192.907,488.644,762.396,0.394779,5.75272,82.5728,46.1759,57.1406,28.2095,123.75,24.9201,120.122,1.44663,56.899,18.3226,19.5896,50.4379,338.838,33.7865,336.715,3.43962,26.1145,22.5074,33.5509,5.23751,3.28994,11.2479,1.02086,
142,192.907,559.223,696.55,0.344955,5.705,74.6245,48.7401,59.5592,58.7929,145.513,22.6191,143.669,2.03587,37.5802,23.8538,24.8404,111.864,315.827,28.6358,316.35,2.25038,20.9306,19.0451,30.4864,5.07995,3.28994,10.8722,1.02086,
143,192.907,739.638,1413.32,0.260812,5.95187,93.2391,50.3867,61.8229,209.009,142.156,38.0172,139.055,1.59893,90.006,20.6761,22.9644,1150.88,302.873,75.5544,300.306,3.67655,25.2419,38.4249,48.373,5.26968,3.28994,10.8169,1.02086,
144,192.907,626.379,834.913,0.307971,5.89134,95.1139,48.0432,59.351,34.5122,171.268,43.5062,168.693,1.90707,72.0702,20.4134,22.4429,71.8197,348.37,104.003,353.108,2.37198,26.4846,22.0066,33.0956,5.26968,3.28994,10.9069,1.02086,
145,192.907,676.495,912.603,0.285156,5.3063,91.9122,48.4112,58.8679,37.582,208.579,19.8227,206.014,1.15611,81.4444,17.4774,19.6055,84.1317,385.161,24.1451,387.402,2.15022,25.2697,21.5006,31.6061,5.26968,3.28994,10.7858,1.02086,
146,192.907,405.882,549.141,0.475278,5.56983,80.4511,48.2752,59.0177,21.7822,83.491,25.9165,81.3786,1.02148,62.6533,20.2164,22.5485,44.2518,244.321,48.9479,229.212,3.20021,25.1134,19.4945,35.5309,5.26968,2.56977,10.8185,1.02086,
147,192.907,479.967,718.615,0.401916,5.54576,85.1594,46.5921,57.2532,24.2866,120.306,22.8793,117.945,0.999074,68.719,16.5618,17.7503,49.2444,288.047,26.2737,290.679,2.5063,26.0759,18.829,31.5975,5.14931,3.28994,10.9686,1.02086,
148,192.829,442.714,649.224,0.43556,5.70234,82.7555,49.9226,60.4989,36.878,94.8193,19.4426,92.6949,1.13253,78.7186,21.7837,24.1378,69.9307,262.267,6.72487,261.209,3.5193,25.064,21.2557,31.7656,5.26968,3.28994,11.2598,1.02086,
149,192.829,398.774,615.741,0.483553,5.64969,75.0998,47.5322,57.706,33.374,81.429,18.9097,79.074,1.24901,69.5816,17.8211,20.448,89.6793,241.065,4.68759,241.624,2.17437,25.4576,20.296,30.3983,4.97466,3.28994,10.9187,1.02086,
150,192.829,546.242,699.806,0.353009,5.70997,68.5447,47.0889,57.0366,32.862,156.559,23.6072,154.835,1.25325,37.7767,11.578,11.4176,71.906,299.658,39.1431,316.737,2.28509,25.9222,20.1345,34.4211,4.75074,3.28994,10.7947,1.02086,
151,192.829,467.035,837.249,0.412879,5.47283,78.5663,44.4965,55.0583,18.3473,117.995,33.2519,113.847,0.987218,67.9649,12.059,13.8068,42.5406,354.122,98.4613,351.335,2.1186,24.7501,20.5738,33.6762,4.45072,3.28994,11.9886,1.02086,
152,192.829,429.733,567.548,0.448718,5.39122,76.2222,46.9906,57.8361,30.643,94.1432,27.637,90.8695,0.990649,60.6984,15.6055,18.4734,64.9033,228.209,45.1329,230.251,2.12005,25.9983,24.0984,40.4187,4.7806,3.28994,10.7969,1.02086,
153,192.829,731.379,927.597,0.263651,5.65453,95.7634,50.9113,63.0328,37.5275,221.128,42.2834,215.079,1.96693,105.533,20.5944,22.0115,59.7956,372.586,96.6204,400.702,2.19988,24.9221,18.7424,32.2275,5.22469,3.28994,10.8215,1.02086,
154,192.829,427.74,644.542,0.450808,5.51698,69.1431,45.1161,55.3845,27.4262,102.327,22.5421,100.284,1.04003,46.3645,14.4107,14.857,58.5621,312.302,29.0337,311.478,2.85306,25.3411,18.3177,37.2504,4.69062,3.28994,10.9717,1.02086,
155,192.829,485.035,721.092,0.397556,5.6268,87.6508,48.3241,60.0289,36.5322,110.945,27.3069,108.62,1.34706,90.1459,21.7957,22.8738,82.0668,305.532,35.8585,304.635,2.18387,24.9446,11.1127,31.4279,5.21407,3.28994,11.9422,1.02086,
156,192.829,729.967,991.182,0.264161,5.65172,101.668,42.1731,54.7156,42.9659,218.439,50.4378,213.916,1.70952,87.6579,10.1596,10.5652,82.2446,440.921,90.7884,402.416,2.13251,26.6025,18.9871,32.9078,5.21407,3.28994,10.8171,1.02086,
157,191.822,426.93,719.529,0.449307,5.41753,74.8198,46.2524,56.4534,35.8268,95.2756,19.5002,93.384,1.3598,69.1007,16.4872,16.9224,81.6965,318.899,31.2598,329.435,2.52452,24.9532,19.0442,33.3646,4.52699,2.48864,10.8194,1.02086,
158,191.822,551.461,819.445,0.347844,5.59329,78.7811,46.8492,57.4384,32.0554,152.485,28.7598,149.499,1.38526,62.6452,13.5921,13.8453,67.3367,361.957,48.281,361.867,2.90257,25.6269,19.4296,36.4385,5.21407,3.28994,10.9069,1.02086,
159,191.822,675.275,980.265,0.284066,5.7347,90.0148,49.7282,61.6312,51.1829,160.757,100.129,156.096,1.41574,92.2491,19.1758,21.4567,102.675,323.947,418.862,318.238,2.25784,25.594,23.0723,34.506,4.94767,3.28994,10.9214,1.02086,
160,191.822,668.111,844.869,0.287112,5.98277,94.8458,49.8456,62.0596,33.5946,197.055,30.3632,194.365,1.61451,105.064,20.293,20.5711,59.6791,362.033,87.2854,358.676,3.16841,25.0882,10.4412,43.9569,5.21407,2.09186,10.817,1.02086,
161,191.822,662.659,1020.78,0.289474,5.68875,108.279,47.6214,59.5016,37.7936,184.122,36.2986,183.354,1.82145,122.048,18.9491,21.1721,77.5666,414.365,79.9018,409.957,1.76028,26.0324,6.70166,30.4365,4.18398,3.28994,11.9587,1.02086,
162,189.476,484.903,720.095,0.390751,5.503,80.0645,48.8457,60.1973,43.3136,111.606,27.1428,108.229,1.60085,79.467,20.1285,20.598,94.995,288.746,50.0974,294.558,2.38621,24.7966,17.6146,39.1034,4.64823,1.12388,10.8276,0.748023,
163,189.476,549.447,764.383,0.344849,5.63412,77.4539,49.4238,60.2534,36.5963,147.07,28.2427,144.773,1.72686,73.6926,18.1814,19.7505,63.5477,317.044,45.9076,317.161,2.75678,25.2543,18.8805,39.6474,4.64823,2.57126,10.8973,1.02086,
164,189.476,481.505,802.313,0.393508,5.2262,77.2117,50.0359,60.7781,32.761,116.942,25.1882,113.362,1.48336,73.3552,19.3998,21.1954,76.0929,342.384,42.5618,337.418,2.04157,24.8419,29.8643,49.3466,3.72695,2.57126,10.842,1.02086,
165,189.476,441.374,648.261,0.429287,4.82085,81.0151,43.2556,54.9551,30.0932,95.8792,40.2705,91.0849,0.942551,73.1125,13.6163,12.3807,72.9604,256.564,86.6666,252.329,2.20771,24.8872,18.6733,31.9023,3.72695,2.57126,11.955,1.02086,
166,189.476,644.193,837.495,0.29413,5.03936,84.5014,49.0745,60.694,47.6861,180.102,40.2849,176.811,1.3415,88.6982,17.8723,20.6252,87.1998,324.208,75.7059,314.275,2.07217,25.5527,21.3869,32.1477,3.72695,2.57126,10.7525,1.02086,
167,189.476,679.359,977.952,0.278905,5.36478,79.4636,46.4568,56.8623,43.2755,216.031,20.6697,211.235,1.54199,65.116,12.5264,12.9384,88.3587,418.638,24.7773,416.871,2.99219,25.9977,11.6008,33.4801,3.72695,2.57126,10.7979,1.02086,
168,182.609,507.951,783.779,0.359501,5.29703,70.7218,45.7363,56.2305,38.3537,131.023,34.5826,126.006,1.70658,58.4641,13.5493,14.9742,83.4891,351.303,94.0979,335.116,2.05518,25.0617,21.2191,31.4658,3.72695,2.43989,10.9388,1.28232,
169,182.609,502.123,735.626,0.363674,5.01667,80.5929,47.9026,59.6965,36.0193,121.223,34.4333,117.239,1.15856,88.5996,18.7217,19.9109,86.3187,293.852,74.213,291.545,2.62609,25.185,16.7323,33.2121,3.72695,2.57126,10.8229,1.28232,
170,182.609,700.331,1057.13,0.260747,4.88669,93.0006,49.739,61.0422,36.3443,220.03,20.4711,214.816,1.42223,96.9117,19.7919,22.5829,74.8016,432.627,16.9274,425.597,2.65064,25.3341,21.9304,32.5501,3.72695,2.57126,10.8002,1.28232,
171,182.609,597.149,913.361,0.305801,5.06304,94.2098,48.9042,60.1953,37.0598,164.622,25.9334,161.161,1.4631,105.283,20.9704,24.8252,72.5019,361.516,39.3718,371.494,2.25413,32.5325,8.52402,28.9895,3.72695,2.57126,16.6462,1.28232,
172,182.609,556.227,891.97,0.328299,5.02576,82.4317,44.709,56.0889,28.4768,158.35,26.9408,154.205,1.15922,74.8439,14.0941,14.4973,56.9931,377.891,41.3882,370.548,2.93406,33.3834,18.5848,34.0833,3.72695,2.57126,12.0484,1.28232,
173,182.609,503.476,750.702,0.362696,5.0994,94.8215,46.6031,58.926,27.2199,119.683,29.3566,121.766,1.16426,134.872,16.6346,18.5885,57.7209,298.926,63.5942,301.308,3.63518,25.3194,14.6955,38.9521,3.63701,2.57126,10.998,1.28232,
174,182.609,480.541,902.694,0.380007,5.2525,78.5229,48.1714,59.227,32.3226,116.335,28.8022,111.907,1.30011,83.9068,15.1422,17.2018,78.7714,370.514,45.2536,363.953,2.9049,25.1868,39.6184,49.3466,3.49038,2.57126,11.9196,1.28232,
175,182.609,454.807,750.99,0.401508,4.93173,67.3923,50.0092,60.0108,32.5701,112.122,18.1418,109.629,1.14767,57.6433,18.2144,19.983,79.2223,315.085,10.9865,313.408,2.19821,25.2111,39.6184,49.3466,3.63701,2.57126,10.8471,1.28232,
176,182.609,634.857,932.095,0.287638,4.97389,74.0297,51.183,61.1735,48.7635,189.234,18.5734,186.926,1.38013,77.304,18.5609,20.1706,92.288,395.309,5.7986,395.218,2.86581,25.4391,24.1748,34.6446,3.63701,2.57126,10.8873,1.28232,
177,182.609,486.892,793.404,0.37505,4.9333,77.0167,47.5029,58.2693,30.0179,124.735,23.2589,121.159,1.38902,73.8036,15.0384,17.2263,77.1532,345.239,32.1808,339.208,2.93963,25.2731,21.3512,32.0487,3.29509,2.57126,10.808,1.28232,
178,182.609,573.592,937.055,0.31836,5.18136,83.7332,51.853,62.7674,53.2798,145.648,29.6394,141.49,1.83651,94.8651,21.2462,23.9762,105.649,359.78,72.8746,358.526,2.87014,25.0861,34.5678,42.8131,3.29509,2.57126,10.8882,1.28232,
179,182.609,591.781,929.271,0.308575,4.95065,95.2035,45.7864,61.9418,35.3342,157.244,38.4866,152.834,1.87347,111.343,16.7339,31.4159,77.5448,383.179,78.6406,365.143,1.89273,25.1965,12.7038,42.5617,3.29509,2.57126,10.7735,1.28232,
180,178.863,552.795,906.199,0.323561,4.87666,83.6238,48.5613,63.8847,37.4495,139.198,46.6265,128.574,1.66788,96.8578,16.891,35.0814,86.1341,342.297,113.019,313.797,2.23123,25.0655,4.10186,32.1547,3.63701,2.57126,10.9645,1.28232,
181,178.863,463.405,691.946,0.385975,4.92388,77.2728,50.6962,61.9947,28.7859,107.843,27.891,103.998,1.68286,77.1625,22.1498,23.0844,63.3428,277.511,60.2227,275.027,2.13831,24.7618,18.7368,48.6481,3.85372,2.57126,10.9131,1.28232,
182,178.863,500.439,792.209,0.357412,5.06574,97.51,41.0668,53.0751,29.3802,123.408,32.5907,118.342,2.03646,95.8053,12.5815,7.02098,65.4138,344.493,46.8975,337.632,2.97282,49.9006,18.5582,34.0786,3.85372,2.57126,17.5136,1.28232,
183,178.863,630.729,899.054,0.283581,4.99544,79.3499,48.7842,60.5746,46.6976,180.162,34.1549,176.011,1.51282,82.7585,21.8542,23.3007,85.6116,385.11,76.1887,391.594,2.3438,25.4691,7.70693,31.2666,3.85372,2.57126,10.834,1.28232,
184,178.863,503.738,751.642,0.355071,4.85901,93.7762,45.2364,57.547,35.1426,115.984,38.9902,112.202,1.58995,102.916,19.5128,21.4731,74.7847,295.061,71.3953,285.581,3.01176,26.4595,8.24413,29.5922,3.85372,2.57126,11.8944,1.28232,
185,178.863,671.004,952.509,0.26656,4.96876,93.9343,46.6977,58.7189,36.0355,199.043,38.3975,193.208,1.80894,94.7022,20.4396,22.4866,74.0006,405.07,87.0655,400.824,3.21416,25.5248,18.5487,30.9058,3.26541,2.57126,11.7654,1.28232,
186,177.813,407.429,706.481,0.436428,4.71222,71.5957,44.5797,55.7422,30.9204,87.3686,28.7812,83.7288,1.2529,70.3415,16.4806,16.9125,70.1603,301.793,58.8513,302.575,2.62445,24.8652,3.02543,33.5994,3.85372,1.04655,11.9717,0.52884,
187,177.813,490.445,667.351,0.362555,5.24075,75.9612,49.384,61.1291,34.702,116.761,35.5527,111.715,1.96253,88.118,20.3843,22.408,61.2589,254.751,64.7377,258.116,2.26234,24.9088,18.1366,50.2208,3.85372,4.14544,10.8678,1.31339,
188,177.813,708.622,944.947,0.250929,4.8888,94.6321,42.0882,54.1388,48.1268,221.102,26.3873,217.258,1.62096,85.6042,14.199,11.3141,79.5481,388.085,27.8195,394.975,2.1066,26.4241,8.3279,32.8989,3.71131,4.14544,10.8886,1.31339,
189,177.813,569.794,815.914,0.312066,5.37535,73.0829,47.7665,58.5532,30.6267,162.79,32.873,158.726,1.91745,79.9749,14.982,14.8533,83.1673,349.725,70.1747,344.285,3.70552,25.9217,34.4899,44.9478,3.85372,4.14544,10.7888,1.31339,
190,177.813,428.015,700.722,0.415438,4.90664,75.1331,43.9866,54.4979,17.6675,104.691,24.9142,102.218,1.54181,71.2877,13.0094,12.93,51.4778,304.09,35.5865,304.131,3.30716,43.5266,15.057,32.6413,3.14419,4.14544,11.2684,1.31339,
191,177.813,564.637,877.266,0.314916,4.87454,73.6015,44.6592,55.6065,29.7777,159.055,41.9102,155.153,1.86392,68.5428,8.74595,10.8752,75.1321,358.898,93.7157,342.525,2.96647,26.1031,22.0013,32.2413,3.14419,4.14544,10.9352,1.31339,
192,177.813,428.041,686.486,0.415413,4.8404,69.4918,49.8335,60.6002,26.4361,101.868,18.0361,96.9344,1.80278,92.5263,20.8105,25.2555,56.4866,294.209,24.1199,292.383,2.72782,25.1233,31.4508,44.1869,3.14419,4.13756,11.1196,1.31339,
193,177.813,615.316,901.456,0.288979,4.48274,84.5763,50.0544,61.4501,64.4273,162.435,29.1104,158.78,1.01467,91.8736,20.119,23.2975,128.578,344.52,47.8292,332.715,2.19635,25.0663,18.5264,42.9892,3.14419,4.14544,10.9136,1.31339,
194,177.568,279.633,378.501,0.635003,4.38567,65.4236,42.3248,52.6039,16.2923,40.1763,20.7589,37.6672,0.830957,59.2019,10.5466,10.2287,60.0682,162.153,11.1589,144.173,2.87936,26.0435,19.203,41.341,3.14419,4.14544,17.8912,1.31339,
195,177.568,613.358,919.679,0.289501,4.62221,77.2652,46.8712,57.5339,32.9389,188.932,20.0148,185.179,1.51964,83.1828,18.1863,19.3551,63.5081,422.513,7.48249,418.665,2.3523,25.9056,19.2585,32.3356,3.25934,4.14544,10.8795,1.31339,
196,177.568,628.044,832.209,0.282731,4.79755,89.3222,44.3731,57.4303,43.9336,184.25,29.094,174.844,1.91394,108.96,15.3403,17.9562,89.2359,353.016,47.8424,346.452,3.24534,25.9088,16.1465,30.9563,3.25934,4.14544,10.8236,1.31339,
197,177.568,394.808,620.765,0.449757,4.62148,63.1585,47.72,58.3382,23.2873,85.0358,30.5039,82.1426,1.65196,74.8469,17.9657,19.6936,63.8006,267.045,59.7223,272.654,3.04024,24.7956,31.02,50.7885,3.25934,4.14544,10.778,1.31339,
198,177.462,576.341,910.211,0.307911,4.7389,63.2934,45.0095,54.8758,41.7351,175.237,18.8375,172.614,2.10742,52.1749,15.1363,15.5922,97.9373,408.845,12.7394,382.389,2.56402,25.2725,21.1583,31.6608,3.25934,4.14544,10.8342,1.31339,
199,177.462,547.706,913.661,0.324009,4.66668,79.3596,50.4143,68.4816,41.5537,139.504,35.9862,127.741,1.8429,102.713,20.1482,57.8541,99.7396,349.559,95.8687,323.736,2.42389,25.6646,41.2403,50.7885,3.04331,4.14544,10.9285,1.31339,
200,177.462,630.753,924.533,0.281349,4.26182,84.8622,44.6878,56.6607,29.9771,188.756,37.0382,184.509,1.28626,86.8865,17.7234,21.6417,53.6896,388.008,70.5706,387.785,2.15018,25.8736,17.5781,33.6136,3.19395,4.66067,11.9379,1.51055,
