Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.roll_center.y.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.roll_center.y.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.roll_center.y.best,Roll.rear.side_view_swing_arm_angle_l.best,
55,229.152,756.287,852.146,0.302996,4.27835,70.677,80.6476,97.5809,35.2533,219.053,31.4019,217.395,1.77023,94.1062,40.6081,37.9619,50.5482,386.729,53.2358,384.309,2.20631,23.8984,2.84887,31.0972,7.23872,1.1493,11.6546,0.583775,
56,229.152,837.35,988.066,0.273664,4.49756,83.5909,81.0877,98.091,45.3729,252.523,22.6792,249.508,1.93363,108.486,39.2038,36.9276,66.97,426.88,23.1023,419.771,1.91845,24.6717,2.84887,30.7662,8.86202,1.1493,11.8179,0.583775,
57,229.152,623.45,600.934,0.367555,4.51061,66.1279,89.168,106.305,37.5544,147.564,26.8495,145.371,1.75261,89.9596,36.5613,30.2596,59.5674,279.172,50.4796,256.808,2.20631,24.6385,2.84887,31.0972,4.95232,1.1493,10.8446,0.583775,
58,229.152,803.21,939.71,0.285295,4.69515,75.1044,86.9244,103.687,57.1908,228.33,21.6734,225.605,1.96057,108.016,37.2348,33.2207,94.976,392.992,27.5267,395.288,2.20631,24.6717,2.84887,31.0972,6.29229,1.1493,10.8083,0.583775,
59,229.152,588.457,709.072,0.389412,4.92539,50.9341,92.0279,108.434,37.1531,128.249,39.9963,126.738,2.53472,85.2031,34.2406,29.7458,41.3418,325.693,137.648,308.223,2.02226,24.6458,2.84887,31.0972,8.86202,1.1493,10.8093,0.583775,
60,229.152,651.793,724.438,0.351572,4.67453,69.2221,77.9656,94.8305,47.4948,162.366,34.0481,161.191,1.79143,85.1702,42.4115,36.9545,65.2732,312.313,81.7526,302.388,2.15752,24.2894,2.84887,31.0972,1.38502,1.1493,10.8223,0.590684,
61,229.152,759.95,924.51,0.301536,4.81228,76.8471,88.407,104.499,40.2711,214.183,18.4214,212.509,1.47474,97.2608,34.7924,32.649,47.3629,408.065,19.2806,409.419,2.20631,24.6458,2.84887,31.0972,8.86202,1.1493,11.8223,0.590684,
62,229.152,773.378,880.616,0.2963,5.03425,72.3801,85.0237,102.098,42.4896,220.863,27.6891,217.8,1.95532,102.378,37.5116,35.2371,65.2833,380.187,44.7747,375.566,2.20631,24.6458,2.84887,31.0972,4.5792,1.1493,10.9431,0.590684,
63,229.152,619.63,591.88,0.369821,4.83485,76.6527,82.4877,101.046,39.6065,149.742,22.4621,142.798,2.32205,132.968,38.3752,33.2517,52.1025,291.376,27.1847,272.978,2.1322,24.6458,2.84887,31.0972,8.86202,1.1493,10.7554,0.590684,
64,229.152,715.007,669.168,0.320489,4.49657,67.4456,73.9135,90.6347,41.6523,200.663,36.0347,200.167,1.58167,63.0276,41.5583,35.8576,66.818,283.814,61.8069,303.601,2.11636,24.6458,2.84887,31.0972,5.16821,1.1493,10.9844,0.590684,
65,229.152,676.591,759.533,0.338687,4.85098,67.6414,83.834,100.074,50.4953,177.935,18.4522,173.308,1.889,99.4857,39.4123,37.3,81.8048,336.576,21.6992,335.024,2.20631,24.6458,2.84887,31.0972,5.01796,1.1493,10.9409,0.590684,
66,229.152,768.017,774.383,0.298369,4.79988,70.3928,77.724,94.3755,49.1061,221.306,30.5708,219.742,1.89531,83.041,39.9548,37.8816,79.2345,335.539,50.3065,332.871,2.20631,24.6458,2.84887,31.0972,6.80289,1.1493,10.8924,0.590684,
67,229.152,712.086,716.864,0.321804,5.06842,65.5796,78.7749,94.8309,50.3883,198.606,20.8681,197.97,2.06294,85.6193,38.839,35.8853,80.2441,323.982,20.3654,329.216,2.20631,24.6458,2.84887,31.0972,6.50708,1.1493,10.8758,0.590684,
68,229.152,850.173,908.365,0.269536,5.37934,101.344,77.7058,95.4789,45.5488,249.353,28.8906,246.474,2.07002,138.336,39.8492,36.5575,56.8862,393.874,40.7424,390.799,2.20631,24.6458,2.84887,31.0972,6.80289,1.1493,11.1435,0.590684,
69,229.152,691.812,698.304,0.331235,5.01449,75.6195,77.5195,95.2216,45.6201,182.618,34.097,176.101,2.43823,104.117,38.7224,34.2326,73.2026,307.294,67.5541,308.48,2.20134,24.6458,2.84887,31.0972,6.09861,1.1493,11.2991,0.590684,
70,229.152,687.283,783.809,0.333418,5.11797,72.1834,74.3878,91.1245,36.4604,191.33,26.7101,189.968,2.10995,86.4866,40.3257,36.8716,57.9671,352.394,42.0928,346.876,2.14535,24.6084,2.84887,31.0972,6.80289,1.1493,10.902,0.590684,
