Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
0,1152.27,5998.42,3796.92,0.192096,365.524,683.955,17.0039,0,20.9591,2836.4,690.498,592.774,791.313,375.336,942.776,19.9107,4.68097e-148,13.1574,3392.27,910.863,649.032,1171.18,2.83161,2.39723,0.0876902,0,3.90634,665.89,5.99386,26.9204,3.98882,
1,1152.27,5018.47,1940.83,0.229606,364.917,543.732,17.545,0,20.5197,2364.89,546.937,577.163,582.773,267.917,494.164,10.308,0,7.75205,1125.91,527.51,382.652,586.45,2.83161,2.39723,0.0876902,0,3.90634,650.553,5.99386,26.9204,3.98882,
2,1152.27,4505.44,1282.51,0.255751,359.95,443.515,17.6647,0,20.0187,2207.19,444.993,557.613,454.497,252.567,363.106,9.95488,0,8.00806,927.561,376.958,367.996,405.267,2.83161,2.39723,0.0876902,0,3.90634,650.553,5.99386,26.9204,3.98882,
3,1152.27,4231.66,1210.8,0.272298,340.644,404.413,17.1084,0,20.6281,2106.2,405.596,533.099,403.974,235.308,322.035,9.67764,0,8.62752,928.597,323.496,342.445,352.402,2.83161,2.39723,0.0876902,0,3.38132,650.553,5.99386,39.0415,3.98882,
4,1152.27,3920.63,1117.78,0.293899,339.602,351.883,15.9265,0,20.3447,1965.25,352.731,535.114,339.777,230.218,275.994,9.85091,0,8.9457,938.262,279.246,351.172,297.94,2.83161,2.39723,0.0876902,0,3.38132,650.553,5.99386,25.1027,3.98882,
5,1152.27,3715.7,1133.84,0.310109,330.92,343.053,14.4857,0,20.1166,1819.17,343.761,530.138,314.051,224.574,269.133,9.59473,0,9.45129,918.363,270.948,356.922,288.151,5.14002,2.39723,0.0876902,0,3.27333,650.553,5.99386,39.0415,3.98882,
6,1152.27,3591.28,1374.14,0.320852,332.533,351.561,13.3116,0,19.5097,1695,352.251,515.615,311.505,354.995,289.752,8.77855,0,9.73496,859.723,289.468,348.687,293.328,3.3565,2.39723,0.0876902,0,3.27333,650.553,5.99386,39.0415,3.98882,
7,1152.27,3562.46,1348.45,0.323448,327.22,355.639,13.1811,0,20.0216,1677.64,356.327,500.48,311.948,234.655,300.446,8.34695,0,9.90737,819.878,301.353,329.018,318.992,3.3565,2.39723,0.0876902,0,3.27333,650.553,5.99386,41.5379,3.98882,
8,1152.27,3320.84,927.502,0.346981,312.551,331.726,12.1124,0,20.2051,1539.62,330.31,493.845,280.474,229.637,233.717,7.80699,0,10.3856,733.455,233.893,323.784,253.484,3.3565,2.39723,0.0876902,0,2.8766,650.553,5.99386,41.5379,3.98882,
9,1152.27,3212.42,1213.45,0.358692,326.739,321.882,11.2788,0,20.0876,1469.68,322.516,468.522,271.72,248.15,256.106,7.7718,0,10.4521,760.678,257.291,307.49,267.158,3.3565,2.39723,0.0876902,0,2.8766,650.553,5.99386,41.5379,3.98882,
