Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.motion_ratio_heave_l,Roll.front.camber_angle_gain_roll_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,1.16258,0.551965,0.245959,0.443297,6.81262,34.4822,0.0774356,2.3554,3.01206,
1,1.16258,0.551964,0.245961,0.443296,6.81262,34.4822,0.077434,2.3554,3.01206,
2,1.16258,0.551961,0.245962,0.443296,6.81262,34.4822,0.0774333,2.3554,3.01206,
3,1.16258,0.551965,0.245961,0.443297,6.81262,34.4822,0.0774365,2.3554,3.01206,
4,1.16257,0.551965,0.245966,0.443295,6.81261,34.4822,0.0774363,2.3554,3.01206,
5,1.16258,0.551963,0.24596,0.443299,6.81262,34.4822,0.0774321,2.35541,3.01206,
6,1.16258,0.551961,0.245959,0.4433,6.81262,34.4822,0.0774307,2.35541,3.01206,
7,1.16258,0.55197,0.245962,0.443297,6.81262,34.4822,0.0774317,2.35541,3.01205,
8,1.16258,0.551959,0.245962,0.443299,6.81262,34.4822,0.0774314,2.35541,3.01206,
9,1.16258,0.551962,0.24596,0.443299,6.81262,34.4822,0.0774323,2.35541,3.01206,
10,1.16258,0.551963,0.245962,0.443297,6.81262,34.4822,0.0774337,2.35541,3.01206,
11,1.16258,0.551965,0.245962,0.443299,6.81262,34.4822,0.0774345,2.3554,3.01206,
12,1.16258,0.551965,0.245964,0.443296,6.81262,34.4822,0.0774356,2.3554,3.01206,
13,1.16258,0.551962,0.245963,0.443296,6.81262,34.4822,0.0774351,2.35541,3.01206,
14,1.16258,0.551966,0.245962,0.443296,6.81262,34.4822,0.077431,2.35541,3.01206,
15,1.16258,0.551963,0.245961,0.443301,6.81262,34.4822,0.0774338,2.35541,3.01206,
16,1.16258,0.551964,0.245963,0.4433,6.81262,34.4822,0.077431,2.35541,3.01206,
17,1.16258,0.551963,0.245964,0.443299,6.81262,34.4822,0.0774314,2.35541,3.01206,
18,1.16258,0.551965,0.245964,0.443299,6.81262,34.4822,0.0774293,2.35541,3.01206,
19,1.16258,0.551963,0.245961,0.443299,6.81262,34.4822,0.0774281,2.35541,3.01206,
20,1.16258,0.551962,0.245963,0.443295,6.81262,34.4822,0.0774289,2.35541,3.01206,
21,1.16258,0.551963,0.245962,0.443302,6.81262,34.4822,0.0774311,2.35541,3.01206,
22,1.16258,0.551961,0.245964,0.443295,6.81261,34.4822,0.0774397,2.3554,3.01206,
23,1.16258,0.551962,0.245958,0.443299,6.81262,34.4822,0.0774385,2.35541,3.01206,
24,1.16258,0.551965,0.245962,0.443299,6.81262,34.4822,0.0774312,2.35541,3.01206,
25,1.16258,0.551964,0.245958,0.443301,6.81262,34.4822,0.077436,2.35541,3.01206,
26,1.16258,0.551965,0.245965,0.443299,6.81262,34.4822,0.0774304,2.35541,3.01206,
27,1.16258,0.551965,0.245965,0.443299,6.81262,34.4822,0.0774326,2.35541,3.01206,
28,1.16258,0.551964,0.245962,0.443296,6.81262,34.4822,0.0774281,2.35541,3.01206,
29,1.16258,0.551964,0.245963,0.443297,6.81261,34.4822,0.0774409,2.3554,3.01206,
30,21.0766,5.08669,109.535,81.4999,41.073,70.6176,108.317,2.43197,30.9174,
31,202.162,8.92962,37.3521,50.9207,90.9521,17.8203,37.8551,7.28572,74.6859,
32,1.16258,0.551963,0.245966,0.443299,6.81262,34.4822,0.0774351,2.35541,3.01206,
33,1.16258,0.551964,0.245963,0.443295,6.81262,34.4822,0.0774338,2.35541,3.01206,
34,1.16258,0.551964,0.245964,0.443298,6.81262,34.4822,0.0774355,2.3554,3.01206,
35,1.16258,0.551967,0.245962,0.443296,6.81262,34.4822,0.0774307,2.35541,3.01206,
36,23.8359,2.76286,158.752,35.4042,126.418,11.7051,158.17,6.71553,15.0247,
37,1.16258,0.551962,0.245959,0.443298,6.81262,34.4822,0.0774358,2.35541,3.01206,
38,1.16258,0.551959,0.245962,0.443297,6.81262,34.4822,0.0774318,2.35541,3.01206,
39,1.16258,0.551965,0.245963,0.443296,6.81262,34.4822,0.077432,2.35541,3.01206,
40,1.16258,0.551962,0.245964,0.443297,6.81262,34.4822,0.0774331,2.3554,3.01206,
41,1.16258,0.551964,0.245964,0.443297,6.81262,34.4822,0.0774341,2.35541,3.01206,
42,1.16258,0.551964,0.245963,0.443297,6.81262,34.4822,0.0774338,2.3554,3.01206,
43,1.16258,0.551959,0.245964,0.443298,6.81262,34.4822,0.0774335,2.35541,3.01206,
44,1.16258,0.551964,0.245963,0.443297,6.81262,34.4822,0.0774348,2.35541,3.01206,
45,1.16258,0.551966,0.245963,0.443297,6.81262,34.4822,0.0774297,2.35541,3.01206,
46,184.714,9.86622,259.599,61.9523,106.07,14.8279,256.106,6.54551,55.9786,
47,1.16258,0.55196,0.245963,0.443296,6.81262,34.4822,0.0774325,2.35541,3.01206,
48,1.16258,0.551959,0.245964,0.443299,6.81262,34.4822,0.0774317,2.35541,3.01206,
49,1.16258,0.551962,0.245959,0.443297,6.81262,34.4822,0.077433,2.35541,3.01206,
