Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
42,44.3899,96.3355,165.151,0.460784,24.3256,1.23641,27.8029,18.4126,17.7957,3.08114,0.0503118,0.554821,0.25165,2.82441,2.97078,1.3914,167.332,56.3225,11.2907,2.17087,0.0173413,3.29511,0.117617,0.915223,12.4168,0.0378259,0.446451,1.40598,6.87708,0.0461635,0.0229158,0.00493789,0.191666,1.8732,
43,43.3246,148.075,338.416,0.292585,24.1499,1.03304,79.7198,19.3969,16.6264,2.53275,0.0496585,1.57813,0.235626,2.75298,3.71813,0.867373,302.976,40.9861,10.0454,1.84231,0.0117145,5.98163,0.0620243,0.937993,9.1599,0.0378259,0.446451,1.73359,6.87708,0.0461635,0.0329425,0.00493789,0.175322,0.720038,
44,43.3246,78.393,111.627,0.552659,35.0537,0.931268,5.87228,15.6202,14.7405,2.73867,0.0459438,0.116521,0.244886,3.02903,68.1581,0.789027,73.29,35.5693,7.23203,2.14893,0.00817648,1.45071,0.107526,1.26799,22.8037,0.0378259,0.446451,1.73359,6.87708,0.0646277,0.00505409,0.00412837,0.191865,1.41769,
45,43.3246,84.6622,195.387,0.511735,24.376,0.984092,24.2079,15.2006,13.8082,2.38916,0.0485749,0.480668,0.226266,2.94082,10.7356,0.6868,140.925,46.3418,7.5328,1.79965,0.00709277,2.80027,0.0366533,0.764017,11.3592,0.0378259,0.446451,1.81423,6.19511,0.0646277,0.0460635,0.00493789,0.191865,1.54761,
46,43.3246,150.85,364.722,0.287203,23.9698,1.13245,76.6352,25.6906,16.1302,2.38469,0.0525531,1.50423,0.253539,3.09674,2.80958,1.16268,328.521,73.1502,12.6654,1.9762,0.0193226,6.40225,0.12774,1.00447,12.2163,0.0378259,0.446451,1.81423,6.19511,0.0081666,0.0456807,0.00379212,0.185719,1.20568,
47,43.3246,126.586,288.235,0.342255,23.5443,1.12234,53.413,24.9689,16.7641,2.24381,0.0538077,1.05908,0.265042,3.15113,3.68211,1.13737,245.134,65.0563,13.8268,2.11117,0.0217788,4.85743,0.141459,1.28295,9.03284,0.0378259,0.446451,1.81423,6.87708,0.0081666,0.0466368,0.00379212,0.21462,1.82682,
48,42.2254,116.771,260.705,0.361609,27.2782,1.09938,44.1291,24.2144,14.1883,1.62916,0.0505072,0.877729,0.254322,3.05001,24.2709,0.827987,197.794,70.886,12.8951,1.7008,0.017096,3.93784,0.113886,0.826355,8.85312,0.0378259,0.446451,1.89345,5.71107,0.0081666,0.0065033,0.00379212,0.215387,2.17544,
49,41.5419,179.402,440.482,0.231558,45.3833,1.15495,96.0969,16.4076,13.2586,1.80051,0.0478274,1.90136,0.244837,3.10617,147.749,1.18408,338.662,36.9526,11.4768,2.56735,0.011052,6.68934,0.104829,1.21759,0.233855,0.0237668,0.233312,1.89345,5.71107,0.00109214,0.014191,0.00379212,0.124696,1.8689,
50,41.5419,69.3994,106.053,0.598592,30.052,1.24657,10.9656,11.3398,11.1053,1.23344,0.0458753,0.218403,0.24145,2.95101,31.8918,1.15094,93.3516,25.1663,9.38316,1.83253,0.00769462,1.84972,0.0938706,0.733311,23.5426,0.0138282,0.233312,2.02231,5.71107,0.00109214,0.00563831,0.00379212,0.213298,1.7571,
51,39.3778,119.601,265.947,0.329242,48.1023,1.00395,24.3904,28.8213,11.9125,1.37561,0.0483395,0.484185,0.256284,3.20655,119.205,0.745841,141.2,76.396,12.4033,1.9043,0.0158888,2.80664,0.120594,1.4821,10.6971,0.0138282,0.233312,1.43864,5.71107,0.00109214,0.00482609,0.00379212,0.216302,2.10206,
52,38.9365,137.893,366.13,0.282367,29.4704,1.25349,78.0076,12.321,10.6902,1.38463,0.0461126,1.534,0.239558,2.9461,29.8963,1.17344,323.228,30.355,10.9052,2.37279,0.00813091,6.44479,0.0890821,0.955128,15.0557,0.0138282,0.214406,1.43864,3.18017,0.00109214,0.00693853,0.00379212,0.188787,1.2687,
53,38.9365,106.942,265.077,0.364091,23.9478,1.10241,44.5508,21.1018,11.1536,1.12735,0.0506613,0.887447,0.238292,2.78166,6.29094,1.02993,207.752,68.3707,11.7202,1.80126,0.0141222,4.13962,0.0801628,0.470563,9.6741,0.0138282,0.118365,1.43864,5.51806,0.00109214,0.0465876,0.00203004,0.180127,0.475631,
54,38.9365,86.4906,199.965,0.450182,25.2679,1.29759,24.7258,20.3846,9.98433,1.06696,0.0493047,0.490616,0.250556,2.97298,7.48731,1.24459,142.261,62.4003,9.43644,1.79004,0.0143575,2.82997,0.112474,0.745426,11.4188,0.0378259,0.214406,1.43864,5.51806,0.00109214,0.0146628,0.00191893,0.218272,1.85145,
55,38.9365,61.5221,78.2688,0.632887,26.3656,1.03695,9.15099,10.0749,10.3494,1.09256,0.0480737,0.181597,0.249917,2.97212,11.866,0.937898,53.062,20.6959,10.2126,1.60557,0.014434,1.06213,0.116757,0.738588,12.3037,0.0957682,0.214406,1.43864,5.51806,0.00109214,0.0095681,0.00382186,0.215944,1.72482,
56,38.9365,87.2217,277.241,0.446409,25.412,1.1273,35.4803,10.6989,9.55402,0.959819,0.0469635,0.693123,0.23553,3.01369,5.15911,1.01208,236.401,32.5803,9.24042,1.3729,0.00463991,4.62413,0.0872413,0.911994,24.0247,0.137426,0.139496,1.43864,5.51806,0.00109214,0.0167949,0.00235233,0.216356,1.98466,
57,38.8442,91.9689,161.569,0.422363,25.1346,0.993149,30.3229,16.6375,13.1333,1.5627,0.049542,0.604692,0.262773,3.26768,6.15465,0.75728,122.953,38.8943,15.6995,2.66906,0.0194167,2.45533,0.131372,1.35762,12.2312,0.137426,0.0727822,1.0243,5.51806,0.00109214,0.0149691,0.000950912,0.194451,1.5765,
58,37.4702,78.8488,177.934,0.475215,24.2139,0.907993,23.426,15.9504,9.31922,1.23215,0.0481783,0.464808,0.249915,3.0363,3.85198,0.721736,146.152,53.7135,10.5342,2.18002,0.0123479,2.90947,0.119345,0.915381,3.28469,0.137426,0.0727822,1.43864,5.42105,0.00109214,0.0211998,0.000950912,0.218272,2.48301,
59,37.3415,82.4914,271.533,0.452671,24.2357,0.794442,34.9527,8.18312,9.38609,0.96234,0.0494167,0.684074,0.235531,3.00805,1.94208,1.05128,231.487,29.9066,11.6666,1.4329,0.0130795,4.53691,0.0886183,1.23754,12.3146,0.0255934,0.0727822,1.43864,5.42105,0.00109214,0.0469957,0.000950912,0.200522,2.17847,
60,37.3415,121.735,335.537,0.306744,23.6045,0.900031,55.8535,22.7046,12.6486,1.27898,0.0536725,1.09678,0.26157,3.33263,3.31855,0.705278,266.776,81.4591,17.2702,2.00223,0.0215743,5.26445,0.144876,1.62394,12.3008,0.0255934,0.0727822,1.36715,5.1752,0.0253323,0.0470528,0.000950912,0.181053,2.54048,
61,37.3415,85.3705,223.545,0.437405,24.0185,0.825686,42.1752,5.08002,8.09546,0.951649,0.0499259,0.839223,0.237476,3.09735,2.98915,0.544539,201.118,23.3055,8.52333,1.39606,0.0128275,4.01447,0.0718637,1.4574,9.49091,0.0255934,0.0727822,1.36715,5.15692,0.0414077,0.0471144,0.000950912,0.221894,2.63361,
62,37.2747,65.8326,133.502,0.566205,24.5711,1.10559,13.3867,14.6797,7.68745,0.88803,0.0483136,0.265201,0.238589,2.96195,2.05613,1.07668,84.8319,62.0762,7.12027,1.40334,0.0117168,1.6949,0.0777881,0.8114,15.0919,0.137426,0.0727822,1.15066,5.15692,0.0414077,0.0187514,0.000950912,0.221272,2.37295,
63,36.433,84.3575,257.279,0.431888,24.1832,0.923574,34.3238,11.4787,8.67042,0.939143,0.0491159,0.67244,0.23253,2.88461,1.97988,0.706082,228.988,54.1397,10.8342,1.51347,0.0111433,4.49492,0.072262,0.543615,14.7038,0.0507647,0.0727822,1.30133,4.95083,0.0414077,0.0471144,0.000899897,0.179774,2.60692,
64,36.433,145.059,397.379,0.25116,23.716,1.1045,87.6499,16.1112,10.3979,1.05486,0.0504833,1.72526,0.238335,3.01071,3.17001,1.15747,350.3,53.4691,14.2559,1.84936,0.013904,6.98501,0.0830923,1.16051,9.53598,0.137426,0.0727822,1.36715,4.9453,0.029392,0.0469174,0.000899897,0.182034,1.67903,
65,36.433,103.777,311.115,0.351071,23.9295,0.772501,53.221,12.6565,8.10484,0.881466,0.0502187,1.04802,0.238066,2.87468,2.76527,0.637787,265.25,42.7009,10.5107,1.94022,0.0139155,5.21993,0.0869717,1.13293,10.904,0.0437466,0.0727822,1.49931,4.9453,0.000861128,0.0470259,0.000899897,0.19627,0.790346,
66,36.433,145.94,427.118,0.249643,24.4695,0.811754,99.7207,5.99362,8.71706,0.890419,0.0477711,1.95146,0.221275,3.11679,1.36886,0.642832,393.804,14.844,11.6378,2.00737,0.002209,7.71007,0.019143,1.55628,16.0747,0.0139317,0.0882401,1.49931,4.92867,0.000861128,0.0470005,0.000756417,0.180168,2.579,
67,36.433,76.4212,221.119,0.476739,24.1787,0.775359,27.2667,12.9127,6.93502,0.612384,0.0498863,0.541173,0.238049,2.91123,2.54146,1.06114,161.548,66.7985,7.30529,1.5561,0.0131013,3.19526,0.0807605,0.888679,11.4984,0.0139317,0.0882401,1.49931,4.9453,0.00039837,0.0469867,0.000756417,0.221603,2.55821,
68,36.0579,81.5553,260.447,0.442128,24.2492,0.771876,34.2086,10.5027,7.22567,0.667744,0.0491412,0.669872,0.233484,2.97707,2.00228,0.803231,229.065,44.4129,7.75513,2.01973,0.011532,4.49179,0.0747837,1.00403,13.3761,0.0516009,0.0882401,1.66289,4.83171,0.00039837,0.0469867,0.000747193,0.195425,2.60365,
69,36.0579,82.7458,173.376,0.435767,25.8591,0.951516,23.8069,18.2333,9.46255,0.774338,0.048997,0.47501,0.257526,2.87651,10.3578,1.6009,121.719,66.4001,13.7684,2.09038,0.0161478,2.41831,0.12194,0.813257,13.6819,0.0198428,0.0882401,1.68908,4.83171,0.00039837,0.00992524,0.000747193,0.221978,1.81195,
70,35.9515,104.637,238.697,0.343582,34.2305,0.750729,34.8721,20.7988,9.12112,0.738567,0.0505751,0.69431,0.254764,3.12589,72.8576,0.541414,160.272,72.1084,13.3851,2.22508,0.0174781,3.19646,0.108259,1.45051,9.35248,0.0198428,0.0882401,1.68908,4.83171,0.00039837,0.0047357,0.000747193,0.221689,2.63998,
71,35.449,75.9168,196.036,0.466945,23.9444,0.975871,21.4113,16.3027,9.05459,0.577131,0.0517931,0.425292,0.250446,2.92326,10.6759,1.08739,140.439,66.8832,14.2601,1.89429,0.0181633,2.79485,0.114781,0.91021,10.7794,0.0221077,0.119613,1.68482,4.83171,0.000240465,0.0470989,0.000756417,0.222352,2.1391,
72,35.449,58.1137,150.38,0.609993,24.32,0.783424,19.3695,3.25099,6.5688,0.245158,0.0482713,0.385431,0.22576,2.91638,2.20155,0.510273,131.323,9.41949,8.77134,1.00916,0.00636425,2.6176,0.0310238,0.859688,9.14565,0.0516009,0.121811,1.75743,4.83171,0.000240465,0.0471467,0.000756417,0.222352,2.68872,
73,35.449,80.428,265.401,0.440754,24.0206,0.947172,34.8027,7.42353,8.748,0.524163,0.0512112,0.681427,0.246934,2.98228,2.52978,1.22878,231.57,24.381,14.0149,1.93244,0.017673,4.54237,0.118974,0.935473,12.3263,0.0516009,0.134632,1.75081,4.68558,0.000240465,0.0472739,0.000830887,0.196848,2.64478,
