Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,33.3023,448.667,168.777,0.074225,356.974,25.9832,2.30948,1.39887,7.4485,25.1158,0.452298,1.39183,20.1303,1.06985,6.39309,253.977,35.8388,2.5742,0.791902,8.57947,22.0248,0.47567,1.8078,25.7357,1.26529,4.87047,23.5943,0.0916775,0.0305215,0.0533732,0.167937,0.73722,0.118902,0.0853495,0.129848,0.177839,0.627228,
1,33.3023,375.048,108.933,0.0887948,265.571,20.1352,1.88954,1.16634,3.90993,24.5871,0.337727,1.39057,49.6581,1.11967,5.28324,91.6022,19.8616,1.15794,0.563347,4.69802,25.2363,0.177018,1.25467,57.725,0.663644,4.39336,23.5943,0.0916775,0.0305215,0.0533732,0.0891754,0.73722,0.00796096,0.0853495,0.129848,0.0778431,0.922014,
2,33.3023,316.667,76.4912,0.105165,220.92,17.7335,2.04222,1.14399,2.8975,23.8211,0.266196,1.36793,40.5284,0.871233,5.07488,77.8154,17.227,1.26484,0.519161,2.58171,17.8438,0.145025,1.33686,47.7196,0.62264,3.99311,23.5943,0.0916775,0.0305215,0.0533732,0.0891754,0.73722,0.0412614,0.00837717,0.129848,0.0778431,0.912969,
3,33.3023,283.602,83.4491,0.117426,183.539,14.5993,2.25291,1.12185,2.83922,25.5362,0.205216,1.49365,46.7845,0.86727,4.36265,70.9069,12.4121,1.52115,0.517776,2.26208,23.3351,0.136734,1.31392,56.2036,0.54757,3.37476,23.5943,0.0916775,0.0305215,0.0533732,0.143823,0.480713,0.0116667,0.00837717,0.129848,0.0906869,0.656155,
4,33.3023,258.115,74.1709,0.129021,154.546,13.1993,2.39042,1.21209,3.21357,26.2252,0.159578,1.63322,50.7345,0.87507,3.92611,58.8697,11.727,1.53248,0.508481,2.11994,21.3177,0.11231,1.41056,46.2131,0.603571,3.00883,23.5943,0.0916775,0.0305215,0.212157,0.120377,0.480713,0.00994239,0.00837717,0.129848,0.0906869,0.515397,
5,33.3023,216.229,60.8354,0.154014,124.54,14.0744,2.37083,1.20001,3.19085,21.2137,0.161168,1.67025,42.9586,0.967653,3.88189,61.9304,11.7291,1.48479,0.457745,1.87484,21.963,0.109817,1.48622,34.9258,0.651699,2.92599,21.9125,0.0916775,0.0305215,0.252306,0.120377,0.12512,0.00891387,0.127386,0.129848,0.0504872,0.515397,
6,33.3023,190.912,64.3426,0.174438,100.856,13.7453,2.08527,1.18041,2.50015,15.2211,0.177838,1.17862,49.3964,1.06681,3.5039,52.2941,8.29401,1.49376,0.447629,1.83997,16.4465,0.13004,1.36285,33.2664,0.598535,1.99775,14.3495,0.0916775,0.0305215,0.252306,0.120377,1.05903,0.00891387,0.0364115,0.129848,0.0504872,0.937828,
7,33.3023,172.284,57.3479,0.193299,80.8039,15.3072,1.90981,1.57518,2.84425,14.6797,0.203505,0.989047,50.0841,1.02855,2.85854,40.4344,7.68265,1.43333,3.13193,1.61479,10.4481,0.127606,1.1294,39.6029,0.572009,1.85549,14.3495,0.0916775,0.0305215,0.136192,0.316072,1.05903,0.00891387,0.0833887,0.129848,0.0497052,0.366242,
8,33.3023,145.134,42.8719,0.229458,71.0641,16.5445,1.40423,1.5911,2.58528,10.7997,0.24126,0.719477,36.3221,1.03866,2.8241,37.8664,7.94539,1.38033,3.13885,1.69943,7.65738,0.147995,0.879905,30.2561,0.586353,2.43255,14.1553,0.0916775,0.0305215,0.225122,0.250865,0.676127,0.00891387,0.0222517,0.129848,0.057535,0.291018,
9,33.3023,110.761,30.1043,0.300669,46.5311,14.0134,1.38182,0.985369,2.61151,11.0575,0.33541,0.741331,28.7182,1.05299,3.33217,32.9917,8.68811,1.29789,0.444342,1.46872,8.35843,0.157419,0.773202,21.7061,0.610775,2.16383,9.34096,0.0916775,0.0169091,0.168893,0.250865,0.607053,0.0681554,0.0123211,0.129848,0.057535,0.685236,
