Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,1409.5,4394.43,930.293,0.320748,7.38154,406.995,54.6326,3101.82,148.186,341.129,334.283,7.02172,385.926,63.2753,3287.82,112.975,356.683,418.597,1.60738,20.7534,3.82824,1224.72,8.32729,16.1914,16.1194,
1,1409.5,3794.84,959.547,0.371426,6.74492,465.447,35.5674,2350.87,123.395,408.212,404.599,2.43423,264.722,30.5986,1055.48,96.4264,218.667,227.127,1.71255,10.437,3.82824,1224.72,1.94211,2.28014,1.60915,
2,1409.5,3253.55,892.178,0.43322,6.45936,416.583,24.2651,1917.75,113.859,388.401,386.231,2.37397,205.954,21.809,676.062,96.6286,216.736,215.134,0.653622,22.5526,2.99846,1224.72,1.94211,2.28014,1.60915,
3,1409.5,3179.65,1048.6,0.443289,5.80278,346.397,27.4635,1969.46,116.68,357.664,356.178,2.56507,211.275,21.144,737.402,112.381,254.534,256.906,0.303238,2.00259,2.99846,1224.72,1.94211,2.28014,1.60915,
4,1409.5,2963.25,1341.49,0.475661,5.57789,354.481,21.8736,1790.25,120.205,336.832,334.028,2.89523,247.808,21.2082,791.458,105.002,286.43,281.49,0.303238,7.07559,2.99846,1218.47,1.94211,2.28014,1.60915,
5,1409.5,2620,1338.95,0.537977,5.09715,276.246,20.1948,1685.7,118.392,258.476,255.901,2.66695,288.431,19.5978,795.072,98.7592,271.782,270.303,0.303238,5.96737,2.99846,1204.64,8.32729,5.81961,4.67326,
6,1384.91,2397.03,1107.48,0.577759,5.99138,233.046,17.4051,1564.01,112.679,232.455,231.443,2.75157,266.318,15.8641,575.387,95.5496,207.006,203.275,0.32675,8.58118,2.99846,1189.25,11.8431,10.5984,4.67326,
7,1279.9,2251.31,1213.06,0.568513,5.21081,199.065,13.811,1483.03,103.479,223.885,222.821,2.62162,181.77,17.0476,564.997,100.482,258.551,258.609,0.177649,5.38482,2.99846,1189.25,10.183,8.19585,4.67326,
8,1279.9,2208.5,1201.68,0.579531,6.31193,162.71,17.5148,1553.97,111.728,178.813,177.45,2.7217,198.456,21.6754,753.605,91.669,253.977,257.676,0.32675,5.38482,2.99846,1189.25,10.183,6.48136,1.93887,
9,1279.9,2065.71,1331.1,0.619591,5.98904,144.487,13.8904,1422.09,98.0071,191.121,190.126,2.01794,209.486,16.1769,531.615,89.4001,299.599,299.533,0.32675,4.11872,3.34725,1189.25,10.183,7.14492,3.69461,
