Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.coil_over_length_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
70,1366.56,2830.93,2537.3,0.482727,4.14411,143.718,1521.51,686.152,0,166.033,130.474,164.182,14.7105,1.84289,282.522,722.388,1091.68,0,337.666,176.061,336.033,21.9378,0.734648,1.03375,1193.34,107.704,0,1.19647,40.4556,0.429585,4.71714,
71,1366.56,2250.49,1867.77,0.60723,4.49901,74.4778,1484.8,399.012,0,79.4633,117.281,76.7526,14.1993,2.38381,249.167,813.462,701.835,0,226.278,174.72,223.304,25.0411,2.36762,1.0029,1163.38,107.704,0,1.19647,40.4556,0.421402,4.71714,
72,1365.32,2691.37,2730.78,0.507293,4.60201,76.0583,1702.35,532.37,0,111.193,134.129,110.206,20.4689,1.93309,243.61,1112.96,927.059,0,277.675,214.392,272.956,32.0741,2.92107,1.0029,1194.09,107.704,0,1.18156,21.1814,0.345114,4.71062,
73,1365.32,2685.58,2549.63,0.508387,4.87265,137.926,1556.23,496.504,0,189.048,104.076,181.919,15.0015,2.50914,345.903,825.769,798.216,0,425.071,156.304,421.249,23.3361,1.51566,1.0029,1194.09,107.704,0,1.17456,37.7167,0.33321,4.71062,
74,1365.32,2828.64,2442.13,0.482675,4.86125,163.187,1606.23,627.074,0,147.893,118.262,144.807,16.3254,2.59621,344.96,797.758,982.868,0,316.012,173.847,312.147,24.9563,1.59474,1.0029,1194.09,76.6603,0,1.17456,21.3376,0.33321,0.960021,
75,1365.32,2405.9,2332.76,0.567486,4.09495,78.6124,1421.47,433.303,0,167.45,124.615,164.438,11.9208,2.10433,259.671,669.118,910.723,0,385.926,204.291,385.146,20.035,0.166889,1.0029,1176.04,36.1954,0,1.17456,15.6627,0.33321,4.71062,
76,1365.32,3060.91,3379.41,0.446049,4.48127,208.557,1759.96,585.926,0,187.354,111.772,183.077,19.7815,2.19706,484.308,1193.75,987.48,0,452.173,177.825,443.404,33.0642,0.607794,0.937521,1194.09,102.821,0,1.17456,40.4556,0.33321,4.73488,
77,1365.32,3097.87,2923.75,0.440727,4.28047,126.493,1756.14,662.502,0,187.086,153.552,185.809,22.0077,1.853,308.003,1179.24,1092.15,0,368.045,228.801,366.682,34.8737,1.14647,1.0029,1109.53,46.107,0,1.17456,12.199,0.33321,4.73488,
78,1365.32,2555.28,2552.19,0.534312,4.20734,97.6114,1632.01,417.228,0,151.953,87.0192,147.949,17.2979,2.17626,308.557,1172.34,740.137,0,373.618,115.747,357.967,29.67,0.27999,1.0029,1194.09,103.168,0,1.0486,17.0151,0.33321,4.73488,
79,1365.28,2264.67,1981.03,0.602857,4.09488,52.9531,1418.12,475.982,0,98.919,104.96,97.0276,12.6207,1.95025,150.888,654.321,879.642,0,258.008,197.236,259.032,19.9686,0.374203,1.0029,1156.18,70.7679,0,1.17456,16.7766,0.33321,4.73488,
