Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.coil_over_length_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
124,1352.58,2053.24,1919.7,0.65875,4.07693,46.4111,1508.25,285.884,0,75.9867,41.0875,75.0978,16.4555,1.71383,193.209,889.753,462.486,0,278.068,139.063,273.87,32.1547,0.391174,0.984347,1194.26,130.704,0,1.08862,10.2076,0.3137,4.99311,
125,1352.5,2157.36,2082.11,0.626924,4.12442,72.2691,1384.69,413.279,0,108.295,56.4672,106.926,11.3081,1.46164,224.211,742.458,756.421,0,340.824,128.482,344.034,22.2253,1.56539,0.984622,1194.26,130.704,0,1.08929,11.4001,0.3137,4.99448,
126,1352.5,2511.28,2568.47,0.53857,4.5673,113.231,1572.9,461.242,0,126.238,97.8796,119.797,15.4239,2.71895,301.285,942.846,799.024,0,316.028,213.074,307.03,26.1729,0.942664,1.03242,1194.26,131.603,0,1.08929,11.4225,0.3137,4.99448,
127,1352.5,2611.26,2444.24,0.51795,4.60564,100.544,1613.36,557.465,0,134.344,50.9313,132.121,17.8805,2.25964,306.922,929.521,971.036,0,295.502,118.894,294.467,28.7954,1.16764,1.02008,1194.46,57.9052,0,1.08929,11.0053,0.317835,4.99494,
128,1352.5,2426.08,2363.89,0.557484,3.95364,131.405,1571.84,387.028,0,125.414,64.4352,125.838,16.1674,1.49472,340.26,888.783,622.976,0,318.707,145.845,318.543,26.3882,0.192454,1.01001,1194.47,132.171,0,1.08929,11.0609,0.317835,4.98809,
129,1352.32,2383.95,2249.2,0.567263,3.84999,84.0444,1553.82,454.992,0,99.1351,76.8114,96.0224,15.2735,1.11589,266.76,824.82,795.212,0,235.202,194.31,229.608,24.9701,0.817256,1.02008,1194.47,132.078,0,1.08929,11.0609,0.308414,4.98809,
130,1352.32,2820.14,3062.62,0.479524,4.15955,145.098,1631.99,566.897,0,171.035,118.047,165.712,17.1978,1.70664,392.597,1098.61,937.143,0,372.247,374.815,375.67,28.1959,0.981087,0.930884,1194.47,132.171,0,1.07812,11.7845,0.308414,4.98809,
131,1352.32,2400.52,2309.68,0.563346,3.92725,77.1367,1523.5,490.142,0,115.767,60.6081,113.841,15.5953,2.02045,235.054,815.029,835.505,0,306.164,167.959,301.604,25.8762,0.391909,0.930884,1194.53,132.171,0,1.07688,11.7845,0.308414,4.99722,
132,1352.31,2547.73,2470.38,0.530788,4.31394,113.112,1488.17,483.021,0,178.672,88.7851,177.199,14.4591,2.23507,284.829,695.251,769.666,0,392.458,190.555,399.17,22.298,0.430189,0.930884,1194.56,132.171,0,1.07688,11.7845,0.308414,4.9925,
133,1352.31,2985.9,2641.06,0.452897,4.30159,140.423,1703.8,646.488,0,187.76,97.4259,185.561,20.1403,2.19683,323.987,974.949,892.996,0,369.983,228.302,367.682,28.9416,0.788338,0.930884,1180.26,132.338,0,1.07688,7.87842,0.308414,4.9925,
134,1352.31,2394.81,2334.36,0.564681,3.76818,73.7556,1568.53,477.25,0,90.6408,74.8459,89.5516,16.4742,1.39313,228.18,911.432,867.681,0,263.173,180.979,264.341,27.7448,0.604907,0.883895,1194.54,132.338,0,1.07688,11.7845,0.308414,4.9925,
135,1352.31,2777.19,3023.73,0.486932,4.11959,187.583,1577.03,512.394,0,191.484,101.194,188.157,15.234,2.363,417.697,906.462,841.995,0,455.19,205.221,453.852,24.8425,0.593906,0.883895,1194.56,132.513,0,1.07688,11.7845,0.308414,4.99847,
136,1352.3,3099.63,3141.59,0.436277,4.46608,187.509,1710.19,652.199,0,210.318,107.463,208.303,19.1801,2.40363,420.676,1030.97,953.173,0,419.386,220.88,421.503,27.5586,0.212774,0.883895,1194.56,102.19,0,1.06124,11.8122,0.308414,4.99847,
137,1352.27,2101.44,1864.81,0.643498,4.21697,98.3673,1343.56,331.701,0,121.825,71.6338,120.477,9.66028,1.66585,256.127,586.554,732.121,0,335.644,175.559,325.373,16.0052,0.611213,0.964308,1194.56,61.3534,0,1.06124,11.6681,0.311104,3.05165,
138,1352.26,2327.55,2025.8,0.58098,4.16142,56.7627,1504.11,485.353,0,95.5272,72.4054,93.958,15.2757,1.84541,185.15,842.898,734.489,0,294.587,143.126,293.812,26.1334,0.587376,0.957923,1155.34,132.513,0,1.06124,11.9807,0.306535,4.99426,
139,1352.26,2528.8,2476.85,0.534744,3.89495,85.7601,1558.32,489.882,0,138.376,99.1998,136.625,16.7479,0.885821,221.994,837.453,794.074,0,313.6,210.705,307.78,25.7196,1.46371,0.957923,1194.5,132.71,0,1.06124,11.9807,0.306535,4.99426,
140,1352.26,3300.3,2977.43,0.409739,4.05231,212.926,1838.85,740.187,0,189.212,106.251,186.025,22.801,1.80113,376.763,1138.85,1019.78,0,333.403,212.119,346.977,33.5176,0.858409,0.957923,1194.5,132.674,0,1.06124,12.0379,0.306535,4.99426,
141,1352.26,2861.01,3192.85,0.472649,4.38382,130.713,1580.05,594.248,0,231.075,75.4367,227.731,17.378,2.30547,374.697,1037.68,994.954,0,440.862,175.921,443.782,28.3887,0.908241,0.957923,1194.5,133.881,0,1.06124,12.0379,0.306535,4.99426,
142,1352.26,3260.06,3554.95,0.414795,4.2457,169.34,1735.97,677.827,0,167.745,318.108,165.933,20.8866,2.17503,394.454,1171.28,989.062,0,405.092,1011.69,404.915,32.89,1.22444,0.957923,1194.53,133.9,0,1.06124,12.0479,0.306535,4.99426,
143,1352.26,2905.59,2997.69,0.465398,4.33834,167.197,1562.09,633.427,0,192.885,138.977,190.107,16.5649,2.29946,385.639,918.805,1017.81,0,422.258,270.46,425.747,26.0778,0.312615,0.957923,1194.53,41.8335,0,1.06471,12.0844,0.306535,4.99351,
144,1352.22,2853.37,2610.89,0.473905,4.18024,176.27,1506.3,702.467,0,160.463,129.409,159.772,14.5044,2.12025,386.871,720.466,1045.64,0,362.057,247.702,356.369,21.8113,0.61794,0.961667,1194.54,133.962,0,1.06471,12.0844,0.306535,4.99351,
145,1352.2,2433.82,2375.07,0.555588,4.53793,114.825,1566.61,433.257,0,101.263,99.816,98.8148,14.6915,2.34253,329.221,951.92,708.222,0,310.167,229.36,311.774,27.5927,0.333188,0.961667,1194.52,133.962,0,1.06471,12.0758,0.306535,4.99236,
146,1352.2,2622.56,2488.63,0.515603,3.82921,101.986,1459.98,581.461,0,188.425,85.1999,187.423,14.2586,1.5969,228.12,653.313,888.632,0,392.624,184.673,412.143,20.4453,0.621568,0.961667,1194.56,133.962,0,1.06471,12.0758,0.306535,4.99351,
147,1352.19,2583.85,2433.48,0.523323,4.2203,105.701,1566.8,552.395,0,133.259,72.8093,131.96,16.7081,2.10551,235.732,890.613,868.297,0,308.708,163.618,315.34,26.4011,0.340551,0.961667,1194.56,133.962,0,1.05583,12.0758,0.306535,4.99351,
148,1352.15,2817.13,2780.83,0.479976,4.58183,103.124,1667.3,547.635,0,169.651,138.013,167.159,19.6638,2.33596,312.134,1133.63,811.752,0,421.189,268.094,422.002,32.2261,0.162635,0.961667,1194.56,133.962,0,0.905751,12.0758,0.279234,4.99351,
149,1352.15,3017.47,3065.49,0.448108,3.91839,157.409,1706.27,602.494,0,221.067,88.6644,217.194,20.4484,1.89091,354.354,1093.3,888.373,0,442.43,176.173,435.745,31.4626,0.603624,0.963242,1194.55,133.962,0,1.04658,12.0392,0.306535,4.99401,
150,1352.15,2728.55,3084.44,0.495558,4.27945,148.267,1667.8,477.979,0,174.696,73.7526,166.03,15.7393,2.09636,389.142,1083.45,819.266,0,469.681,192.487,434.881,25.9863,0.423242,0.963242,1194.53,134.058,0,1.04658,12.066,0.306535,4.99401,
151,1352.15,2635.19,2837.88,0.513112,4.41822,147.152,1484.32,472.212,0,232.459,51.2527,229.331,14.0456,2.13088,399.256,868.199,811.052,0,476.23,103.368,473.906,22.2384,1.37013,0.985213,1194.55,133.999,0,1.04658,12.0714,0.314555,4.99984,
152,1352.13,2760.4,3028.59,0.489832,4.50871,151.108,1657.25,487.957,0,187.962,72.3544,182.282,16.9761,2.44433,419.249,1235.47,788.981,0,422.341,164.755,411.165,29.4253,0.298688,0.938027,1194.55,133.999,0,1.04658,12.0641,0.304187,4.99646,
153,1352.13,2378.59,2486.13,0.568461,3.85441,92.08,1508.87,395.039,0,146.788,74.9376,142.646,14.3754,1.62943,293.262,855.383,704.092,0,373.347,190.318,363.876,24.1174,0.432775,0.938027,1194.55,133.999,0,1.04658,12.075,0.309328,4.99646,
154,1352.12,2363.84,2442.3,0.572001,4.15451,82.0137,1613.71,413.124,0,95.9631,42.598,94.9095,17.3626,1.80073,235.457,1105.07,730.843,0,267.24,102.065,273.741,32.8353,0.854072,0.938027,1194.55,60.8583,0,1.04658,12.0758,0.309328,4.99646,
155,1352.11,2480.27,2432.36,0.545146,3.81913,99.9693,1467.7,617.405,0,93.423,93.9769,91.0675,12.917,1.29607,288.136,646.239,1063.37,0,235.631,224.201,234.155,19.2383,0.264853,0.938027,1194.55,133.999,0,1.04658,12.1026,0.309328,4.99646,
156,1352.11,2691.51,2744.08,0.502361,3.87171,139.385,1651.49,496.197,0,152.369,80.5158,149.654,18.0311,1.64778,349.926,999.63,772.538,0,370.271,179.803,374.067,29.6781,0.118763,0.938027,1194.55,133.999,0,1.04658,12.1071,0.30982,4.99646,
157,1352.11,2383.57,2457.09,0.567263,4.20091,77.472,1708.58,327.816,0,84.8431,76.5976,83.6972,20.3665,2.09597,282.446,1193.66,562.48,0,300.934,196.207,297.219,35.0626,0.579754,0.95968,1194.55,69.8288,0,1.04658,12.0271,0.303617,4.99955,
158,1352.11,2821.33,3269.2,0.479247,4.29789,116.406,1802.38,518.801,0,142.606,85.2645,133.32,18.2525,1.91909,334.575,1631.44,825.715,0,373.01,198.652,357.509,29.9098,0.599652,0.925076,1194.57,133.999,0,1.04256,12.0741,0.303617,4.99955,
159,1352.11,3057.23,2904.65,0.442266,4.76168,138.945,1613.65,669.391,0,247.182,121.149,243.69,18.4675,2.76072,350.081,990.047,904.193,0,457.599,215.075,475.931,28.0733,0.745324,0.925076,1194.57,133.999,0,1.04256,12.0623,0.303617,4.99955,
160,1352.11,3382.07,3203.28,0.399788,3.90523,163.959,1792.65,760.645,0,243.144,152.395,241.275,24.0974,2.14798,320.656,1162.53,1038.33,0,462.535,281.738,460.2,35.0902,0.363303,0.966781,1194.57,133.999,0,1.04256,12.0623,0.303109,4.99955,
161,1352.11,2290.53,2318.2,0.590304,4.28598,74.4802,1428.56,488.253,0,118.901,45.4947,117.569,12.9821,1.76922,231.15,822.45,932.33,0,329.829,142.334,329.304,25.8428,1.75009,0.944654,1194.56,134.006,0,1.04256,12.0623,0.303109,3.01661,
162,1352.07,2516.86,2432.87,0.537205,4.02734,110.468,1572.2,526.494,0,107.602,74.0176,105.875,16.185,1.67798,282.068,831.025,879.369,0,273.357,172.36,270.765,25.369,0.792514,0.955131,1194.56,134.006,0,1.04256,12.0145,0.303109,5.00069,
163,1352.07,2290.55,2272.78,0.590281,4.31059,76.485,1525.67,420.996,0,89.8265,77.8999,81.9169,13.4466,1.98269,241.398,1046.46,796.802,0,289.388,208.311,262.09,24.3869,0.605791,0.925855,1194.56,134.006,0,1.03297,12.0145,0.303109,5.00069,
164,1352.07,2890.77,2828.36,0.46772,4.23575,131.935,1620.03,582.839,0,221.006,94.9011,217.321,18.5095,2.09406,331.328,879.422,881.059,0,416.472,179.066,433.329,27.4406,0.943815,0.925855,1194.57,134.006,0,1.03297,12.0145,0.303109,5.00069,
165,1352.07,2582.56,2790.07,0.523539,4.33881,121.635,1570.53,450.788,0,176.444,71.7301,171.769,15.3292,2.25522,360.993,924.562,737.949,0,430.749,157.73,416.957,25.835,0.444772,0.925855,1194.57,134.006,0,1.03297,12.0145,0.303109,4.43398,
166,1352.07,3014.15,3054.74,0.448573,4.39881,115.295,1822.51,588.406,0,190.308,81.117,187.889,24.2299,2.13806,315.962,1186.26,877.731,0,411.395,182.004,406.332,37.4418,0.816799,0.923173,1194.57,134.029,0,1.03297,12.0145,0.303109,5.00069,
167,1352.05,2807.84,2666.89,0.481528,4.51938,73.2161,1697.58,610.244,0,149.361,104.942,146.99,20.9825,2.41046,227.431,1135.89,1013.19,0,376.551,236.852,364.549,33.7054,1.28701,0.923173,1194.57,34.2258,0,1.02802,11.9614,0.313057,5.00663,
168,1352.04,2698.46,3001.02,0.50104,4.25386,115.116,1622.87,513.229,0,167.521,92.7787,165.785,16.9143,2.21809,391.651,1188.37,848.487,0,417.796,221.449,419.994,27.8461,0.60198,0.923173,1194.57,134.055,0,1.01913,11.9614,0.313057,5.00663,
169,1352.04,2850.26,2918.47,0.474356,4.55027,134.056,1638.65,634.05,0,166.213,90.0561,164.343,18.3401,2.22826,341.595,1042.98,1080.67,0,403.368,207.298,399.506,30.1293,1.66047,0.923173,1194.57,44.3275,0,1.01913,11.9614,0.313057,5.00786,
170,1352.02,2567.97,2555.03,0.526493,4.35209,127.736,1546.95,467.345,0,180.674,47.4282,177.763,15.72,2.11539,284.276,836.933,759.181,0,403.748,113.765,401.799,25.3868,0.633049,0.925855,1194.57,134.056,0,1.01913,11.9614,0.313057,4.86748,
171,1352.02,2621.87,2663.85,0.51567,4.57944,67.4893,1733.77,461.525,0,134.675,65.506,132.869,21.4563,2.60689,301.408,1213.09,769.582,0,395.402,129.737,389.77,35.2506,1.43885,0.936405,1194.57,134.061,0,1.01913,11.9269,0.313057,5.00822,
172,1352.02,2437.95,2447.42,0.554571,3.95582,77.9881,1494.21,575.926,0,98.9223,74.0361,98.2572,14.6571,1.7712,206.165,821.962,952.203,0,277.617,192.373,275.624,26.7894,0.389588,0.924182,1194.57,134.061,0,1.01913,11.9269,0.313057,5.00838,
173,1352.02,2226.12,2300.25,0.607342,3.99597,83.5812,1528.36,425.28,0,58.8176,53.643,57.75,14.6924,1.69682,262.906,941.338,790.288,0,221.988,162.916,221.805,27.8671,0.0945909,0.924182,1194.57,134.068,0,1.01913,11.9269,0.336927,5.00838,
174,1352.02,2741.69,2562.58,0.493133,4.63531,121.73,1557.31,689.765,0,113.985,127.212,111.863,15.186,2.73993,308.393,823.192,1077.42,0,262.378,251.961,267.894,24.6981,0.377107,0.924182,1194.56,134.071,0,1.01913,11.9269,0.336927,5.00797,
175,1352.02,2269.82,2231.17,0.595648,3.9591,46.8456,1467.52,452.229,0,104.322,77.6173,103.092,14.2428,1.68121,178.528,762.767,889.702,0,256.893,192.873,254.494,23.833,0.405852,0.924182,1194.57,134.073,0,1.01812,11.9269,0.336927,5.00739,
176,1352.02,2620.26,2655.7,0.515986,4.12662,159.775,1549.04,505.486,0,154.281,80.5253,151.992,15.0264,1.89091,372.721,798.962,806.636,0,385.286,180.939,387.996,23.9405,0.808124,0.908155,1194.57,134.069,0,1.01812,11.938,0.324585,5.00739,
177,1352.01,2592.12,2739.86,0.521586,4.29118,110.124,1554.63,625.576,0,102.929,76.8884,101.607,16.0721,2.05077,277.77,889.485,1043.98,0,283.821,192.678,279.485,27.1654,1.30667,0.908155,1194.57,134.063,0,1.01812,11.938,0.317114,5.00739,
178,1352,2075.85,1990.29,0.6513,4.1081,41.0004,1458.68,347.521,0,71.6146,68.4789,70.9397,13.5031,1.68871,160.995,809.65,712.718,0,271.63,172.208,272.091,25.1587,1.58526,0.908155,1194.57,112.892,0,1.01812,11.938,0.310853,5.00696,
179,1352,2629.12,2768.77,0.51424,4.29834,104.952,1561.3,499.666,0,169.469,104.989,168.017,16.4352,2.10971,314.558,980.732,818.3,0,370.584,234.525,398.583,28.8467,1.27718,0.908155,1194.56,134.063,0,1.01912,11.938,0.310853,5.00692,
180,1352,2830.28,2752.81,0.477691,4.65236,162.88,1674.26,554.818,0,161.099,97.8654,156.553,18.1504,2.67258,392.636,988.23,781.23,0,353.787,199.765,345.374,28.3082,1.32959,0.908155,1194.56,62.9848,0,1.01912,9.27263,0.310853,5.00692,
181,1351.98,2442.54,2434.81,0.553515,4.01344,136.177,1445.55,387.213,0,187.41,78.2958,190.13,13.7439,1.83452,365.982,702.63,705.353,0,450.881,165.519,452.238,22.024,1.09843,0.901195,1194.56,134.046,0,1.01912,11.9842,0.310853,5.00692,
182,1351.98,2812.75,2971.04,0.480661,4.09438,175.189,1580.3,518.558,0,181.66,157.55,178.627,16.7718,1.78238,392.762,860.173,835.087,0,421.374,560.908,416.417,24.5679,1.34595,0.901195,1194.56,134.046,0,1.01912,9.27344,0.310853,5.00692,
183,1351.97,2417.03,2413.85,0.55935,3.80448,64.1221,1543.16,460.177,0,116.47,96.7063,115.879,16.7113,0.998663,231.316,959.636,813.673,0,301.264,218.263,293.754,29.4018,0.853936,0.901195,1194.56,134.035,0,1.01912,11.9842,0.31373,5.00418,
184,1351.97,3238.74,3417.14,0.417436,4.85726,214.265,1662.19,724.974,0,253.14,110.391,250.168,18.7544,3.0261,469.19,949.366,1025.81,0,523.392,204.044,536.487,27.0684,1.09444,0.901195,1194.56,134.028,0,1.01907,11.975,0.31373,5.00418,
185,1351.96,2943.11,3219.9,0.459365,4.25802,168.077,1780.43,537.56,0,177.726,82.4299,171.865,20.7573,1.74304,413.212,1239.68,917.874,0,394.405,178.217,375.133,32.5189,1.40861,0.901195,1194.55,134.028,0,1.01934,11.975,0.31373,5.00418,
186,1351.96,2135.27,2238.8,0.633157,4.04349,44.6858,1484.05,358.877,0,82.7348,65.2712,81.6115,13.9978,1.76531,266.893,863.178,664.743,0,320.875,165.201,313.275,26.1672,0.629599,0.902773,1194.55,133.981,0,1.01896,11.9546,0.327452,5.00758,
187,1351.96,2316.35,2114.42,0.583661,3.92149,98.5486,1449.12,396.769,0,134.08,89.4211,131.41,13.0799,1.58397,266.794,651.758,597.738,0,352.569,191.357,356.026,20.4334,0.290274,0.920989,1194.55,133.948,0,1.01934,11.9546,0.327452,5.00647,
188,1351.96,2721.73,2635.46,0.496728,4.66574,158.465,1552.11,567.14,0,172.355,87.0683,165.305,14.6252,2.36593,372.659,790.034,925.92,0,397.28,199.686,391.737,22.9654,2.58835,0.920989,1194.55,133.948,0,1.01934,11.9687,0.327452,5.00647,
189,1351.95,2673.42,2416.72,0.505701,4.70362,83.8461,1475.99,629.002,0,183.932,98.2088,182.432,15.3066,2.63195,236.956,652.297,956.245,0,383.62,215.23,384.674,22.036,1.22376,0.920989,1173.92,133.948,0,1.01934,11.9201,0.327452,5.00647,
190,1351.95,3508.83,3182.94,0.385301,4.24253,166.069,1785.44,865.485,0,261.03,143.3,259.073,24.1828,2.44497,307.688,1171.64,1072.42,0,423.303,249.395,449.749,34.989,0.530253,0.920989,1164.66,50.6777,0,1.01934,11.9201,0.327452,3.70207,
191,1351.95,2341.64,2317.07,0.577353,4.12809,63.4771,1594.07,429.357,0,92.1348,50.3441,90.8726,17.2525,1.75114,293.111,1064.89,897.476,0,317.94,133.793,360.014,32.1383,1.64784,0.920989,1194.54,133.948,0,1.01934,11.9201,0.327452,5.00647,
192,1351.95,2242.91,2101.2,0.602764,3.95902,75.9929,1473.12,435.248,0,84.7967,73.0336,83.1645,13.6004,1.3002,252.595,787.447,728.531,0,257.546,187.9,255.559,23.8983,0.453522,0.92181,1194.54,133.981,0,1.02198,11.9201,0.316352,5.00758,
193,1351.94,2366.23,2469.81,0.571347,4.23268,103.214,1436.57,495.2,0,137.292,40.9987,135.927,12.7961,1.94876,289.513,630.19,894.926,0,364.889,113.997,374.805,20.4771,1.43181,0.92181,1194.52,133.981,0,1.02318,11.9201,0.306191,5.00758,
194,1351.94,2770.77,2667.28,0.487928,4.09611,153.154,1643.84,588.521,0,150.7,64.6777,147.87,17.9102,1.90762,351.676,881.032,900.754,0,327.403,120.891,324.857,26.3753,0.914342,0.923393,1194.52,133.981,0,1.02318,11.9201,0.316352,5.00758,
195,1351.92,2972.83,3062.98,0.45476,4.3193,160.416,1754.01,550.428,0,206.25,78.8947,199.244,19.2629,2.49781,384.372,1165.82,786.411,0,464.376,155.29,443.642,28.1558,0.356059,0.942021,1194.52,133.981,0,1.02288,11.9201,0.311084,5.00758,
196,1345.99,2757.52,2846.1,0.488117,4.11832,132.119,1600.42,516.974,0,202.463,83.0394,200.639,17.7503,1.97584,345.019,927.675,860.131,0,394.555,191.09,390.417,26.2889,0.0362387,0.948772,1188.31,89.1174,0,1.02281,11.8116,0.311084,5.00916,
197,1345.99,2774.71,2888.61,0.485094,4.11332,100.843,1669.67,567.48,0,160.523,94.0267,157.789,20.2676,2.21036,271.287,994.218,925.516,0,365.276,206.637,360.56,31.7345,0.0355075,0.948772,1194.52,119.902,0,1.02281,11.8116,0.311084,5.00916,
198,1345.99,2530.11,2347.89,0.53199,3.63155,119.613,1541.17,488.205,0,144.121,76.5269,141.611,15.2387,0.998937,285.1,815.724,760.164,0,358.55,184.773,357,23.2955,0.47263,0.948772,1194.52,124.698,0,1.02056,11.8116,0.311084,5.00916,
199,1345.99,2375.25,1906.5,0.566675,3.87044,110.592,1452.38,414.049,0,154.053,73.2889,152.998,14.0205,1.53355,241.003,722.558,576.7,0,339.159,146.882,339.534,22.309,0.438281,0.954112,1194.52,115.098,0,1.02204,4.37575,0.316352,5.00916,
200,1345.99,2424.66,2524.76,0.555127,4.18217,111.043,1538.98,462.412,0,114.405,65.9436,112.495,15.1982,2.19505,304.719,890.389,791.387,0,292.621,153.565,283.833,26.4566,0.776001,0.954112,1194.52,124.698,0,1.02177,11.8116,0.322798,5.00979,
