Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.motion_ratio_heave_l,Heave.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
0,1.69005,2.70963,32.1172,7.18885,5.64807,9.09408,1.66968,
1,1.68911,2.71484,32.1192,7.18366,5.63714,9.09933,1.67429,
2,1.68794,2.71012,32.1192,7.18705,5.64247,9.09966,1.67376,
3,1.69058,2.70192,32.1184,7.19328,5.64782,9.09616,1.67279,
4,1.69141,2.7166,32.1176,7.18235,5.64913,9.09532,1.67175,
5,1.68888,2.71289,32.1179,7.19052,5.64864,9.09575,1.6711,
6,1.69102,2.71041,32.1179,7.18939,5.65312,9.09501,1.67237,
7,1.68874,2.70959,32.1193,7.18711,5.65274,9.09789,1.67525,
8,1.68999,2.71699,32.1192,7.18941,5.64062,9.09949,1.67507,
9,1.69044,2.71309,32.1173,7.19281,5.65269,9.09372,1.67079,
10,1.68809,2.70875,32.1194,7.1864,5.65432,9.09853,1.6755,
11,1.68958,2.71101,32.1194,7.18519,5.65219,9.09779,1.67605,
12,1.68898,2.71005,32.1194,7.18594,5.65386,9.09839,1.67574,
13,1.68843,2.71008,32.1194,7.18643,5.65416,9.0984,1.67546,
14,1.69364,2.71297,32.1164,7.18819,5.66106,9.09002,1.67182,
15,1.69079,2.71098,32.1174,7.18781,5.66189,9.09253,1.67279,
16,1.68912,2.71302,32.1193,7.18837,5.65158,9.09774,1.67518,
17,1.68999,2.71665,32.1194,7.18619,5.64731,9.09905,1.67581,
18,1.6916,2.7061,32.1184,7.18893,5.65959,9.09505,1.67481,
19,1.69051,2.71485,32.1192,7.19084,5.64497,9.09905,1.67567,
20,1.69014,2.71516,32.118,7.18726,5.65843,9.09444,1.6731,
21,1.69165,2.71059,32.1178,7.19135,5.65839,9.09381,1.67308,
22,1.69031,2.71259,32.1181,7.19192,5.65594,9.09492,1.67289,
23,1.69044,2.71413,32.1186,7.18869,5.65602,9.09549,1.67424,
24,1.69015,2.71591,32.1187,7.18905,5.65383,9.09646,1.67434,
25,1.68956,2.71432,32.1195,7.18862,5.65231,9.09839,1.67597,
26,1.68826,2.71245,32.1195,7.19132,5.65369,9.09816,1.67532,
27,1.6878,2.71314,32.1193,7.18804,5.65806,9.09747,1.67495,
28,1.68846,2.71385,32.1195,7.19297,5.65109,9.09819,1.67503,
29,1.69168,2.71452,32.1195,7.18764,5.65193,9.09816,1.67724,
30,147.991,10.6543,50.6189,479.69,202.498,35.2573,204.31,
31,142.84,5.82176,32.2725,163.793,866.215,9.98268,862.426,
32,1.68875,2.70963,32.1193,7.18194,5.65176,9.09795,1.67508,
33,1.68879,2.71233,32.1182,7.18698,5.65345,9.09598,1.67239,
34,1.69066,2.71264,32.1163,7.18621,5.65113,9.09191,1.66903,
35,260.449,7.67806,65.8312,173.931,651.5,49.0505,646.083,
36,326.838,4.1591,52.5597,281.427,121.017,18.8916,84.1502,
37,593.302,9.49417,118.734,27.2222,711.752,16.1368,509.941,
38,317.385,4.51855,68.7732,19.8419,805.861,49.2455,766.007,
39,324.198,6.09284,52.1319,281.368,137.507,18.469,102.436,
40,1.68903,2.71172,32.1187,7.18352,5.64339,9.09736,1.67275,
41,463.004,9.72881,138.623,87.1746,1090.92,115.23,1079.38,
42,1.69093,2.71057,32.116,7.18721,5.6583,9.08967,1.67025,
43,1.69394,2.71213,32.1171,7.18774,5.65996,9.09229,1.6729,
44,288.805,11.0953,46.1356,45.9647,1471.99,27.4114,1453.55,
45,1.68947,2.70995,32.1188,7.18481,5.65214,9.09659,1.67361,
46,1.69033,2.71293,32.1192,7.18935,5.64078,9.09959,1.67556,
47,1.6911,2.71156,32.1164,7.18714,5.66183,9.09053,1.67144,
48,1.68954,2.70934,32.1174,7.18701,5.6488,9.09381,1.66988,
49,1.69215,2.70955,32.1162,7.18576,5.66068,9.08987,1.6713,
