Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.half_track_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.862057,0.473087,2.36362,16.9183,23.5703,1.22814,0.0447459,0.800045,
1,0.81151,0.895671,1.88792,20.5079,19.6819,4.59323,0.328561,0.316065,
2,0.812914,0.469392,1.89031,20.6389,19.6837,4.97438,0.617192,0.377053,
3,0.151918,0.0368404,2.26353,27.9833,0.0615319,21.8882,0.238095,0.303891,
4,0.0952682,0.201689,2.44919,29.4786,0.0382764,20.1844,0.27571,0.338546,
5,0.105416,0.692553,2.43784,29.3143,0.0507315,20.1452,0.0334068,0.302167,
6,0.150678,0.0837844,2.26458,27.8364,1.06289,21.4716,0.210103,0.30905,
7,0.287405,0.126512,2.35774,28.5893,0.350385,20.94,0.364412,0.393015,
8,0.865119,0.485113,1.75074,23.5892,17.8244,8.37286,0.28605,0.353083,
9,0.0877992,0.658054,2.24745,27.8454,0.357187,21.8733,0.322687,0.284971,
10,0.184197,0.408601,2.34215,28.4915,0.472104,21.1563,0.289684,0.334581,
11,0.0953171,0.691771,2.24871,27.8453,0.679708,21.8414,0.0363429,0.302456,
12,0.288528,0.510356,2.37424,28.7336,0.57247,20.7804,0.215323,0.321323,
13,0.101175,0.487375,2.43168,29.3315,0.12692,20.445,0.558082,0.314962,
14,0.277599,0.290001,2.33057,28.455,0.179096,21.4049,0.614273,0.367583,
15,0.79944,0.636777,2.38186,28.7406,0.161498,20.5535,0.041778,0.832293,
16,0.0795813,0.337908,2.12801,27.5349,0.272873,23.2007,0.310175,0.309202,
17,0.250102,0.380461,2.21667,27.6877,0.78573,22.1404,0.392108,0.344957,
18,0.134194,0.292898,2.51042,30.2258,0.85357,19.785,0.0357794,0.405454,
19,0.382793,1.05955,2.26116,27.7953,0.684505,21.4331,0.204363,0.433617,
20,0.797977,0.636668,2.3842,28.7738,0.248282,20.5626,0.0418029,0.83232,
21,0.24195,0.137961,2.10914,27.5303,0.211377,23.435,0.314839,0.304435,
22,0.0852438,1.55248,2.32976,28.3351,0.269994,21.0654,0.47105,0.284598,
23,0.332578,0.802219,2.2151,27.5599,1.38468,21.8413,0.0184478,0.379384,
24,0.0961031,0.315357,2.43168,29.4094,0.414105,20.6612,1.00295,0.271521,
25,0.542974,0.416529,2.14662,27.5398,0.0287816,22.9638,0.576894,0.430047,
26,0.0944521,0.796046,2.42724,29.2616,0.664375,20.3927,0.683099,0.328111,
27,0.132098,0.599723,2.3744,28.707,1.72834,20.6957,0.105947,0.351325,
28,0.262139,0.759757,2.1115,27.417,0.965744,23.0909,0.0317134,0.313179,
29,0.128477,0.234493,2.48953,29.9345,1.79514,19.8695,0.214631,0.296944,
30,7.00917,4.71434,6.09847,124.79,0.547718,13.0501,6.05539,2.8073,
31,1.34239,0.723271,1.06968,42.9716,7.37926,40.3997,0.46087,0.317089,
32,1.19903,0.806392,1.08097,42.5542,7.40385,40.0554,0.332821,0.304711,
33,0.292156,0.4014,2.55418,30.256,5.73496,18.4716,0.853423,0.266158,
34,0.277807,0.177765,2.40184,28.9218,1.47701,20.4552,0.538739,0.445974,
35,0.776314,3.09653,3.9652,58.9082,24.8926,2.46886,2.16348,3.28398,
36,4.22917,3.73245,5.33142,101.308,10.4177,11.6492,4.02511,1.6961,
37,4.84507,2.15237,4.96577,85.1377,20.5659,8.52965,1.81574,2.28641,
38,1.74249,0.673054,1.3412,35.79,10.5723,27.2087,0.609647,0.602769,
39,1.16886,0.409318,1.20074,38.9644,9.02141,32.7076,0.297535,0.297454,
40,1.13445,0.252956,1.24817,37.2108,10.4753,27.8796,1.1424,0.32332,
41,4.71711,4.54583,5.04989,93.1971,12.8818,12.2192,6.63087,1.93909,
42,1.03345,5.95755,6.66097,138.653,0.228455,11.0634,0.20574,2.34728,
43,0.13454,5.83146,5.22793,96.0073,20.5165,8.14812,0.371504,3.13759,
44,1.23691,0.456559,2.27375,27.9305,0.943452,21.6271,0.362244,1.09438,
45,0.254394,0.696036,2.34469,28.4585,0.138537,20.9497,0.155591,0.338381,
46,7.10879,6.08692,4.86876,79.2207,20.0625,9.19774,0.431728,3.52958,
47,1.82674,0.363752,1.11452,42.2964,7.15474,39.672,0.511512,0.447958,
48,0.728533,0.592699,2.73749,33.0447,5.25484,17.4754,0.270731,0.978811,
49,0.480539,0.536942,3.09201,38.5945,13.2497,12.207,0.46409,0.430793,
