Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
157,27.0048,54.7453,136.044,0.493281,0.283208,0.576881,19.6399,0.411215,6.17095,4.12795,0.419178,0.534515,4.78715,11.8579,4.00535,1.11712,0.814003,0.527154,1.1718,70.1258,0.648847,10.7967,19.9058,0.0466969,0.313247,17.4038,1.08276,17.5738,0.216968,0.956598,0.174533,0.353862,5.68671,0.268202,4.01264,0.039585,0.409899,0.0130271,1.27701,6.72887,0.453208,0.667526,0.630556,
158,27.0012,66.2047,155.194,0.407845,0.313597,0.826243,32.9992,0.514139,5.57605,4.29472,0.4301,0.593772,3.52673,12.2323,2.75531,1.18983,0.95277,0.547625,2.42804,111.149,1.01197,6.22323,17.0928,0.137247,0.344401,12.9685,1.98242,13.0924,0.366674,1.38874,0.174533,0.353862,5.69248,0.270741,4.05268,0.0388866,0.10174,0.237874,1.27701,11.7426,0.453208,0.959889,0.630556,
159,26.9967,121.706,378.859,0.221818,0.698599,1.19494,75.5081,0.60401,7.68743,6.09812,0.477229,0.655582,7.19996,13.1173,5.94851,1.53592,0.980684,2.19009,3.44755,316.132,1.14986,13.8238,22.5187,0.372335,0.602416,23.8877,6.08013,23.4843,1.61973,1.3422,0.174808,0.353862,5.69248,0.26947,4.05277,0.038151,0.0192214,0.349958,1.277,8.5048,0.453208,1.12079,0.630243,
160,26.9906,83.124,206.779,0.324703,0.372926,0.862359,37.2609,0.562547,9.58452,7.18246,0.418161,0.719682,6.33072,11.9072,5.43544,1.29213,1.19492,0.831535,2.01389,130.146,1.00374,20.3805,26.776,0.123364,0.840837,20.0001,2.91792,19.5705,0.699018,1.92966,0.174524,0.353862,5.69248,0.268985,4.05277,0.0381137,0.106216,0.54437,1.277,1.55732,0.453208,1.12159,0.630572,
161,26.9906,52.5629,125.334,0.513491,0.310638,0.476144,21.1808,0.31415,5.28085,3.34427,0.421562,0.654444,3.83228,11.8243,3.02212,1.21158,0.689784,0.663703,0.69783,78.452,0.288436,7.48786,16.3732,0.0710649,0.52803,15.0368,0.40449,15.1075,0.596953,0.57586,0.174705,0.353862,5.69074,0.265613,4.05944,0.038151,0.409855,0.54437,1.27629,9.82093,0.453208,1.12159,0.630572,
162,26.9906,56.9111,123.026,0.474259,0.30902,0.453167,19.7724,0.510711,5.42898,3.29794,0.391565,0.642134,6.39895,11.9008,5.61031,1.13259,1.06253,0.531187,0.527739,62.1478,0.981775,5.80862,13.0154,0.0805709,0.554849,20.3063,0.64669,20.7664,0.0996584,1.69531,0.174705,0.353844,5.69074,0.265613,4.05644,0.0400074,0.026348,0.545709,1.27608,8.59055,0.451978,1.00669,0.630572,
163,26.9905,83.5465,274.661,0.323059,0.802303,0.717197,41.3606,0.508756,9.68644,4.23876,0.451694,0.705791,5.44223,12.6402,4.55929,1.48139,0.951881,3.92432,1.7775,200.551,0.91494,22.6806,17.2395,0.301979,0.736749,16.5203,5.48619,16.2573,1.69983,1.38767,0.174705,0.353928,5.69074,0.262468,4.05208,0.0400074,0.368615,0.545709,1.27605,3.45653,0.451552,1.11953,0.630572,
164,26.988,64.3884,184.183,0.419144,0.38922,0.626466,27.8438,0.504261,7.92668,4.36706,0.436137,0.550096,4.14632,12.1717,3.30535,1.24581,0.875514,1.17379,1.34692,119.272,1.10047,18.9303,21.6689,0.154698,0.149227,18.1903,1.60889,18.2535,0.634751,1.42496,0.175116,0.353928,5.69074,0.262468,4.05332,0.0409852,0.409892,0.133235,1.27571,11.8601,0.449145,1.11932,0.630638,
165,26.9868,99.0844,322.347,0.272362,0.87992,0.956634,55.1571,0.41282,7.18474,7.56333,0.463039,0.718527,5.73325,13.1246,4.76875,1.23374,0.887872,4.51155,2.9779,219.231,0.537736,14.3541,32.2707,0.268189,0.840349,19.4216,8.34428,19.1429,0.725977,1.11992,0.175116,0.353986,5.69074,0.26214,4.05332,0.0419228,0.40999,0.545783,1.27545,8.77437,0.449145,0.87266,0.630579,
166,26.9845,58.8748,131.267,0.458338,0.338868,0.815399,25.3064,0.463091,5.35985,4.35211,0.417841,0.761026,3.83257,12.0472,3.03992,1.10391,1.03663,0.813437,1.86919,87.3503,0.811883,5.72304,18.0294,0.0866695,0.999126,12.578,1.99202,12.6025,0.193147,1.62489,0.175154,0.35391,5.69344,0.26214,4.04176,0.0419228,0.147506,0.542458,1.27545,8.59421,0.449145,0.2027,0.630589,
167,26.9824,41.7514,103.334,0.646262,0.263755,0.560086,17.8816,0.321056,4.356,1.36929,0.424995,0.540682,1.57337,11.8769,0.76524,1.14684,0.671597,0.621946,1.46017,85.5318,0.339568,2.17765,9.24651,0.104281,0.209082,2.87109,0.227531,3.11917,0.151494,0.432123,0.175211,0.35391,5.68881,0.261373,4.04744,0.0419228,0.40999,0.0967077,1.27545,10.8183,0.450198,1.11932,0.630397,
168,26.9824,72.2681,180.717,0.373365,0.335574,0.848962,22.0416,0.489115,9.55643,5.94409,0.398362,0.733243,8.45309,13.5376,7.58316,1.31534,1.03156,0.681641,2.3327,67.9005,0.843754,23.7465,23.358,0.0575593,0.827728,28.4535,10.8008,29.3045,0.860412,1.84334,0.17534,0.353925,5.69594,0.26214,4.05586,0.0419228,0.107182,0.544053,1.27545,11.2168,0.450198,1.12083,0.630589,
169,26.9788,42.3157,107.305,0.637559,0.242767,0.48226,14.3382,0.314054,4.54681,1.49621,0.416809,0.541958,3.52548,11.8507,2.71547,1.16094,0.684089,0.47971,0.965087,61.1125,0.337011,5.4601,10.9803,0.0503378,0.202557,16.4931,1.70321,16.2192,0.261279,0.427508,0.175434,0.353886,5.69854,0.26214,4.05866,0.0419228,0.40999,0.0762073,1.27545,9.54523,0.450198,1.1215,0.630466,
