Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
92,14.6382,68.8579,173.85,0.212585,43.1447,5.13291,0.478722,0.466247,0.811953,6.39836,0.484669,0.259975,11.0255,0.654914,115.061,14.075,1.22395,0.919627,2.43477,20.13,0.16052,0.890116,43.9358,0.387654,11.5196,1.26984,0.0857963,0.130915,0.141167,0.0199281,0.136468,0.0109135,0.0189586,0.500651,
93,14.5899,66.8889,211.022,0.218121,38.198,8.31869,0.354354,0.380278,0.555894,2.77288,0.492518,0.155864,15.0016,0.65882,110.064,28.8959,1.06265,0.799545,1.68269,12.0829,0.0758426,0.648655,58.6683,0.49804,11.5196,1.25985,0.0848824,0.127129,0.140619,0.0199281,0.228844,0.0109135,0.0189586,0.512582,
94,14.5711,101.885,252.509,0.143016,57.0211,10.1761,0.457801,0.488749,1.11775,9.52833,0.515179,0.303127,21.5297,0.746725,147.326,26.9124,1.06639,0.955256,3.27575,29.6691,0.137746,0.955123,66.5694,0.586543,11.5196,1.25744,0.085471,0.126808,0.141561,0.0134195,0.158044,0.0109343,0.0189586,0.522608,
95,14.5711,47.9536,138.962,0.303859,25.743,4.11088,0.359279,0.302608,0.594215,3.7106,0.470182,0.0415432,11.9815,0.639818,62.8403,12.4892,1.09464,0.569768,1.95629,15.8992,0.0943654,0.270152,56.7734,0.39824,11.5196,1.26363,0.0867876,0.126808,0.140712,0.0134195,0.0394983,0.010953,0.027751,0.522608,
96,14.5711,21.3405,46.4783,0.682791,12.8198,2.20863,0.146697,0.184265,0.159961,2.43645,0.48415,0.0326269,2.29529,0.572667,10.6919,6.40765,0.386033,0.144743,0.435756,16.7949,0.013863,0.125297,15.8402,0.188632,11.4425,1.2702,0.0867876,0.126808,0.13912,0.0134195,0.476907,0.0109867,0.027751,0.522608,
97,14.5163,39.5759,122.254,0.366796,30.4677,4.4014,0.267748,0.202966,0.642492,1.43998,0.482972,0.0465063,1.01369,0.610367,92.3436,15.7866,0.884099,0.214507,2.48407,8.08721,0.0511883,0.179881,4.89677,0.327254,11.4964,1.24543,0.0867876,0.126808,0.13912,0.0134195,0.199298,0.0109874,0.027751,0.514671,
98,14.5163,59.7633,161.068,0.242896,36.3146,4.95992,0.468788,0.288284,0.561025,4.03306,0.47186,0.077151,11.9943,0.59426,89.4772,12.7686,1.28087,0.47627,1.61158,14.2949,0.051273,0.267184,51.589,0.197737,11.5911,1.26519,0.0867876,0.126808,0.13912,0.0134195,0.231734,0.0109874,0.027751,0.509872,
99,14.5163,50.5358,178.636,0.287247,29.3549,4.18512,0.301996,0.283869,0.646036,3.23653,0.49036,0.161851,11.3043,0.570846,87.7882,14.8581,0.996455,0.643505,2.77549,16.5993,0.0565507,1.02922,54.9078,0.170759,11.5911,1.2674,0.0867876,0.126808,0.13912,0.0134195,0.424945,0.0101605,0.0120195,0.515851,
100,14.5163,29.1207,101.358,0.498486,17.5581,3.59829,0.189355,0.1998,0.499414,1.34382,0.478316,0.0533858,4.64605,0.554189,41.4057,16.1319,0.618817,0.312483,2.4348,9.17341,0.0436957,0.289364,32.6303,0.0521857,11.5911,1.2674,0.0880716,0.127129,0.13912,0.0159272,0.184322,0.0108846,0.0213967,0.515851,
101,14.5163,28.8692,99.8123,0.502829,19.3582,2.99844,0.213568,0.205055,0.36433,2.45527,0.479388,0.0928891,2.13078,0.571223,53.5569,11.946,0.770823,0.37316,1.47241,16.9143,0.0343505,0.545655,14.0322,0.191891,11.5911,1.2674,0.0888546,0.127129,0.13912,0.0159272,0.239064,0.0109712,0.0213967,0.515851,
102,14.4914,47.4608,137.819,0.305335,25.7342,5.14936,0.328599,0.262961,0.350142,3.12998,0.468637,0.140785,11.2588,0.637375,60.3294,15.6748,0.99119,0.485981,0.947216,15.1808,0.0808049,0.59992,48.1774,0.478634,11.5911,1.2674,0.0909105,0.132406,0.141897,0.0142028,0.0252908,0.0109536,0.0213967,0.500039,
103,14.4505,53.3148,147.255,0.271042,30.3238,5.80587,0.352878,0.293978,0.567598,6.19076,0.487383,0.14727,8.51679,0.628518,95.0495,17.5521,0.862472,0.495534,1.74532,25.743,0.120658,0.501739,29.8015,0.440681,11.612,1.28132,0.0896695,0.131884,0.145219,0.0134041,0.10275,0.0109536,0.0213967,0.509646,
104,14.4505,46.1214,171.812,0.313315,24.3963,3.81005,0.221505,0.207518,0.28835,6.70569,0.481524,0.0572783,9.36446,0.588757,68.5658,12.5747,0.600266,0.339458,0.682092,39.299,0.0539737,0.232509,50.6215,0.295475,11.612,1.28306,0.0880354,0.131884,0.144703,0.0134041,0.159404,0.0108167,0.00546487,0.509646,
