Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
146,14.3597,44.1006,131.289,0.325612,26.1977,4.85377,0.336453,0.180946,0.592439,4.96435,0.473985,0.130657,5.75103,0.61925,73.8641,15.3467,1.04644,0.322374,2.05632,20.6165,0.0517523,0.509337,27.8206,0.363001,11.6319,1.28561,0.0856861,0.108766,0.15364,0.0163101,0.1619,0.0107581,0.018763,0.528057,
147,14.3536,45.4012,123.245,0.31615,18.3874,3.81363,0.322206,0.223516,0.354656,6.19724,0.468304,0.0899205,14.8969,0.647379,32.3036,10.0537,0.942905,0.44465,0.802519,25.3465,0.0711755,0.340614,59.5373,0.454455,11.6312,1.28561,0.0856979,0.108766,0.153275,0.0164324,0.0580131,0.0107703,0.018763,0.528057,
148,14.3536,46.3689,161.232,0.309552,32.7647,3.30365,0.137558,0.209801,0.588129,3.03446,0.499365,0.0498357,5.20741,0.574044,102.746,11.2537,0.343319,0.568051,2.2203,20.5638,0.0936371,0.212112,32.7525,0.220123,11.6326,1.28551,0.0856979,0.108766,0.153182,0.0151773,0.484654,0.0108046,0.018763,0.527372,
149,14.3536,44.7062,136.843,0.321065,23.7665,4.01457,0.240516,0.250601,0.455554,5.72429,0.491046,0.0534379,9.09354,0.616124,58.5508,11.3667,0.631258,0.568991,1.48163,24.2939,0.0448951,0.21792,43.5387,0.340787,11.6328,1.28588,0.0857076,0.108766,0.153313,0.0151773,0.380785,0.010809,0.0235654,0.527372,
150,14.3536,51.8043,154.653,0.277073,26.9424,4.48373,0.294998,0.268068,0.352623,4.03974,0.480283,0.0307035,14.3023,0.609394,67.9322,12.7066,0.874029,0.63637,0.789172,16.0812,0.0718872,0.0916619,59.4394,0.343426,11.6328,1.28471,0.0856748,0.109003,0.152844,0.0151773,0.15042,0.010809,0.0213782,0.527372,
151,14.3525,30.4936,112.958,0.470671,18.8393,2.28509,0.169024,0.168488,0.277064,2.82377,0.48197,0.14231,4.73646,0.570148,50.6348,7.09164,0.594644,0.41587,0.85063,19.6859,0.0215559,0.925025,34.4515,0.264698,11.6346,1.28546,0.0857032,0.109259,0.153207,0.0151773,0.331501,0.0107985,0.0213782,0.526085,
152,14.3525,97.9595,266.952,0.146514,56.0547,8.7584,0.449617,0.448996,0.871609,13.4391,0.506687,0.352905,16.3794,0.698048,150.73,27.8599,1.1637,1.36584,2.69181,41.6557,0.166035,1.29815,52.7158,0.553625,11.6332,1.28546,0.0857032,0.109422,0.151848,0.0149679,0.248645,0.010809,0.0213782,0.527372,
153,14.3521,66.4888,189.148,0.215858,35.3177,3.81296,0.33995,0.262998,0.590016,7.28862,0.481061,0.0697193,17.7236,0.60212,84.9615,10.6354,0.932552,0.572976,1.72549,29.1252,0.074942,0.356364,68.0737,0.273109,11.6332,1.28525,0.0857032,0.108798,0.151848,0.0149679,0.043668,0.0108116,0.0213782,0.527519,
154,14.3492,48.3223,168.23,0.296947,33.2201,2.9162,0.229609,0.344026,0.46349,4.85287,0.4967,0.0805271,5.14621,0.572586,117.707,6.81248,0.632464,1.1002,1.79757,19.426,0.165972,0.4207,31.2569,0.215655,11.6324,1.2855,0.0857017,0.108798,0.153368,0.0149679,0.141726,0.0108116,0.0180015,0.527279,
155,14.3492,80.3961,206.47,0.178481,42.7677,6.51539,0.472808,0.316983,0.532979,6.78816,0.486521,0.264867,21.5755,0.67521,105.55,16.1445,1.20926,0.658647,1.23974,24.2706,0.0877557,1.04127,69.6484,0.519818,11.6324,1.28555,0.0857017,0.108798,0.152159,0.0148689,0.167543,0.0107758,0.0180015,0.527279,
156,14.3488,41.1464,112.466,0.348726,19.6027,4.10685,0.315994,0.207948,0.448123,4.73695,0.469273,0.1219,10.4866,0.649983,36.1678,11.4351,0.936671,0.444899,1.70283,20.6646,0.0744351,0.495996,46.6915,0.47044,11.6324,1.28588,0.0857017,0.108798,0.152159,0.014788,0.056526,0.0107758,0.0180015,0.527279,
157,14.3483,60.4828,189.547,0.23723,32.797,6.43519,0.249027,0.225979,0.386335,7.25459,0.501591,0.107738,11.95,0.575361,99.7822,20.3025,0.666086,0.513961,0.959551,31.9281,0.0908054,0.404813,55.3688,0.186269,11.6324,1.28617,0.0856843,0.107331,0.152159,0.014405,0.4849,0.0107623,0.0168354,0.526126,
158,14.3473,40.2627,127.419,0.356341,19.416,3.19066,0.23425,0.153142,0.299794,4.6623,0.480021,0.0336011,11.2076,0.585407,48.5966,11.4843,0.775043,0.242939,0.877876,23.9345,0.0384927,0.175213,55.0168,0.274911,11.6377,1.2862,0.0856843,0.107331,0.152159,0.0147243,0.258367,0.00575121,0.0168354,0.526381,
159,14.3473,54.801,164.153,0.261806,28.6472,5.73503,0.325005,0.371114,0.42568,2.65776,0.473013,0.088125,15.4746,0.603466,67.7828,25.7191,0.993229,1.35594,1.36641,10.9585,0.0711733,0.329036,62.8539,0.295332,11.6377,1.28608,0.0856943,0.108751,0.152159,0.0149048,0.0277453,0.0107758,0.0161619,0.5274,
160,14.3459,53.6513,158.013,0.267391,31.6661,3.55161,0.340705,0.27142,0.562149,2.5057,0.483944,0.0876338,13.5917,0.590304,81.2487,9.80722,1.04185,0.651237,1.7262,11.4983,0.0717835,0.346225,54.4854,0.276291,11.6379,1.28564,0.0856976,0.108832,0.152045,0.014929,0.0558135,0.0107758,0.0161619,0.528052,
161,14.3459,69.4969,169.186,0.206425,36.4548,7.14209,0.458117,0.315521,0.740217,9.09373,0.502626,0.223607,13.9169,0.649355,95.1703,19.1684,1.1565,0.610076,1.94065,27.5932,0.100782,0.742116,51.4636,0.369861,4.37857,1.28542,0.0857047,0.108832,0.152045,0.0149179,0.37966,0.0107869,0.0161619,0.528052,
162,14.3459,44.1841,120.458,0.324684,22.7326,6.97067,0.354582,0.24713,0.558578,5.85784,0.462166,0.384118,5.9813,0.63507,57.3588,22.5248,1.0993,0.559427,1.92888,24.1393,0.0999148,1.49525,30.2308,0.423508,11.6406,1.28535,0.0856989,0.108624,0.150309,0.0149179,0.0606154,0.0107869,0.0152828,0.528052,
163,14.3459,31.0358,116.817,0.462236,20.5805,1.91135,0.187006,0.168121,0.168157,1.85384,0.483186,0.0305497,5.06783,0.58532,62.5278,4.7231,0.720277,0.419091,0.350976,13.4775,0.0200123,0.25674,35.3808,0.391816,11.6392,1.28564,0.0856968,0.108624,0.153041,0.0149179,0.386522,0.0108063,0.0165754,0.528203,
164,14.3455,57.5753,151.738,0.249161,26.8991,4.92615,0.361161,0.247244,0.829707,5.99344,0.461642,0.0757488,17.0893,0.691776,59.0191,12.6634,1.01116,0.512738,2.74856,22.7545,0.0866791,0.372632,63.3587,0.617669,11.6396,1.28564,0.0856968,0.108624,0.153253,0.0148416,0.0743706,0.0108063,0.0135999,0.527878,
165,14.3455,44.752,132.318,0.320555,23.475,5.10188,0.301706,0.245222,0.329269,3.02313,0.476588,0.153207,11.0227,0.623271,52.9824,16.2656,0.949186,0.542124,0.940508,11.9759,0.0485725,0.709828,54.6188,0.415145,11.6411,1.28594,0.0856968,0.108835,0.154208,0.0149179,0.160613,0.0108063,0.0165754,0.528034,
166,14.3452,64.3603,178.586,0.22289,34.9306,5.14605,0.409508,0.288555,0.719897,4.67526,0.472992,0.135486,16.9543,0.6276,82.2724,14.1502,1.12199,0.629405,2.53129,17.5735,0.060819,0.470001,64.6222,0.451108,11.6395,1.28555,0.0856968,0.108824,0.154208,0.0149179,0.184119,0.0108063,0.0165754,0.510564,
167,14.3445,25.3362,57.4798,0.566168,15.3099,3.30292,0.163466,0.173196,0.33486,3.53191,0.474249,0.0232692,1.4315,0.590938,27.1348,10.1032,0.4716,0.332419,0.920171,17.4392,0.0582031,0.14786,17.8306,0.321558,11.6411,1.28595,0.0856904,0.108835,0.156174,0.0149041,0.0979263,0.0108063,0.0167431,0.52819,
168,14.3445,37.9934,94.679,0.377554,21.5001,3.97075,0.358881,0.236472,0.502914,4.8099,0.473426,0.0812019,5.41215,0.647575,39.537,10.754,1.16946,0.49787,1.47209,22.3544,0.0485879,0.333863,22.3241,0.484953,11.6422,1.28595,0.0856925,0.108885,0.15588,0.0148166,0.210273,0.0108063,0.0167431,0.527673,
169,14.3445,41.7457,134.357,0.343617,20.4722,4.71481,0.210275,0.116941,0.246941,2.25089,0.487631,0.0349244,12.6413,0.569805,45.1536,17.0403,0.659399,0.125434,0.641435,11.1608,0.105639,0.16363,62.4959,0.254021,11.6458,1.28595,0.0856925,0.108885,0.156129,0.0148166,0.0268284,0.0108063,0.0167431,0.527673,
170,14.3439,44.8501,121.644,0.319818,19.809,4.33871,0.297045,0.23082,0.658132,4.73913,0.469989,0.19101,13.565,0.551224,34.1666,13.4107,0.853324,0.477011,2.49684,19.6102,0.0634993,0.87578,55.6154,0.101164,11.6458,1.28583,0.0856925,0.108885,0.156129,0.0148166,0.174481,0.0108063,0.0167431,0.527673,
171,14.3439,49.6901,173.831,0.288667,24.1794,3.95852,0.21063,3.57308,0.518933,3.21697,0.496007,0.156125,12.7896,0.590764,64.6901,14.6045,0.629819,23.5343,2.08888,17.546,0.0685756,0.807408,62.761,0.305395,11.6458,1.28539,0.0856912,0.108616,0.156129,0.0148166,0.485004,0.0108105,0.0161308,0.527673,
172,14.3434,65.3022,188.13,0.219646,31.599,7.28895,0.289361,0.250856,0.707795,7.51793,0.475587,0.199384,16.3491,0.624185,84.0999,24.7221,0.697454,0.516722,1.99214,26.9736,0.0922842,0.7552,62.1608,0.337169,11.6458,1.28527,0.0856925,0.108435,0.156129,0.0148166,0.0843845,0.0108159,0.0161308,0.527673,
173,14.3434,54.0154,181.48,0.265543,38.8887,4.9577,0.251481,0.173058,0.58952,3.89863,0.513799,0.0571882,4.06216,0.62313,134.499,17.2239,0.673382,0.298348,2.09349,18.1325,0.170897,0.231333,21.1441,0.433432,11.6454,1.28539,0.0856938,0.108348,0.156655,0.0148166,0.485099,0.0108506,0.0161308,0.527673,
174,14.3434,69.6273,189.566,0.206002,45.6161,5.15582,0.481171,0.270669,0.747769,4.71388,0.480943,0.110585,11.4167,0.633629,116.325,14.1102,1.38168,0.60337,2.48442,16.1167,0.0892332,0.519325,50.807,0.427723,11.6454,1.28531,0.0856899,0.108348,0.156655,0.0148787,0.0515148,0.0108794,0.0161308,0.52788,
175,14.3432,42.6176,144.783,0.336556,27.1108,3.22838,0.227439,0.224948,0.660731,2.12658,0.484284,0.102432,7.85863,0.593343,80.6224,13.0128,0.776741,0.579728,2.55708,11.0367,0.0120017,0.613652,39.1662,0.319865,11.6454,1.2855,0.0856689,0.108327,0.156328,0.0148787,0.409371,0.0108801,0.0152922,0.52788,
176,14.3427,58.0731,135.631,0.246977,28.7462,6.59805,0.450499,0.322117,0.639773,5.60443,0.456938,0.243918,14.3657,0.645503,52.3193,18.4634,1.17953,0.646435,1.71775,16.6953,0.0971958,0.906024,54.0496,0.502652,11.6468,1.2855,0.0856689,0.108327,0.156328,0.014844,0.0253031,0.0108357,0.0152922,0.306246,
177,14.3426,34.3549,140.08,0.417482,21.3764,2.01401,0.145779,0.1708,0.385978,3.14743,0.490677,0.0603778,6.02529,0.538204,68.5601,5.99305,0.516724,0.460294,1.61903,21.9267,0.0509827,0.389959,42.9753,0.125036,11.6468,1.2855,0.0856689,0.108297,0.156328,0.014844,0.485114,0.0108184,0.0142615,0.527746,
178,14.3424,71.6998,199.016,0.200034,41.761,7.07495,0.424904,0.296653,0.877271,8.191,0.475402,0.275531,11.6888,0.634222,108.468,19.8668,1.21671,0.721246,2.92749,30.7583,0.0727402,1.14512,44.2017,0.426052,11.6471,1.28566,0.0856744,0.108264,0.156602,0.014844,0.0857628,0.0108184,0.0142615,0.527746,
179,14.3421,43.2921,142.54,0.331286,24.5973,4.82742,0.24513,0.209192,0.376489,4.98437,0.477988,0.0559445,6.89852,0.619736,65.515,18.5345,0.79999,0.503624,1.21718,25.3334,0.0589734,0.330904,35.442,0.454695,11.6471,1.28576,0.0856686,0.10821,0.156324,0.014844,0.069184,0.010854,0.0141502,0.527832,
180,14.3421,65.3496,179.748,0.219467,34.533,6.7717,0.479687,0.26463,0.652745,8.23929,0.48259,0.0723488,13.203,0.650578,92.605,19.8091,1.39536,0.568216,2.23568,28.9344,0.0764247,0.315207,47.3739,0.456698,9.20377,1.28557,0.0856686,0.10821,0.155846,0.014844,0.0930323,0.010854,0.0142615,0.527832,
181,14.3419,76.3622,211.73,0.187814,46.1798,7.7642,0.354247,0.288025,0.783712,6.06417,0.509699,0.275383,13.5325,0.610409,123.14,24.412,0.94374,0.64972,2.24454,22.409,0.0965093,1.17304,64.2275,0.30646,11.6462,1.28565,0.0856582,0.107932,0.156153,0.014844,0.485145,0.010854,0.0142615,0.527832,
182,14.3418,130.54,476.939,0.109865,86.3544,6.93601,0.421336,0.35518,0.933635,9.70688,0.503494,0.137522,24.5652,0.626561,377.271,17.0382,1.03802,0.767205,2.37281,32.3037,0.106435,0.472624,79.4627,0.30224,11.6472,1.28582,0.0856582,0.107748,0.156153,0.014844,0.389269,0.0109007,0.0140199,0.527832,
183,14.3414,43.049,141.382,0.333142,22.5125,3.57027,0.205814,0.262748,0.485044,2.51638,0.480945,0.0387079,12.4048,0.571754,61.5361,11.6931,0.655089,0.835637,1.71986,14.706,0.0681009,0.203798,61.4902,0.219108,11.6469,1.28568,0.0856582,0.107651,0.156415,0.0148895,0.0739196,0.0108879,0.0140199,0.527565,
184,14.3414,44.9484,151.689,0.319063,24.4532,4.69677,0.224432,0.215852,0.338497,3.25059,0.475706,0.0533436,10.6445,0.595567,64.3419,17.1461,0.698283,0.528471,1.25057,17.176,0.0564247,0.217207,52.2885,0.337283,11.6472,1.28571,0.0856582,0.107651,0.156415,0.0148425,0.0902227,0.0108879,0.0140199,0.527402,
185,14.3413,88.7329,235.27,0.161623,60.3782,5.91532,0.430551,0.329018,1.62182,4.88703,0.489889,0.240111,13.7962,0.644708,158.162,16.3525,1.12839,0.845983,5.01623,20.4081,0.0998318,0.916805,50.9537,0.36164,11.6473,1.28571,0.0856582,0.0871526,0.156529,0.0148425,0.155904,0.0108725,0.0140199,0.527335,
186,14.3412,40.9644,109.889,0.350088,25.9206,5.45961,0.293919,0.242671,0.583832,4.05596,0.482575,0.0340008,3.29247,0.598814,70.7712,18.4921,0.849005,0.560348,2.22994,16.4075,0.0401509,0.238142,19.6617,0.314522,11.6472,1.28577,0.0856582,0.107593,0.155559,0.0147965,0.228425,0.0108725,0.0152349,0.52683,
187,14.3412,78.7363,220.769,0.182142,38.1521,7.6981,0.327102,0.300382,0.501074,8.25653,0.499606,0.122472,22.2652,0.613741,99.8067,22.7712,0.869908,0.688458,1.61385,28.436,0.094131,0.458813,75.2501,0.30835,11.6472,1.28577,0.0856582,0.107593,0.156537,0.0147965,0.186581,0.0108892,0.0151487,0.52683,
188,14.341,45.751,131.626,0.313457,25.4471,5.24903,0.222185,0.204858,0.636185,4.20935,0.478524,0.109608,8.60741,0.586772,68.5288,15.8184,0.551294,0.399052,2.24322,19.2198,0.0495021,0.437703,41.3167,0.267774,11.647,1.28588,0.0856618,0.107593,0.156307,0.0147965,0.165235,0.0108892,0.0152126,0.52683,
189,14.3408,92.7394,238.689,0.154636,60.9892,7.4423,0.408284,0.312778,0.864941,8.66543,0.516178,0.208576,12.7017,0.629973,149.381,21.9114,1.02953,0.789418,2.63094,27.5216,0.132306,0.683907,54.6269,0.341797,11.6465,1.28588,0.0856618,0.107592,0.156307,0.0147279,0.311516,0.0109021,0.0152126,0.526486,
190,14.3408,55.3029,164.67,0.259314,32.2348,4.70499,0.283702,0.169559,0.761774,5.77352,0.491499,0.420406,9.87762,0.585021,110.701,15.8972,0.817644,0.309386,2.8269,32.9585,0.153047,1.86271,46.885,0.251428,11.647,1.28584,0.0856616,0.107592,0.157188,0.0147965,0.153312,0.0108961,0.0151715,0.52683,
191,14.3408,98.1109,229.017,0.14617,47.6579,7.50207,0.501965,0.358829,1.2745,13.8883,0.474499,0.227098,25.4875,0.738274,108.758,19.9908,1.17999,0.771165,3.67459,48.0328,0.0869616,0.854391,74.1291,0.612926,11.6469,1.28581,0.0856603,0.10744,0.157188,0.0147964,0.135375,0.0108961,0.0151715,0.52672,
192,14.3405,84.0851,227.711,0.170547,47.1914,6.00854,0.366791,0.392733,0.986818,8.99857,0.486779,0.216793,18.7833,0.653366,127.426,16.3879,0.876783,0.88629,2.88154,32.2885,0.0972033,0.728253,58.7643,0.409956,11.6468,1.28581,0.0856588,0.10744,0.157188,0.0147964,0.0463283,0.0108581,0.0145001,0.52672,
193,14.3403,21.2712,48.5117,0.674165,13.1882,1.81032,0.15441,0.146192,0.17387,1.11812,0.476416,0.0544726,3.61364,0.535571,30.3844,5.20784,0.524565,0.325892,0.812017,11.0334,0.0621976,0.332173,28.6959,0.117135,11.6465,1.28587,0.0856588,0.107459,0.15761,0.0147964,0.0471188,0.0108535,0.0145001,0.52672,
194,14.3403,60.8159,185.559,0.235799,27.246,8.82581,0.332455,0.211082,0.699302,2.47199,0.468209,0.155582,19.8178,0.587669,64.638,33.9771,1.0436,0.413325,2.5438,11.2165,0.0730038,0.776475,78.3368,0.246672,11.6461,1.28588,0.0856548,0.107459,0.157348,0.0147964,0.0469138,0.0108535,0.0145001,0.52672,
195,14.3402,38.4249,119.293,0.3732,20.4361,3.26809,0.197674,0.20133,0.297027,4.36964,0.480826,0.0296993,8.55767,0.586859,46.8286,12.363,0.633137,0.465518,0.825035,22.2236,0.0731573,0.154664,44.4565,0.300266,11.6462,1.28592,0.0856593,0.107449,0.157498,0.014816,0.0319052,0.0108192,0.0145001,0.527029,
196,14.3402,46.9781,159.964,0.305253,24.4902,2.43756,0.236239,0.1458,0.724581,5.64811,0.47511,0.0568009,12.2029,0.560864,62.7165,5.79062,0.883165,0.247173,2.83099,27.7508,0.0510853,0.274364,59.7366,0.167251,11.6461,1.28592,0.0856572,0.107417,0.157498,0.0148139,0.174424,0.0108192,0.014957,0.527029,
197,14.3402,32.4831,126.999,0.441466,21.8717,2.82145,0.127931,0.153107,0.157637,1.08163,0.491124,0.0147549,5.20051,0.563257,71.8106,10.7246,0.316326,0.318937,0.561262,7.66916,0.0445173,0.0500159,36.9248,0.2491,11.6458,1.28592,0.0856572,0.107417,0.135916,0.0148139,0.485162,0.0108016,0.014957,0.527114,
198,14.34,60.3419,183.118,0.237647,33.2481,4.50596,0.327919,0.267495,0.439976,4.51239,0.478088,0.112145,15.8646,0.585169,84.4999,13.2203,1.01257,0.628941,1.32698,21.4833,0.0381981,0.457831,62.4852,0.283615,11.6461,1.28592,0.0856572,0.107417,0.157459,0.0148064,0.274779,0.0108016,0.0148406,0.527039,
199,14.3398,48.6434,139.233,0.294795,29.2372,3.40129,0.389701,0.255391,0.541087,4.40993,0.478852,0.170692,9.17803,0.581147,84.1221,9.27682,1.21981,0.634071,1.94948,17.7056,0.0972064,0.937731,42.475,0.215089,11.6466,1.28591,0.0856591,0.107376,0.157677,0.0148064,0.0645068,0.0108192,0.0148406,0.527039,
200,14.3398,33.0343,94.3129,0.434089,20.4145,3.27771,0.227666,0.197181,0.504481,2.08109,0.474201,0.111532,5.1338,0.612152,43.7086,9.85837,0.721002,0.439302,1.70695,10.2408,0.0584036,0.496871,28.8175,0.415561,11.6473,1.28596,0.0856576,0.107375,0.157477,0.0148064,0.100097,0.0108204,0.0150965,0.527039,
