Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,1866.93,4983.61,1571.95,0.374613,335.309,0,1181.54,6.59089,401.141,53.2623,2503.36,173.416,328.997,378.998,2.69726e-05,710.237,7.19601,512.532,63.7264,2631.52,108.896,412.809,16.6578,0,43.8914,0.50406,20.1864,3.82824,1275.18,20.2907,16.617,
1,1866.93,3983.67,1017.77,0.468645,322.965,0,832.783,7.35004,326.606,46.9699,1956.35,169.239,321.402,229.368,0,549.621,2.80236,256.011,28.1631,795.977,95.4977,227.612,5.73881,0,43.8914,0.50406,7.08533,3.82824,1175.79,39.3155,4.30945,
2,1866.93,4057.94,1851.61,0.460068,381.566,0,857.379,7.1986,359.311,44.9295,1861.43,165.999,380.12,359.349,0,720.353,3.24019,313.653,23.7283,769.394,119.04,356.19,5.73881,0,43.8914,0.50406,5.96418,3.82824,1175.79,39.3155,4.30945,
3,1866.93,3535.38,1768.05,0.52807,320.427,0,775.36,8.02655,289.52,40.3149,1642.01,140.557,319.156,320.189,0,630.695,3.09719,292.639,22.4213,725.967,94.2646,320.673,5.73881,0,43.8914,0.50406,8.52701,3.82824,1175.79,39.3155,4.30945,
4,1866.93,3727.44,2034.16,0.50086,307.026,0,949.734,8.2828,251.356,38.8012,1695.47,170.534,306.238,339.259,0,681.621,3.2825,282.893,26.0309,826.613,122.636,338.142,3.722,0,43.8914,0.50406,3.73988,3.82824,1150.88,10.1632,3.65634,
5,1866.93,3852.13,2417.28,0.484647,296.502,0,989.387,8.55643,291.544,36.0249,1767.51,171.734,290.881,317.431,0,712.733,2.82671,351.167,23.3865,934.507,141.155,308.094,5.73881,0,44.5365,3.40237,13.8892,3.82824,1021.51,13.5684,4.30945,
6,1625.09,3475.92,1983.81,0.467528,240.31,0,1046.38,8.14623,190.497,32.4916,1590.08,128.527,239.487,291.644,0,874.414,3.40017,218.771,25.304,794.655,104.18,298.394,4.94007,0,75.6938,0.0641414,4.28954,3.82824,1020.15,13.5684,4.30945,
7,1625.09,2568.85,733.178,0.632615,157.447,0,622.894,8.96389,163.261,25.4699,1328.39,105.323,157.097,159.812,0,347.287,2.57367,141.665,11.8241,385.984,51.4439,151.672,5.73881,0,75.6938,4.92599,11.0413,3.82824,1170.05,13.5684,4.30945,
8,1583.06,3158.77,2205.01,0.501164,234.827,0,750.12,7.90358,193.731,30.9494,1561.03,146.333,233.884,335.921,0,727.737,3.00437,254.775,24.0899,827.83,129.34,334.151,5.73881,0,62.9029,0.434676,6.62593,3.82824,1167.96,40.5493,1.82041,
9,1583.06,2819.14,1706.54,0.561541,208.853,0,705.083,8.59535,135.415,29.4087,1364.78,158.633,208.378,298.526,0,792.127,2.8121,148.963,17.5848,513.622,151.838,299.441,5.73881,0,57.7164,1.91284,11.0413,3.82824,1169.77,24.7275,1.82041,
