Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,4.48111,120.335,3.75546,2.13651,1185.61,0,9.57438,1.3529,17.7096,
1,4.47855,120.186,3.75624,2.13859,1185.61,0,9.72495,1.35133,17.7097,
2,4.47993,120.297,3.75828,2.13696,1185.61,0,9.61348,1.35119,17.7097,
3,4.48096,120.323,3.75568,2.13665,1185.61,0,9.58761,1.35305,17.7098,
4,4.47924,120.194,3.7604,2.1387,1185.61,0,9.7161,1.34981,17.7096,
5,4.47999,120.15,3.7605,2.13676,1185.61,0,9.76125,1.3503,17.7095,
6,4.48618,120.069,3.7375,2.14016,1185.61,0,9.84242,1.36399,17.7097,
7,4.48277,120.077,3.75095,2.13866,1185.61,0,9.83407,1.35579,17.7096,
8,4.47681,120.069,3.76529,2.13933,1185.61,0,9.84309,1.34656,17.7096,
9,4.4823,120.131,3.75464,2.13785,1185.61,0,9.7795,1.35391,17.7096,
10,4.47988,120.074,3.75739,2.13853,1185.61,0,9.83819,1.35146,17.7097,
11,4.48851,120.064,3.73262,2.13984,1185.61,0,9.84725,1.36764,17.7096,
12,4.47964,120.655,3.75879,2.13804,1185.61,0,9.25755,1.35082,17.7097,
13,4.48271,120.276,3.75186,2.13995,1185.61,0,9.63421,1.35549,17.7097,
14,4.48063,120.625,3.75661,2.13921,1185.61,0,9.28712,1.35206,17.7096,
15,4.48246,120.329,3.75161,2.14125,1185.61,0,9.58107,1.35544,17.7097,
16,4.48356,120.213,3.75229,2.1381,1185.61,0,9.6971,1.35592,17.7097,
17,4.48182,120.067,3.75468,2.13993,1185.61,0,9.84425,1.35353,17.7094,
18,4.48353,120.199,3.75183,2.1381,1185.61,0,9.71134,1.35599,17.7097,
19,4.48188,120.393,3.75405,2.14015,1185.61,0,9.51658,1.35426,17.7098,
20,4.48223,120.332,3.7574,2.13814,1185.61,0,9.57893,1.35296,17.7097,
21,4.4874,120.21,3.73817,2.1404,1185.61,0,9.70171,1.36414,17.7094,
22,4.47882,120.601,3.76053,2.14022,1185.61,0,9.31156,1.34952,17.7096,
23,4.48224,120.069,3.75368,2.13864,1185.61,0,9.8437,1.35433,17.7096,
24,4.49077,120.08,3.72889,2.13997,1185.61,0,9.83031,1.37117,17.7096,
25,4.47909,120.176,3.76109,2.13918,1185.61,0,9.73479,1.34992,17.7099,
26,4.481,120.471,3.7568,2.14151,1185.61,0,9.43897,1.35235,17.7095,
27,4.48419,120.249,3.74801,2.1402,1185.61,0,9.66143,1.3581,17.7097,
28,4.48754,120.065,3.73757,2.14009,1185.61,0,9.84649,1.36507,17.7098,
29,4.48171,120.586,3.754,2.14013,1185.61,0,9.3268,1.35393,17.7096,
30,3.45755,2138.35,6.76313,8.72126,4514.66,0,267.552,2.97432,113.988,
31,798.361,1335.19,14.0841,11.3696,2649.87,0,123.799,798.322,71.6172,
32,4.48175,120.071,3.75287,2.13868,1185.61,0,9.84072,1.35426,17.7095,
33,4.48106,120.09,3.75523,2.13855,1185.61,0,9.82317,1.35306,17.7096,
34,818.131,2509.01,34.134,14.2855,2646.44,0,83.3739,818.472,71.5918,
35,153.239,3580.7,916.415,0.460759,1709.83,0,128.139,133.902,19.1212,
36,907.172,3551.7,623.813,10.663,2000.18,0,728.535,902.201,18.7561,
37,2.84099,1516.61,8.15984,2.48125,4525.79,0,68.8564,2.70826,114.254,
38,794.682,1612.63,8.64494,9.85598,2611.12,0,58.3231,794.621,70.6349,
39,4.4754,120.149,3.76567,2.13796,1185.61,0,9.76449,1.34599,17.7099,
40,1052.14,3693.3,231.037,3.25911,1048.69,0,197.444,1052.55,20.5418,
41,4.48102,120.084,3.75545,2.13835,1185.61,0,9.83028,1.35284,17.7096,
42,4.48275,120.086,3.74918,2.13814,1185.61,0,9.8268,1.35661,17.7097,
43,4.47801,120.25,3.7645,2.13848,1185.61,0,9.66056,1.34767,17.7096,
44,795.886,3551.67,11.9753,14.1591,2638.44,0,593.023,795.875,71.3164,
45,4.48113,120.293,3.75568,2.13883,1185.61,0,9.61815,1.35297,17.7096,
46,799.485,566.525,10.0756,11.2243,2625.35,0,199.207,799.442,71.0225,
47,4.48049,119.969,3.75681,2.13845,1185.61,0,9.94449,1.35197,17.7096,
48,852.069,727.979,1034.54,10.3932,3381.38,0,297.458,836.033,49.3528,
49,4.48324,120.317,3.753,2.13499,1185.61,0,9.59338,1.35533,17.7098,
