Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,103.841,470.892,174.994,0.220519,348.339,4.75127,27.7566,1.62541,1.16161,6.82931,0.435334,24.1593,1.31467,18.6442,32.3414,1.13902,2.39467,168.161,3.95965,26.2901,1.84317,1.28032,5.56795,0.463375,19.3885,1.32301,25.3623,32.8795,1.32658,2.75596,23.5943,2.67387,0.0916775,0.0305215,0.197604,0.140232,0.109277,1.4987,0.0166601,0.117395,19.846,0.110466,0.551551,
1,103.841,396.945,134.352,0.2616,252.566,6.62683,18.546,1.63526,1.08951,2.77805,0.373578,31.7822,1.21404,47.3396,29.6876,0.990322,2.31607,106.686,5.43894,20.2169,0.951174,0.433736,2.48794,0.134693,27.9691,1.04088,64.6104,7.19794,0.563369,1.50017,23.5943,2.67387,0.0916775,0.0305215,0.197604,0.140232,0.109277,1.4987,0.0166601,0.117395,19.846,0.110466,0.551551,
2,103.841,330.188,79.5831,0.31449,193.803,6.65334,13.8846,1.76418,1.0329,2.6052,0.265027,36.8937,1.26602,33.5253,35.4824,0.951211,2.06135,69.8083,5.23639,14.0698,1.05715,0.472665,2.77803,0.156165,26.0125,1.20803,48.6958,45.6714,0.626375,1.22231,23.5943,2.3023,0.0916775,0.0305215,0.197604,0.140232,0.0333448,2.15464,0.0166601,0.117395,15.9311,0.113646,0.450716,
3,103.841,284.496,44.3378,0.364999,160.222,5.44502,9.77319,1.48295,0.984784,2.31032,0.204784,32.3886,1.17876,38.9417,28.8653,0.830803,1.86832,53.118,2.95088,9.07576,1.00575,0.458206,1.85105,0.132981,17.3126,0.809585,38.268,10.8102,0.514838,0.866108,23.5943,1.63881,0.0916775,0.0305215,0.119175,0.200262,0.00566992,2.15464,0.0166601,0.129848,2.95443,0.0657341,0.551551,
4,103.841,276.134,73.343,0.376053,146.902,6.11989,9.66172,1.50518,1.09294,2.50258,0.181865,26.0581,1.28611,42.605,35.9692,0.677983,1.57147,36.3854,3.22097,7.11701,0.99826,0.500671,1.8386,0.113013,21.2616,0.772702,41.507,31.7662,0.50816,0.764033,23.5943,2.19323,0.0916775,0.0305215,0.119175,0.0576376,0.00566992,2.15464,0.00829321,0.129848,15.14,0.0623538,0.267191,
5,103.841,249.728,30.776,0.415816,138.609,5.12438,7.56994,1.37761,1.04825,2.43281,0.153154,22.1115,1.69273,36.5927,30.8243,0.690281,1.50126,28.5439,2.56841,4.65404,1.02417,0.438884,1.71867,0.0960937,14.9292,1.02037,28.677,8.88706,0.424962,0.581952,23.5943,2.13545,0.0916775,0.0305215,0.119175,0.0576376,0.00566992,2.15464,0.00829321,0.129848,15.14,0.0623538,0.662057,
6,103.841,229.038,34.9129,0.453378,121.327,4.69613,7.67327,1.35796,0.961873,2.67536,0.112273,20.3943,1.50098,34.855,31.2478,0.728441,1.50785,30.1603,2.34688,4.27341,1.02245,0.436357,1.68318,0.0859425,15.5756,0.868139,31.4862,8.22049,0.531096,0.560936,23.5943,1.84562,0.0916775,0.0305215,0.0869258,0.0576376,0.00566992,1.94691,0.0690583,0.129848,11.4249,0.0394443,0.662057,
7,103.841,211.341,27.7282,0.491344,121.062,4.75761,5.77077,1.47272,0.92987,2.20465,0.106317,16.731,1.52362,21.887,32.7246,0.687652,1.48323,28.4589,2.48628,3.20181,1.0329,0.457649,1.64164,0.0781141,12.3509,0.99716,20.3458,7.48925,0.483581,0.436989,23.5943,1.84562,0.0916775,0.0305215,0.0869258,0.0683067,0.00225379,1.76893,0.0129815,0.129848,11.4249,0.0394443,0.662057,
8,103.841,199.748,24.9452,0.51986,114.015,4.96868,5.14894,1.19129,0.805939,2.00827,0.074704,15.1248,1.60119,18.3246,34.4002,0.577676,1.50598,24.1231,2.96106,2.78984,1.00392,0.351269,1.09027,0.0752955,11.4266,0.959544,15.1815,7.11325,0.401615,0.40841,23.5943,1.84562,0.0916775,0.0305215,0.422135,0.0940959,0.00225379,1.94691,0.041257,0.129848,26.6159,0.0394443,0.683368,
9,103.841,204.328,79.3215,0.508208,100.256,6.40993,6.67542,1.18437,0.811339,2.29258,0.121497,18.998,1.39938,25.9311,38.129,0.609983,1.50935,39.4046,7.03175,6.46409,1.13985,0.355729,1.70556,0.128679,28.8468,0.752854,25.4922,18.7849,0.461805,0.509272,14.2617,1.44018,0.0916775,0.0305215,0.397246,0.0940959,0.00225379,0.842834,0.041257,0.129848,14.3787,0.0294561,0.149694,
10,103.841,204.177,118.441,0.508582,106.22,5.14557,8.44723,1.0336,0.856157,2.28881,0.13907,14.8558,1.48568,24.8358,36.6383,0.729572,1.50152,66.2762,5.72151,17.803,1.13627,0.490421,1.40933,0.181295,23.2154,0.90052,29.7507,8.06052,0.502676,0.696548,23.5943,0.775787,0.0916775,0.00895333,0.422135,0.137673,0.00218163,0.254061,0.041257,0.129848,14.3787,0.0294561,0.20998,
11,103.841,190.059,89.0248,0.546362,94.811,4.58019,8.9572,0.999153,0.805586,2.0009,0.140632,11.9343,1.64587,24.4974,37.506,0.715937,1.46469,46.0284,3.62369,16.6209,1.28733,0.379035,1.61741,0.136404,13.0331,1.23536,34.3513,8.77033,0.565712,0.651249,17.5159,0.775787,0.0916775,0.00895333,0.40092,0.0643169,0.0010401,0.254061,0.0331067,0.129848,14.3787,0.0294561,0.590025,
12,103.841,172.686,77.5343,0.601326,82.5991,3.58522,6.6796,1.19142,0.791807,2.87867,0.141754,9.00213,1.97735,19.434,41.8421,0.897443,1.66591,37.3961,2.46661,11.5647,0.889887,0.415787,2.16662,0.118886,8.95762,1.46593,41.3355,13.5577,0.62706,1.84127,12.1231,0.775787,0.0916775,0.00895333,0.300758,0.0643169,0.00225379,0.723794,0.0331067,0.129848,2.57918,0.0294561,0.543928,
13,103.841,175.956,102.548,0.590154,75.4378,3.86148,6.71176,1.43202,0.838688,3.12395,0.175982,11.9344,2.08046,24.2221,43.7471,0.917275,1.47274,45.5258,3.26147,6.20109,0.954899,0.414555,2.19608,0.117771,15.1151,1.47256,49.9046,10.3365,0.666413,0.548724,13.8148,0.775787,0.0916775,0.0305215,0.300758,0.0643169,0.0265535,0.267913,0.0241852,0.129848,19.4165,0.081067,0.543928,
14,103.841,190.037,142.546,0.546425,75.6974,3.22418,8.87837,1.22659,0.857057,3.18279,0.219744,8.80412,2.57747,23.5507,59.0715,1.01599,1.73088,80.3938,2.00701,14.7987,1.0071,0.314533,2.32404,0.14442,11.5223,1.57251,38.4069,69.7934,0.616817,1.24576,13.8148,0.713013,0.0916775,0.0305215,0.459366,0.0643169,0.036203,0.267913,0.14097,0.129848,12.5258,0.0535724,0.232529,
15,103.841,172.674,133.545,0.601369,64.4244,4.34816,8.55433,1.14389,1.0537,3.89982,0.197399,11.1337,2.27235,22.6053,50.2496,1.17247,1.6192,43.5173,4.80635,19.1797,0.745622,1.9021,2.56406,0.080814,19.3154,1.40682,58.1042,14.4352,0.721391,0.658765,13.3789,1.19512,0.0916775,0.0305215,0.502321,0.0643169,0.036203,0.267913,0.167065,0.129848,30.9716,0.0535724,0.625047,
16,103.841,166.079,101.977,0.625252,67.6784,4.04987,8.29587,1.052,0.873188,3.92269,0.216916,12.0732,2.42806,10.7231,51.5929,1.33911,1.83326,81.1398,4.70061,15.7448,0.633909,0.486217,2.20559,0.140995,18.7088,1.44648,14.8675,17.189,0.78407,0.9382,10.9315,1.19512,0.0916775,0.0305215,0.511366,0.0643169,0.0499812,0.267913,0.122702,0.129848,9.58547,0.0535724,0.595887,
17,103.841,157.36,73.5774,0.659896,58.0207,3.43839,5.0052,1.06505,0.759866,3.47658,0.2016,11.0565,1.92161,15.4416,54.223,1.10095,1.64851,33.1374,1.99829,4.75328,0.657722,0.293931,2.24464,0.0928723,10.9899,1.54393,26.1401,31.3221,0.710651,0.46186,13.3789,0.783453,0.0916775,0.0305215,0.35619,0.0643169,0.0371234,0.267913,0.0807267,0.129848,33.0622,0.0535724,0.445134,
18,103.841,174.32,152.152,0.595691,71.7509,4.38869,7.02509,1.04043,0.814402,4.13618,0.221586,14.2468,1.79992,17.0773,48.9855,1.15188,1.68146,95.5593,4.33931,16.8427,0.881451,0.400867,3.27323,0.092828,18.5301,1.47685,35.6274,10.7507,0.635799,0.683168,8.08378,0.274449,0.0916775,0.0305215,0.313054,0.0643169,0.112387,0.267913,0.0196439,0.129848,25.7961,0.156949,0.625047,
19,103.841,154.171,84.0559,0.673544,48.9571,4.55733,5.36208,0.747772,0.695677,3.44597,0.229589,14.3866,1.97707,17.1049,54.0103,1.05253,1.64401,21.5307,4.51073,5.82129,0.791192,0.271555,1.80878,0.0787668,22.5813,1.49697,42.8171,23.1418,0.581729,0.422808,10.6519,1.03183,0.0532149,0.0305215,0.415732,0.0643169,0.095393,0.267913,0.0149257,0.129848,9.23539,0.109116,0.625047,
20,103.841,183.783,199.533,0.56502,75.7662,3.64085,7.70518,0.880394,0.835462,3.86544,0.249708,14.0746,2.08948,20.7783,51.218,1.02406,1.65524,126.119,4.93503,11.0019,0.766774,0.834314,4.19013,0.139127,20.0187,1.50225,51.5943,11.1799,0.668629,0.576426,17.1763,1.03183,0.0532149,0.0305215,0.321917,0.0643169,0.114879,0.267913,0.0678406,0.129848,21.5007,0.109116,0.41033,
21,103.841,146.595,90.8649,0.708351,53.1776,2.59321,5.55254,0.82149,0.728037,3.25899,0.238031,9.74282,2.06819,14.1726,51.5862,1.17111,1.48457,51.8197,1.60683,7.73755,0.695179,0.254194,1.94911,0.0742704,8.79153,1.4169,37.792,11.2214,0.753704,0.395282,17.1763,1.03183,0.0532149,0.0305215,0.438567,0.0643169,0.127878,0.54462,0.0840226,0.129848,31.1192,0.0445713,0.625047,
22,103.841,172.177,161.526,0.603105,67.9314,3.70552,6.71757,0.919916,0.719753,2.7057,0.252358,14.5826,2.29201,19.6536,50.1661,1.02784,1.50297,94.3052,3.88535,8.65918,1.10969,0.26101,1.99643,0.166345,19.0103,1.52272,44.5096,10.3634,0.782486,0.472757,17.1763,1.03183,0.0532149,0.0305215,0.447151,0.116776,0.0637738,0.54462,0.0840226,0.129848,37.6428,0.0445713,0.595898,
23,103.841,189.416,208.39,0.548216,78.2527,3.54799,9.71505,0.813374,0.836327,2.61797,0.28785,14.0373,2.45305,23.8059,50.6301,0.909164,1.5091,119.781,5.72205,20.7731,0.984497,0.732195,2.1462,0.219984,24.0289,1.35312,57.006,11.792,0.682672,0.729665,15.4767,0.356782,0.0532149,0.0305215,0.447151,0.137555,0.0407896,0.54462,0.122702,0.129848,33.6001,0.0445713,0.625047,
24,103.841,164.513,133.535,0.631202,61.5363,3.35739,6.18631,0.940978,0.727301,2.61679,0.263503,12.2613,2.317,20.1391,51.7908,0.893761,1.48238,80.5501,4.0686,11.2146,1.1865,0.467066,2.31442,0.133489,15.2237,1.59149,46.0635,18.4998,0.641827,0.472673,6.95415,0.34241,0.0532149,0.0305215,0.411099,0.137555,0.120131,0.100224,0.0574286,0.129848,27.7834,0.0445713,0.625047,
25,103.841,179.364,192.265,0.578938,74.5472,3.12352,8.69178,0.898058,0.808702,2.45379,0.248807,11.9482,2.31368,21.4924,50.6158,0.829718,1.39282,105.241,2.97392,20.2366,1.1989,0.557305,2.76149,0.118741,16.9995,1.73602,57.96,24.6459,0.638903,0.720299,23.5943,1.11762,0.0532149,0.0305215,0.411099,0.137555,0.0834115,0.100224,0.122702,0.129848,24.6354,0.0445713,0.271996,
26,103.841,156.344,143.023,0.664184,65.9565,3.11409,6.1368,0.786523,0.820983,2.22139,0.252841,11.2162,2.3218,14.4543,46.9597,0.743906,1.3587,99.9603,2.06818,8.32384,0.831605,0.636808,2.38613,0.139224,11.1097,1.7815,38.3851,8.39366,0.556509,0.433323,23.5943,1.00107,0.0532149,0.0305215,0.411099,0.137555,0.0961967,0.100224,0.122702,0.129848,31.8057,0.0445713,0.499723,
27,103.841,169.453,186.07,0.612801,71.0362,2.89802,6.33986,0.844657,1.05758,2.0957,0.274832,11.517,2.29609,19.3831,49.569,0.710659,1.43039,121.981,1.89651,10.6183,1.13852,2.00029,1.9852,0.186869,11.751,1.66979,56.9359,9.09047,0.651006,0.440681,20.2742,1.00107,0.0532149,0.0138812,0.460795,0.0960131,0.0958595,0.100224,0.122702,0.129848,33.8188,0.0445713,0.703559,
28,103.038,140.783,104.37,0.73189,50.6212,2.63524,3.41794,0.693662,0.714968,2.08217,0.28041,10.5288,1.87902,9.10025,56.5676,0.706858,1.55496,83.9847,1.8544,3.37618,0.855832,0.542835,1.86183,0.123052,6.73204,1.58563,15.1895,39.8254,0.671569,0.361743,14.5881,0.955473,0.0916775,0.0138812,0.425246,0.0991495,0.155243,0.100224,0.0474087,0.129848,27.9553,0.0592018,0.777158,
