Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.half_track_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.half_track_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.half_track_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,84.1553,147.25,41.3368,0.571513,1.16914,113.527,1.9433,3.79631,2.61049,22.9038,0.232574,1.06788,1.33233,120.407,1.83507,4.0533,3.11344,38.5177,0.246378,1.32776,0.0534507,25.5125,0.0305215,0.625179,0.0608794,11.141,0.0114787,0.2078,
1,84.1553,127.278,30.2572,0.661193,0.949694,93.0762,2.10978,3.12819,1.91011,20.0766,4.70089,1.32651,0.737557,35.3662,1.47772,1.40708,1.64478,13.6571,8.52053,0.80405,0.0138757,27.6501,0.0305215,0.697488,0.0608794,8.07885,0.0114787,0.251865,
2,84.1553,124.156,37.6895,0.677819,0.9552,83.6383,2.19244,2.81921,2.15047,23.675,7.17783,1.54764,0.766613,39.1307,1.57139,1.44796,2.03702,18.1186,10.9976,0.927368,0.0534507,27.6501,0.0305215,0.697488,0.0608794,7.9841,0.0114787,0.251865,
3,84.1553,124.415,52.9056,0.67641,1.03274,72.4273,2.34128,2.40942,2.08437,37.2687,5.27252,1.57839,0.768875,38.6339,1.6237,1.39626,1.87282,56.0141,8.81934,1.12748,0.0534507,25.7589,0.0305215,0.62771,0.0608794,9.04131,0.0114787,0.251865,
4,84.1553,112.596,47.5665,0.747409,0.888518,61.816,2.1637,2.02697,1.81301,36.2701,6.13388,1.48385,0.631432,25.0575,1.50136,0.850932,1.57102,51.7743,9.25341,0.927344,0.0534507,25.4449,0.0305215,0.598006,0.0608794,2.70113,0.0114787,0.251865,
5,82.5895,107.22,35.2619,0.770283,0.958709,65.5412,2.23434,2.17394,1.92463,27.2864,5.68568,1.41475,0.882994,34.6954,1.67839,1.24843,1.43128,15.1804,9.49421,1.06814,0.0534507,27.3269,0.0305215,0.718401,0.0608794,8.08479,0.0114787,0.251865,
6,82.5895,105.286,39.8534,0.784427,0.847458,66.2355,2.00196,2.16623,1.73036,27.4845,3.6268,1.19356,0.698439,42.4886,1.54349,1.4968,1.33817,9.59061,5.89319,0.837731,0.0706798,32.0635,0.0305215,0.889434,0.16866,8.08712,0.0114787,0.251865,
7,82.5895,139.416,156.338,0.592397,0.890292,59.3009,2.3746,1.93046,1.87159,66.7347,4.93074,1.38252,0.820506,36.7619,1.75256,1.28932,1.44381,166.318,8.39871,0.958582,0.0542383,25.2764,0.087948,0.59731,0.16866,6.7816,0.0114787,0.31967,
8,82.5895,116.876,66.1163,0.706643,0.907228,58.3912,2.45816,1.90235,1.82255,44.1589,5.82511,1.41037,0.782481,34.5811,1.69545,1.25669,1.48726,68.5485,9.42787,1.11967,0.0706798,25.4127,0.087948,0.597582,0.147302,8.09858,0.0661321,0.31967,
9,82.5895,122.388,146.734,0.674815,1.06636,54.2872,2.33101,1.75171,2.11764,54.7253,4.63692,1.47234,0.803643,32.8404,1.56941,1.17245,1.68036,148.765,8.52657,1.10875,0.0706798,26.7891,0.087948,0.661474,0.147302,7.84497,0.0661321,0.31967,
