Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
143,39.8224,97.8434,330.192,0.407002,17.8539,0.245581,1.97234,0.125802,0.335929,0.404016,3.32053,26.2252,0.31662,43.9076,1.44876,0.280009,1.40713,36.6719,0.82211,9.89767,0.359178,1.48709,0.0565861,15.8602,34.3732,0.66096,262.98,8.65563,0.337011,0.824654,10.0847,0.00640456,0.0395925,0.0185739,0.0847535,0.161078,0.00838325,7.96883,0.0801327,0.0143251,0.000353975,0.20872,1.26484,
144,39.8224,125.277,301.704,0.317876,36.9364,0.445865,5.67295,0.226628,0.955979,0.399896,5.75604,25.3548,0.277921,45.8288,1.51845,0.314251,1.5887,96.3614,1.33695,19.4772,0.566538,2.95508,0.0579337,20.5539,4.43208,0.30107,177.629,5.90864,0.340682,1.31288,10.2129,0.00640456,0.0284463,0.0225623,0.0847535,0.0987845,0.00838325,3.61036,0.0584007,0.0143251,0.000353975,0.20568,1.26488,
145,39.8224,77.4,183.201,0.514501,31.6581,0.214304,2.20507,0.208973,0.331889,0.432922,1.69416,26.0284,0.281947,12.3582,0.400735,0.277329,1.30794,103.175,0.762863,10.7444,0.713135,1.59908,0.0993121,8.82602,3.43801,0.452849,66.8659,2.2983,0.307429,0.301826,10.1703,0.00640456,0.0395925,0.0225623,0.0847535,0.409526,0.00838325,8.56123,0.0879271,0.0143251,0.000353975,0.20872,1.17812,
146,39.8224,99.3444,345.675,0.400852,18.9548,0.255314,2.08666,0.157928,0.357227,0.407932,1.74901,26.3354,0.261918,45.6157,1.50414,0.323452,1.33496,51.2083,0.994525,9.75913,0.469112,1.26474,0.0317373,8.05818,1.52126,0.334423,267.151,8.94736,0.511529,0.447785,10.0276,0.00650699,0.0395925,0.0225623,0.0860607,0.249158,0.00669028,17.187,0.0879271,0.0143251,0.000353975,0.210709,0.947402,
147,39.7796,86.6191,240.912,0.459248,26.2871,0.303968,2.9147,0.181913,0.417784,0.413796,4.07733,25.6301,0.243946,23.6921,0.765495,0.35702,1.33379,69.6853,1.08209,12.304,0.48426,1.63384,0.0378749,16.3701,3.97564,0.263119,152.644,5.08668,0.566501,0.530969,9.8201,0.00610449,0.0395925,0.0225623,0.0860607,0.31201,0.0117117,5.81479,0.11919,0.0143251,0.000353975,0.210709,0.193682,
148,39.7796,209.331,532.143,0.190032,62.1786,0.370478,6.36455,0.237132,1.06724,0.434204,9.72073,25.65,0.433424,97.9054,3.21567,0.360602,1.39292,159.693,1.05731,22.4622,0.635733,3.50818,0.126147,32.7343,3.19027,0.864871,335.357,11.5264,0.440933,0.634758,10.2341,0.00610449,0.0373656,0.0225623,0.0860607,0.221738,0.00797278,10.9056,0.126289,0.0143251,0.000353975,0.210078,0.740317,
149,39.7796,79.834,205.295,0.498279,13.6165,0.230651,3.48811,0.128002,0.16814,0.410402,1.39518,26.3371,0.276432,31.1152,1.03327,0.272632,1.36232,15.1971,0.988082,17.9537,0.366601,0.991358,0.0508327,9.50674,2.48196,0.368702,175.208,5.82006,0.275451,0.749471,10.1963,0.00610449,0.0317971,0.0276936,0.0862349,0.12033,0.00886145,9.74812,0.132117,0.0143251,0.000353975,0.210709,0.263705,
150,39.7796,112.225,396.253,0.354463,33.4755,0.241799,2.56803,0.229182,0.49806,0.425551,3.23953,26.2825,0.231227,42.0012,1.36727,0.282179,1.38311,116.784,1.05114,15.2392,0.809023,2.05224,0.0880321,15.6512,2.4447,0.152596,240.87,7.85712,0.449665,0.547383,10.0306,0.00607473,0.0317971,0.0277871,0.0862349,0.374202,0.00886145,9.33134,0.139393,0.0284817,0.000426929,0.0648366,1.26964,
151,39.7796,106.532,284.675,0.373405,25.2263,0.288203,2.92045,0.229181,0.612467,0.414049,3.00847,26.6391,0.289103,43.6714,1.43963,0.323064,1.47039,81.2736,1.0243,12.7045,0.700341,2.06375,0.126207,12.5079,4.83484,0.378983,193.458,6.39414,0.419189,0.8746,9.85996,0.00587376,0.0317971,0.0277871,0.0844836,0.028672,0.00886145,9.74366,0.11049,0.0284817,0.000426929,0.210947,1.27009,
152,39.7796,196.158,534.836,0.202793,32.3429,0.308435,4.71337,0.260738,0.461415,0.409064,5.47202,26.1839,0.317527,119.975,3.99235,0.313422,1.40837,81.3911,1.03066,16.2277,0.685345,1.64747,0.0264384,22.1944,3.60098,0.45433,408.42,14.0012,0.363755,0.648631,10.0567,0.00609885,0.0235864,0.0208149,0.0853811,0.250369,0.00881305,10.4354,0.112673,0.0284817,0.000426929,0.210154,0.984485,
153,39.7796,121.586,344.323,0.327172,23.435,0.419028,5.0824,0.176223,0.672434,0.396574,4.06006,25.5409,0.291241,57.8369,1.90614,0.367473,1.4017,47.027,1.36814,17.6224,0.461256,2.06338,0.0672698,13.6195,4.31592,0.394455,270.485,9.02395,0.554405,0.805603,10.2341,0.00650699,0.0317971,0.0211029,0.0857494,0.0268997,0.00886145,3.63179,0.022053,0.0284817,0.000426929,0.210154,0.257888,
154,39.7796,56.0252,112.308,0.71003,23.5822,0.103573,0.553766,0.0726076,0.106706,0.431732,0.876534,26.4775,0.233348,1.97929,0.0587862,0.248287,1.30084,90.9727,0.599127,5.42783,0.109678,0.420131,0.129261,5.95987,1.89059,0.250644,44.9191,1.88412,0.228551,0.177978,10.2341,0.00650699,0.0317971,0.0264625,0.085382,0.409808,0.00886145,15.109,0.118071,0.0284817,0.000560119,0.210154,1.26995,
155,39.7477,224.09,539.094,0.177374,65.0782,0.427217,5.79136,0.389235,1.04993,0.451917,7.51394,26.0594,0.378623,111.359,3.69456,0.34234,1.55393,163.723,1.16449,21.6977,0.960549,3.598,0.193019,21.7389,6.64246,0.642644,397.218,12.7448,0.389014,0.913611,10.1928,0.00650699,0.0317971,0.023419,0.0810704,0.0336542,0.00886145,4.34314,0.118071,0.0433873,0.000560119,0.210154,1.27009,
156,39.6979,131.278,363.336,0.302396,36.954,0.355638,5.99838,0.258283,0.758888,0.421824,5.56075,25.3465,0.434489,51.7653,1.70768,0.31872,1.39744,102.508,1.1364,20.3867,0.724793,2.42505,0.111331,19.9988,4.75252,1.01453,244.986,8.38209,0.387918,0.61432,9.95477,0.00603466,0.038578,0.0251809,0.085382,0.179604,0.00414318,5.42938,0.118071,0.0433873,0.000560119,0.210154,0.20412,
157,39.6694,146.494,473.976,0.270793,30.8993,0.266546,2.80237,0.746961,0.498034,0.418171,5.48416,25.254,0.233639,75.7039,2.51108,0.321059,1.35438,84.1532,1.03323,11.1294,4.08775,2.36181,0.0739885,23.006,5.63993,0.315815,349.372,11.5859,0.432103,0.555641,10.2714,0.00603466,0.0302066,0.0251809,0.0862349,0.0936306,0.00414318,0.369281,0.118071,0.0433873,0.000560119,0.210154,0.261261,
158,39.6694,73.6617,236.43,0.538535,28.6705,0.109001,1.39114,0.299512,0.222755,0.437425,1.40173,26.5672,0.197123,12.3438,0.394684,0.242899,1.3839,126.197,0.633004,9.1138,1.81631,0.864452,0.16832,9.41152,1.34211,0.116593,97.8602,3.27868,0.190849,0.742006,10.0608,0.00603466,0.0224753,0.0251809,0.0875332,0.410405,0.00414318,25.3409,0.118071,0.0433873,0.00082019,0.210154,1.2702,
159,39.6694,82.642,299.288,0.480015,16.6232,0.137472,0.625386,0.1097,0.278533,0.413077,1.92329,26.1906,0.193634,33.5175,1.11483,0.241929,1.2729,43.1542,0.838195,3.84252,0.474144,1.22466,0.0241372,13.1294,2.21327,0.0565309,234.084,7.79663,0.15405,0.115894,10.2326,0.00603466,0.0224753,0.0241102,0.0870743,0.40668,0.00414318,11.0319,0.0797951,0.0629723,0.000920386,0.210154,1.01673,
160,39.6694,190.7,542.241,0.20802,35.7498,0.211215,6.80362,0.283978,0.531049,0.422339,9.77574,25.0724,0.394361,106.036,3.51514,0.344388,1.56059,97.246,0.659405,24.9293,0.865273,1.70435,0.137844,35.326,5.37964,0.982552,389.399,12.8985,0.509843,1.37549,10.2747,0.00603466,0.0224753,0.0267038,0.086857,0.0881748,0.00414318,2.64907,0.0880564,0.0629723,0.00093826,0.209903,1.27125,
161,39.5629,145.222,456.33,0.272431,25.3416,0.243628,4.89988,0.187157,0.48677,0.406891,3.24968,25.7749,0.216612,79.998,2.63704,0.321053,1.45839,61.3424,0.949479,20.9581,0.599727,1.54258,0.0393478,14.1616,3.35366,0.275708,357.398,11.7874,0.41985,0.792381,10.3289,0.00603466,0.0224753,0.0199049,0.0897244,0.203201,0.00414318,9.31471,0.118071,0.0350879,0.000577177,0.210154,1.27125,
162,39.5629,65.4997,179.713,0.604016,13.5591,0.133841,2.62937,0.0543375,0.17995,0.408034,1.69774,26.1548,0.174764,18.277,0.606035,0.27386,1.35082,19.5147,0.812234,17.9931,0.0691327,0.534859,0.0357242,11.6874,2.3507,0.0922659,140.574,4.55589,0.395974,0.522633,10.2232,0.00603466,0.0224753,0.0267038,0.0884659,0.158193,0.00414318,9.98298,0.117051,0.0350879,0.000577177,0.209674,1.27022,
163,39.5629,76.7334,258.516,0.515589,18.1805,0.117685,0.187929,0.0989429,0.469508,0.411474,0.793135,26.1886,0.212031,27.6458,0.920506,0.247487,1.25979,51.7648,0.696779,2.55728,0.388987,2.58687,0.0106187,5.34187,1.7483,0.34451,192.418,6.43017,0.205755,0.135197,10.2232,0.00603466,0.0224753,0.0254106,0.0884659,0.341494,0.00414318,14.0553,0.117051,0.0350879,0.000577177,0.211548,0.38686,
164,39.5629,72.5959,229.677,0.544974,20.1833,0.0761799,0.600236,0.11209,0.293119,0.419789,3.12672,26.1382,0.214005,19.2381,0.636694,0.25866,1.29874,65.9314,0.388439,3.76089,0.483117,1.34609,0.0476665,21.3987,2.3123,0.353197,133.264,4.42832,0.279931,0.161332,10.1858,0.00607026,0.0224753,0.0254106,0.0884659,0.410405,0.00414318,10.0567,0.117051,0.0350879,0.000577177,0.211339,1.2705,
165,39.5629,199.207,568.884,0.198602,47.5217,0.360709,4.8714,0.205401,0.565337,0.444946,5.66971,26.6748,0.242701,107.379,3.55813,0.378017,1.33528,124.33,1.25811,19.37,0.645905,1.91816,0.160241,20.3349,8.3985,0.363326,389.262,13.4152,0.603525,0.415104,10.34,0.00607026,0.0224753,0.0254106,0.0897244,0.410405,0.00414318,10.4505,0.133824,0.0350879,0.000577177,0.210716,0.719765,
