Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
176,39.5352,126.276,325.895,0.313087,31.0302,0.297433,5.88822,0.257414,0.305322,0.416911,5.06096,25.3475,0.204678,54.0325,1.78664,0.327387,1.32044,94.5002,0.93754,20.1593,0.78875,1.02303,0.13669,18.9545,3.53084,0.38051,255.128,8.42293,0.382924,0.345202,10.3182,0.00616454,0.0278373,0.0254106,0.0899344,0.0556079,0.00870804,9.95605,0.124649,0.0323147,0.000375408,0.210658,0.672602,
177,39.5352,120.3,398.234,0.328639,28.988,0.256934,3.40409,0.135679,0.712364,0.423801,4.6141,26.5933,0.245224,51.5356,1.70535,0.298857,1.38652,118.333,1.14757,17.6836,0.483924,3.4394,0.0992869,26.157,1.66488,0.57933,274.335,9.106,0.434087,0.610105,10.3182,0.00593752,0.0256655,0.0287932,0.0881247,0.286475,0.00870804,25.9526,0.0957576,0.0323147,0.000375408,0.210658,1.26964,
178,39.5352,81.3442,291.625,0.486024,17.8716,0.0574659,0.656068,0.0478585,0.319204,0.407164,1.64265,26.2265,0.176197,31.386,1.04706,0.240394,1.26608,49.3529,0.267182,5.02095,0.102736,1.53404,0.041029,11.3263,0.923081,0.13879,220.668,7.36562,0.154418,0.137844,10.3182,0.00616454,0.0253114,0.0287932,0.087225,0.144691,0.00870804,20.3763,0.113159,0.0323147,0.000375408,0.210658,0.784053,
179,39.5223,93.7977,215.198,0.421357,35.6987,0.241988,3.35314,0.143796,0.612169,0.419159,4.73717,25.2775,0.203208,20.815,0.678754,0.373133,1.24399,104.351,0.885246,13.6044,0.502476,2.05865,0.0501653,19.9272,4.38219,0.245817,91.2135,2.98811,0.648865,0.151947,10.3182,0.00602457,0.0226811,0.0287932,0.0895963,0.319063,0.00666709,3.62761,0.111919,0.0304471,0.000375408,0.210658,0.421501,
180,39.5141,153.048,426.617,0.258181,36.83,0.37607,2.63832,0.191866,0.494208,0.405185,2.02251,25.4688,0.316042,79.8553,2.65071,0.388266,1.41084,93.5643,1.27202,9.46125,0.559027,1.75353,0.0469974,8.27521,3.26286,0.742177,319.99,10.8175,0.598991,0.566307,10.3182,0.00616454,0.0226811,0.0287932,0.0887167,0.188382,0.00666709,7.68897,0.108835,0.0304471,0.000375408,0.212699,1.27162,
181,39.4745,98.2299,410.405,0.401858,18.0253,0.123216,2.58106,2.75967,0.131451,0.412848,1.81919,26.0214,0.170591,43.1223,1.42344,0.281306,1.35818,52.308,0.770099,17.7035,18.9815,0.395818,0.00793986,12.5702,2.27379,0.189504,302.26,10.0126,0.439661,0.570163,10.5744,0.00616454,0.0226811,0.0293294,0.0891843,0.411622,0.00861165,10.5758,0.111268,0.0260017,0.000375408,0.212712,1.27066,
182,39.4745,89.745,266.224,0.439852,32.2468,0.134026,2.13274,0.147638,0.627344,0.417822,2.93039,25.6951,0.260862,22.7843,0.72973,0.291816,1.34644,104.862,0.563784,12.2095,2.64752,2.64587,0.0494691,15.1763,3.24945,0.675863,140.181,4.48625,0.384066,0.393272,10.384,0.00587257,0.0226811,0.0303829,0.0891843,0.335391,0.00453632,7.895,0.113159,0.0260017,0.000387472,0.210241,1.27066,
183,39.4745,117.726,295.326,0.335307,30.3472,0.343553,3.95426,0.23556,0.624609,0.424221,5.01387,27.7519,0.253675,45.5898,1.48608,0.34059,1.36109,79.4267,1.13421,14.916,0.672642,2.38407,0.0651591,17.9842,17.5619,0.667904,198.364,6.61943,0.44417,0.327964,10.5257,0.00585144,0.0226811,0.0242624,0.0891068,0.36895,0.00819603,7.95799,0.0469929,0.0260017,0.000387472,0.213257,1.26899,
184,39.4745,199.673,575.364,0.197696,33.3165,0.386503,4.65808,0.171053,0.870217,0.407692,6.63197,34.3073,0.212292,113.292,3.72564,0.331475,1.36258,89.1834,1.33065,16.7105,0.471453,2.69613,0.108559,23.9108,53.7736,0.30948,433.464,14.2886,0.416929,0.430548,10.5744,0.00601629,0.0226811,0.0311135,0.0891843,0.0858432,0.00861165,14.1899,0.10123,0.0260017,0.000387472,0.210444,1.07646,
185,39.4434,106.882,370.716,0.369037,19.3104,0.21916,2.15384,0.442497,0.13849,0.405493,1.6635,25.6671,0.205559,53.2415,1.75162,0.296471,1.3863,48.1202,0.983718,11.8118,2.5452,0.477882,0.0531057,8.93713,9.23552,0.325287,299.609,9.90361,0.393238,0.563029,10.5744,0.00625011,0.0226811,0.0291183,0.089139,0.035119,0.00861165,7.60676,0.10123,0.0260017,0.000387472,0.213257,1.27105,
186,39.4434,147.955,402.052,0.26659,17.5319,0.354719,6.79601,0.192942,0.695964,0.405806,11.6135,31.8219,0.318057,73.8455,2.4485,0.357326,1.57314,25.9434,1.11001,23.9996,0.477468,2.56263,0.068411,38.3416,31.1524,0.721747,293.638,9.75946,0.47557,1.15887,5.83715,0.00629438,0.0226811,0.0292882,0.0891843,0.0145676,0.00861165,8.70076,0.10123,0.0260017,0.000387472,0.212849,1.27005,
187,39.4434,74.8973,247.397,0.526633,16.1954,0.0512701,0.654613,0.102663,0.6151,0.411139,0.793224,25.9831,0.227317,27.3368,0.912849,0.261487,1.35229,37.5877,0.29239,7.4274,0.456379,3.63955,0.0103319,5.32375,6.31557,0.560208,192.713,6.54713,0.319828,0.566204,10.4221,0.00615102,0.0226811,0.0292882,0.0885493,0.343747,0.00861165,8.31989,0.115304,0.0260017,0.000387472,0.212046,1.26961,
188,39.4331,63.5781,168.391,0.620231,16.5157,0.107426,0.746142,0.0869871,0.498378,0.407762,0.842485,25.7966,0.212857,16.2698,0.542262,0.251252,1.30044,39.376,0.64153,4.9449,0.336363,2.83581,0.0317153,5.72763,3.52871,0.493188,113.578,3.79992,0.227988,0.169772,10.5744,0.00599789,0.0226811,0.0283511,0.0886726,0.187082,0.00861165,1.14049,0.110706,0.0198864,0.000387472,0.213257,1.27005,
189,39.4331,211.663,505.645,0.186302,45.5725,0.412513,3.98748,0.295997,0.463749,0.418604,8.40797,25.8898,0.45637,119.888,3.96557,0.368787,1.53545,107.043,1.16877,12.643,0.703345,1.31606,0.0992099,24.6535,8.17386,1.11496,397.321,12.9286,0.438229,1.1755,10.7736,0.00608602,0.0226811,0.0283511,0.0375939,0.0634902,0.00861165,8.84024,0.104601,0.0198864,0.000387472,0.215764,1.26971,
190,39.4216,177.239,550.442,0.222421,43.0413,0.277589,3.44001,0.222772,0.722436,0.43355,8.32245,25.1581,0.250797,90.6687,2.97589,0.337873,1.3877,132.984,1.04663,17.3329,0.741469,3.00924,0.116549,41.2433,4.66697,0.555471,360.243,11.7864,0.51957,0.562038,10.7756,0.00593262,0.0226811,0.0283511,0.0886726,0.411186,0.00861165,1.75562,0.104601,0.0137812,0.000362586,0.213395,1.26936,
191,39.4216,117.883,352.454,0.334413,21.0318,0.212907,3.00634,0.168568,0.384321,0.39847,4.50081,25.8166,0.272978,58.4086,1.93737,0.32795,1.41635,41.7729,0.813181,13.6796,0.523267,1.71634,0.0682396,20.717,2.67907,0.575167,283.891,9.46249,0.443003,0.64139,10.7756,0.00592387,0.0227893,0.0283511,0.0886726,0.095132,0.00783452,13.1663,0.104601,0.0135504,0.000118362,0.21302,1.27005,
192,39.4216,198.866,487.803,0.198232,52.2325,0.36546,5.72449,0.253057,0.506208,0.440808,7.40191,24.9833,0.252007,101.519,3.37619,0.407928,1.40312,134.068,1.05835,19.2048,0.671713,1.65856,0.18468,21.604,3.68446,0.417564,354.491,12.0588,0.532576,0.655279,10.7756,0.00592387,0.0227893,0.0283511,0.0891843,0.0949043,0.00919842,12.2967,0.00455282,0.0121341,0.000118362,0.213395,0.274915,
193,39.4143,143.242,411.056,0.275158,33.9388,0.254577,5.51315,0.124826,0.428398,0.416808,2.11795,25.639,0.232115,70.4074,2.33253,0.339932,1.4968,100.894,0.988663,23.6432,0.393942,1.77173,0.0850908,9.35746,2.71459,0.409861,283.322,9.33878,0.518899,0.900492,10.7211,0.00592387,0.0230887,0.0274547,0.0891843,0.0122255,0.00925534,10.9748,0.104601,0.00828282,9.21265e-05,0.213395,1.26825,
194,39.4143,157.447,495.056,0.250333,27.7992,0.143103,3.73886,0.32978,0.400175,0.419309,3.45222,25.0523,0.175061,91.3262,2.95654,0.280324,1.37437,75.7086,0.52752,15.8296,1.43208,1.39911,0.0456815,13.8524,4.9899,0.227178,380.829,12.4845,0.304861,0.679667,10.7756,0.00592387,0.0230887,0.0274547,0.0891843,0.353397,0.00925534,1.75644,0.104601,0.0104745,9.21265e-05,0.215418,0.217087,
195,39.4143,73.5447,238.543,0.535924,16.3632,0.0904288,2.51611,0.0849238,0.200722,0.411634,1.43877,25.9892,0.231259,23.7798,0.792624,0.22347,1.4225,39.5668,0.534125,17.4583,0.42292,0.764118,0.00819449,9.98836,2.1266,0.684837,174.777,5.96215,0.0654421,1.02808,10.7756,0.00588189,0.0227921,0.0274547,0.0891843,0.390351,0.00910335,12.5828,0.101485,0.0104745,9.21265e-05,0.21527,1.26947,
196,39.4143,147.446,530.546,0.267313,35.4197,0.170455,3.05054,0.114589,0.624461,0.429283,2.77795,26.2375,0.240725,74.2083,2.46678,0.303963,1.402,121.338,0.827219,15.0832,0.462058,3.51095,0.0871796,14.0667,3.03216,0.526214,361.565,11.9688,0.435671,0.618184,10.7929,0.00588189,0.0230369,0.0274547,0.090517,0.411222,0.00954165,11.0467,0.10528,0.0106329,9.21265e-05,0.215418,1.26947,
197,39.4072,73.7447,239.985,0.534373,23.0277,0.0373493,1.6287,0.0524283,0.338743,0.422804,1.0194,25.99,0.15463,18.9105,0.613332,0.220682,1.32835,86.1725,0.19826,11.2917,0.139788,1.72021,0.0758535,7.10008,1.87415,0.20563,139.145,4.38887,0.0845313,0.374564,10.7107,0.00588189,0.0230221,0.0274547,0.0907801,0.410963,0.00914437,12.9991,0.10528,0.00738708,9.21265e-05,0.215164,1.26947,
198,39.4033,78.4102,272.705,0.502528,16.2721,0.0932245,2.11606,0.087635,0.134602,0.412601,2.81924,26.044,0.199124,27.7052,0.921649,0.238001,1.36673,37.6958,0.546943,14.629,0.385197,0.325119,0.0100861,19.6788,1.52552,0.473373,194.193,6.45919,0.137694,0.636926,10.7306,0.00588189,0.0231589,0.0283511,0.0907885,0.411225,0.00954727,15.3827,0.10528,0.00738708,9.21265e-05,0.215164,1.27077,
199,39.4033,82.9684,304.626,0.474919,18.4034,0.10365,0.44465,0.0860076,0.153389,0.416989,1.22318,26.0486,0.128402,33.3361,1.11018,0.231871,1.28202,52.3832,0.615054,3.2117,0.374948,0.424012,0.0348568,8.56429,1.50397,0.0762871,233.091,7.74666,0.0975285,0.0946752,10.786,0.00584291,0.0231589,0.0276785,0.0912528,0.411261,0.00880899,15.5309,0.103094,0.00738708,9.21265e-05,0.215164,1.2699,
200,39.4033,98.9958,307.115,0.39803,18.8494,0.142067,1.71124,0.10704,0.145169,0.407011,3.33249,25.7566,0.219028,45.1213,1.50565,0.245599,1.45321,38.9327,0.634088,10.6703,0.37209,0.259919,0.0321315,16.2932,2.6323,0.538161,236.79,7.9022,0.147856,0.913664,10.7929,0.00588189,0.0231118,0.0281073,0.0912528,0.196901,0.00880899,10.335,0.10528,0.00738708,9.21265e-05,0.215164,1.27224,
