Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
97,16.1665,49.5481,166.681,0.326279,23.9752,3.24834,0.191806,0.286706,0.431462,4.30367,1.38003,0.0874492,11.7575,0.380043,3.5059,69.9253,13.0371,0.602433,0.337231,1.64062,23.4936,0.178026,0.443989,57.187,0.301588,1.49923,10.1656,0.548025,0.0469709,0.208525,0.0745449,0.012703,0.216232,0.011471,0.00286048,0.288607,3.14592,
98,16.1665,66.7526,176.708,0.242185,31.5634,7.09824,0.450105,0.419508,0.677713,7.27664,1.43615,0.0921414,13.563,0.447919,3.72771,83.6262,24.1868,1.35597,0.641458,2.5148,25.4793,0.350851,0.3135,52.0048,0.483655,2.60859,10.1656,0.552477,0.0469709,0.208525,0.0833141,0.012703,0.0585606,0.0115668,0.00286048,0.285981,1.92867,
99,16.1665,47.8935,156.082,0.33755,31.9781,4.1008,0.161642,0.364383,0.523134,2.88137,1.42624,0.062617,2.52242,0.375921,3.49691,109.407,19.2834,0.568885,0.681696,2.02545,16.7409,0.209312,0.332364,17.9761,0.326687,2.29336,10.1656,0.553474,0.0469709,0.208525,0.076449,0.012703,1.39169,0.0113484,0.00286048,0.288607,0.911871,
100,16.1603,48.7699,129.767,0.331358,25.2069,4.96034,0.365691,0.374928,0.718117,6.00452,1.39663,0.327917,5.34146,0.409558,3.66381,58.5938,18.4379,1.04552,0.535316,2.59613,23.4838,0.163059,1.11385,28.6933,0.379902,2.0451,10.1656,0.551752,0.0469709,0.20562,0.0833141,0.012703,0.954324,0.0113484,0.00286048,0.288607,2.61204,
101,16.138,106.949,544.658,0.150894,73.0552,10.5435,0.164685,0.351769,2.66376,7.18729,1.40877,0.100812,6.8499,0.401521,4.22209,397.212,60.2158,0.537331,0.635055,16.2152,38.9581,0.160608,0.469989,33.4719,0.459369,5.10378,10.159,0.551529,0.0469709,0.20562,0.0767152,0.0122962,1.02472,0.0113484,0.00286048,0.280765,3.13561,
102,16.1076,54.7083,160.324,0.294428,30.2095,4.89378,0.34198,0.32745,0.361228,4.49015,1.41269,0.157181,8.68435,0.411158,3.41885,92.6485,17.5243,1.12994,0.436048,2.46723,18.2222,0.143764,0.729633,40.4996,0.424605,1.51239,10.159,0.553474,0.0529967,0.20562,0.0767152,0.0117601,1.29067,0.0113484,0.00968759,0.280765,2.75855,
103,16.1076,78.3397,201.761,0.205613,44.3981,7.40003,0.416692,0.38386,1.40922,7.17895,1.38543,0.191708,10.9874,0.498499,4.08974,128.331,20.4157,1.10142,0.555276,4.26063,22.3304,0.238522,0.769458,37.0759,0.63212,3.87921,10.159,0.554889,0.0482321,0.191177,0.0868176,0.0113026,0.40347,0.0116267,0.00433895,0.27943,1.793,
104,16.1076,87.4019,246.852,0.184294,49.7353,5.25757,0.348679,0.426675,1.02189,10.3465,1.43872,0.105597,14.7075,0.439534,3.574,137.637,16.7294,1.08945,0.743414,3.20347,38.4822,0.223709,0.411414,55.2036,0.477647,2.57303,10.159,0.554889,0.0509874,0.20562,0.0884429,0.0104952,1.39143,0.0115959,0.00659026,0.280765,2.45271,
105,16.1066,42.8611,113.58,0.375785,17.2392,5.62375,0.269268,0.308254,0.338717,4.56924,1.39437,0.0657048,9.14193,0.395109,3.51559,40.9161,20.5304,0.852272,0.388321,0.946756,20.9677,0.209635,0.271979,46.8081,0.443986,2.02578,10.1462,0.556929,0.0509874,0.20562,0.0884429,0.0104952,0.278996,0.0115931,0.00659026,0.280765,1.29892,
106,16.0961,40.6398,120.254,0.396067,18.4255,3.80462,0.168619,0.300292,0.369592,2.9845,1.40633,0.0268146,9.26207,0.359219,3.53222,45.3507,15.911,0.53296,0.383445,1.22287,15.0865,0.235854,0.0929749,47.1649,0.253168,1.94821,10.1462,0.56003,0.0533221,0.202702,0.0813955,0.0104952,0.557665,0.0116271,0.0054262,0.283981,3.146,
107,16.0861,41.6239,139.438,0.386464,25.7119,2.65358,0.128807,0.274954,0.341385,3.82666,1.41177,0.0572681,3.68934,0.353981,3.17422,89.7519,10.0431,0.369523,0.281723,1.38804,18.6054,0.217659,0.248561,22.6388,0.248072,0.481681,10.1462,0.56003,0.0533221,0.193612,0.0788622,0.0104952,0.826093,0.0115509,0.00757323,0.28062,0.869859,
108,16.0861,84.8768,215.766,0.189523,46.3172,7.92334,0.435741,0.416181,0.973924,6.99449,1.42777,0.216415,15.9833,0.44371,3.74476,125.217,24.0337,1.23734,0.676846,2.98783,25.3146,0.246296,0.665074,60.567,0.477793,2.26296,10.1462,0.566897,0.0511227,0.193612,0.0851573,0.0115107,0.7014,0.0115509,0.00885428,0.28062,2.86368,
109,16.0861,68.2938,165.485,0.235543,27.5347,6.17256,0.433624,0.416732,0.79465,6.83674,1.37061,0.171987,20.1417,0.431419,3.98904,59.1025,20.4679,1.18243,0.628786,2.15483,21.4809,0.316117,0.614164,67.2467,0.422256,2.93999,10.1482,0.572027,0.0520912,0.187419,0.0851573,0.0114482,0.502357,0.0115509,0.00132538,0.275634,3.12698,
110,16.0835,45.238,145.25,0.35553,23.3449,2.07835,0.204336,0.369415,0.403371,3.1507,1.4036,0.041142,10.5105,0.396081,3.33554,67.0299,7.54053,0.733199,0.797767,1.47184,15.8421,0.0939746,0.192364,52.7422,0.473538,0.847595,10.1388,0.572909,0.0520912,0.193612,0.0851573,0.0114482,1.25684,0.0115509,0.00132538,0.28062,3.12948,
111,16.0835,79.2749,205.212,0.202882,35.183,7.49542,0.45912,0.462953,0.516902,7.66495,1.37059,0.131506,21.7449,0.455475,3.79014,88.4069,21.7623,1.27863,0.73517,1.4816,28.9516,0.283124,0.497515,71.1339,0.496528,2.12817,10.1388,0.572909,0.049516,0.193612,0.0851573,0.00973095,0.582607,0.0115509,0.00132538,0.269787,3.12948,
112,16.0835,105.235,247.313,0.152834,55.795,9.14137,0.592849,0.511614,0.90156,9.69756,1.46039,0.152595,22.5528,0.539049,3.88995,139.478,24.5916,1.48148,0.909614,2.70231,28.1755,0.444414,0.445841,65.8852,0.67625,2.75842,10.1421,0.578455,0.0530143,0.193612,0.0732566,0.0114482,0.264616,0.0115509,0.00132538,0.274561,1.66458,
113,16.08,54.9874,146.61,0.292431,31.4836,3.19496,0.449766,0.35272,0.798719,5.4559,1.39855,0.104554,7.83308,0.481962,3.43367,88.653,12.2792,1.34021,0.52736,2.83265,19.6726,0.168067,0.332373,34.2502,0.687652,1.42864,10.1421,0.578455,0.0530143,0.193612,0.0749398,0.0102377,0.856864,0.0115509,0.00132538,0.28062,2.95013,
114,16.08,37.6086,150.478,0.427562,20.8855,1.80476,0.103809,0.226019,0.428925,3.54448,1.40699,0.0332914,5.37271,0.346559,3.45558,75.5735,8.5207,0.459573,0.136402,2.14313,24.7582,0.0863819,0.165431,37.484,0.281809,2.00945,10.1421,0.57753,0.052923,0.193612,0.0801229,0.0102377,1.39295,0.0116206,0.00132538,0.28062,3.12948,
115,16.0683,51.7068,175.429,0.310757,33.2572,1.88505,0.175301,0.323161,0.514881,3.96142,1.47054,0.114968,6.30944,0.345379,3.34948,120.411,6.65906,0.648462,0.518398,2.00567,20.2324,0.546093,0.661309,34.9013,0.165519,0.965576,10.1421,0.580301,0.0538277,0.205448,0.0801229,0.0115107,1.30356,0.0116078,0.00132538,0.289147,3.14548,
116,16.0683,36.5773,105.658,0.439296,22.3267,2.19935,0.187939,0.27049,0.270278,3.62222,1.3838,0.0797834,2.19474,0.382676,3.65937,75.6345,9.51358,0.635003,0.284605,0.880998,17.6714,0.23234,0.408808,12.345,0.356735,2.88374,10.1403,0.574706,0.052764,0.201691,0.0801229,0.0115107,0.0678923,0.0116206,0.00132538,0.289147,3.14954,
117,16.048,47.6458,135.609,0.336818,19.5953,3.26894,0.285063,0.323836,0.303895,5.91184,1.34824,0.127318,12.9189,0.377513,3.18492,50.3464,11.1748,0.939544,0.442958,0.854237,25.8686,0.205883,0.511902,54.6486,0.311213,0.370551,10.1369,0.57777,0.052764,0.201691,0.0801229,0.0115107,0.139499,0.0116206,0.00132538,0.289147,2.99936,
118,16.048,42.6011,130.505,0.376703,20.5311,2.99105,0.20929,0.313598,0.532412,2.06861,1.35381,0.10011,10.6277,0.338816,3.53451,52.4155,11.6972,0.762502,0.482453,2.11048,10.3113,0.206636,0.533896,51.9738,0.232511,2.85459,10.1369,0.575151,0.0524429,0.201691,0.0801229,0.0113489,0.140701,0.0115577,0.00132538,0.0884692,1.11499,
119,16.048,42.5057,129.904,0.377549,16.8429,4.6707,0.266445,0.414313,0.429491,2.37486,1.40066,0.0811282,12.2096,0.364388,3.4512,40.0479,21.0593,1.03445,1.02818,1.61431,11.7146,0.0838019,0.415641,59.5226,0.260799,2.30366,10.1369,0.578071,0.052764,0.201691,0.0835468,0.0110975,1.21587,0.0116358,0.00202538,0.292604,0.875655,
120,16.048,55.7008,160.01,0.28811,26.6712,3.85662,0.339319,0.35234,0.455173,6.38152,1.36645,0.0755281,12.4219,0.401075,3.3797,70.3767,15.0377,1.12434,0.560175,1.60942,25.3486,0.18587,0.357842,49.2867,0.388114,1.19015,10.1341,0.575983,0.052764,0.201691,0.092847,0.0106747,0.122062,0.0116544,0.00202538,0.283915,2.36748,
121,16.048,53.4621,209.629,0.300175,26.0366,5.72254,0.219704,0.455682,0.323659,4.53765,1.38635,0.0729263,10.9239,0.348317,3.4347,103.023,31.4077,0.810716,1.63525,1.13764,22.7303,0.0854073,0.328143,56.5769,0.264747,1.29777,10.1341,0.567827,0.0509209,0.206174,0.0946666,0.0106747,0.821534,0.0116568,0.00290327,0.28608,3.14343,
122,16.0475,62.0741,182.681,0.258521,33.001,3.97608,0.180366,0.368856,0.357043,4.04313,1.37547,0.0298403,15.1117,0.376701,3.2539,90.7315,13.7013,0.52438,0.626895,1.20535,16.6897,0.159509,0.0851874,59.3463,0.29226,0.478223,10.1341,0.575219,0.0543659,0.206174,0.0891446,0.0102116,0.319572,0.0116568,0.00290327,0.278218,2.80307,
123,16.0475,35.52,96.5231,0.451787,14.7538,2.69671,0.173637,0.25081,0.492408,3.3352,1.38385,0.0679289,8.65363,0.366414,3.34555,30.0161,11.0474,0.578563,0.268852,2.23279,18.3963,0.0622332,0.283837,43.6184,0.313076,0.847761,10.1312,0.57501,0.0536007,0.206174,0.0891446,0.0106747,0.974872,0.0116568,0.00290327,0.28608,3.1495,
124,16.0475,62.5403,184.086,0.256594,38.9041,4.43753,0.235616,0.27671,0.579065,5.36528,1.50834,0.216407,6.91635,0.397247,3.70365,127.556,18.1206,0.711471,0.290308,1.89693,24.1002,0.579804,0.884969,44.8688,0.41318,3.16128,10.1326,0.576098,0.0536007,0.202848,0.0946666,0.0119671,1.3931,0.0116851,0.00290327,0.290948,3.14454,
125,16.0365,31.4085,107.42,0.510579,23.0094,1.10068,0.144834,0.225989,0.280726,1.25555,1.43271,0.0241646,0.338421,0.344301,3.25173,91.4072,3.91185,0.619145,0.113693,1.08422,9.42778,0.27432,0.20837,6.23438,0.263536,0.651555,10.1326,0.576098,0.054892,0.197301,0.0946666,0.0121698,1.39394,0.0116851,0.00290327,0.293773,3.14454,
126,16.0365,32.3022,93.6598,0.496453,20.4388,2.23304,0.154795,0.249575,0.277518,2.67658,1.41004,0.0327131,0.91057,0.373341,3.54516,70.8334,9.26845,0.481751,0.227968,0.926978,13.7131,0.0827822,0.117424,4.56139,0.359244,2.36384,10.1326,0.576098,0.0537798,0.197301,0.110743,0.0114727,1.39397,0.0117265,0.00342405,0.293773,3.14454,
127,16.0365,63.9016,190.447,0.250956,41.2178,3.64434,0.252062,0.278043,0.741982,3.24483,1.44991,0.0874084,8.89674,0.388366,3.7001,125.108,13.9393,0.828388,0.352625,2.85166,13.1965,0.293989,0.374668,39.3933,0.365768,2.1138,10.1326,0.573932,0.0537798,0.19717,0.109914,0.0114727,1.36206,0.0117173,0.00193658,0.293773,3.14454,
128,16.0365,97.7036,243.132,0.164134,47.7352,6.70039,0.485614,0.638815,0.895585,8.84892,1.42106,0.258804,26.1777,0.501703,4.03993,114.764,18.3268,1.24302,1.82651,2.32551,27.3619,0.376374,1.07491,82.7657,0.577227,2.59298,10.1326,0.577853,0.0537798,0.19717,0.107353,0.0114727,0.146297,0.0117099,0.00193658,0.293773,3.14454,
129,16.0365,44.8311,141.782,0.357709,25.9692,3.47024,0.201168,0.31707,0.603444,4.47505,1.40429,0.103777,4.13972,0.358701,3.78845,82.873,15.0141,0.765271,0.577674,2.42572,23.7983,0.0502132,0.48767,29.3678,0.298522,3.65875,10.1326,0.577853,0.0537798,0.19717,0.109591,0.0112737,1.3941,0.0117174,0.00193658,0.287506,3.14288,
130,16.0365,55.2908,158.392,0.290039,28.9779,4.02493,0.276388,0.274966,0.480027,7.24503,1.41298,0.147842,8.48229,0.436936,3.53151,92.6425,14.4113,0.958585,0.312513,1.64594,31.213,0.390686,0.550471,40.1582,0.553637,2.5279,10.132,0.578552,0.0537798,0.19717,0.104163,0.0114727,0.321638,0.0117174,0.00193658,0.293773,1.08109,
131,16.0296,49.2854,136.502,0.325239,28.7339,2.44482,0.320254,0.354526,0.243318,3.35286,1.43144,0.137688,8.52371,0.393339,3.34962,86.0231,7.93823,1.07567,0.648238,0.54677,14.0362,0.205212,0.636658,37.7067,0.389003,0.95664,10.1319,0.573897,0.0545514,0.19717,0.109108,0.0114727,1.32864,0.0117174,0.00193658,0.294166,2.43652,
132,16.0239,42.0471,144.145,0.381094,20.0968,3.12521,0.224701,0.320365,0.269274,4.74656,1.38831,0.100513,7.97076,0.385583,3.41903,53.0173,12.7243,0.880453,0.593533,0.836555,26.1643,0.135442,0.473331,49.4563,0.388776,1.2071,10.1232,0.574581,0.0548721,0.195854,0.106916,0.0114727,0.600233,0.0117174,0.00193658,0.294166,3.13295,
133,16.019,46.9487,151.803,0.341202,32.6381,4.23287,0.136739,0.362372,0.466287,1.82609,1.44911,0.0622956,1.90447,0.335404,3.53495,110.749,18.0053,0.471329,0.783388,1.65529,8.9826,0.343868,0.290001,10.884,0.193717,1.89751,10.1232,0.574483,0.0538162,0.19717,0.106916,0.0114462,1.39402,0.0117174,0.00193658,0.293002,3.12032,
134,16.0171,31.4552,87.2129,0.509203,12.8511,2.6632,0.176945,0.279224,0.588601,3.12122,1.35692,0.208377,6.5815,0.347256,3.28087,18.2849,10.2783,0.607299,0.382227,2.4259,16.4232,0.21206,0.997304,39.9948,0.192743,0.651654,10.1232,0.578806,0.0539972,0.197158,0.0979582,0.0114727,0.308747,0.0117119,0.00305255,0.293002,3.13323,
135,16.0171,58.9417,170.153,0.271745,31.45,2.49087,0.292646,0.340758,0.35088,3.91573,1.39017,0.0406149,14.7295,0.426309,3.51417,86.5088,8.03696,0.965733,0.566867,1.35286,16.2385,0.204445,0.217459,58.9206,0.497557,1.37933,10.1232,0.580353,0.0539972,0.193952,0.0979582,0.0124942,0.223236,0.0117119,0.00136256,0.300342,3.1356,
136,16.0171,53.9836,132.772,0.296703,23.3557,4.26742,0.358828,0.325553,0.261135,7.37362,1.34635,0.160609,12.6674,0.417376,3.44964,49.0369,14.4248,1.06353,0.456489,0.61763,25.4487,0.218895,0.688509,47.2194,0.378689,1.28485,10.1232,0.580353,0.0536,0.197158,0.0979582,0.0123512,0.0962033,0.0117068,0.00136256,0.300576,3.13059,
137,16.0171,50.4069,139.891,0.317756,27.5718,3.62356,0.31562,0.252946,0.767836,4.3734,1.4193,0.225797,7.64359,0.397882,3.8151,80.6298,14.8739,1.07957,0.294892,3.07621,18.048,0.343579,1.03073,42.3997,0.395114,3.2298,10.1232,0.58028,0.0535887,0.0858048,0.0960627,0.012691,0.313152,0.0117129,0.00136256,0.300895,2.76236,
138,16.0171,71.1889,191.873,0.224994,34.0315,3.29969,0.474299,0.401362,0.539179,7.69853,1.38406,0.132569,19.4464,0.436088,3.3452,83.8874,10.3125,1.41439,0.695605,1.97312,26.8677,0.128539,0.527087,68.2179,0.441442,1.04179,10.1232,0.582821,0.0533802,0.200603,0.0979582,0.0127244,0.611294,0.0117129,0.00136256,0.300895,1.58285,
139,16.0169,77.8736,212.21,0.205678,42.3303,3.83364,0.336996,0.552023,0.458062,7.05325,1.41889,0.221358,17.8503,0.432967,3.38576,111.665,11.1841,0.985267,1.80993,1.57621,30.4671,0.235963,0.824764,70.7092,0.426133,1.0036,10.1232,0.582821,0.052476,0.199595,0.0929856,0.0127244,0.391012,0.0117092,0.00136256,0.303991,2.57847,
140,16.0169,78.7718,228.903,0.203333,36.9275,6.72474,0.330764,4.99338,0.51634,5.11319,1.49547,0.22103,18.3565,0.459722,3.63316,103.498,24.8874,0.992605,32.1995,1.63852,20.3997,0.347835,0.920462,69.7421,0.556662,2.20625,10.1232,0.582821,0.052476,0.200603,0.0979582,0.0127244,1.39457,0.011723,0.00136256,0.303967,3.12465,
141,16.0159,78.324,222.088,0.204482,42.5579,8.39348,0.344327,0.514577,1.00489,9.29284,1.39937,0.497687,9.4465,0.409415,4.46302,129.361,27.4648,1.04667,4.64466,3.92507,32.9692,0.49648,2.43502,39.5004,0.395965,6.20711,10.1209,0.586148,0.0502419,0.200451,0.0979582,0.0127244,0.12761,0.011723,0.00136256,0.304001,3.12465,
142,16.0155,54.374,141.958,0.294543,26.7189,5.73895,0.315858,0.375813,0.683566,7.19083,1.33189,0.233436,7.27656,0.419863,4.08836,68.7328,18.2213,0.916658,0.628004,2.31283,25.5549,0.251851,1.22718,27.4167,0.396852,3.64025,10.116,0.586148,0.0502419,0.199777,0.0979582,0.0132737,0.235687,0.011723,0.00136256,0.305252,3.15228,
143,16.0135,58.2972,177.26,0.274687,33.4761,3.37364,0.21674,0.242539,0.655502,5.54775,1.42723,0.107531,8.91295,0.424066,3.91318,102.92,15.4097,0.65004,0.221003,2.57262,29.9564,0.211325,0.46188,42.7886,0.461407,3.67474,10.116,0.586148,0.0524394,0.199861,0.0974099,0.0132737,1.22007,0.011723,0.00136256,0.305314,3.15545,
144,16.0106,51.8385,156.349,0.308856,31.918,3.82993,0.20152,0.313088,0.677517,3.00375,1.44906,0.0797858,6.48994,0.381793,3.49419,102.28,13.6567,0.582206,0.501538,2.86208,14.6474,0.351805,0.298445,28.3008,0.271196,1.43359,10.116,0.586148,0.052476,0.200067,0.0952057,0.0132737,0.697161,0.0117158,0.00136256,0.305131,3.15749,
145,16.0106,46.9874,151.705,0.340743,34.0684,2.2016,0.174838,0.223831,0.322064,1.87824,1.4598,0.115856,2.93484,0.408613,3.19937,117.283,8.16059,0.59889,0.133846,1.0383,11.9272,0.311188,0.68896,16.7182,0.451213,0.258436,10.116,0.584782,0.052476,0.199253,0.0967676,0.0134212,1.39478,0.011713,0.00136256,0.305481,2.70034,
146,16.0106,60.6784,179.043,0.26386,30.9432,3.32665,0.237839,0.223766,0.868532,5.88782,1.40845,0.209419,13.9592,0.350221,3.2634,97.7884,13.6079,0.745915,0.0978742,3.25184,25.5278,0.296485,1.02469,58.435,0.155976,0.530272,10.116,0.586392,0.0509475,0.199253,0.0970616,0.0134212,0.186077,0.0117158,0.00136256,0.305481,2.44323,
147,16.0091,47.1115,152.354,0.339812,29.2148,2.47399,0.224674,0.284993,0.73773,2.46012,1.37096,0.135058,6.40834,0.420975,3.37991,98.8415,9.84352,0.834282,0.406918,3.41166,13.9348,0.165525,0.685211,38.4504,0.521186,1.01275,10.116,0.586905,0.0509475,0.198945,0.0975395,0.0134212,0.248937,0.0117158,0.0015763,0.310662,3.15752,
148,16.0091,150.853,323.32,0.106124,86.1955,12.1395,0.61375,0.629464,1.48742,10.8594,1.46589,0.354191,32.1588,0.584594,4.3645,185.283,35.3345,1.39491,1.36005,4.05319,30.1194,0.585494,1.11911,86.8436,0.658501,4.85134,10.1103,0.586905,0.0509475,0.198945,0.0947063,0.0134212,0.16593,0.0117209,0.0015763,0.310662,1.46361,
