Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.p_rod_length_l,
0,7.72024,0.0502782,7.4069,0.00457658,874.571,0.790743,0.0764323,46.8709,0,
1,7.72045,0.0442957,7.41463,0.00613259,874.569,0.792983,0.0788583,46.8723,0,
2,7.72048,0.0755516,7.38402,0.00649843,874.568,0.794735,0.0739756,46.8781,0,
3,7.72058,0.0505869,7.40881,0.00544611,874.569,0.791653,0.0773363,46.8812,0,
4,7.72067,0.0512072,7.40915,0.00757805,874.568,0.799116,0.0760871,46.8735,0,
5,7.7207,0.0662471,7.39771,0.00628544,874.569,0.808928,0.0737993,46.8625,0,
6,7.72042,0.0489862,7.41135,0.00599831,874.567,0.798265,0.0768946,46.8762,0,
7,7.72044,0.0455538,7.41743,0.00531561,874.57,0.790592,0.0778335,46.8782,0,
8,7.72038,0.0400904,7.41772,0.00453718,874.571,0.788873,0.0799293,46.8825,0,
9,7.7206,0.0489132,7.41137,0.00548787,874.569,0.788842,0.0767403,46.8849,0,
10,7.71954,0.0428033,7.40468,0.00693397,874.57,0.79201,0.0791636,46.8903,0,
11,7.72056,0.0523969,7.40742,0.00487591,874.569,0.800683,0.0761355,46.8746,0,
12,7.7207,0.0451097,7.4153,0.00559102,874.568,0.791372,0.0779654,46.8849,0,
13,7.72046,0.0363689,7.42561,0.00533283,874.569,0.800072,0.081441,46.8711,0,
14,7.72059,0.0556336,7.40417,0.00551567,874.569,0.789319,0.0751297,46.8904,0,
15,7.7204,0.0513694,7.40795,0.00665663,874.57,0.784678,0.077834,46.8902,0,
16,7.72128,0.0466023,7.41868,0.00680975,874.567,0.788604,0.0774496,46.8829,0,
17,7.72042,0.050581,7.40859,0.0048032,874.569,0.806618,0.0771955,46.8724,0,
18,7.72057,0.0519727,7.40801,0.00557724,874.569,0.803498,0.0769968,46.8745,0,
19,7.7202,0.0441042,7.41423,0.00516805,874.57,0.786463,0.0783922,46.8922,0,
20,7.72124,0.0543174,7.41543,0.00653692,874.568,0.786134,0.0754332,46.8836,0,
21,7.72037,0.0351742,7.42463,0.00672287,874.57,0.787276,0.0819929,46.8849,0,
22,7.72077,0.0442371,7.41255,0.00629097,874.569,0.805203,0.0788874,46.8743,0,
23,7.71991,0.036029,7.41599,0.007353,874.57,0.7972,0.083083,46.8819,0,
24,7.71864,0.0278001,7.41601,0.00450115,874.571,0.78157,0.0859932,46.9063,0,
25,7.72045,0.0531303,7.40724,0.00641289,874.569,0.781787,0.0757381,46.8978,0,
26,7.7203,0.0453144,7.41694,0.00508331,874.567,0.781565,0.0779912,46.8982,0,
27,7.72074,0.0480619,7.41985,0.00504167,874.569,0.799965,0.0772686,46.8721,0,
28,7.72062,0.0518332,7.40782,0.00661579,874.57,0.784319,0.0760318,46.8955,0,
29,7.72041,0.0368903,7.42441,0.0062945,874.568,0.790935,0.0816071,46.8848,0,
30,7.72061,0.0456481,7.41462,0.00511571,874.569,0.781837,0.0777927,46.8991,0,
