Individual,Heave.front.roll_center_gnd.z,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.motion_ratio_heave_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,2.32903,0.0310346,0.0939102,27.8651,1.18291,0.993418,24.9311,0.000508114,0.0380607,1.89348,
1,2.32185,0.144054,0.027386,27.8699,1.10761,0.993442,24.9559,0.00290542,0.106975,1.86218,
2,2.34448,0.107408,0.0577928,27.8405,1.1199,0.993363,24.8991,0.00203892,0.0583074,1.97557,
3,2.32443,0.123612,0.0272633,27.8554,1.16437,0.993427,24.9881,0.000886614,0.0253675,1.92335,
4,2.34375,0.139004,0.163286,27.8331,1.12917,0.99336,24.9397,0.000918138,0.0457185,1.99456,
5,2.36321,0.17453,0.0352431,27.8332,1.16113,0.993297,24.857,0.00342364,0.126537,2.03933,
6,2.32351,0.0834086,0.160072,27.8849,1.14914,0.993435,24.9634,0.000508745,0.119221,1.92374,
7,2.33638,0.0992193,0.196977,27.7954,1.15323,0.993383,24.9581,0.00183384,0.163245,1.91349,
8,2.34157,0.205644,0.0218706,27.8581,1.12544,0.993365,24.9482,0.00213773,0.141166,1.97901,
9,2.32623,0.120559,0.270235,27.8635,1.16623,0.993426,24.9425,0.00233387,0.0244571,1.90916,
10,2.34507,0.186083,0.0562445,27.8193,1.26853,0.99336,24.9006,0.00366887,0.0647505,1.98861,
11,2.31868,0.192041,0.0577632,27.8784,1.17593,0.993444,25.0112,0.00153162,0.0765879,1.94611,
12,2.33003,0.157473,0.171708,27.8883,1.0774,0.993414,24.9355,0.00273591,0.161781,1.93661,
13,2.34406,0.200746,0.0977002,27.8117,1.17986,0.993353,24.9696,0.00139479,0.0932298,1.96567,
14,2.34584,0.234691,0.0471336,27.8553,1.21043,0.993359,24.8888,0.0046428,0.116755,1.97401,
15,2.34304,0.130574,0.0815061,27.8541,1.28532,0.993365,24.9227,0.00103765,0.104788,1.97902,
16,2.35065,0.252693,0.0420756,27.796,1.23507,0.99333,24.9442,0.00453207,0.0416289,2.03838,
17,2.33951,0.0464477,0.113205,27.8024,1.4116,0.993375,24.9374,0.000285379,0.124421,1.93849,
18,2.33017,0.252276,0.11858,27.8861,1.09574,0.993407,24.9692,0.00348009,0.122221,1.94251,
19,2.36072,0.216429,0.110758,27.8346,1.14426,0.993302,24.8872,0.00206096,0.153197,2.02546,
20,2.30039,0.180588,0.272319,27.9788,1.11141,0.993511,25.0372,0.00229615,0.0286567,1.83682,
21,2.33781,0.156212,0.140484,27.8508,1.1737,0.99338,24.9563,0.00130804,0.165598,1.98896,
22,2.34116,0.362416,0.0299127,27.7881,1.1963,0.993368,24.956,0.00634921,0.118634,1.97426,
23,2.32095,0.0402785,0.369594,27.8751,1.26673,0.993445,24.9561,0.00079421,0.0446538,1.89963,
24,2.33055,0.174613,0.13132,27.843,1.31161,0.9934,24.996,0.00124466,0.119108,1.90586,
25,2.2884,0.211937,0.151456,27.9717,1.12057,0.993559,25.0454,0.00433357,0.302463,1.72153,
26,2.35613,0.449296,0.0824315,27.8381,1.09464,0.993322,24.8662,0.00865673,0.0985021,2.02683,
27,2.27416,0.3413,0.0894241,28.1619,1.13824,0.993619,25.0238,0.006925,0.137151,1.6619,
28,2.28603,0.152661,0.0908461,28.3443,1.38782,0.993608,24.8402,0.0024107,0.321764,1.41768,
29,2.36848,0.37062,0.0412234,27.8442,1.23771,0.99328,24.8371,0.00738254,0.121845,2.03493,
30,2.32213,0.12495,0.159947,27.8919,1.2391,0.993438,24.9734,0.00101934,0.0353747,1.90155,
31,2.3423,0.193934,0.181866,27.8256,1.10515,0.993362,24.949,0.00302821,0.0413365,1.96933,
32,29.1501,38.3115,8.38337,219.975,64.0495,1.01402,14.9885,0.773605,5.39434,6.1749,
33,33.5711,14.7093,8.36006,36.9927,61.9501,1.04227,12.3597,0.294302,5.11826,8.19556,
34,30.2662,29.5613,5.47401,175.984,62.8133,1.02169,13.0009,0.583857,2.87326,7.24568,
35,2.33549,0.377434,0.0652223,27.8743,1.19855,0.993389,24.9517,0.0056913,0.129441,1.9535,
36,2.38109,0.24291,0.0179544,27.7957,1.20311,0.993224,24.8654,0.00397288,0.0421338,2.08496,
37,14.3059,21.3375,5.5786,156.309,56.7428,1.09224,432.944,0.425734,0.783541,10.0643,
38,2.30272,0.0542071,0.187614,27.9632,1.30467,0.993513,24.9829,0.00114658,0.0449299,1.85069,
39,2.31332,0.555759,0.218019,27.8688,1.12154,0.993466,25.0242,0.0101317,0.0955228,1.93461,
40,2.30458,0.246605,0.20476,27.9306,1.15235,0.993499,25.0228,0.00416042,0.0706979,1.86239,
41,2.34685,0.186448,0.12447,27.8723,1.12239,0.993353,24.9024,0.00340316,0.213231,1.99325,
42,17.3921,1006.22,8.2396,208.208,61.5901,0.95914,12.121,19.9748,6.78495,2.04981,
43,2.35237,0.165032,0.0324068,27.8272,1.18361,0.993329,24.9228,0.00142125,0.117823,2.03249,
44,17.7477,1002.22,12.3241,181.569,59.3126,0.963371,10.7122,19.9272,0.333347,4.98158,
45,2.31005,0.154166,0.233837,27.9537,1.14072,0.993488,24.9597,0.00315091,0.0264788,1.86485,
46,2.35667,0.256754,0.145886,27.7992,1.18101,0.993304,24.953,0.00417173,0.0882004,2.05006,
47,2.32178,0.174019,0.0108946,27.859,1.35363,0.993431,25.0121,0.0010608,0.102247,1.87577,
48,2.37661,0.747275,0.251492,27.7917,1.12106,0.993239,24.8601,0.0149223,0.102451,2.0809,
49,2.32336,0.0128724,0.518357,27.8615,1.26781,0.993435,24.9603,0.000319361,0.0867089,1.93213,
