Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
0,1143.64,6693.07,4916.6,0.170869,67.059,0,337.329,790.162,19.039,3150.33,793.921,565.609,969.621,75.8254,3.28536e-150,334.155,1029.43,13.6753,4273.82,1037.93,612.192,1527.08,4.89585,0,14.6043,18.8628,6.09543,658.854,18.9234,13.4617,14.0697,
1,1143.64,5270.49,1890.71,0.216989,66.9446,0,327.859,613.194,19.1653,2422.49,616.319,542.071,662.45,34.7537,0,228.052,527.792,6.5442,1145.18,531.147,358.798,641.045,4.89585,0,14.6043,3.11717,6.09543,658.854,4.2675,13.4617,14.0697,
2,1143.64,4780.78,1327.77,0.239215,68.2555,0,321.819,499.213,18.9267,2304.57,501.149,544.025,522.828,33.147,0,224.173,405.089,6.85286,823.495,431.278,349.648,442.439,4.89585,0,14.6043,3.11717,5.59854,658.854,4.2675,13.4617,3.51409,
3,1143.64,4565.94,1570.05,0.250471,70.7227,0,323.471,426.89,18.8111,2325.55,428.379,531.241,440.877,31.7866,0,238.995,354.347,7.08381,1027.55,365.785,346.284,391.791,4.89585,0,14.7662,3.11717,5.59854,658.854,4.2675,13.4617,3.51409,
4,1143.64,4385.69,1930.55,0.260765,69.0358,0,420.912,367.349,18.8724,2230.2,368.187,529.087,382.049,31.4121,0,1543.97,290.405,7.28269,815.556,291.788,361.383,298.773,4.89585,0,14.7662,3.11717,5.59854,658.854,4.2675,13.4617,2.01636,
5,1143.64,4122.78,953.304,0.277395,67.8193,0,299.174,345.86,18.8635,2172.74,346.484,511.814,360.024,30.0814,0,236.883,255.938,7.5346,794.014,258.468,345.177,266.213,4.89585,0,14.7662,3.11717,5.54406,658.854,4.2675,13.4617,2.01636,
6,1143.64,3933.44,896.431,0.290748,65.6623,0,288.118,320.323,19.4417,2099.76,320.808,493.396,325.926,29.3579,0,206.55,228.419,7.71949,774.099,229.573,326.785,241.545,4.89585,0,14.7662,3.11717,5.54406,658.854,4.2675,13.4617,2.01636,
7,1143.64,3913.51,1613.63,0.292228,63.9843,0,281.822,331.276,19.9661,2085.02,332.039,457.734,341.676,27.3006,0,194.299,300.38,7.77059,977.495,301.321,313.447,364.188,4.89585,0,14.1301,3.11717,5.54406,658.854,4.2675,13.4617,2.01636,
8,1143.64,3629.83,920.438,0.315066,58.633,0,272.791,303.068,20.4424,1890.66,303.672,466.796,313.764,26.4971,0,196.138,222.28,7.80852,697.501,221.288,335.998,246.215,4.89585,0,14.1301,3.11717,5.54406,658.854,4.2675,13.4617,2.01636,
9,1143.64,3471.8,1028.37,0.329408,55.8485,0,254.692,285.192,20.4962,1813.97,285.719,459.309,296.571,25.4487,0,176.54,226.824,8.02049,678.877,228.946,320.077,259.574,1.7418,0,14.1301,3.11717,5.54406,658.854,4.2675,13.4617,2.01636,
