Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
0,1152.27,6253.07,4023.62,0.184273,379.202,735.533,17.8513,0,19.6172,2950.38,743.403,550.958,856.13,763.599,983.417,20.4553,0,20.9714,2466.67,996.053,398.981,1012.24,16.0491,17.1501,0.658048,0,3.80307,665.89,17.203,17.26,12.2544,
1,1152.27,5132.06,1866.8,0.224524,346.504,586.509,17.9518,0,19.2805,2398.21,590.406,543.262,629.94,221.467,487.84,9.93405,0,7.92631,1035.71,494.741,360.556,625.328,16.0491,17.1501,0.338865,0,3.80307,665.89,17.203,17.26,12.2544,
2,1152.27,4673.27,1451,0.246566,350.069,492.644,18.2337,0,19.4546,2281.57,494.643,504.121,512.537,222.349,394.13,9.44328,0,8.52344,878.619,409.108,344.813,436.892,16.0491,15.3048,0.338865,0,3.20726,665.89,17.203,17.26,8.7157,
3,1152.27,4464.7,2899.58,0.258085,521.214,401.193,18.2299,0,19.8343,2202.35,402.526,495.103,404.256,2593.4,312.22,9.15012,0,9.04507,870.891,313.966,340.033,347.052,16.0491,14.8176,0.338865,0,3.20726,665.89,15.8285,16.4474,8.7157,
4,1152.27,4037.49,1066.32,0.285393,338.149,353.526,17.6909,0,19.5543,2121.12,354.589,475.785,357.079,258.735,264.938,9.00708,0,9.55056,866.325,266.521,348.976,297.503,16.0491,14.8176,0.338865,0,3.20726,665.89,15.8285,16.4474,8.7157,
5,1152.27,3843.24,1019.41,0.299818,339.982,329.578,17.0391,0,19.6585,2028.8,330.244,459.743,318.2,195.262,242.449,8.39784,0,9.9261,814.424,243.189,323.475,264.967,29.08,14.8176,0.338865,0,3.20726,665.89,15.8285,16.4474,8.7157,
6,1152.27,3645.33,996.007,0.316095,321.131,322.325,15.7525,0,19.084,1893.76,323.588,444.11,305.577,183.537,227.226,8.19724,0,9.98072,802.977,231.477,313.211,259.906,29.08,14.8176,0.338865,0,3.20726,665.89,15.1002,16.4474,8.7157,
7,1152.27,3519.73,1290.71,0.327375,313.55,310.957,14.8382,0,19.1733,1814.2,311.729,436.141,299.139,179.777,240.645,7.59832,0,10.5075,869.909,242.876,312.048,299.959,20.8188,14.8176,0.338865,0,3.17091,665.89,15.1002,16.4474,8.7157,
8,1152.27,3326.58,916.652,0.346383,319.413,306.912,13.8427,0,18.9314,1670.89,307.443,397.815,291.338,190.487,209.5,6.90118,0,10.7417,664.763,209.842,299.507,229.468,36.1646,14.8176,0.338865,0,3.0706,659.324,15.1002,16.4474,8.7157,
9,1152.27,3988.35,10746.8,0.288909,1064.4,304.256,13.0543,0,19.8134,1595.52,304.793,398.148,288.364,10566.5,228.158,6.10738,0,10.9111,606.963,228.581,322.978,254.775,36.1646,14.8176,0.338865,0,3.0706,659.324,15.1002,16.4474,6.17784,
10,1152.27,3070.17,844.026,0.375312,323.131,282.613,12.2522,0,20.2509,1508.77,283.049,379.047,261.048,670.76,198.222,5.91303,0,11.1417,535.594,199.036,297.63,220.66,27.5326,14.8176,0.131209,0,3.0706,652.115,15.1002,16.4474,6.17784,
11,1152.27,2932.78,807.215,0.392894,322.702,265.106,11.7197,0,20.4774,1440.83,265.687,356.416,249.842,213.937,176.913,5.52807,0,11.3376,488.312,178.085,286.543,204.145,27.5326,2.08964,0.131209,0,3.0706,652.115,4.82805,16.4474,6.17784,
12,1152.27,2823.75,705.352,0.408064,325.726,246.737,11.4999,0,20.8642,1405.28,247.16,347.474,219.007,211.714,167.101,5.22651,0,11.4321,457.312,167.823,269.168,175.695,27.5326,2.08964,0.131209,0,3.0706,652.115,4.82805,16.4474,4.45369,
13,1152.27,2847,1449.5,0.404732,316.964,241.692,11.1988,0,21.0337,1422.66,242.029,361.802,229.624,279.736,217.579,5.13536,0,11.4588,679.944,217.371,297.49,321.594,27.5326,2.08964,0.131209,0,3.0706,652.115,4.82805,16.4474,4.45369,
14,1152.27,2682.71,941.744,0.429517,293.859,231.911,10.4857,0,20.8563,1326.84,232.505,352.881,213.379,187.223,202.694,5.23792,0,11.4876,532.319,205.528,269.619,230.114,27.5326,2.08964,0.131209,0,3.0706,652.115,4.82805,19.3157,4.45369,
15,1152.27,2603.88,1027.55,0.442521,293.379,227.235,9.92627,0,20.3424,1271.46,228.075,349.719,203.748,188.076,227.706,4.89459,0,11.6274,517.109,231.612,287.174,215.166,27.5326,2.08964,0.131209,0,3.0706,652.115,4.82805,19.3157,4.45369,
16,1152.27,2534.16,833.173,0.454696,295.312,223.139,9.48536,0,20.3019,1223.29,223.607,340.152,198.87,205.484,211.492,4.88677,0,11.5272,400.752,212.357,297.744,174.432,27.5326,2.08964,0.131209,0,3.0706,652.115,4.82805,15.2902,4.45369,
17,1152.27,8094.81,79665.3,0.142347,5912.74,209.302,9.27048,0,20.6717,1200.99,209.636,353.719,178.484,79293.7,174.534,5.3845,0,11.6985,453.091,176.824,323.46,128.682,9.86805,2.08964,0.0927347,0,2.9712,652.115,4.82805,15.2902,2.64644,
18,1152.27,2393.02,610.946,0.481513,274.316,204.975,8.89372,0,21.2284,1161.57,205.308,336.781,179.949,4817.52,174.636,4.8821,0,11.8022,402.557,174.771,281.58,133.418,9.86805,2.08964,0.0927347,0,3.0706,652.115,4.82805,15.2902,4.45369,
19,1152.27,2388.55,789.15,0.482414,266.313,212.837,8.42394,0,22.1091,1137.5,213.309,332.425,195.641,183.271,202.272,4.72181,0,11.6686,372.122,201.68,273.961,188.764,9.86805,2.08964,0.0927347,0,3.0706,652.115,4.82805,15.2902,4.45369,
20,1152.27,2283.28,629.941,0.504656,263.92,190.315,8.2515,0,22.5508,1115.88,190.679,311.887,179.799,189.279,175.746,4.88665,0,11.5389,398.188,176.454,261.138,169.769,9.86805,2.08964,0.0927347,0,3.0706,652.115,3.0366,15.2902,4.45369,
21,1152.27,2299.78,1007.39,0.501034,259.151,199.306,8.25402,0,22.4187,1119.38,200.054,306.891,184.332,194.309,198.82,5.0573,0,11.5188,447.474,199.449,277.692,221.384,9.86805,2.08964,0.0927347,0,3.0706,652.115,3.0366,15.2902,4.45369,
22,1152.27,2229.13,1077.64,0.516915,244.825,194.526,7.99546,0,22.5708,1102.52,195.097,281.11,180.486,180.163,229.532,4.45437,0,11.7072,545.07,231.758,232.252,231.079,9.86805,2.08964,0.0927347,0,3.0706,651.882,3.0366,15.2902,4.45369,
23,1152.27,2274.36,2413.06,0.506636,364.454,178.155,7.63168,0,22.583,1067.08,178.568,283.831,172.054,1893.18,185.095,4.72437,0,11.7007,454.965,187.062,262.418,201.189,9.86805,2.08964,0.0927347,0,3.0706,651.882,3.0366,15.2902,4.45369,
24,1116.68,2132.1,877.44,0.523745,223.829,187.293,7.29676,0,22.7613,1045,187.63,288.411,169.881,230.187,196.14,4.72794,0,11.4838,376.583,196.14,272.603,179.413,4.76545,2.08964,0.0927347,0,3.0706,651.882,3.0366,15.2902,4.45369,
25,952.928,2118.54,975.223,0.449804,211.772,197.421,6.76983,0,22.1911,1022.51,197.885,268.948,191.045,150.988,216.646,4.18553,0,11.6564,362.553,215.362,247.787,234.403,4.76545,2.08964,0.0927347,0,2.80018,651.882,3.0366,15.2902,4.45369,
26,952.928,1984.16,653.079,0.480268,201.753,171.444,6.93153,0,22.671,1008.45,171.786,244.042,157.085,137.042,162.737,4.58171,0,11.8031,348.352,162.639,214.959,140.478,4.76545,2.08964,0.0875052,0,3.0706,651.882,3.0366,15.2902,2.78882,
27,952.928,1935.81,510.907,0.492263,192.576,157.959,6.66587,0,23.1126,982.816,158.323,263.198,151.161,137.725,123.498,4.03285,0,11.8659,287.096,123.623,264.663,114.669,4.76545,2.08964,0.0875052,0,3.15031,651.882,3.0366,15.2902,2.78882,
28,952.928,1945.23,946.693,0.489878,186.048,169.106,6.44288,0,21.9577,983.534,169.922,245.653,162.571,134.666,170.834,4.54086,0,12.0116,424.252,173.714,225.521,201.215,4.76545,2.08964,0.0875052,0,3.15031,651.882,3.0366,15.2902,2.78882,
29,952.928,2012.79,1084.16,0.473437,230.358,188.792,6.22418,0,22.1114,954.985,189.125,259.246,161.948,535.029,202.54,4.29606,0,12.1457,335.841,202.687,283.49,151.849,4.76545,2.33143,0.0875052,0,3.15031,651.882,3.0366,16.0194,2.78882,
30,952.928,1854.8,619.377,0.513763,175.772,163.462,5.86629,0,22.1276,937.125,163.806,232.153,154.492,137.686,147.503,3.86998,0,12.0781,294.535,147.846,204.071,153.419,4.76545,2.33143,0.0875052,0,3.15031,651.882,3.0366,16.0194,2.78882,
31,952.928,1938.84,2165.32,0.491494,287.284,159.377,5.59693,0,22.4314,917.428,159.962,237.054,149.704,1594.04,141.274,4.30072,0,12.1481,339.915,142.872,214.904,157.018,4.76545,2.33143,0.0812005,0,3.0276,651.882,3.0366,16.0194,2.78882,
32,952.928,1784.18,567.857,0.534099,179.432,154.324,5.50164,0,21.3167,900.633,154.588,232.071,136.311,185.803,127.544,3.72335,0,12.5148,273.149,127.613,210.986,117.228,4.51758,2.30112,0.0812005,0,3.1327,651.882,2.33409,21.3215,2.78882,
33,952.928,1806.12,979.097,0.527612,187.958,152.619,5.35741,0,21.0148,914.621,152.964,225.642,145.94,165.842,174.387,4.67072,0,12.4675,484.584,174.709,201.047,200.373,4.51758,1.35796,0.0812005,0,3.1327,651.882,2.33409,21.3215,2.51229,
34,853.628,1799.32,1211.5,0.474417,198.76,162.021,5.02939,0,20.8744,884.084,162.391,219.404,146.756,370.911,215.058,3.93218,0,12.7215,401.742,214.256,201.911,204.764,4.51758,0.716292,0.0812005,0,3.1327,640.389,0.940553,21.3215,2.78882,
35,853.628,1820.76,2040.48,0.46883,256.077,152.403,5.00351,0,20.7422,874.785,152.768,217.012,141.972,1122.67,180.365,4.1917,0,12.7515,439.024,181.206,238.139,204.459,4.51758,0.716292,0.0812005,0,3.1327,651.882,0.940553,21.3215,2.78882,
36,853.628,1621.22,454.911,0.526533,151.386,141.835,4.74728,0,20.6543,844.291,142.077,192.445,123.787,149.255,128.572,3.26119,0,12.8473,217.853,129.581,151.138,125.889,4.51758,0.716292,0.0812005,0,3.1327,651.882,0.940553,21.3215,2.78882,
