Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.half_track_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.half_track_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.half_track_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,
108,16.4466,29.4042,31.1999,0.559329,2.66817,1.20394,3.01482,0.469299,19.0045,3.04341,1.60772,1.80194,0.75148,1.1537,22.3934,6.64653,2.02707,0.126932,0.946506,0.0323666,10.4796,0.207746,
109,16.4466,35.1147,40.9598,0.468368,2.92539,1.25496,3.26121,0.444548,24.135,3.0935,2.13351,1.80629,1.08597,1.1375,31.2975,6.64068,2.02707,0.159172,1.48015,0.0323666,10.4553,0.23733,
110,16.3181,36.5247,42.9423,0.44677,2.93454,1.38607,3.26543,0.710155,24.7432,3.48529,1.90807,2.10032,1.16675,1.58359,32.2265,7.16158,2.02707,0.100767,0.938952,0.0323666,10.3523,0.151722,
111,16.3181,33.8136,43.981,0.48259,2.71756,0.869051,3.15576,3.83574,21.3312,1.90434,1.74098,1.16091,1.09971,24.7113,28.7532,5.03904,2.02707,0.0658019,0.936028,0.0323666,10.4641,0.108188,
112,16.3181,31.4394,30.7081,0.519034,2.66925,1.24024,3.16204,0.429055,19.6542,4.28468,1.4841,1.56513,0.891349,3.21766,23.0628,8.21063,2.02707,0.133697,0.993446,0.0323666,10.4641,0.174705,
113,16.3017,32.6737,39.0503,0.498924,2.91779,1.04564,3.38932,0.597821,22.1865,2.5366,2.04464,1.82697,1.03718,1.53273,29.5898,7.14371,2.02707,0.036248,2.93473,0.0324795,10.464,0.0476585,
114,16.3017,29.8828,35.2293,0.545522,2.77088,1.20254,3.0816,0.25008,19.8695,2.70819,2.03288,1.85891,0.90744,0.657299,25.1927,6.90133,2.02172,0.557634,1.02139,0.0340437,10.464,0.174705,
115,16.3017,31.9237,35.3468,0.510646,2.83001,1.30561,3.23809,0.518076,20.823,3.20895,1.98798,1.98543,0.921097,1.23095,25.0727,8.00078,2.02172,0.0561413,1.03239,0.0335178,10.4592,0.15229,
116,16.3017,34.9943,38.3069,0.465839,2.92591,1.27698,3.1309,0.387363,24.7716,2.50156,2.07249,1.66341,1.15142,0.91423,30.0937,5.36512,2.00457,0.0473076,0.994357,0.03202,10.4592,0.174705,
117,16.3017,27.0754,31.4301,0.602085,2.45089,0.846147,3.24472,0.590879,17.8651,2.07769,1.42594,1.20257,0.824638,1.67279,23.5898,5.08618,2.00457,0.0938265,2.93074,0.0345919,10.4586,0.172829,
118,16.1945,31.536,36.512,0.513523,2.93526,0.971574,3.30021,0.328801,22.704,1.29612,2.38172,1.51812,1.1769,1.05035,31.0145,4.41336,1.96896,0.0632849,1.35001,0.0356283,10.4586,0.138573,
119,16.1945,35.1913,38.6341,0.460184,3.07587,1.52023,3.17813,0.681621,22.7551,3.98032,2.21273,2.28692,0.999206,1.51285,27.7139,8.22627,1.96896,0.0507883,1.01581,0.0356283,10.4526,0.0207702,
120,16.1945,24.6502,24.9097,0.656972,2.60903,0.941414,3.01091,0.303913,16.3566,1.42832,1.74363,1.28953,0.756436,0.939316,20.2635,4.79364,1.96322,0.0696237,0.990731,0.0332176,10.4526,0.131439,
121,16.1945,33.9407,37.2527,0.47714,3.02109,1.25034,3.09452,0.498573,23.4608,2.61539,2.48369,1.88549,1.0984,1.12898,29.6628,5.73217,1.94164,0.0445358,0.948332,0.0332176,10.4511,0.133034,
122,16.1945,31.1982,38.8195,0.519083,2.64829,1.15516,3.19364,0.453076,21.9938,1.75424,1.86536,1.85654,1.0853,1.21418,30.0789,4.86828,1.94164,0.0547968,0.975135,0.0332176,10.4494,0.0608766,
123,16.1945,29.2147,32.7266,0.554327,2.73896,1.21758,2.99488,0.704129,19.7509,1.8082,2.22399,1.76075,0.955599,1.60802,24.96,4.34912,1.94164,0.0715024,0.935034,0.0332176,10.4494,0.18949,
124,16.1945,27.7551,29.4905,0.583477,2.67235,1.17678,3.14014,0.548541,17.6411,2.57622,1.90953,1.82566,0.823214,1.51927,20.8624,5.51388,1.90602,0.102311,1.10731,0.0374171,10.4454,0.198544,
125,16.1945,37.3216,40.4933,0.433917,3.13101,1.37196,3.55766,0.552267,26.2234,2.48528,2.55656,3.04388,1.52811,1.28282,34.02,5.86954,1.93,0.0384901,0.973139,0.0381807,10.4454,0.0718156,
126,16.1945,40.2261,46.7955,0.402587,3.07028,1.63686,3.49869,0.456382,27.2742,4.28963,2.42385,2.48251,1.27815,1.07681,35.7583,8.8,1.94164,0.074072,1.92438,0.036924,10.4454,0.199226,
127,16.1945,34.7531,38.1414,0.465987,2.99292,1.16749,3.30289,0.665514,23.2201,3.4041,2.38423,1.84811,1.05163,1.29873,27.6685,6.91164,1.94164,0.105239,1.14618,0.036924,10.4454,0.228973,
128,16.1945,34.5331,37.6641,0.468955,3.05677,0.938595,3.44895,0.587719,23.5937,2.9074,2.43923,1.61716,1.08407,1.3035,29.3384,6.28678,1.95143,0.0540084,2.91755,0.036924,10.4445,0.135329,
129,16.1843,32.2785,36.9613,0.501397,2.55576,0.806935,3.42292,0.538482,22.94,2.01441,1.85105,1.17199,1.14963,1.29504,30.445,5.34889,1.95143,0.00982349,2.91755,0.036924,10.4445,0.229589,
130,16.1788,40.48,45.3036,0.399676,3.04423,1.35974,3.37825,0.382934,28.5346,3.78015,2.30546,1.97489,1.34735,0.797716,34.0913,7.43632,1.92886,0.0499104,1.14426,0.036924,10.4445,0.228171,
131,16.1658,30.511,33.9058,0.529835,2.55247,1.08986,3.1917,0.615191,21.0537,2.00813,1.66188,1.66491,1.05196,1.38986,28.6784,5.26484,1.95261,0.0421058,1.03849,0.036924,10.4441,0.0347083,
132,16.1658,36.8956,46.8467,0.43815,2.92176,1.51302,3.38966,0.697295,25.4822,2.89168,2.06518,2.20124,1.25502,1.56606,35.3784,6.14572,1.95001,0.0383775,1.12926,0.036924,10.3039,0.203614,
133,16.158,32.6429,37.7757,0.494992,2.91137,1.25466,3.2944,0.626062,21.6341,2.92231,2.45326,2.13026,1.02314,1.59344,27.3778,6.36921,1.94528,0.0664696,1.79088,0.0412596,10.4404,0.143154,
134,16.158,31.167,31.652,0.518433,3.00128,1.53437,3.09745,0.531482,21.3365,1.66596,2.35157,2.28157,1.06073,1.19331,25.6848,4.02251,1.94528,0.0358004,1.13591,0.0414444,10.443,0.0597289,
135,16.158,35.2203,38.299,0.458769,3.10435,1.119,3.19801,0.812669,23.871,3.11527,2.55085,1.98559,1.07328,1.62078,28.3673,6.98787,1.94528,0.0450562,0.935402,0.0414444,10.4398,0.0701809,
136,16.158,30.2529,31.7406,0.534097,2.76759,1.06462,3.08823,0.60163,18.8797,3.85119,2.30316,1.50426,0.786546,1.47898,21.01,8.41451,1.94528,0.0868154,0.970859,0.0418441,10.4409,0.23465,
137,16.158,34.3948,38.2324,0.46978,2.94892,1.12802,3.06838,0.595391,23.6903,2.96384,2.32968,1.78288,1.10434,1.37535,28.8535,7.01066,1.94528,0.0323234,0.873831,0.0418441,10.4409,0.07523,
138,16.1551,32.9538,38.1175,0.490237,2.7433,0.919025,3.15844,0.656109,23.3579,2.11894,2.19127,1.23401,1.17445,1.54215,30.7558,5.61257,1.94401,0.0318258,0.888342,0.0417662,10.4409,0.0361936,
139,16.152,28.3888,29.028,0.568958,2.66147,1.05212,3.00953,0.516607,19.2358,1.91328,1.9522,1.40056,0.842488,1.17199,21.6335,4.66189,1.94334,0.0346632,0.932914,0.0414106,10.4409,0.239423,
140,16.152,36.9023,39.493,0.437696,3.06699,1.52392,2.9839,0.471011,25.3287,3.52779,2.29842,2.07044,1.09986,1.07297,30.0504,6.90993,1.94334,0.532631,0.977793,0.0409473,10.4481,0.239423,
141,16.152,35.0037,40.8576,0.461437,2.68924,1.33089,3.44173,0.690425,23.7016,3.14977,1.89824,2.07913,1.21745,1.42584,31.1684,7.21006,1.94329,0.0141683,2.92684,0.0409473,10.4448,0.241379,
142,16.1508,31.6741,38.2527,0.509905,2.98761,1.44477,3.09905,0.452378,20.3553,3.33494,2.64225,2.3532,0.951749,1.30288,26.9805,7.89477,1.94241,0.121203,1.08794,0.0409473,10.4448,0.241379,
143,16.15,27.3645,27.9752,0.590181,2.64436,1.23294,3.01382,0.428631,17.294,2.75074,1.97893,1.68273,0.645282,1.20678,18.5092,6.58563,1.94241,0.144255,1.17282,0.0409473,10.4481,0.241379,
144,16.15,32.5743,38.6428,0.495791,3.29641,1.54893,3.0737,0.641646,20.3281,3.68552,2.94724,2.45685,0.737102,1.45327,26.0276,8.53066,1.94196,0.103443,1.22997,0.0412984,10.4481,0.241379,
145,16.149,33.4347,40.1666,0.483,2.48885,1.18685,3.18053,0.419161,23.2545,2.90479,1.76736,1.83439,1.1373,1.15887,31.4964,6.6268,1.94196,0.135282,1.08124,0.0414106,10.4481,0.241922,
146,16.149,30.4204,34.7835,0.530859,2.43458,0.845299,3.30656,0.463655,20.2168,3.15353,1.34997,1.32114,0.965194,1.28917,26.6897,6.53825,1.94196,0.0980394,2.92684,0.0414106,10.4481,0.24169,
147,16.146,29.8843,29.5376,0.540283,2.67402,1.29017,3.13812,0.364663,19.76,2.6573,1.7654,2.71677,1.20086,0.744349,24.2398,6.12632,1.94158,0.0966021,0.921456,0.0411371,10.4482,0.194985,
148,16.1456,30.3561,36.8053,0.531872,2.61774,0.869282,3.29444,0.303854,22.0748,1.19601,2.08389,1.5544,1.18499,0.937714,30.5934,3.72866,1.94129,0.0163344,1.17293,0.0411371,10.4482,0.0333543,
149,16.1456,34.2217,38.9081,0.471794,2.58002,1.37641,3.24616,0.610011,23.3322,3.07688,1.51281,1.98029,1.0808,1.37114,28.8054,7.39778,1.94149,0.0713561,0.96043,0.0411371,10.4482,0.178119,
150,16.1452,33.3735,37.7062,0.483773,2.81754,1.03979,3.06242,0.434286,23.3135,2.70589,2.20368,1.76813,1.02979,1.23055,28.3091,6.4528,1.94158,0.0488542,0.870111,0.0411371,10.4469,0.241418,
151,16.1452,28.7871,27.3909,0.560846,2.90636,1.28394,3.03242,0.511645,18.5784,2.47433,2.42328,1.96676,0.79021,1.35766,20.3555,5.49218,1.94158,0.109907,0.977158,0.0411371,10.4478,0.241418,
152,16.1449,25.1851,25.2529,0.64105,2.56304,0.859539,3.04061,0.294219,16.6451,1.78263,2.1211,1.36339,0.727248,0.955163,18.1635,5.04957,1.94158,0.0493018,0.929187,0.0411371,10.4476,0.241634,
153,16.1449,35.6236,41.7459,0.453209,2.67986,1.43156,3.24203,0.407977,24.3333,3.52882,1.9587,2.26028,1.10947,0.916525,30.0574,7.0529,1.94148,0.0429536,1.08238,0.0411371,10.4507,0.241581,
154,16.144,28.1907,27.0473,0.572669,2.79025,1.41628,3.01796,0.581285,18.8283,1.55671,1.95832,2.03057,0.88407,1.34662,22.1036,4.3501,1.94095,0.0355574,0.932548,0.0414986,10.454,0.187987,
155,16.144,38.011,46.1881,0.424718,3.1366,1.62069,3.29687,0.603422,26.1747,3.17873,2.76987,2.825,1.21916,1.33608,33.6134,7.24873,1.86778,0.0511104,0.911372,0.0414986,10.454,0.0321227,
156,16.144,32.2211,38.2331,0.501037,2.59635,0.985158,3.30136,0.540405,21.9428,2.85504,1.71613,1.65304,1.10468,1.22956,31.1581,7.03508,1.94095,0.0578075,1.69627,0.0414986,10.454,0.130162,
157,16.1434,33.0507,33.809,0.488444,3.04662,1.27349,3.32586,0.51265,22.1765,2.71554,2.59802,2.2587,1.07422,1.2892,26.6621,6.69017,1.94095,0.0462118,1.11664,0.0414986,10.454,0.134725,
158,16.1429,32.4039,32.6448,0.498178,2.92743,0.853241,3.21688,0.558684,21.6116,3.23608,2.42202,1.35478,0.96368,1.17992,24.0794,6.65191,1.94095,0.114044,0.869599,0.0414986,10.454,0.242643,
159,16.1417,30.0187,31.6365,0.537723,2.73533,0.959498,3.12806,0.631964,19.8082,2.75566,2.07072,1.39399,0.907168,1.36808,23.4016,6.21311,1.94095,0.119651,1.12631,0.0414986,10.454,0.242612,
160,16.1417,30.7795,32.7512,0.52443,2.54183,1.25659,3.0382,0.479908,20.5626,2.90037,1.61203,1.82123,0.905724,1.13902,23.5058,7.06616,1.94095,0.0862977,1.02975,0.0415161,10.4537,0.191676,
161,16.1417,36.2677,38.894,0.445071,3.03875,1.39376,3.46545,0.483656,24.8863,2.9998,2.39538,2.36848,1.26375,1.07868,29.2521,6.68966,1.94094,0.0107271,1.88351,0.0415161,10.4537,0.233681,
162,16.1417,27.4033,24.524,0.589042,2.46843,0.92792,2.9534,0.624867,17.5094,2.91934,1.76987,1.20841,0.643003,1.55226,16.4895,6.17956,1.9287,0.174548,1.02906,0.0413138,10.4537,0.242601,
163,16.1404,24.0086,25.1859,0.672277,2.39233,0.906112,2.93639,0.224948,15.5042,2.0446,1.62387,1.40629,0.543723,0.914994,16.7106,5.9146,1.94094,0.115831,1.13857,0.0413138,10.4524,0.242601,
164,16.1404,34.638,40.0683,0.465975,2.59602,1.04389,3.39044,0.575559,24.861,2.17114,1.68233,1.6681,1.28154,1.22222,33.7863,5.49943,1.94094,0.0197904,1.33565,0.0413138,10.4524,0.242345,
165,16.1404,38.5853,47.6733,0.418306,2.40665,1.30977,3.56217,0.752104,27.7507,2.8039,1.20213,2.16898,1.41276,1.57078,39.2824,6.41527,1.94094,0.0254291,2.92641,0.0413138,10.4524,0.0409507,
166,16.1404,32.3873,36.2197,0.498357,2.75846,0.92972,3.18923,0.36903,22.6633,2.47754,2.06789,1.61317,1.11983,0.992225,29.5447,6.27699,1.94094,0.0661452,1.1876,0.0413138,10.4524,0.0866853,
167,16.1404,38.4663,45.8206,0.4196,2.95347,1.39903,3.57841,0.649671,27.8241,2.06157,2.12246,2.44085,1.30546,1.35229,36.4699,5.0886,1.94068,0.0357597,2.55765,0.041568,10.4524,0.141532,
168,16.1403,30.053,36.7637,0.537061,2.76769,1.36839,3.14706,0.421807,19.6728,2.67529,2.19753,2.26862,0.99758,1.01007,27.5787,6.30646,1.94068,0.534444,0.983431,0.0415492,10.4523,0.242345,
169,16.1396,28.8113,35.2981,0.560184,2.62887,1.0716,3.19374,0.297142,19.4244,2.1955,1.98046,1.67726,0.972766,0.752666,27.3371,5.32683,1.94016,0.131435,1.3852,0.0414776,10.4517,0.242612,
170,16.1396,29.9653,37.3702,0.538611,2.60761,1.2235,3.23194,0.242605,20.8678,1.79181,1.85762,2.23483,1.02948,0.652845,28.5496,4.87043,1.94016,0.0510191,0.997595,0.0414776,10.4517,0.188588,
171,16.1396,31.8122,34.4551,0.507342,2.94024,0.586577,3.26317,0.623172,22.4877,1.9113,2.41113,0.88563,1.08747,1.42477,27.2571,4.49564,1.94016,0.0502622,0.873142,0.0414776,10.4515,0.12449,
172,16.1396,24.3443,29.9695,0.662974,2.51415,1.01418,3.13309,0.173848,16.0176,1.49149,2.01559,1.8285,0.757077,0.497163,23.0171,4.92652,1.94016,0.462512,2.9267,0.0410971,10.4515,0.242634,
173,16.1396,38.7219,46.5694,0.416809,2.76741,1.5858,3.43503,0.778652,26.6232,3.53187,1.9233,2.65614,1.23519,1.55758,35.8439,7.78302,1.94016,0.0525241,1.62638,0.0410607,10.4516,0.129616,
174,16.1394,29.1439,33.0555,0.553783,2.43496,0.9589,3.12246,0.280185,20.745,1.60233,1.49203,1.73274,1.033,1.00856,27.3881,4.55007,1.93988,0.0309471,0.874986,0.0410607,10.4516,0.0184433,
175,16.1386,31.5218,40.2228,0.511982,2.55434,0.899984,3.39705,0.484059,22.9459,1.24053,1.72271,1.61928,1.20472,1.41667,32.9198,3.98128,1.93943,0.0238808,2.92663,0.0410607,10.4515,0.0663539,
176,16.1386,27.9134,28.6276,0.578167,2.51404,1.24173,3.00931,0.278182,18.4543,2.41585,1.72445,2.08381,0.831134,0.740161,21.3322,5.60122,1.93943,0.0506323,0.939422,0.0410607,10.4514,0.242559,
177,16.1386,38.6884,44.7703,0.417143,2.97686,1.37933,3.41789,0.745669,27.7782,2.39047,2.10474,2.0584,1.38481,1.49314,35.6846,5.3157,1.93943,0.017147,1.03501,0.0410607,10.451,0.155027,
178,16.1379,30.2422,36.7041,0.533622,2.28276,1.05815,3.32819,0.30671,21.0699,2.19651,1.4555,2.07136,1.05323,0.924611,29.8624,6.33591,1.93943,0.0391584,2.92663,0.0410607,10.451,0.150752,
179,16.1379,29.6847,31.2964,0.543643,2.80268,1.06694,3.09323,0.393852,19.3183,3.00972,2.17985,1.58904,0.936196,0.883695,23.3158,7.14772,1.93943,0.0156845,0.86805,0.0408913,10.451,0.24259,
180,16.1377,29.5964,34.0777,0.545259,2.80759,1.27045,3.25387,0.50173,18.8672,2.89551,2.14904,1.99949,0.877716,1.23721,24.4127,7.80735,1.93943,0.0640649,2.92652,0.0407784,10.451,0.178448,
181,16.1371,36.1212,41.8627,0.44675,2.89143,1.60973,3.11652,0.577507,24.2202,3.70578,2.19632,2.35431,1.0556,1.48121,29.9016,7.70787,1.93943,0.140092,0.965264,0.0407464,10.451,0.242463,
182,16.1371,26.7436,33.124,0.603402,2.40847,0.769515,3.22165,0.200143,18.5462,1.59758,1.47201,1.55977,0.926919,0.649189,26.4173,4.66663,1.93943,0.0452625,2.92628,0.0407464,10.4511,0.0522056,
183,16.1371,37.7096,44.129,0.427931,2.6925,1.55177,3.48694,0.567202,26,3.41122,1.71448,2.59376,1.29261,1.15927,34.5546,7.22657,1.51448,0.0517131,2.14297,0.0407464,10.4508,0.0996642,
184,16.1371,28.0869,30.3379,0.574542,2.53394,0.97909,3.1246,0.482916,19.0095,1.95685,1.77899,1.59403,0.915239,1.23344,23.8854,5.13287,1.93943,0.0538865,1.02093,0.0407464,10.4511,0.234903,
185,16.1371,32.5721,36.3716,0.495428,2.71008,1.37721,3.25864,0.584999,20.4734,4.16771,2.03839,2.18754,0.825525,1.36551,24.5338,8.39287,1.93943,0.110491,2.72815,0.0407464,10.4511,0.242103,
186,16.1359,32.3198,35.6537,0.499255,2.71143,1.06251,3.2714,0.453825,22.4141,2.4066,2.10566,1.83349,1.04659,1.17627,26.9527,5.83898,1.93943,0.0136451,0.960483,0.0405566,10.4508,0.03563,
187,16.1359,34.089,38.0599,0.473345,2.79608,1.33385,3.13989,0.564389,21.054,5.20076,2.00054,1.98801,0.912249,1.22751,26.8589,9.74287,1.93943,0.110242,1.09724,0.0405566,10.4508,0.242103,
188,16.1359,37.5977,43.1526,0.429171,2.80716,1.24544,3.25827,0.594139,26.2458,3.44692,2.0062,2.13259,1.21161,1.2326,31.9795,7.37259,1.93943,0.0217868,0.947072,0.0405566,10.4508,0.0519208,
189,16.1359,32.6695,37.6654,0.493912,2.62487,1.22897,3.07693,0.573225,21.7023,3.46317,1.88567,1.89614,0.950424,1.41788,26.3888,7.81643,1.93943,0.105836,0.962045,0.0405566,10.4508,0.242288,
190,16.1359,32.6035,44.4324,0.494912,2.55485,1.34302,3.17887,0.410227,22.3503,2.76617,1.65393,2.21995,1.0623,0.951552,33.6844,6.66622,1.93948,0.533995,1.07677,0.0405566,10.4507,0.242288,
191,16.1359,34.3583,36.3238,0.469635,3.09006,1.27646,3.36688,0.879362,22.5209,3.22462,2.46678,2.01519,1.00483,1.78241,26.9937,7.77383,1.93948,0.0374263,2.25556,0.0405566,10.4507,0.0636707,
192,16.1357,29.3012,32.6258,0.550686,2.62037,1.08586,3.04866,0.372138,19.8132,2.36093,1.98787,1.76174,0.936767,1.06839,24.3671,6.79313,1.93942,0.0448498,0.98596,0.0405566,10.4504,0.0735922,
193,16.1357,37.0999,45.8861,0.434927,3.23003,1.48654,3.23088,0.708579,25.4125,3.03134,2.90178,2.51777,1.17627,1.55328,35.4455,7.13016,1.93942,0.0341218,1.51216,0.0405566,10.4507,0.122383,
194,16.1357,33.3479,35.0795,0.483859,2.96291,1.35767,3.18719,0.489496,23.0875,2.26312,2.2949,2.07349,1.08216,1.053,28.4942,5.06742,1.9394,0.119744,0.930909,0.0405034,10.4507,0.242486,
195,16.1356,32.6847,35.984,0.493673,2.62167,1.03207,3.18298,0.438335,22.8009,2.60876,1.62916,1.5829,1.12806,1.10982,29.3071,5.79174,1.93936,0.0421366,1.12783,0.0405034,10.4507,0.221009,
196,16.1356,45.1878,53.3298,0.357078,3.50658,1.58823,3.70954,0.610491,31.9707,3.80229,2.95594,3.49669,1.46719,1.17956,38.5052,7.7996,1.93936,0.0170064,2.9263,0.0405034,10.4507,0.075639,
197,16.1356,26.2582,25.8587,0.614497,2.55394,0.910826,3.2125,0.358801,17.1082,2.11386,2.14379,1.65643,0.866669,0.915106,21.4966,6.01561,1.93936,0.121475,2.92602,0.0405034,10.4508,0.242424,
198,16.1355,40.9651,40.9869,0.393883,3.10377,1.55684,3.34159,0.888749,27.5799,4.49419,2.37393,2.34821,1.1817,1.59213,30.2569,7.62341,1.93936,0.0306995,1.2038,0.0405566,10.4508,0.0691823,
199,16.1353,39.3406,42.0691,0.410145,3.05378,1.47122,3.39103,0.654911,26.7645,4.0052,2.30064,2.17024,1.18179,1.60715,30.6288,8.43366,1.93922,0.0654937,1.02686,0.0405566,10.4508,0.170443,
200,16.1353,31.6161,38.8355,0.510352,2.55854,1.233,3.18782,0.300904,21.9706,2.36525,1.89479,1.9808,1.07285,0.7684,30.7276,6.02481,1.93922,0.0254802,1.15764,0.0405715,10.451,0.135365,
