Individual,Heave.front.roll_center_gnd.z,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.motion_ratio_heave_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.927683,0.00304378,0.000333142,2.08702,0.469491,1.0018,28.2291,5.45344e-05,0.0836267,3.05872,
1,0.927683,0.00304821,0.000336695,2.08707,0.46951,1.0018,28.2291,5.43548e-05,0.0835525,3.05871,
2,0.927683,0.00304321,0.000347546,2.08708,0.469504,1.0018,28.2291,5.45494e-05,0.0835491,3.05871,
3,0.927684,0.00301645,0.000333472,2.08723,0.46951,1.0018,28.2292,5.6935e-05,0.0833539,3.05869,
4,0.927682,0.00307364,0.0003543,2.08654,0.469498,1.0018,28.2289,5.36834e-05,0.0841954,3.0588,
5,0.927683,0.00305837,0.000357938,2.08683,0.469513,1.0018,28.229,5.35737e-05,0.0838439,3.05875,
6,0.927684,0.00302785,0.000336059,2.08733,0.469526,1.0018,28.2292,5.60487e-05,0.0832507,3.05866,
7,0.927684,0.00303582,0.000334608,2.08707,0.469516,1.0018,28.2291,5.55526e-05,0.0835462,3.05871,
8,0.927684,0.00300767,0.000347568,2.08723,0.469516,1.0018,28.2292,5.78184e-05,0.0833635,3.05868,
9,0.927683,0.00303715,0.000343592,2.08688,0.469508,1.0018,28.2291,5.64507e-05,0.083815,3.05873,
10,0.927683,0.00304799,0.000359888,2.08707,0.469509,1.0018,28.2291,5.47351e-05,0.0835496,3.05871,
11,0.927683,0.00305743,0.000340694,2.08692,0.469516,1.0018,28.2291,5.40681e-05,0.0837562,3.05873,
12,0.927682,0.00305676,0.000373894,2.0867,0.469517,1.0018,28.229,5.39119e-05,0.0839766,3.05878,
13,0.927685,0.00300717,0.000334844,2.08744,0.46952,1.0018,28.2293,5.7413e-05,0.0831239,3.05865,
14,0.927683,0.00304976,0.000354218,2.08688,0.469515,1.0018,28.229,5.52035e-05,0.0838048,3.05873,
15,0.927682,0.00307231,0.000348608,2.08676,0.469525,1.0018,28.229,5.28766e-05,0.0839357,3.05876,
16,0.927683,0.00307059,0.00035235,2.08679,0.469518,1.0018,28.229,5.34308e-05,0.0838897,3.05876,
17,0.927683,0.00304909,0.000364375,2.08705,0.469503,1.0018,28.2291,5.51356e-05,0.0835929,3.05871,
18,0.927684,0.00302728,0.000358291,2.08735,0.469515,1.0018,28.2293,5.60027e-05,0.0832109,3.05866,
19,0.927683,0.00303588,0.000350114,2.08687,0.469526,1.0018,28.2291,5.57468e-05,0.0838128,3.05873,
20,0.927683,0.00303817,0.000356669,2.08684,0.469511,1.0018,28.229,5.55178e-05,0.0838408,3.05875,
21,0.927682,0.0030607,0.000380033,2.0867,0.46952,1.0018,28.229,5.37696e-05,0.0839527,3.05878,
22,0.927683,0.00304663,0.000404931,2.08674,0.469512,1.0018,28.229,5.47355e-05,0.0839059,3.05877,
23,0.927683,0.00305869,0.000334941,2.08685,0.46952,1.0018,28.229,5.38967e-05,0.0838494,3.05875,
24,0.927683,0.00305341,0.000384883,2.08684,0.469515,1.0018,28.229,5.44324e-05,0.0838046,3.05875,
25,0.927683,0.0030469,0.000349274,2.08685,0.469516,1.0018,28.229,5.54466e-05,0.0838323,3.05874,
26,0.927684,0.00301977,0.000373081,2.08718,0.469513,1.0018,28.2292,5.63852e-05,0.0834236,3.05869,
27,0.927682,0.00306348,0.000349539,2.08674,0.469523,1.0018,28.229,5.41166e-05,0.0839659,3.05876,
28,0.927684,0.00300926,0.000364197,2.08734,0.469504,1.0018,28.2293,5.80433e-05,0.0832407,3.05865,
29,0.927683,0.00303426,0.00038071,2.08697,0.469509,1.0018,28.2291,5.5862e-05,0.0836738,3.05872,
30,0.927683,0.00305256,0.000384311,2.08685,0.469515,1.0018,28.229,5.48114e-05,0.0837982,3.05875,
31,0.927683,0.00304268,0.000386376,2.08692,0.469521,1.0018,28.2291,5.53287e-05,0.0837322,3.05873,
32,4.99986,1645.99,12.4097,32.6353,56.1363,1.00569,15.6285,32.2845,0.406019,4.7969,
33,0.927683,0.00305365,0.000381198,2.08695,0.469515,1.0018,28.2291,5.43757e-05,0.0836794,3.05873,
34,24.273,449.018,10.964,142.295,63.1727,0.998974,13.0695,8.99264,0.536758,2.8812,
35,0.927683,0.0030586,0.000334284,2.08682,0.469514,1.0018,28.229,5.41269e-05,0.0838288,3.05876,
36,0.927684,0.00303328,0.000397822,2.08716,0.469497,1.0018,28.2292,5.60682e-05,0.0834221,3.05869,
37,0.927683,0.00304799,0.000340907,2.08691,0.469506,1.0018,28.2291,5.50225e-05,0.0837371,3.05874,
38,0.927683,0.00305921,0.000355517,2.08685,0.469507,1.0018,28.229,5.39492e-05,0.0838095,3.05875,
39,0.927683,0.00304283,0.000342644,2.08706,0.469517,1.0018,28.2291,5.54863e-05,0.0835794,3.05871,
40,0.927684,0.0030334,0.000336868,2.08725,0.469507,1.0018,28.2292,5.56137e-05,0.0833478,3.05868,
41,0.927683,0.00303349,0.00039714,2.08701,0.469508,1.0018,28.2291,5.5834e-05,0.0836122,3.05872,
42,0.927683,0.00303597,0.000372717,2.08707,0.469513,1.0018,28.2291,5.59318e-05,0.0835602,3.0587,
43,0.927684,0.003017,0.000359502,2.08731,0.469513,1.0018,28.2292,5.67759e-05,0.0832494,3.05867,
44,0.927683,0.00303945,0.000378679,2.08686,0.469522,1.0018,28.2291,5.54383e-05,0.0837943,3.05874,
45,0.927684,0.00301744,0.000334186,2.08735,0.469512,1.0018,28.2293,5.78248e-05,0.0832708,3.05865,
46,0.927684,0.00305104,0.000333033,2.08712,0.469535,1.0018,28.2291,5.41344e-05,0.0834966,3.0587,
47,0.927683,0.00304649,0.000336818,2.08686,0.469506,1.0018,28.229,5.51279e-05,0.0838234,3.05874,
48,0.927683,0.00305824,0.000366658,2.08682,0.469509,1.0018,28.229,5.41942e-05,0.0838433,3.05875,
49,0.927684,0.00303381,0.000347528,2.08718,0.469505,1.0018,28.2292,5.61329e-05,0.0834351,3.05869,
