Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,56.675,426.677,160.171,0.132829,339.114,4.33159,14.1608,1.89012,1.28513,6.66567,0.411685,26.0554,1.4015,18.2082,10.4827,1.12302,1.54691,135.301,0.704686,11.9306,2.23692,1.02622,4.80625,0.423744,15.5003,1.69099,19.3086,10.7832,1.30728,1.15664,23.5943,2.67387,0.0916775,0.0305215,0.120077,0.383569,0.192344,2.05719,0.0376015,0.129848,6.11819,0.162532,0.272443,
1,56.675,344.658,94.7974,0.164438,239.559,5.33769,13.3073,1.7545,1.19533,3.05066,0.331809,26.7036,1.7557,38.7356,10.3402,0.958655,1.62818,114.362,3.85199,11.7589,1.14683,0.656624,3.30886,0.130677,22.0024,1.26118,57.2185,3.87643,0.642749,0.842619,23.5943,2.14699,0.0916775,0.0305215,0.18802,0.0815393,0.00701963,0.561128,0.0376015,0.129848,6.11819,0.160568,0.458695,
2,56.675,330.432,84.0864,0.171518,213.922,6.51493,11.6631,1.79607,1.05987,3.34851,0.303626,35.164,1.47854,42.7536,9.72029,1.1071,1.60055,64.502,3.57757,10.0866,1.09872,0.525572,2.42023,0.0955884,24.0237,1.25382,43.8711,2.45667,0.775868,0.64017,23.5943,2.14699,0.0916775,0.0305215,0.18802,0.0815393,0.0811021,0.966247,0.0376015,0.129848,4.17547,0.0881908,0.532474,
3,56.675,291.015,49.8556,0.194749,187.802,5.54574,9.51878,1.93835,1.24477,3.29058,0.254981,34.1902,1.59431,32.5721,10.1646,1.00593,1.89323,56.3763,2.76226,7.74505,1.12661,0.537976,2.61357,0.107077,18.426,1.09764,32.2154,2.15369,0.609156,0.742985,23.5943,2.14699,0.0916775,0.0305215,0.18802,0.0815393,0.0274752,2.15464,0.0376015,0.129848,7.98625,0.160568,0.532474,
4,56.675,291.637,61.6389,0.194334,171.482,6.6558,9.65029,1.98999,1.12515,3.94383,0.221668,38.836,1.50761,42.9506,10.0189,1.18787,2.06822,44.7223,3.87999,7.17801,1.21343,0.521127,2.69393,0.0973381,21.9784,0.980099,43.7935,2.27166,0.716352,0.716905,23.5943,2.14699,0.0916775,0.0305215,0.38372,0.0815393,0.0274752,2.15464,0.0376015,0.129848,5.64141,0.160568,0.532474,
5,56.675,268.064,50.448,0.211423,162.874,6.04568,10.0106,2.19108,1.03782,3.11133,0.22121,41.5363,1.40461,26.4485,10.2852,1.00473,1.89325,40.4095,2.90385,6.95175,1.17595,0.471103,2.82307,0.0927506,18.8239,1.17457,28.4001,2.12156,0.67514,0.793484,23.5943,2.55753,0.0916775,0.0305215,0.38372,0.078282,0.0274752,2.15464,0.0376015,0.129848,7.98625,0.118773,0.532474,
6,56.675,251.11,48.6656,0.225698,150.954,6.43186,8.94885,2.28968,1.08689,3.10542,0.174586,39.9394,1.45254,23.4913,10.2677,1.02008,1.94819,35.537,4.10503,6.68685,1.12443,0.479701,2.48907,0.103611,21.8571,1.24096,22.9126,2.56501,0.644987,0.687083,23.5943,1.57586,0.0916775,0.0305215,0.207046,0.078282,0.00885814,2.15464,0.0376015,0.129848,3.32572,0.118773,0.677848,
7,56.675,235.47,42.1884,0.240689,141.882,5.76879,9.76553,2.07272,1.27844,3.35865,0.137699,29.1704,2.02576,26.2728,10.8404,0.963586,1.93352,35.3815,3.42199,7.86833,1.17252,0.509044,2.39265,0.103867,20.3786,1.58585,23.1819,2.46036,0.593583,0.693352,23.5943,2.01767,0.0916775,0.0305215,0.358093,0.208846,0.00885814,1.71803,0.155224,0.129848,8.22286,0.0785558,0.677848,
8,56.675,230.75,50.0107,0.245612,123.26,6.69878,13.9501,1.58881,1.23083,3.97749,0.114619,28.266,1.78165,35.4456,11.1502,1.00048,2.28606,35.9681,4.69515,8.97185,1.2605,0.474142,2.45978,0.082361,21.9896,1.43476,32.8812,2.82011,0.705347,0.814681,23.5943,1.60036,0.0916775,0.0305215,0.358093,0.435612,0.00885814,0.842693,0.0906422,0.129848,7.90808,0.0681004,0.677848,
9,56.675,223.478,89.6361,0.253604,115.767,5.83656,14.0449,1.86998,1.09136,4.22671,0.125824,25.411,1.65021,38.6351,11.5131,1.11787,2.18856,70.6217,4.84079,8.73804,1.23125,0.570464,2.41177,0.129151,18.6354,1.39718,27.1486,3.0191,0.670031,0.783941,23.5943,0.992814,0.0916775,0.0305215,0.277688,0.154182,0.00885814,1.71803,0.103717,0.129848,1.70229,0.0681004,0.677848,
10,56.675,213.66,132.843,0.265258,89.4874,6.31646,13.5382,2.14536,1.06163,3.49846,0.172793,23.2355,1.32084,45.2372,24.4808,1.04158,2.12356,58.41,5.18527,9.93819,1.11934,0.500076,2.07098,0.17097,24.0022,1.25311,46.4907,85.9242,0.609728,0.865942,9.04524,0.992814,0.0916775,0.0305215,0.0963108,0.154182,0.00885814,1.40723,0.019064,0.129848,0.32319,0.0681004,1.17605,
11,56.675,181.382,39.5777,0.312462,65.0589,5.40046,14.9639,2.08895,1.10491,3.83752,0.203295,22.4403,1.12441,47.0962,14.7547,1.19414,2.1146,38.5999,3.64552,9.93708,0.982853,0.381629,2.08004,0.145372,14.6589,1.2074,35.0909,13.806,0.624571,0.855274,9.04524,0.992814,0.0916775,0.0305215,0.0963108,0.154182,0.00911858,1.27089,0.019064,0.129848,0.32319,0.0681004,0.637914,
12,56.675,181.625,82.9156,0.312044,76.9076,5.1134,13.2956,2.06513,1.04832,4.1704,0.184971,20.5057,0.8985,39.5965,14.686,1.28554,1.8672,44.189,4.37126,10.6977,1.08558,0.416053,2.0597,0.141679,17.2454,0.776681,37.2447,6.12509,0.665488,0.893681,9.04524,0.922505,0.0916775,0.0305215,0.0963108,0.154182,0.00107403,1.84398,0.019064,0.129848,7.69829,0.0270422,0.630968,
13,56.675,155.302,30.3146,0.364933,64.2937,4.70095,11.2962,2.24296,1.14253,3.72828,0.211632,15.9604,0.758019,32.3255,15.5695,1.28347,1.78922,30.7445,2.45049,9.80321,0.86102,0.267316,1.91934,0.125116,10.212,0.693023,27.3222,5.98262,0.606935,0.859619,10.6065,1.60036,0.0916775,0.0305215,0.511366,0.154182,0.00107403,0.210328,0.019064,0.129848,7.69829,0.0785558,0.907449,
14,56.675,156.244,46.2918,0.362733,60.9422,6.81119,9.49096,2.26052,1.10853,3.85627,0.23842,18.5697,0.985507,31.0126,17.9526,1.41891,1.59702,28.5497,3.80613,7.55382,1.07022,0.358938,2.37016,0.130173,12.8994,0.967461,27.2672,9.51738,0.636098,0.734764,10.6065,1.60036,0.0916775,0.0305215,0.29659,0.154182,0.00107403,0.210328,0.0102614,0.129848,6.22032,0.122028,0.455992,
15,56.675,148.474,94.7547,0.381718,54.3693,7.33708,10.5153,2.1862,0.923025,3.44121,0.318056,18.6267,0.951289,24.8095,21.9797,1.23522,1.78095,76.6105,4.24625,10.4326,1.09587,0.335398,2.45077,0.146251,13.0956,0.800435,22.1158,10.793,0.654668,0.761365,10.6065,1.49253,0.0916775,0.0305215,0.267148,0.037784,0.00107403,0.210328,0.019064,0.129848,7.61549,0.061488,0.924789,
16,56.675,132.484,75.0676,0.427787,40.8736,7.34001,8.12275,1.92299,0.875663,2.85159,0.325924,17.7469,1.14242,24.736,23.6913,1.1858,1.66936,31.7012,3.95481,9.55078,1.25517,0.281913,2.13322,0.103746,12.1217,0.866102,42.1024,10.7918,0.750153,0.52952,10.6065,1.49253,0.0916775,0.0305215,0.267148,0.037784,0.0360156,0.210328,0.0391464,0.129848,12.8797,0.061488,0.924789,
17,56.675,113.845,18.4766,0.497826,31.0861,7.06122,7.06301,2.24822,0.865379,2.79516,0.35169,17.1614,1.0079,16.3335,25.006,1.12335,1.74214,17.2209,3.70999,6.32392,1.195,0.292119,1.82225,0.0837258,12.2668,0.814561,13.5676,9.66179,0.645525,0.508092,10.6065,0.871075,0.0916775,0.0305215,0.267148,0.037784,0.168905,0.235182,0.0175253,0.129848,12.8797,0.061488,0.954668,
18,56.675,119.358,66.3076,0.474834,30.6398,6.71339,7.94826,2.24535,0.907952,2.68908,0.379101,18.0531,1.10141,20.5652,25.3088,1.15076,1.6553,28.2328,4.75295,8.26394,1.13061,0.414605,1.88107,0.0823436,17.1789,0.851134,25.2174,7.62314,0.750087,0.478801,10.6065,0.781027,0.0916775,0.0305215,0.267148,0.037784,0.201297,0.529754,0.0175253,0.129848,13.6407,0.061488,0.253096,
19,56.675,101.187,17.6008,0.560104,25.9901,6.84423,5.52686,2.20958,0.802744,2.33929,0.379805,14.4233,1.24054,13.2175,25.5661,1.0571,1.58954,10.5035,3.38145,4.12698,1.23169,0.276738,1.66043,0.0545582,12.3132,0.907003,11.3748,5.96722,0.719317,0.353577,11.3147,1.17284,0.0916775,0.0305215,0.185992,0.037784,0.294203,0.741337,0.0132481,0.129848,12.1671,0.061488,0.94106,
20,56.675,93.923,16.6329,0.60342,21.3866,6.81284,4.31729,1.69443,0.797461,2.4334,0.410967,14.3361,1.28927,9.70389,27.9957,1.22663,1.51856,9.09222,3.80303,3.19227,1.36779,0.298244,1.58202,0.0659249,14.0686,1.14647,6.50008,9.1858,0.816976,0.30939,6.2788,0.632023,0.0916775,0.0220495,0.185992,0.037784,0.298237,0.0621465,0.0132481,0.129848,13.8945,0.061488,0.907102,
21,56.675,114.798,144.834,0.493694,37.0599,6.66372,5.08416,1.61558,0.916655,2.12288,0.410194,14.6692,1.26243,15.4958,26.8319,1.14701,1.51848,86.8038,5.43747,8.25592,1.26541,0.317156,1.98685,0.0912945,22.1191,1.11431,27.3561,7.48252,0.756814,0.544686,6.3407,0.632023,0.0916775,0.0305215,0.280827,0.037784,0.276297,0.0621465,0.0132481,0.129848,12.6099,0.0400263,0.907102,
