Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
134,54.09,70.0081,111.359,0.772625,0.0553896,2.84039,40.2467,0.311443,0.0846633,0.0433369,0.154864,2.42089,0.338979,21.968,0.07931,1.46415,0.307765,21.7254,74.986,1.98816,0.567198,0.167124,0.633083,17.0585,0.085577,1.26606,0.357491,0.0991435,0.0140542,0.000629341,29.9349,0.0252673,0.00338589,0.0266997,0.0851065,0.0206078,0.326519,14.5458,0.0287552,0.780991,
135,54.09,89.8479,146.281,0.602018,0.0854834,14.2706,44.6426,2.246,0.263432,0.198768,0.447773,4.28825,0.339935,21.4093,0.178091,1.47764,0.323307,62.6959,63.8524,8.91272,0.909101,0.663676,1.26221,14.7325,0.0903095,2.52568,0.539351,0.198375,0.0142891,0.000629341,29.9344,0.0252673,0.00338589,0.0267327,0.0850744,0.0210159,0.0775658,11.1867,0.0287552,0.974392,
136,54.0883,120.654,206.904,0.448293,0.1007,25.4056,59.6511,2.59355,0.516597,0.316265,0.783233,7.4373,0.32905,21.824,0.182752,1.51373,0.271527,77.9995,97.4432,8.79929,1.58017,1.04505,2.67616,26.4323,0.113955,1.7681,0.503923,0.314831,0.0143836,0.000629341,29.9287,0.0255386,0.00337127,0.0267327,0.0850744,0.0211762,0.0359847,13.1526,0.0287936,0.815648,
137,54.0858,89.8639,152.051,0.601864,0.109464,11.6352,45.173,2.26649,0.199571,0.185713,0.399123,6.05856,0.343513,21.8479,0.145674,1.49966,0.422319,50.6112,83.9883,8.8779,0.870671,0.722302,1.66006,25.1029,0.11427,1.25123,0.536911,0.249446,0.0144736,0.000629341,29.9195,0.0255386,0.00335004,0.0267327,0.0850744,0.0211762,0.141699,14.1641,0.0287936,0.936605,
138,54.0858,119.016,196.109,0.454442,0.318299,14.4321,67.49,3.31536,0.524189,0.263748,0.811213,8.66285,0.360707,21.0847,0.230359,1.52255,0.994887,49.7254,116.477,10.3314,1.45885,0.799153,2.42792,24.6709,0.147951,3.07409,0.623257,0.419687,0.0144736,0.00101046,29.9307,0.024914,0.00334531,0.0265975,0.0850744,0.0211876,0.229435,9.93364,0.0287217,0.311975,
139,54.0858,86.3325,171.603,0.626483,0.0394599,5.73205,50.5455,1.76996,0.161442,0.105864,0.688672,3.64232,0.343167,21.6977,0.0775858,1.5287,0.246594,38.4815,106.063,9.0504,0.862667,0.44132,2.95544,21.5252,0.115606,2.172,0.283275,0.540704,0.0143238,0.000558034,29.9334,0.0249262,0.00335074,0.0266761,0.0854867,0.0211876,0.326568,11.052,0.0287217,0.359448,
140,54.0855,137.606,244.275,0.393046,0.307773,23.8374,74.3706,4.22638,0.464418,0.591997,1.02961,9.14212,0.366576,21.2761,0.272911,1.71981,0.933311,75.612,149.35,12.2616,1.3268,1.9622,2.91306,28.2882,0.230843,3.50534,0.726629,1.34913,0.0143238,0.000558034,29.9351,0.0257116,0.00336625,0.0268527,0.0854867,0.0211876,0.136065,6.87296,0.0288004,0.357878,
141,54.0855,101.743,166.15,0.531589,0.254598,21.7747,44.3074,3.6478,0.276462,0.13748,0.419774,6.30135,0.316305,22.5589,0.215472,1.53274,1.0073,76.4779,54.6371,14.0656,0.958988,0.525593,1.49472,22.6813,0.0667322,5.2667,0.665998,0.310285,0.0143238,0.000558034,29.9279,0.0257116,0.00336625,0.0268945,0.0855844,0.0211863,0.0659943,4.27858,0.0288343,1.15737,
142,54.0855,95.8746,147.552,0.564127,0.233026,11.5244,53.0289,2.31234,0.355095,0.247833,0.470116,4.17158,0.345483,21.5005,0.187225,1.49822,0.863203,44.7806,95.8456,8.4352,1.22242,0.76661,1.70933,14.5292,0.0954485,2.61196,0.574414,0.227762,0.0146319,0.000553543,14.5562,0.0258557,0.00336625,0.0268908,0.0853154,0.0209946,0.288898,10.6146,0.0288361,0.814656,
143,54.0827,103.708,185.587,0.521493,0.140931,14.6615,54.8483,3.33316,0.396648,0.219358,0.990233,5.69155,0.336124,21.3861,0.161512,1.54218,0.508113,57.4394,101.339,11.3418,1.34574,0.789023,3.49978,22.1231,0.0991459,2.67838,0.502162,0.438024,0.0146319,0.000553543,29.9218,0.0258277,0.00337282,0.0267559,0.0853154,0.0211863,0.190171,8.55225,0.0288262,1.11276,
