Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
0,91.622,260.451,96.6243,0.351782,33.0472,65.1519,4.54713,45.2137,23.6116,19.6028,3.67903,46.0123,19.5851,33.5893,77.1463,5.18216,88.0686,29.4281,12.1952,4.00567,55.7925,23.1252,4.72131,1.78596,0.150799,12.6446,0.131991,0.784268,0.385787,3.27377,0.554207,
1,91.622,415.561,422.037,0.220478,31.9518,48.7359,3.83829,38.5603,21.3728,115.645,3.79171,36.0414,115.624,16.5154,35.5146,2.65675,34.5395,17.689,229.163,2.17619,29.8345,200.69,4.72131,1.78596,0.150799,10.6888,0.131991,0.784268,0.495951,2.85549,0.554207,
2,91.622,489.512,534.446,0.18717,31.5711,39.2138,4.59236,36.5297,19.2268,160.63,3.38283,33.7439,160.621,17.1117,30.7045,2.83175,30.0473,15.5099,264.742,2.02283,24.9841,264.6,4.72131,1.78596,0.150799,9.31226,0.131991,0.784268,0.661744,3.27377,0.554207,
3,91.622,350.427,312.193,0.261458,30.3453,43.1096,4.00808,32.144,17.2599,91.4414,3.40068,37.1935,91.5245,16.8765,38.3052,2.74089,26.3731,15.8354,172.652,1.86371,26.6282,172.396,4.72131,1.78596,0.150799,12.3111,0.131991,0.784268,0.674659,3.27377,0.554207,
4,91.622,365.99,347.183,0.25034,42.263,39.958,3.62498,30.6068,15.2999,100.207,3.42967,30.3455,100.255,42.7705,36.8492,2.27942,20.7648,18.4855,163.311,2.15348,23.5534,164.788,10.3917,0.658748,0.150799,12.6582,0.131991,0.784268,0.638337,3.27377,0.554207,
5,91.622,340.923,304.986,0.268747,35.7058,32.2438,4.23513,31.1057,13.0145,95.7277,3.43559,29.6578,95.7971,28.6243,31.9619,2.50585,21.4719,12.1971,147.489,2.00052,20.4442,148.536,10.435,1.78596,0.111325,14.1957,0.131991,0.784268,0.644732,3.27377,0.554207,
6,91.622,356.403,360.267,0.257074,34.4875,30.3806,3.6751,64.8052,12.9482,91.3099,3.32017,24.2085,91.268,17.3405,34.5107,2.51997,106.101,10.3197,153.092,2.02554,20.4401,152.625,11.0548,1.69139,0.150799,13.2411,0.131991,0.784268,0.674659,3.27377,0.554207,
7,91.622,326.963,493.728,0.280221,31.5589,32.8509,3.53935,28.6607,11.7915,94.6916,3.53005,26.255,94.0854,16.2882,26.281,2.38413,38.815,10.4566,243.006,2.14523,19.4114,238.913,9.88083,1.78596,0.0513293,13.6937,0.131991,0.784268,0.674659,3.27377,0.554207,
8,91.622,331.233,319.023,0.276609,30.814,32.1369,3.75327,30.0139,12.5194,97.1981,3.5309,24.0611,97.2056,27.072,22.0885,2.60215,17.0715,13.2801,158.422,2.50801,16.6758,158.578,3.30498,1.78596,0.0513293,14.1957,0.131991,0.784268,0.674659,3.45554,0.554207,
9,91.622,327.757,311.86,0.279543,32.852,30.7743,4.50259,28.1466,11.6874,94.9835,2.96871,26.8009,95.0406,17.1543,31.0689,2.91676,14.8668,9.52888,153.385,1.89851,20.0361,153.551,6.20054,1.78596,0.0513293,13.6827,0.131991,0.784268,0.646661,3.64045,0.534657,
