Individual,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
169,0.910944,1.65941,0,3.72682,663.373,46.7661,2.26967,0.506066,1.52524,
170,0.910575,1.65943,0,3.72683,663.373,46.7654,2.26964,0.506767,1.52569,
171,0.910485,1.65939,0,3.72673,663.373,46.7664,2.26974,0.505713,1.52564,
172,0.910284,1.65941,0,3.72677,663.373,46.7654,2.26974,0.506774,1.5258,
173,0.911401,1.65941,0,3.7268,663.373,46.7644,2.26959,0.507729,1.5249,
174,0.910615,1.6594,0,3.72681,663.373,46.7651,2.26968,0.507038,1.52552,
175,0.910913,1.65942,0,3.72678,663.373,46.7647,2.26975,0.507403,1.52528,
176,0.910945,1.65946,0,3.72677,663.372,46.7652,2.26968,0.507016,1.52542,
177,0.911178,1.65944,0,3.72675,663.372,46.7619,2.26957,0.510293,1.52524,
178,0.910226,1.6594,0,3.72672,663.373,46.764,2.26976,0.50812,1.52589,
179,0.910925,1.65942,0,3.72679,663.373,46.7652,2.26968,0.506885,1.52529,
180,0.910486,1.65944,0,3.72679,663.372,46.7638,2.26974,0.508293,1.52574,
181,0.910581,1.65946,0,3.72679,663.372,46.7657,2.26972,0.506497,1.5256,
182,865.1,34.3601,0,3.99302,3960.75,1799.89,865.607,105.051,907.177,
183,783.457,22.2932,0,10.2854,2434.37,1800.13,783.178,96.7046,12.3359,
184,136.273,34.3669,0,3.32241,3880.72,1604.23,136.173,18789.3,143.345,
185,0.910597,1.65945,0,3.72671,663.372,46.766,2.26972,0.506312,1.52568,
186,0.91127,1.65946,0,3.72678,663.372,46.7665,2.26963,0.505706,1.52503,
187,301.457,11.2687,0,5.51818,1703.86,494.242,302.723,849.122,304.999,
188,1537.76,22.134,0,8.91197,2601.58,55.7911,1540.05,170.396,904.854,
189,1246.99,2.51399,0,4.65095,905.83,673.246,1246.8,306.717,690.18,
190,0.911089,1.65946,0,3.72668,663.372,46.764,2.2697,0.50828,1.52517,
191,56.4433,7.22413,0,27.8138,1194.47,1315.8,77.9011,1568.47,847.15,
192,445.42,3.95468,0,27.6336,1164.11,595.88,448.494,1046.15,637.754,
193,0.910446,1.65942,0,3.7268,663.372,46.7652,2.26979,0.507195,1.52573,
194,2.36924,34.3479,0,23.0034,3876.98,660.945,3.96446,47.1111,7.39244,
195,0.911016,1.65945,0,3.72676,663.372,46.7646,2.26964,0.507412,1.5252,
196,85.4803,7.83641,0,26.585,1385.04,1719.58,105.406,956.407,1005.9,
197,0.910949,1.65944,0,3.72668,663.372,46.7631,2.26973,0.509056,1.52527,
198,1577.68,11.3735,0,10.4541,3339.11,1601.76,1589.31,3629.67,1822.6,
199,0.910464,1.65945,0,3.72678,663.372,46.7644,2.26965,0.507658,1.52572,
