Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
89,9.00992,38.7228,64.4165,0.232678,6.56489,4.14376,12.3297,14.9609,0.72351,6.55966,2.02346,28.097,32.6478,1.18521,0.107655,3.23181,0.222822,0.105663,0.319362,
90,9.00992,26.6543,47.9436,0.338029,5.48562,3.44728,10.5237,6.43143,0.766241,3.36588,0.750131,30.319,20.8962,1.31685,0.137305,2.25698,0.222822,0.110463,0.315753,
91,9.00992,39.6085,58.9127,0.227475,5.64455,3.92429,15.653,13.4456,0.941023,4.41389,1.48667,34.3446,32.2751,1.56554,0.0747537,2.99469,0.225542,0.110463,0.314101,
92,9.00633,37.1307,62.4447,0.242558,5.72231,3.62815,12.3553,14.5903,0.834616,3.75206,1.16822,29.6756,38.2697,1.24096,0.0807561,2.14666,0.225542,0.110463,0.3103,
93,8.99343,22.6008,44.4945,0.397926,5.08572,3.61603,6.62424,6.81236,0.462431,2.4773,0.85879,22.7552,26.1697,0.467593,0.129198,3.38739,0.234139,0.110463,0.304249,
94,8.99343,36.4188,66.9763,0.246945,5.8851,3.67405,13.6304,12.5306,0.698592,4.51111,1.30704,32.6337,33.977,0.979751,0.175778,2.52632,0.234139,0.104636,0.304249,
95,8.99343,29.2269,51.3912,0.30771,5.8744,3.91528,11.0097,7.93309,0.494497,4.16863,1.7041,29.0285,26.5025,0.580137,0.0835238,2.99126,0.234139,0.104636,0.304249,
96,8.98772,25.6219,47.201,0.350783,5.11994,3.87935,8.73905,7.37988,0.503642,2.51205,1.45078,26.5934,26.1989,0.89336,0.182006,3.38633,0.233316,0.110463,0.266923,
97,8.98772,33.23,60.7611,0.27047,5.94914,4.39863,11.1765,10.9326,0.773167,4.31833,2.66923,27.3377,33.056,1.30809,0.153989,2.5641,0.230646,0.109022,0.303524,
98,8.98347,50.8204,77.2753,0.176769,6.55694,4.12228,17.1062,21.9511,1.08384,5.75302,1.89273,31.6801,44.1007,1.73644,0.155431,3.05282,0.230472,0.109022,0.303524,
99,8.98313,26.5698,48.5191,0.338095,4.91585,3.81589,8.41578,8.68395,0.738337,1.91495,1.71067,25.3144,30.7258,1.30152,0.313001,2.65381,0.230472,0.109022,0.303524,
100,8.98089,32.7745,61.6708,0.274021,5.9238,4.0076,12.1653,10.1212,0.556567,4.28459,1.78083,30.7368,28.0289,0.724562,0.179393,3.10908,0.230646,0.109022,0.303524,
