Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
179,8.95145,40.0728,63.6968,0.22338,5.82273,4.72907,14.067,14.5714,0.882523,4.42365,2.94925,30.1105,31.7945,1.48614,0.224698,3.40738,0.225247,0.10716,0.298574,
180,8.95145,38.9411,66.4666,0.229872,6.81507,3.83097,12.0956,15.2032,0.996293,5.57746,1.86555,25.688,36.802,1.68991,0.377105,2.06101,0.225165,0.106662,0.298567,
181,8.95145,25.9108,46.5653,0.345472,5.79079,3.71825,5.95301,9.81747,0.631242,2.69488,1.19726,18.9239,29.5927,1.2093,4.91139,2.74281,0.225165,0.106662,0.298567,
182,8.95145,37.9568,59.6608,0.235833,6.21559,4.06196,14.3446,12.615,0.719613,4.45305,1.82684,27.6876,26.2923,1.11191,0.302086,2.7021,0.225165,0.106662,0.238742,
183,8.95144,39.05,57.4799,0.22923,5.72177,3.97133,18.6985,9.93712,0.721206,4.27384,1.6783,36.9831,26.3971,1.25926,0.184094,2.52623,0.225165,0.106662,0.238143,
184,8.95144,28.8322,55.5938,0.310467,5.52395,3.85735,6.12881,12.6436,0.678467,4.25348,1.53855,26.393,36.266,1.25001,0.109342,2.18926,0.225124,0.106662,0.286909,
185,8.9514,47.6417,79.1555,0.18789,7.66122,3.8168,16.5334,18.6932,0.937099,6.52389,1.33017,34.8369,38.4486,1.52814,1.33559,2.59456,0.225076,0.106662,0.298563,
186,8.95137,29.4551,52.2895,0.303899,6.95868,3.63295,9.3611,8.81536,0.687012,4.88996,0.846853,27.3948,24.4943,1.1203,4.91133,2.55325,0.225124,0.106662,0.298563,
187,8.95137,28.3902,52.1928,0.315298,6.51286,4.08554,6.90604,10.4837,0.402023,4.14718,2.0048,20.1762,29.384,0.335682,4.91133,3.40711,0.225124,0.106662,0.298563,
188,8.95136,34.8841,59.0689,0.256603,6.22933,3.92732,14.7285,9.24066,0.758336,4.89451,1.79321,35.9298,25.7429,1.45041,0.114889,2.18736,0.225124,0.0921537,0.298561,
189,8.95133,31.4915,48.3107,0.284246,5.87555,4.18196,12.8034,8.01014,0.620524,3.80022,2.03404,29.5874,20.0656,0.827113,0.0842215,2.0329,0.225235,0.107161,0.238239,
190,8.95133,40.3802,68.5573,0.221677,6.52065,4.1576,17.4133,11.3713,0.917239,4.98633,1.81976,37.7447,31.1785,1.45685,0.0989506,3.12227,0.225235,0.107256,0.298555,
191,8.95133,43.777,69.0896,0.204476,7.99828,4.01421,13.9262,17.2058,0.632498,8.58293,1.77715,30.5927,36.1174,0.937381,0.6355,2.95106,0.225229,0.107256,0.297685,
192,8.95133,43.9546,62.5643,0.20365,6.25581,4.06338,14.8957,18.0344,0.705281,4.72971,1.69311,29.0827,34.4863,1.07749,0.201659,2.38812,0.225229,0.107256,0.238466,
193,8.95131,42.214,72.7903,0.212046,7.05433,4.22229,15.1657,14.9277,0.844007,5.81595,1.8695,35.295,36.9066,1.47427,0.108086,3.40747,0.225229,0.107256,0.298518,
194,8.95131,28.6932,58.081,0.311966,5.64113,3.92205,10.1922,8.41024,0.527596,5.83406,1.86212,28.9024,28.2449,0.793054,0.144306,2.33125,0.225183,0.107256,0.298518,
195,8.95129,39.0728,58.8646,0.229092,6.24738,3.74447,12.8412,15.415,0.824721,3.81401,1.2173,26.8538,30.6593,1.27055,0.323391,2.02457,0.225183,0.107256,0.29366,
196,8.95129,35.4647,59.4528,0.2524,5.67718,3.82154,13.7588,11.469,0.738165,4.08082,1.55448,32.9435,31.763,1.16345,0.116072,1.98581,0.225183,0.107296,0.29689,
197,8.95126,22.1882,46.5497,0.403424,6.11337,3.7394,8.12641,3.80594,0.403092,4.44312,1.4133,29.2823,17.3145,0.517287,0.0872454,3.14129,0.225183,0.107161,0.298518,
198,8.95118,35.4425,57.7934,0.252555,6.42192,3.92234,13.5886,10.8244,0.685199,4.95623,1.78514,30.0814,22.6385,0.977658,0.428861,2.42493,0.225143,0.107002,0.298518,
199,8.95118,40.7407,63.9656,0.219711,8.23807,4.18047,15.0422,12.3021,0.977926,9.9783,1.9429,30.7758,29.7154,1.54946,0.204756,2.69044,0.225143,0.107002,0.283414,
200,8.95118,31.2551,58.4076,0.286391,5.9034,3.85884,8.93744,11.7157,0.839764,4.97814,1.53027,27.8383,31.6998,1.50772,0.390813,2.56099,0.225143,0.107256,0.29852,
