Individual,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
0,0.928889,1.76896,0,4.08484,663.047,46.7585,2.32267,0.388878,1.55761,
1,0.929337,1.76892,0,4.08705,663.048,46.7549,2.32128,0.392362,1.55667,
2,0.930668,1.76868,0,4.08516,663.048,46.7588,2.32209,0.388231,1.55644,
3,0.929055,1.76892,0,4.08476,663.048,46.7572,2.32245,0.390428,1.55734,
4,0.928987,1.76912,0,4.08482,663.047,46.7567,2.32339,0.390713,1.55714,
5,0.92804,1.76885,0,4.08734,663.048,46.7576,2.32196,0.389493,1.55699,
6,0.929625,1.76896,0,4.08807,663.048,46.7603,2.32065,0.387038,1.55603,
7,0.928289,1.76887,0,4.08563,663.048,46.7633,2.32269,0.384168,1.5578,
8,0.930064,1.76908,0,4.08751,663.047,46.7592,2.32127,0.388075,1.5559,
9,0.928519,1.76875,0,4.08792,663.048,46.7578,2.32125,0.389503,1.55643,
10,0.928609,1.76902,0,4.08648,663.047,46.7595,2.32203,0.387672,1.55769,
11,0.928656,1.76893,0,4.08735,663.048,46.755,2.32164,0.392312,1.55682,
12,0.930712,1.76857,0,4.08126,663.049,46.7589,2.324,0.388234,1.55802,
13,0.928518,1.76896,0,4.08663,663.048,46.7593,2.32181,0.387975,1.55732,
14,0.930003,1.76867,0,4.08573,663.048,46.76,2.32211,0.387492,1.55651,
15,0.928534,1.76879,0,4.0878,663.048,46.7582,2.32133,0.389202,1.55685,
16,0.928291,1.76859,0,4.08815,663.049,46.758,2.3217,0.389053,1.55621,
17,0.928865,1.76896,0,4.08693,663.048,46.755,2.32243,0.392661,1.55605,
18,0.930072,1.76871,0,4.08667,663.048,46.7589,2.32176,0.388393,1.55577,
19,0.927574,1.76884,0,4.08467,663.048,46.7563,2.3235,0.390747,1.55917,
20,0.92792,1.76916,0,4.08828,663.047,46.7584,2.32156,0.38897,1.5571,
21,0.930491,1.76868,0,4.08517,663.048,46.7569,2.3224,0.390492,1.5565,
22,0.9283,1.76875,0,4.08659,663.048,46.7598,2.32211,0.387545,1.55755,
23,0.927356,1.76892,0,4.0878,663.048,46.7565,2.32203,0.390895,1.55733,
24,0.930763,1.76877,0,4.08354,663.048,46.7582,2.32298,0.388981,1.55759,
25,0.928086,1.76899,0,4.08602,663.048,46.7559,2.32285,0.391462,1.55775,
26,0.928931,1.76855,0,4.08648,663.049,46.7555,2.32174,0.391994,1.55671,
27,0.930026,1.7688,0,4.08671,663.048,46.7593,2.32178,0.387947,1.55617,
28,0.92758,1.76905,0,4.08854,663.047,46.7598,2.3217,0.387345,1.55732,
29,0.928502,1.7687,0,4.08734,663.048,46.759,2.32137,0.388187,1.55743,
30,0.928997,1.76869,0,4.08822,663.048,46.7569,2.32096,0.390449,1.55629,
31,0.92867,1.76873,0,4.088,663.048,46.7618,2.32096,0.385684,1.55667,
32,0.931951,1.76859,0,4.0867,663.048,46.7608,2.32152,0.38624,1.5548,
33,0.930716,1.76883,0,4.08676,663.048,46.7618,2.32167,0.385512,1.55572,
34,0.930175,1.76858,0,4.08694,663.048,46.7616,2.32155,0.385783,1.5559,
35,0.927693,1.76903,0,4.0898,663.047,46.7631,2.32135,0.384196,1.55613,
36,0.92766,1.7687,0,4.08911,663.048,46.7593,2.32114,0.387743,1.5568,
37,0.929085,1.76862,0,4.08857,663.048,46.7575,2.32111,0.389713,1.55605,
38,0.929306,1.76886,0,4.08626,663.048,46.7581,2.32206,0.389287,1.55691,
39,0.929475,1.76857,0,4.08407,663.048,46.7615,2.32312,0.385931,1.55779,
40,0.929321,1.76873,0,4.08462,663.048,46.7572,2.32342,0.390108,1.55717,
41,0.929467,1.76874,0,4.08648,663.048,46.752,2.32203,0.395639,1.5564,
42,0.927228,1.76881,0,4.08744,663.048,46.7615,2.32189,0.385531,1.55866,
43,0.930779,1.76855,0,4.08427,663.049,46.7577,2.32293,0.389547,1.55656,
44,0.927429,1.76893,0,4.0882,663.048,46.7626,2.32164,0.384931,1.55713,
45,0.929328,1.76915,0,4.08817,663.047,46.7526,2.32152,0.395522,1.55549,
46,0.929308,1.76863,0,4.08784,663.049,46.7552,2.32122,0.392144,1.55576,
47,0.928135,1.76871,0,4.08502,663.048,46.7589,2.32256,0.388547,1.55869,
48,0.929741,1.76874,0,4.08722,663.049,46.7543,2.32183,0.393316,1.55527,
49,0.928087,1.769,0,4.0868,663.048,46.7607,2.3223,0.386698,1.55746,
50,0.927348,1.76878,0,4.08779,663.048,46.7567,2.32163,0.390997,1.55786,
51,0.927774,1.76877,0,4.08736,663.048,46.7583,2.32174,0.389106,1.55783,
52,0.930237,1.76872,0,4.08805,663.048,46.7582,2.32102,0.389045,1.5557,
53,0.928352,1.76858,0,4.0875,663.049,46.7585,2.32145,0.388888,1.55703,
54,0.929921,1.76884,0,4.08981,663.048,46.756,2.32024,0.391131,1.55532,
55,0.928905,1.76852,0,4.08743,663.048,46.7565,2.32149,0.390774,1.55692,
56,0.92802,1.76846,0,4.08573,663.049,46.7606,2.32246,0.386589,1.55847,
57,0.927721,1.76896,0,4.08462,663.048,46.7557,2.32378,0.391662,1.55901,
58,0.929041,1.76877,0,4.08729,663.049,46.7563,2.32158,0.391,1.5564,
59,0.928126,1.76854,0,4.08991,663.048,46.7562,2.32083,0.39101,1.55603,
60,0.927444,1.76843,0,4.08883,663.049,46.7564,2.32137,0.390868,1.55702,
61,0.928069,1.76894,0,4.08797,663.047,46.7544,2.32121,0.393185,1.5578,
62,0.928678,1.76879,0,4.08439,663.048,46.757,2.32356,0.390261,1.55831,
63,0.929465,1.76856,0,4.08814,663.048,46.7592,2.32118,0.388127,1.55591,
64,0.930468,1.76866,0,4.08793,663.048,46.7589,2.32141,0.38837,1.55507,
65,0.929683,1.76822,0,4.08543,663.049,46.7568,2.32219,0.390502,1.55694,
66,0.928384,1.76915,0,4.09016,663.047,46.7615,2.32104,0.386086,1.55563,
67,0.928741,1.76886,0,4.07986,663.048,46.7559,2.32544,0.391397,1.56095,
68,0.92827,1.76837,0,4.08471,663.049,46.7584,2.32313,0.388821,1.5582,
69,0.930661,1.7687,0,4.08308,663.048,46.7638,2.3234,0.384025,1.55724,
70,0.92708,1.76866,0,4.08818,663.048,46.7591,2.32122,0.3881,1.55837,
71,0.928927,1.76858,0,4.0893,663.049,46.7584,2.32012,0.388833,1.55569,
72,0.930148,1.76916,0,4.08804,663.047,46.7542,2.32056,0.393497,1.5563,
73,0.928498,1.76822,0,4.08463,663.05,46.7582,2.32341,0.388834,1.5577,
74,0.928063,1.76882,0,4.08826,663.048,46.7574,2.32171,0.390277,1.55683,
75,0.926882,1.76916,0,4.08787,663.047,46.7588,2.32219,0.388636,1.55847,
76,0.929359,1.76865,0,4.0848,663.048,46.7628,2.32288,0.384828,1.55757,
77,0.927286,1.7687,0,4.08891,663.048,46.7573,2.32097,0.390025,1.55788,
78,0.927966,1.76883,0,4.08876,663.048,46.7618,2.32098,0.385597,1.55699,
79,0.927814,1.76863,0,4.08831,663.048,46.7619,2.32159,0.385562,1.55711,
80,0.928302,1.76863,0,4.08885,663.048,46.7592,2.3211,0.388004,1.55694,
81,0.927277,1.7688,0,4.08738,663.048,46.7578,2.32216,0.389351,1.55852,
82,0.928149,1.76876,0,4.08556,663.048,46.7587,2.32285,0.388508,1.55845,
83,0.92828,1.769,0,4.08747,663.047,46.7625,2.32219,0.384882,1.55761,
84,0.928079,1.76873,0,4.08956,663.048,46.7609,2.32065,0.386708,1.55666,
85,0.928709,1.76869,0,4.08911,663.048,46.7574,2.32103,0.389987,1.55606,
86,0.927756,1.76911,0,4.08982,663.047,46.7629,2.31997,0.384666,1.55772,
87,0.92999,1.76905,0,4.08831,663.047,46.7589,2.32178,0.388396,1.55555,
88,0.92722,1.76853,0,4.08907,663.049,46.7589,2.32101,0.388325,1.55733,
89,0.928736,1.76862,0,4.082,663.048,46.7563,2.32448,0.391218,1.55971,
90,0.930749,1.76891,0,4.08694,663.048,46.7567,2.32164,0.390772,1.55593,
91,0.927638,1.76886,0,4.08977,663.048,46.7593,2.32101,0.388186,1.55672,
92,0.93034,1.76861,0,4.0824,663.049,46.7574,2.32384,0.389934,1.55801,
93,0.928501,1.76862,0,4.08838,663.048,46.7615,2.32147,0.385693,1.55704,
94,0.928333,1.76864,0,4.08848,663.048,46.7584,2.32084,0.389446,1.55676,
95,0.929754,1.76861,0,4.0887,663.048,46.7568,2.32095,0.390644,1.55563,
96,0.929656,1.76877,0,4.08769,663.048,46.7588,2.32124,0.388603,1.5561,
97,0.929639,1.76862,0,4.08877,663.048,46.7566,2.32065,0.39083,1.55586,
98,0.928955,1.76853,0,4.08522,663.049,46.759,2.32269,0.388499,1.55784,
99,0.927438,1.76923,0,4.08855,663.047,46.7611,2.32168,0.386283,1.55813,
100,0.927408,1.76876,0,4.0897,663.048,46.7623,2.32069,0.385246,1.55694,
101,0.928849,1.76858,0,4.08896,663.049,46.7573,2.32161,0.390123,1.55538,
102,0.927411,1.76868,0,4.08892,663.049,46.7585,2.3207,0.388944,1.5576,
103,0.928277,1.76854,0,4.09082,663.049,46.7549,2.32052,0.392476,1.55537,
104,0.92842,1.76849,0,4.08878,663.048,46.7587,2.32116,0.388753,1.55679,
105,0.928037,1.76871,0,4.08766,663.048,46.7594,2.32156,0.387728,1.55781,
106,0.926986,1.76908,0,4.08924,663.047,46.7621,2.32152,0.385409,1.55773,
107,0.927321,1.76873,0,4.08783,663.048,46.7626,2.32171,0.385,1.55809,
108,0.928891,1.76929,0,4.08453,663.047,46.7603,2.32215,0.387398,1.55989,
109,0.930847,1.76869,0,4.08891,663.048,46.7601,2.32075,0.387066,1.55506,
110,0.929066,1.76849,0,4.08799,663.048,46.7534,2.32124,0.39433,1.55656,
111,0.92715,1.76861,0,4.08692,663.048,46.7562,2.32204,0.391179,1.55909,
112,0.928016,1.76896,0,4.08649,663.048,46.761,2.32301,0.386418,1.55786,
113,0.929213,1.76861,0,4.0902,663.048,46.7654,2.32032,0.382373,1.55491,
114,0.929018,1.76864,0,4.07915,663.049,46.7583,2.32568,0.388864,1.56098,
115,0.92671,1.76901,0,4.08806,663.048,46.7553,2.3222,0.392227,1.55809,
116,0.928041,1.76888,0,4.0875,663.048,46.7608,2.32242,0.386682,1.5573,
117,0.927551,1.76863,0,4.08809,663.048,46.765,2.32151,0.382759,1.55774,
118,0.927278,1.76871,0,4.08766,663.048,46.758,2.3219,0.389161,1.5587,
119,0.928195,1.76879,0,4.08597,663.048,46.7573,2.32266,0.390247,1.55832,
120,0.927546,1.76878,0,4.08945,663.048,46.7617,2.32085,0.385876,1.55699,
