Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.king_pin_inclination_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.roll_center.y,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,
0,0.0669207,0.409514,0.0388086,0.603644,0.0102883,0.133784,0.134499,12.6973,30.1976,0.449705,0.367033,1.47279,0.0263781,
1,0.0670514,0.410067,0.0387791,0.603513,0.0103544,0.133783,0.134488,12.7007,30.194,0.449673,0.366718,1.47271,0.0263351,
2,0.0670836,0.410408,0.0386984,0.603569,0.0103627,0.133812,0.134506,12.7011,30.1933,0.449669,0.366593,1.47271,0.0263418,
3,0.0669782,0.410328,0.038772,0.603544,0.0103661,0.133809,0.13445,12.701,30.1937,0.449671,0.366629,1.47271,0.0263529,
4,0.0670837,0.409753,0.038792,0.603639,0.0103028,0.133798,0.134484,12.6979,30.1968,0.449699,0.366922,1.47274,0.0263533,
5,0.0669427,0.41073,0.0386406,0.6036,0.0103712,0.133789,0.134477,12.6997,30.1947,0.449681,0.366506,1.47274,0.026354,
6,0.0670815,0.410492,0.0386644,0.603598,0.0103579,0.133758,0.134416,12.6996,30.195,0.449682,0.366601,1.47272,0.0263457,
7,0.067083,0.410357,0.038669,0.603642,0.0103374,0.133782,0.134445,12.6984,30.1962,0.449693,0.366681,1.47273,0.0263482,
8,0.0668402,0.410625,0.0386943,0.603598,0.0103664,0.133763,0.134346,12.7005,30.1944,0.449675,0.366509,1.47275,0.0263451,
9,0.0669533,0.41058,0.0386511,0.60361,0.0103541,0.133785,0.134405,12.6984,30.1963,0.449693,0.366591,1.47275,0.0263595,
10,0.0671886,0.410652,0.0385998,0.603648,0.0103554,0.133769,0.134415,12.6984,30.196,0.449692,0.366562,1.47272,0.026319,
11,0.0674105,0.4099,0.0387714,0.603638,0.0103123,0.133828,0.134494,12.6982,30.1963,0.449694,0.366834,1.47266,0.0262875,
12,0.0673118,0.41067,0.0387108,0.603544,0.0103825,0.133798,0.134409,12.7016,30.193,0.449663,0.366438,1.47263,0.0262665,
13,0.067339,0.410018,0.0387567,0.603563,0.0103408,0.133801,0.134414,12.6997,30.195,0.449683,0.366796,1.47268,0.0263309,
14,0.0669573,0.410604,0.0386011,0.603627,0.0103536,0.133784,0.134437,12.6985,30.1961,0.449692,0.36657,1.47276,0.0263425,
15,0.0672362,0.410272,0.0386822,0.603606,0.010341,0.133777,0.134387,12.6995,30.1952,0.449683,0.366681,1.47269,0.0263265,
16,0.0670321,0.410429,0.0386774,0.603648,0.0103429,0.133814,0.134405,12.6991,30.1956,0.449687,0.366611,1.47273,0.0263228,
17,0.0671861,0.410336,0.0387336,0.603617,0.0103432,0.133791,0.134332,12.6994,30.1953,0.449684,0.366654,1.4727,0.0263259,
18,0.0672215,0.410159,0.0387224,0.603646,0.010328,0.133795,0.134391,12.6987,30.196,0.449691,0.366736,1.4727,0.0263076,
19,0.0671304,0.410699,0.0386349,0.603607,0.010369,0.133777,0.134374,12.7002,30.1945,0.449678,0.366488,1.4727,0.0263016,
20,0.0670863,0.410482,0.0386758,0.60361,0.0103549,0.133812,0.134356,12.7003,30.1945,0.449677,0.366574,1.47271,0.0263231,
21,0.0673495,0.410379,0.0387165,0.603586,0.0103556,0.133779,0.134427,12.6998,30.1948,0.449681,0.366618,1.47265,0.0262853,
22,0.0671332,0.410675,0.0386146,0.603651,0.0103545,0.133821,0.134441,12.6984,30.1961,0.449692,0.366544,1.47272,0.0263244,
23,0.0667709,0.410579,0.038652,0.603613,0.0103593,0.133761,0.134245,12.6993,30.1957,0.449686,0.36657,1.47278,0.0263684,
24,0.0672876,0.411109,0.0385424,0.603602,0.0103953,0.133794,0.134388,12.7008,30.1937,0.44967,0.366278,1.47266,0.0262369,
25,0.0674046,0.410279,0.0387377,0.603598,0.0103453,0.133769,0.13443,12.6993,30.1953,0.449686,0.366689,1.47265,0.0263002,
26,0.0673204,0.410666,0.0386448,0.60361,0.0103654,0.133853,0.134429,12.7003,30.1942,0.449675,0.366484,1.47266,0.0262755,
27,0.0669876,0.410749,0.0386169,0.6036,0.0103747,0.13377,0.134357,12.6997,30.1951,0.449683,0.366496,1.47273,0.0263316,
28,0.0670891,0.410294,0.0386896,0.603635,0.0103372,0.133765,0.134308,12.6984,30.1965,0.449694,0.366712,1.47274,0.0263507,
29,0.067382,0.410008,0.0387454,0.603615,0.0103249,0.13379,0.134423,12.6986,30.1962,0.449693,0.36679,1.47266,0.0262814,
30,4.54535,11.8005,25.7745,15.0534,3.11781,1.22578,5.5811,571.578,12.0767,0.634539,1.8642,3.18417,4.92016,
31,2.68011,2.52265,28.419,27.8043,125.351,0.540371,150.187,566.331,14.1309,0.890321,1.22671,0.246113,0.99616,
32,0.0671752,0.410501,0.038661,0.603605,0.0103547,0.133787,0.134453,12.6996,30.1948,0.449681,0.366576,1.4727,0.0263099,
33,0.0672798,0.410962,0.0385535,0.603601,0.0103825,0.13378,0.13428,12.6998,30.195,0.449681,0.366387,1.47267,0.0262602,
34,0.0671846,0.410271,0.0386601,0.603679,0.0103285,0.133776,0.134361,12.6973,30.1972,0.449701,0.366728,1.47273,0.0263362,
35,0.0666536,0.410297,0.0386995,0.603629,0.0103357,0.133797,0.134432,12.6984,30.1964,0.449694,0.366693,1.47281,0.0263824,
36,5.69525,6.30597,132.016,38.23,181.933,0.847837,83.4182,717.341,15.9419,1.21738,1.89522,6.32181,3.86382,
37,0.0669683,0.409486,0.0388734,0.603624,0.010295,0.133753,0.134455,12.6983,30.1966,0.449697,0.367022,1.47276,0.0263713,
38,0.0670776,0.410456,0.0386758,0.603613,0.0103489,0.133773,0.134399,12.6988,30.196,0.44969,0.366611,1.47272,0.0263133,
39,0.0673096,0.40983,0.0387935,0.603638,0.01031,0.133785,0.134419,12.6986,30.1962,0.449693,0.366867,1.47268,0.0263022,
40,0.0672246,0.40991,0.0387475,0.603617,0.0103158,0.133792,0.134388,12.6983,30.1966,0.449695,0.366836,1.4727,0.0263128,
41,0.0671301,0.41076,0.0387017,0.603566,0.0103812,0.133772,0.134453,12.7011,30.1934,0.449668,0.366422,1.47267,0.0262915,
42,0.066936,0.410923,0.0385731,0.603645,0.0103697,0.133748,0.134412,12.6986,30.1961,0.44969,0.366411,1.47275,0.0262991,
43,0.0669637,0.409962,0.0388359,0.603521,0.0103488,0.133778,0.134466,12.7012,30.1934,0.449669,0.366747,1.47272,0.0263505,
44,0.0669355,0.409952,0.0387821,0.60366,0.0103109,0.133768,0.13447,12.6977,30.197,0.4497,0.366851,1.47277,0.026372,
45,0.0667816,0.410171,0.038751,0.603614,0.0103359,0.133764,0.134336,12.6995,30.1956,0.449685,0.366707,1.47277,0.0263529,
46,0.0670819,0.410179,0.0386979,0.603669,0.0103243,0.133777,0.134465,12.6982,30.1962,0.449694,0.36675,1.47274,0.026349,
