Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,54.3583,432.561,165.746,0.125666,1.28558,6.58021,343.066,1.83976,29.449,24.058,0.41934,1.45491,3.85321,10.6612,3.80152,2.36389,3.72819,0.925851,8.06402,253.662,1.5742,28.9799,16.1999,0.447409,1.75934,4.27265,10.9905,5.37805,3.00214,4.28791,0.358808,0.2387,23.5943,0.0305215,0.0916775,0.71671,0.119239,0.149186,0.0259696,6.85039,0.0202723,0.202224,0.560599,
1,54.3583,339.999,117.065,0.159878,1.24465,3.91486,235.001,1.55235,24.4866,33.7326,0.315797,1.72293,9.52102,13.27,9.46286,2.30494,3.46988,0.527431,4.12459,128.454,1.19184,24.8731,31.9732,0.201575,1.20257,13.99,16.6165,15.3126,1.7649,2.13361,0.419519,0.2387,23.5943,0.0305215,0.0916775,0.71671,0.00784024,0.116294,0.0259696,6.85039,0.0202723,0.269004,0.324981,
2,54.3583,266.947,58.0579,0.20363,1.10933,4.08999,168.615,1.38886,15.038,38.1601,0.231412,1.67035,9.33094,12.6926,9.29544,1.8627,3.46279,0.405943,2.76187,79.1,1.18883,15.9751,25.2899,0.150798,1.12312,9.81166,16.0317,9.797,1.34358,2.30209,0.503461,0.173158,8.64842,0.0305215,0.0916775,2.15464,0.00784024,0.116294,0.0259696,0.786402,0.0202723,0.131614,0.503445,
3,54.3583,229.113,56.2463,0.237256,0.993374,5.04678,131.841,1.60519,13.8157,36.0431,0.188302,1.76852,9.28182,13.9859,9.25058,1.70011,3.59221,0.387936,3.38279,62.7259,1.24405,9.94153,28.1103,0.135321,1.24189,8.48628,16.117,8.47727,1.18797,2.34284,0.473919,0.173158,8.64842,0.0305215,0.0916775,0.856475,0.00784024,0.116294,0.0259696,0.786402,0.0202723,0.131614,0.503445,
4,54.3583,192.827,40.2088,0.281902,0.801244,5.76393,103.022,2.16634,13.1358,28.2262,0.144869,2.07685,9.27563,12.9193,9.24014,1.68012,4.37449,0.345173,3.42928,44.2257,1.46446,9.24124,26.5941,0.127449,1.52888,7.89861,5.17919,7.88074,1.19294,2.39261,0.210335,0.173158,8.64842,0.0305215,0.0916775,0.856475,0.00647921,0.248718,0.0259696,0.786402,0.0202723,0.131614,0.503445,
5,54.3583,176.138,61.0762,0.308613,0.755021,5.41417,87.0258,2.33074,13.1479,18.3585,0.154901,2.35484,11.1069,18.2446,11.0296,1.80952,4.40539,0.28958,3.39589,50.2194,1.46169,10.5089,22.4546,0.147164,1.45305,11.026,15.5056,10.7427,1.15174,2.41041,0.1575,0.173158,8.64842,0.0305215,0.0916775,0.856475,0.00647921,0.456392,0.0259696,5.03765,0.0202723,0.131614,0.108586,
6,54.3583,156.617,29.275,0.347078,0.876341,5.62076,71.8795,2.04076,12.2858,15.4158,0.146397,1.84971,11.7699,16.6814,11.7395,1.71766,4.59342,0.330666,2.84252,42.7207,1.56394,8.14993,13.7605,0.11478,0.97766,9.21829,10.0154,9.25481,0.956024,2.23273,0.198118,0.173158,9.65194,0.0305215,0.0916775,1.02446,0.00647921,0.456392,0.0259696,6.17487,0.0202723,0.131614,0.108586,
7,54.3583,146.655,26.8083,0.370655,0.890161,4.8377,59.3939,1.79658,13.5217,12.0567,0.204992,1.68493,13.8521,18.0618,13.7931,2.02153,4.53955,0.348275,2.7666,37.2387,1.36872,8.22921,10.1639,0.163048,0.997567,9.77007,10.8293,9.74692,1.03168,2.09652,0.228752,0.173158,4.24088,0.0305215,0.0916775,0.393179,0.0144397,0.311123,0.0259696,0.779844,0.0202723,0.131614,0.108586,
8,54.3583,191.881,401.898,0.283292,0.808438,3.92446,42.1652,1.92196,14.2284,12.0365,0.274389,1.69873,16.3725,75.7873,16.3032,2.07333,4.28614,0.330073,2.60018,33.9718,1.34715,7.91626,8.37416,0.172431,0.905787,9.13837,403.388,9.00971,0.972244,2.34233,0.272084,0.116081,4.24088,0.0305215,0.0916775,0.262386,0.014844,0.495419,0.0259696,0.278199,0.0202723,0.131614,0.108586,
9,54.3583,143.825,91.1095,0.377948,0.839845,3.67152,41.311,2.29339,16.9611,12.6552,0.315143,1.8234,20.7197,16.6599,20.6061,1.99029,3.97822,0.469199,2.19389,61.347,1.4216,9.46369,14.3906,0.156915,1.32428,9.61064,60.0439,10.6803,1.05302,2.53077,0.320867,0.627068,4.24088,0.0305215,0.0916775,0.262386,0.016303,0.377666,0.0259696,0.278199,0.0202723,0.230354,0.108586,
