Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
10,54.3583,140.363,86.9467,0.387269,0.709959,3.30105,42.587,2.11333,16.8362,7.31311,0.315459,1.73609,20.595,18.8126,20.4439,2.06248,3.53694,0.445756,2.27791,59.5595,1.4659,10.0663,5.34624,0.159999,0.912312,11.106,17.8981,10.9087,1.0216,2.71882,0.134547,0.367289,4.24088,0.0305215,0.0916775,0.206606,0.00666839,0.253161,0.0259696,0.278199,0.0202723,0.395559,0.196778,
11,54.3583,136.757,121.144,0.39748,0.87605,2.40321,36.6026,1.92929,18.7936,8.83868,0.320731,1.67541,20.6279,19.9759,20.4862,1.86019,2.36756,1.34046,1.67014,68.5683,1.37335,11.6629,18.6132,0.124228,0.953866,9.28399,48.9633,9.08542,1.03212,2.71771,0.320867,0.228054,4.24088,0.0305215,0.0916775,0.206606,0.0263846,0.193769,0.0259696,0.278199,0.0202723,0.233459,0.196778,
12,54.3583,129.494,90.5464,0.419774,0.778816,2.67136,39.7119,1.64689,15.7143,8.85032,0.322801,2.19521,18.37,16.7491,18.2671,1.84875,2.36753,0.440288,1.9939,75.7915,1.13118,6.07864,13.2676,0.12766,1.54895,8.81851,26.3269,8.56739,0.864452,2.01815,0.273413,0.627068,4.24088,0.0305215,0.0916775,0.206606,0.012048,0.193769,0.0259696,0.278199,0.0202723,0.70829,0.143053,
13,54.3583,123.669,69.3937,0.439546,0.731981,2.43906,28.7636,1.61391,16.0396,8.28886,0.341523,2.00392,19.2771,21.1613,19.1939,1.83216,1.9824,0.414745,1.47963,32.7478,1.05049,10.0345,15.0078,0.119937,1.49558,9.19463,35.7651,9.12275,0.762928,1.73989,0.337333,0.390935,4.24088,0.0305215,0.0916775,0.206606,0.0354179,0.034338,0.0259696,0.278199,0.0202723,0.443942,0.225376,
14,54.3583,121.581,55.431,0.447096,0.718098,2.74392,39.7696,1.57393,14.8091,5.07689,0.343664,1.89352,18.5665,14.3167,18.4563,1.6131,1.69946,0.332756,1.77182,38.778,1.04042,5.76744,5.11355,0.160608,1.23074,9.42655,11.579,9.28326,0.767288,1.71047,0.293328,0.627068,4.24088,0.0305215,0.0916775,0.0773135,0.0194133,0.0824977,0.0259696,0.278199,0.0202723,0.55508,0.157181,
15,54.3583,112.102,46.2267,0.484898,0.71904,2.00731,27.0313,1.47851,16.2991,9.50976,0.301771,1.61772,16.1591,17.5647,16.0868,1.72935,1.59798,0.375403,1.42135,21.4364,0.965391,17.8336,10.0546,0.103371,1.13824,7.42308,23.8692,7.51231,1.66889,1.58751,0.256158,0.551615,4.90609,0.0305215,0.0916775,0.0773135,0.094487,0.122385,0.0259696,0.278199,0.0202723,0.469758,0.157181,
16,54.3583,107.034,34.7492,0.507862,0.679108,2.25404,24.9519,1.62825,12.9859,8.16734,0.321769,1.64764,15.631,20.2747,15.586,1.56115,1.34479,0.322195,1.25024,16.3406,1.12884,5.1061,10.5855,0.0996326,1.14257,6.68891,21.8531,6.64618,0.726237,1.13477,0.235795,0.273949,4.90609,0.0305215,0.0916775,0.0773135,0.113261,0.122385,0.0259696,0.289475,0.0202723,0.482763,0.157181,
17,54.3583,143.429,172.235,0.37899,0.770871,2.7726,52.6456,1.74437,16.0883,10.2438,0.356858,1.75544,15.3011,23.6413,15.2311,1.60388,1.27397,0.552468,2.73031,123.726,1.05976,16.8424,22.103,0.170229,0.946496,7.56194,33.6232,7.47755,0.835673,1.37115,0.337333,0.551615,4.90609,0.0305215,0.0916775,0.0773135,0.113528,0.122385,0.0259696,0.836085,0.0202723,0.244046,0.0646371,
18,54.3583,116.379,91.6355,0.467079,0.729403,2.58775,32.7412,1.81271,13.0861,12.4492,0.335456,2.01208,15.1015,17.3359,15.0381,1.61794,1.53197,0.487063,1.5307,67.8356,1.04678,6.50323,19.5311,0.115298,1.48213,6.9438,16.547,6.88082,0.655504,1.41583,0.305311,0.551615,3.92225,0.0305215,0.0916775,0.206768,0.125081,0.122385,0.0259696,0.836085,0.0202723,0.27408,0.0646371,
19,54.3583,108.877,51.6604,0.499265,0.696505,2.551,21.8573,1.63776,12.6088,10.5089,0.330213,1.69746,14.116,25.9893,14.0676,1.30816,1.50768,0.339192,1.23195,19.6961,0.904245,4.88307,13.2089,0.0888131,1.33563,6.62238,37.796,6.54385,0.63635,1.3732,0.266209,0.551615,4.90609,0.0305215,0.0916775,0.141371,0.152788,0.122385,0.0259696,0.836085,0.0202723,0.340666,0.0646371,
20,54.3583,115.503,129.717,0.470622,0.834388,2.74152,32.9417,1.55597,14.4828,8.0406,0.344868,1.49069,15.5494,19.2788,15.5186,1.31584,1.40808,0.597243,2.55275,92.0993,1.15924,10.5365,12.2619,0.11916,1.63461,7.94409,11.3951,8.03393,0.741467,1.72943,0.250444,0.551615,4.90609,0.0305215,0.0916775,0.198936,0.152788,0.122385,0.0259696,0.836085,0.0202723,0.458704,0.157181,
21,54.3583,136.905,163.619,0.39705,0.869404,2.41203,39.6726,1.5263,14.1245,11.4871,0.355244,1.2558,15.2348,32.0826,15.177,1.31545,1.39263,0.676932,2.28578,105.926,0.985673,9.80914,21.7243,0.108567,0.972171,10.0506,61.7603,9.89856,0.689248,1.89329,0.0862567,0.449809,2.44714,0.0305215,0.0916775,0.206768,0.152788,0.0480181,0.0259696,1.61356,0.0202723,0.458704,0.157181,
22,54.3583,104.527,85.1598,0.52004,0.725226,2.03898,31.5195,1.68102,12.1739,9.51829,0.333975,1.00126,12.6364,17.8302,12.5891,1.30546,1.17384,0.420012,1.16554,59.3984,1.18967,7.59711,13.437,0.103673,0.82376,8.24173,15.9866,8.35705,0.53983,1.09024,0.0862567,0.0412811,2.88725,0.0305215,0.0916775,0.206768,0.129654,0.0168813,0.0259696,1.23142,0.0202723,0.4314,0.158322,
23,54.3583,110.514,98.3967,0.491867,0.825491,1.94083,29.8643,1.73587,14.1083,11.4478,0.329704,1.12989,13.1624,20.1505,13.1141,1.4501,1.25507,0.519785,1.06376,51.4388,1.42228,18.0446,18.7902,0.0882971,1.00391,9.36628,12.4242,9.27751,0.874415,1.8113,0.0862567,0.205511,5.28539,0.0305215,0.0916775,0.206768,0.0625313,0.0168813,0.0259696,3.90677,0.0202723,0.458704,0.0604237,
24,54.3583,115.197,98.2024,0.471872,0.764146,2.13588,31.3434,1.49751,12.2984,13.9102,0.342992,0.88242,11.4291,26.9413,11.4068,1.28841,0.95681,0.484109,1.32724,58.8308,1.19238,9.77168,29.2843,0.0880721,0.810095,7.36393,26.0513,7.44392,0.627063,1.02316,0.0862567,0.205511,6.12754,0.0305215,0.0916775,0.0856617,0.191326,0.0168813,0.0259696,3.90677,0.0202723,0.348477,0.139033,
25,54.3583,109.968,90.9206,0.494312,0.746078,1.84346,23.8694,1.3216,10.6643,8.4689,0.314784,0.955144,11.0007,37.8096,10.9792,1.1847,0.809787,0.264465,1.19066,18.5963,1.17758,7.33791,23.2488,0.0836307,0.93875,6.23289,76.4862,6.2298,0.613533,1.13887,0.0862567,0.0858964,6.12754,0.0305215,0.0916775,0.135874,0.0881044,0.0168813,0.0259696,4.99825,0.0202723,0.273618,0.139033,
26,54.3583,122.697,157.201,0.443028,0.812699,2.17217,41.8084,1.24075,12.4569,9.98378,0.304615,0.825047,10.6061,29.8242,10.5538,1.24133,0.867529,0.932522,2.08795,93.037,0.935023,13.5223,19.2976,0.0904421,0.900104,10.4382,52.0222,10.328,0.520978,1.15102,0.0862567,0.0858964,6.12754,0.0305215,0.0916775,0.135874,0.0635037,0.015477,0.0259696,4.30484,0.0202723,0.348477,0.139033,
27,54.3583,128.945,154.582,0.421563,0.735161,2.46016,45.0898,1.34162,12.0992,9.30013,0.359769,1.29829,9.81746,34.5242,9.76846,1.29331,0.857001,0.559829,1.83269,110.447,0.928353,12.77,20.6241,0.138187,1.44274,7.01257,45.5749,6.9272,0.541754,1.20518,0.0862567,0.0858964,6.12754,0.0305215,0.0916775,0.135874,0.182234,0.00521138,0.0259696,11.0095,0.0202723,0.293501,0.0790665,
28,54.3583,102.579,101.507,0.529916,0.690859,1.84081,30.4435,1.35313,11.511,5.48198,0.333613,0.789503,9.23572,29.4196,9.19562,1.39982,0.883993,0.541589,1.32061,62.1959,0.969005,16.8072,12.7551,0.1043,0.793045,8.79257,31.797,8.63052,0.629876,1.50068,0.0862567,0.0858964,6.12754,0.0305215,0.0916775,0.101913,0.171911,0.015477,0.0259696,10.3337,0.0202723,0.293501,0.139033,
29,54.3583,113.617,117.73,0.478435,0.768395,2.08809,41.4634,1.49078,10.3261,9.10359,0.308876,0.768772,8.86262,27.2166,8.84795,1.33861,1.03306,0.424861,1.59829,68.7874,1.11854,9.45879,22.9193,0.0796494,0.740233,10.5365,22.7003,10.5769,0.676172,1.61184,0.0862567,0.0858964,6.12754,0.0305215,0.0916775,0.106423,0.126881,0.015477,0.0259696,2.42864,0.0202723,0.293501,0.125342,
30,54.3583,95.7845,68.2326,0.567506,0.666161,2.38882,27.004,1.19299,8.64253,7.77003,0.300484,0.761155,6.52361,32.0152,6.51233,1.29055,0.716647,0.404374,2.04041,33.7568,1.17379,4.46866,22.7415,0.0782539,0.979909,6.10318,29.8454,6.44063,0.589766,1.1303,0.0862567,0.0858964,6.12754,0.0305215,0.0916775,0.106423,0.00229723,0.00708624,0.0259696,14.4158,0.0202723,0.0999214,0.129737,
31,54.3583,96.839,107.075,0.561327,0.710594,2.20494,31.3632,1.19317,9.62914,9.482,0.309166,0.90669,5.8505,27.3172,5.83495,1.30074,0.736634,0.510389,1.3859,72.2291,1.06332,9.66785,26.1188,0.0726272,1.10394,4.08469,19.0484,4.0464,0.638172,1.16704,0.164057,0.0858964,6.99548,0.0305215,0.0916775,0.0890504,0.160276,0.00708624,0.0259696,6.67896,0.0202723,0.0972256,0.0727225,
32,54.3583,111.148,124.962,0.489064,0.684359,2.37952,32.9816,1.32005,13.352,9.7791,0.311241,1.13321,6.54901,33.5598,6.52257,1.57617,0.999043,0.448633,2.11476,56.0407,1.1576,22.5217,26.3331,0.0613829,1.61356,10.1586,25.6798,10.1747,1.72982,1.99088,0.164057,0.0858964,7.61169,0.0305215,0.0916775,0.106758,0.0862409,0.00708624,0.0259696,0.945916,0.0202723,0.0999214,0.139033,
33,54.3583,84.6021,75.303,0.642517,0.68648,2.32084,24.7719,1.10999,9.55666,3.63311,0.300642,0.747129,5.90978,27.6826,5.89933,1.35504,0.628634,0.349234,1.15457,40.375,1.16396,11.5683,9.59003,0.0569002,1.06856,8.23877,12.3621,8.22419,0.858198,0.898533,0.164057,0.0858964,7.15967,0.0305215,0.0916775,0.106758,0.204437,0.00708624,0.0259696,15.9714,0.0202723,0.0999214,0.139033,
34,54.3583,113.397,124.778,0.479362,0.701132,2.65647,42.2063,1.23922,10.3373,8.91863,0.325025,0.929195,4.96199,33.834,4.92536,1.42266,0.940016,0.502915,1.56466,85.5874,1.16466,12.6704,22.1736,0.0889211,1.18328,6.52521,22.1153,6.4376,1.06438,1.51028,0.141439,0.0858964,7.15967,0.0305215,0.0916775,0.106758,0.0177158,0.00708624,0.0259696,8.42758,0.0202723,0.300298,0.0873791,
35,54.3583,116.087,209.757,0.468257,0.999123,2.59757,49.0448,1.2306,8.29196,5.14039,0.357526,0.808299,6.00002,33.8067,5.94978,1.13508,0.724641,2.08071,2.65486,171.048,1.15867,5.36862,16.0244,0.28584,1.28209,8.28827,17.2514,8.06224,0.623711,1.06506,0.183854,0.0858964,7.15967,0.0305215,0.0916775,0.0784962,0.217618,0.00708624,0.0259696,10.1876,0.0202723,0.250857,0.114414,
36,54.3583,147.481,416.437,0.368579,0.731581,2.36083,28.1129,1.18075,8.44875,5.02083,0.318191,0.90354,5.49865,87.4423,5.48325,1.35085,0.62834,0.456704,2.03107,43.5914,1.14738,11.3842,15.4417,0.0763471,1.29272,9.49162,409.52,9.51389,0.773941,0.77018,0.183854,0.0858964,7.15967,0.0305215,0.0916775,0.0874757,0.216126,0.00708624,0.0259696,14.0261,0.0202723,0.201354,0.107769,
37,54.3583,106.841,123.004,0.508778,0.786183,2.49874,39.5128,1.47931,10.1767,8.77787,0.290916,0.838973,6.55917,26.8319,6.5293,1.43935,1.11955,0.516898,1.82096,66.5932,1.39051,16.3163,19.5356,0.0882605,0.84708,12.491,60.4738,12.636,0.921103,2.15415,0.183854,0.0858964,8.98299,0.0305215,0.0916775,0.0874757,0.0223611,0.00708624,0.0259696,10.4246,0.0202723,0.347997,0.139033,
38,54.3583,77.1178,53.8656,0.704874,0.677316,2.2535,20.2808,0.994025,7.18436,6.23317,0.300532,0.714275,4.29387,28.0378,4.27526,1.25124,0.621626,0.246031,1.13716,18.6707,0.935337,4.99237,27.132,0.0742472,0.884251,6.04746,7.5206,5.98501,0.552235,0.79607,0.154189,0.205511,8.98299,0.0305215,0.0916775,0.0442687,0.171785,0.00708624,0.0259696,16.0669,0.0202723,0.412425,0.139033,
39,54.3583,108.036,153.649,0.50315,1.02327,2.60734,42.8121,1.25112,8.69395,4.29385,0.329935,0.664676,5.35789,33.5577,5.32726,1.40131,0.715594,2.39679,2.86918,103.716,0.912827,13.0759,10.1806,0.156128,0.825416,10.9291,43.0167,10.852,0.907794,0.968204,0.29439,0.205511,8.95993,0.0305215,0.0916775,0.0874757,0.0438956,0.00708624,0.0259696,9.54602,0.0202723,0.412425,0.139033,
40,54.3583,124.874,169.622,0.435304,0.819484,2.97141,46.5501,1.38292,9.88251,9.04732,0.334582,1.00567,5.39067,39.8203,5.34924,1.28978,1.03039,0.674923,3.82851,101.897,1.07593,13.8917,26.711,0.118503,1.19348,11.3169,55.2743,11.2543,0.517926,1.73203,0.29439,0.205511,8.95993,0.0305215,0.0916775,0.0874757,0.229342,0.00708624,0.0259696,0.379371,0.0202723,0.412425,0.139033,
41,54.3583,95.7342,112.078,0.567804,0.792838,2.10802,33.5895,1.08495,9.48635,7.74692,0.320092,0.682529,5.04272,27.5626,5.0188,1.34533,0.953586,0.58477,1.37698,88.2783,1.15307,12.6806,20.7689,0.12449,0.767952,7.93814,16.1369,7.9653,0.705832,1.86361,0.29439,0.205511,8.95993,0.0305215,0.0916775,0.0610223,0.158062,0.00708624,0.0259696,7.05668,0.0202723,0.412425,0.139033,
42,54.3583,102.583,122.238,0.529895,0.957533,2.23426,33.3232,1.2853,12.1532,8.17936,0.320911,0.861318,5.47065,30.0833,5.41592,1.27271,1.0256,1.51603,1.30868,55.566,1.41298,24.5146,24.0914,0.138956,0.979646,11.8859,17.5254,11.7492,0.552105,1.75585,0.29439,0.627068,8.95993,0.0305215,0.0916775,0.0698253,0.0887012,0.00803376,0.0259696,1.28157,0.0202723,0.412425,0.0962812,
43,54.3583,105.079,116.444,0.517311,0.796007,2.39645,34.7668,1.1705,10.2714,10.7013,0.307753,0.915921,5.07171,31.4158,5.037,1.28443,0.9436,0.552004,1.76596,60.1537,0.915796,13.6734,29.5752,0.0736282,1.01078,8.56102,23.1814,8.50055,0.957785,1.45163,0.280999,0.603922,8.95993,0.0305215,0.0916775,0.0698253,0.0308763,0.00803376,0.0259696,5.01398,0.0202723,0.412425,0.225137,
44,54.3583,108.363,147.698,0.501631,0.781106,2.22375,38.8037,1.0318,9.54899,13.3368,0.307002,0.762844,5.53086,28.2984,5.47933,1.33853,0.920127,0.504345,1.21497,86.1765,0.793745,14.4993,31.566,0.147902,0.84079,9.8269,14.4478,9.76871,0.428394,1.56054,0.29439,0.282892,7.54814,0.0305215,0.0916775,0.0643967,0.04042,0.00803376,0.0259696,11.3368,0.0202723,0.694004,0.110914,
45,54.3583,97.1908,118.489,0.559295,0.666604,2.48912,36.4192,1.03066,6.60104,6.91726,0.303595,0.844542,4.72682,30.5895,4.66698,1.32897,0.606513,0.186178,2.62519,87.2301,0.680352,4.31785,17.9631,0.0663454,0.98049,8.26878,21.8852,8.26892,0.587435,0.702437,0.29439,0.0544095,7.54814,0.0305215,0.0916775,0.0698253,0.167674,0.00803376,0.0259696,8.20079,0.0202723,0.694004,0.143855,
46,52.7881,102.565,167.194,0.514677,0.74435,2.45504,29.3788,1.05614,6.77605,4.72287,0.307159,0.672891,5.90275,42.7391,5.84283,1.29365,0.673838,0.36563,2.36007,54.8106,0.986304,5.8318,10.8371,0.122315,0.978183,11.7941,103.043,11.6583,0.35715,0.947169,0.29439,0.627068,7.54814,0.0163243,0.0916775,0.0698253,0.173979,0.00803376,0.0259696,15.1528,0.0202723,0.674902,0.143855,
47,52.7881,101.759,144.952,0.518758,0.795715,2.01998,32.5465,1.18969,11.5264,10.3294,0.325325,0.593523,5.60634,28.8287,5.50446,1.53235,0.960099,0.597147,0.8561,68.7779,1.07676,22.9372,34.4563,0.128384,0.786635,12.2251,22.2927,12.0825,0.972664,1.78741,0.29439,0.627068,7.54814,0.0305215,0.0916775,0.0698253,0.212882,0.0260468,0.0259696,0.512244,0.0202723,0.777091,0.19233,
48,52.7881,87.611,104.928,0.602528,0.701253,2.0237,27.6275,0.989758,7.94886,5.14938,0.310217,0.434624,5.40465,29.8054,5.33689,1.30407,0.574734,0.483423,0.989487,68.6465,0.685967,12.7776,13.4903,0.095523,0.864618,9.61442,20.2192,9.62058,0.645142,0.727167,0.29439,0.479185,8.55617,0.0305215,0.0916775,0.0698253,0.211313,0.022134,0.0259696,12.5659,0.0202723,0.777091,0.19233,
49,52.7316,81.395,156.868,0.647848,3.47752,2.09425,33.3719,0.84337,5.85551,2.46284,0.308997,0.276646,2.58436,25.6332,2.50705,1.29888,0.680476,19.9606,1.20449,112.775,0.602418,5.29506,13.2093,0.179304,0.481758,4.08735,6.25521,3.92637,0.752996,1.25218,0.380473,0.627068,8.95993,0.0305215,0.0916775,0.0698253,0.225128,0.0114273,0.0259696,13.5729,0.0202723,0.657418,0.214279,
50,48.6571,83.3637,131.1,0.583673,0.780369,1.96965,31.0851,1.00587,7.00563,7.16129,0.305824,0.475539,3.2241,24.9193,3.14019,1.31476,0.976054,2.29313,0.691491,80.2364,0.903939,11.2654,28.3305,0.124114,0.812763,6.26786,4.82229,6.22019,0.328479,1.96579,0.412313,0.627068,7.29792,0.0305215,0.0916775,0.106903,0.20256,0.00990331,0.0259696,9.92521,0.0202723,0.144618,0.210593,
51,48.6571,78.2739,102.304,0.621627,0.723396,1.98526,30.8218,0.961955,5.48921,5.86053,0.29624,0.392057,3.11663,23.6169,3.01622,1.30055,0.693177,0.33755,1.79413,80.2684,0.742085,4.26819,12.6887,0.101253,0.570333,4.72437,5.2443,4.68613,0.300958,0.844694,0.412313,0.386899,6.49116,0.0305215,0.0916775,0.120549,0.165204,0.00931377,0.0259696,9.2524,0.0202723,0.842038,0.119082,
52,48.1314,69.2581,95.0877,0.694957,0.737368,2.09933,27.5278,0.868995,5.15819,1.42263,0.293718,0.459778,2.00868,24.8034,1.90056,1.28827,0.689478,0.459876,1.80292,77.7658,0.731448,4.52459,5.00757,0.0612711,0.947332,3.15135,4.68438,3.04862,0.298194,1.26623,0.474087,0.627068,8.95993,0.0305215,0.0916775,0.115449,0.219084,0.00990331,0.0259696,11.9252,0.0202723,0.648068,0.214378,
53,46.9579,383.548,2121.93,0.12243,0.720001,2.38421,323.25,0.986191,11.5237,4.8838,0.315921,0.458532,4.91546,26.7799,4.77125,1.6494,0.910093,0.206847,3.62471,2033.01,0.899993,29.3569,16.0352,0.161105,0.685007,14.3053,22.8819,14.1632,1.89793,1.50813,0.408438,0.627068,8.95993,0.0305215,0.0916775,0.109051,0.231901,0.00990331,0.0259696,10.5164,0.0202723,0.812987,0.214378,
54,46.3354,82.2068,120.547,0.563644,0.809517,1.98806,29.4261,0.845979,9.11886,2.98295,0.313488,0.391666,2.68025,28.4969,2.54403,1.53821,1.07087,0.524906,1.46323,304.387,0.749381,19.6994,10.254,0.0864138,0.584901,7.39816,25.4716,7.41156,1.66026,2.08393,0.459944,0.627068,9.29953,0.0305215,0.0916775,0.0822305,0.256803,0.00990331,0.0259696,12.5898,0.0202723,0.773469,0.214378,
