Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
25,1433.96,2336.93,1704.54,0.61361,144.641,0,322.837,9.25776,112.836,13.335,1450.56,140.369,143.091,282.745,0,579.561,3.03689,216.849,17.1172,629.018,87.8332,283.065,3.87604,0,34.8863,0.338938,3.58724,3.56583,1205.63,23.5459,3.0055,
26,1433.96,2545.53,2409.99,0.563326,133.885,0,396.102,9.04711,113.248,18.017,1620.71,123.052,131.466,259.514,0,735.45,2.8978,274.938,27.5954,1072.18,61.4353,255.853,3.87604,0,28.9944,0.812667,3.58724,3.56583,1205.63,17.6878,3.0055,
27,1433.96,3226.57,3293.22,0.444423,258.006,0,509.67,9.63312,237.35,21.2856,1808.63,129.783,252.214,491.589,0,866.351,2.70868,443.214,30.1431,1278.27,85.7731,487.832,3.36051,0,38.3813,0.812667,3.58724,3.56583,1205.63,22.21,2.85857,
28,1433.96,2711.8,2720.29,0.528786,150.18,0,380.912,9.14083,156.85,19.148,1721.01,128.895,145.667,334.291,0,741.654,2.9639,363.805,29.1096,1257.79,73.4789,324.139,2.1666,0,38.3813,0.428867,3.58724,3.56578,1205.9,18.9023,2.01853,
29,1433.96,2393.39,2138.38,0.599135,127.477,0,321.099,9.27868,104.702,15.6152,1558.43,130.885,125.897,329.227,0,630.243,2.93055,264.895,25.9871,990.407,83.7039,326.768,2.1666,0,38.3813,0.729615,3.58724,3.55034,1204.83,49.0886,2.01853,
30,1433.96,3041.53,2727.81,0.47146,162.51,0,523.107,8.42764,174.408,21.6,1834.16,157.026,160.299,316.666,0,825.905,3.73686,349.276,32.3243,1239.42,119.406,311.579,2.1666,0,38.3813,0.587979,3.58724,3.56578,1204.83,26.0033,2.01853,
31,1433.96,2541.92,2170.69,0.564127,172.826,0,408.031,8.52732,138.789,13.4793,1493.13,136.662,170.474,323.232,0,781.656,3.41366,288.231,19.3119,736.438,91.504,317.585,2.1666,0,36.3749,0.609584,3.58724,3.56578,1204.83,27.4674,1.876,
32,1433.96,2493.46,2237.67,0.57509,140.923,0,388.105,7.69698,125.452,14.5297,1543.91,135.407,137.429,277.482,0,762.859,3.54627,299.451,21.8585,834.932,71.7243,277.622,2.1666,0,38.3813,0.333106,3.27131,3.56578,1204.83,27.3273,1.876,
33,1433.96,2335.07,1971.41,0.614099,117.077,0,328.03,8.21816,91.4571,14.873,1529.19,131.806,114.416,278.068,0,699.644,3.10348,236.61,23.7958,908.493,67.8849,277.923,2.1666,0,38.3813,1.44022,3.27131,3.56583,1204.83,41.7456,0.869827,
34,1403.79,3136.33,2907.91,0.447591,263.439,0,463.842,8.34084,197.422,20.2325,1781.02,143.896,258.139,501.173,0,770.057,3.2849,439.043,27.9832,1145.03,97.3378,444.095,2.1666,0,26.1969,0.951802,3.27131,3.68089,1204.83,18.3709,1.876,
35,1400.69,3121.18,2964.4,0.448768,219.636,0,556.77,8.29166,184.901,20.691,1786.43,130.277,214.183,408.255,0,840.96,3.45778,336.255,30.3227,1246.85,86.8915,389.49,2.1666,0,32.5758,0.0515062,3.27131,3.71811,1204.83,38.3354,1.876,
36,1398.91,2615.23,2351.04,0.534909,164.746,0,375.059,8.4023,138.455,16.4899,1633.3,117.91,160.873,348.681,0,702.76,3.4743,331.714,24.7749,994.783,65.0605,343.045,1.3171,0,42.074,0.524841,3.27131,3.71811,1204.28,41.7456,0.465336,
37,1398.91,2752.29,2993.94,0.508272,184.98,0,353.165,8.97571,162.286,19.5986,1747.35,98.6498,177.281,384.705,0,676.355,3.21468,368.706,31.5103,1404.64,64.4859,368.472,4.50853,0,40.8579,0.277272,3.27131,3.80503,1204.83,30.7239,1.876,
38,1398.91,2972.98,2669.03,0.470542,188.914,0,562.225,8.30426,151.893,20.0951,1716.13,139.476,185.942,337.495,0,923.144,3.62951,324.138,25.8029,970.124,106.351,336.055,4.50853,0,40.8579,0.331744,3.27131,3.82824,1204.83,39.086,1.876,
39,1398.91,2348.5,2304.2,0.595661,145.455,0,289.091,9.41056,133.814,13.6188,1510.63,106.429,140.053,373.889,0,585.44,2.8029,334.33,21.1144,868.379,74.658,364.817,1.95333,0,42.3454,0.156571,3.27131,3.9443,1203.23,22.9735,1.05979,
40,1369.9,2508.39,2330.61,0.546128,90.5634,0,405.658,9.23138,119.375,17.4727,1655.29,126.317,84.4774,228.723,0,732.344,2.909,299.274,27.5729,1148.36,106.277,210.118,1.95333,0,42.3454,0.516392,1.31261,4.19707,1203.23,40.792,1.05979,
41,1369.9,2434.23,2126.99,0.562766,118.439,0,312.27,9.13569,123.073,15.5398,1626.86,117.332,111.575,289.628,0,585.654,2.85474,318.161,24.5715,1007.58,96.1466,278.796,1.95333,0,41.2923,1.38523,3.25678,4.19707,1203.23,46.7107,1.05979,
42,1369.9,2712.02,2566.83,0.505122,173.62,0,440.201,9.07498,140.469,18.3667,1657.97,103.351,168.968,382.341,0,732.83,3.31943,324.393,27.2121,1036.42,92.7737,376.54,1.95333,0,47.2905,0.378995,3.25678,0.593495,1203.23,21.4548,1.05979,
43,1369.9,2233.56,1988.65,0.613327,59.7229,0,333.951,10.2081,56.4211,17.1481,1601.55,97.1202,57.4369,192.284,0,705.646,2.52469,173.174,28.6244,1102.06,88.183,194.919,1.95333,0,47.2905,2.44872,3.25678,4.19707,1204.76,28.2032,1.05979,
